ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
ACIC,2025-05-09,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-067975,216433000.0,116094000.0,,,,116094000.0,,,,116094000.0,,1646000.0,,114448000.0,100339000.0,,,74230000.0,100339000.0,,,,,,,26109000.0,,-1297000.0,,,,,,,,,74230000.0,4546000.0,4546000.0,69684000.0,0.0,66581000.0,3103000.0,,3103000.0,6.47,5.35,10286.0,12785000.0,0.4,2306668000.0,2306668000.0,,,,,,0.0,,30237000.0,,,,1762199000.0,1762199000.0,,,,,0.0,,,,,,,,542832000.0,20149000.0,522683000.0,1637000.0,,2306668000.0,162006000.0,162006000.0,,66271000.0,66271000.0,,-6248000.0,-6248000.0,,-11000.0,222018000.0,222029000.0,,76321000.0,4546000.0,71775000.0,2091000.0,,
ACIC,2025-05-08,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001401521-25-000073,72202000.0,46008000.0,,,,47078000.0,,,,47078000.0,,1722000.0,,45356000.0,25124000.0,,,19711000.0,26194000.0,1637000.0,,1637000.0,,,,6483000.0,,,,,2717000.0,,,,,,21348000.0,0.0,,21348000.0,,21348000.0,0.0,,0.0,0.44,0.43,48135231.0,49564721.0,,1159646000.0,1159646000.0,,,,,,0.0,,4803000.0,5299000.0,,,898766000.0,898766000.0,,,,,0.0,,,,,,,,260880000.0,0.0,260880000.0,,,1159646000.0,26443000.0,26443000.0,,5204000.0,5204000.0,,309000.0,309000.0,,,31956000.0,31956000.0,,24178000.0,0.0,24178000.0,24178000.0,,
ACIC,2025-03-10,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001401521-25-000032,296657000.0,194998000.0,,,,197061000.0,,,,197061000.0,,8869000.0,,188192000.0,99596000.0,,,76319000.0,101659000.0,406000.0,,-601000.0,1007000.0,,,25340000.0,,,,,11996000.0,,,,,,75718000.0,0.0,,75718000.0,,75718000.0,0.0,,0.0,1.59,1.54,47831412.0,49362985.0,,1216112000.0,1216112000.0,,,,,,0.0,,5736000.0,5908000.0,,,980452000.0,980452000.0,,,,,0.0,150000000.0,,,,,,,235660000.0,0.0,235660000.0,,,1216112000.0,243509000.0,243509000.0,,-179211000.0,-179211000.0,,-13840000.0,-13840000.0,,,50458000.0,50458000.0,,79197000.0,0.0,79197000.0,3479000.0,,
ACIC,2024-11-12,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001401521-24-000118,82136000.0,45619000.0,,,,46072000.0,,,,46072000.0,,2499000.0,,43573000.0,36064000.0,,,27669000.0,36517000.0,450000.0,,450000.0,0.0,,,8848000.0,,,,,3067000.0,,,,,,28119000.0,0.0,,28119000.0,,28119000.0,0.0,,0.0,0.59,0.57,48066358.0,49521246.0,,1143874000.0,1143874000.0,,,,,,0.0,,7300000.0,6518000.0,,,884292000.0,884292000.0,,,,,0.0,,,,,,,,259582000.0,0.0,259582000.0,,,1143874000.0,-8979000.0,-8979000.0,,-10090000.0,-10090000.0,,163000.0,163000.0,,,-18906000.0,-18906000.0,,35651000.0,0.0,35651000.0,35651000.0,,
ACIC,2024-08-08,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001401521-24-000099,68656000.0,43769000.0,,,,44580000.0,,,,44580000.0,,1947000.0,,35873000.0,24076000.0,,,19073000.0,24887000.0,-19000.0,,-19000.0,1007000.0,,,5814000.0,,,,,3426000.0,,,,,,19054000.0,0.0,,19054000.0,,19054000.0,0.0,,0.0,0.4,0.39,47821115.0,49398463.0,,1311285000.0,1311285000.0,,,,,,0.0,,9096000.0,7127000.0,,,1088212000.0,-223073000.0,,,,,0.0,,,,,,,,223073000.0,0.0,223073000.0,,,1311285000.0,126402000.0,126402000.0,,-150809000.0,-150809000.0,,60000.0,60000.0,,,-24347000.0,-24347000.0,,19248000.0,0.0,19248000.0,19248000.0,,
ACIC,2024-05-10,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001401521-24-000043,73204000.0,41990000.0,,,,42800000.0,,,,42800000.0,,2168000.0,,40632000.0,30404000.0,,,23599000.0,31214000.0,0.0,,0.0,0.0,,,7615000.0,,,,,2719000.0,,,,,,23599000.0,0.0,,23599000.0,,23599000.0,0.0,,0.0,0.5,0.48,47323356.0,48969550.0,,1077311000.0,1077311000.0,,,,,,0.0,,10351000.0,8511000.0,,,873319000.0,-203992000.0,,,,,0.0,,,,,,,,203992000.0,0.0,203992000.0,,,1077311000.0,124484000.0,124484000.0,,-2005000.0,-2005000.0,,11398000.0,11398000.0,,,133877000.0,133877000.0,,23401000.0,0.0,23401000.0,23401000.0,,
ACIC,2024-03-15,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001401521-24-000024,286543000.0,194572000.0,,,,196811000.0,,,,196811000.0,,10626000.0,,186185000.0,89732000.0,,,82198000.0,91971000.0,466153000.0,,227713000.0,238440000.0,,,9773000.0,,,,,10875000.0,,,,,,309911000.0,0.0,,309911000.0,,309911000.0,0.0,,0.0,7.11,6.98,43596432.0,44388804.0,,1060383000.0,1060383000.0,,,,,,0.0,,3658000.0,9323000.0,,,891618000.0,891618000.0,,,,,0.0,150000000.0,,,,,,,168765000.0,0.0,168765000.0,,,1060383000.0,-136003000.0,-136003000.0,,-2544000.0,-2544000.0,,26769000.0,26769000.0,,,-111778000.0,-111778000.0,,322717000.0,0.0,322717000.0,12806000.0,,
ACIC,2023-11-14,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001401521-23-000139,2767000.0,-7801000.0,,,,-7801000.0,,,,-7801000.0,,2110000.0,,,10568000.0,,,10568000.0,10568000.0,476880000.0,,,476880000.0,,,,,,,,,,,,,,10568000.0,0.0,,10568000.0,,10568000.0,0.0,,0.0,0.24,0.24,43301388.0,44142693.0,,1149690000.0,1149690000.0,,,,,,0.0,,3910000.0,10135000.0,,,1029041000.0,1029041000.0,,,,,0.0,,,,,,,,120649000.0,0.0,120649000.0,,,1149690000.0,47934000.0,47934000.0,,5248000.0,5248000.0,,-206305000.0,-206305000.0,,,-153123000.0,-153123000.0,,7805000.0,0.0,7805000.0,-2763000.0,,
ACIC,2021-08-16,2021,Q2,2021-04-01,2021-06-30,https://api.polygon.io/v1/reference/sec/filings/0001104659-21-106449,-49726.0,3714910.0,,,,3764636.0,,,,3764636.0,,,,,-3814362.0,,,-32900000.0,-32900000.0,,,,,,,,,,,,,,,,,,-32900000.0,0.0,,-32900000.0,,-32900000.0,0.0,,0.0,,,,,,500770589.0,549004.0,,,,251628.0,297376.0,500221585.0,,,,,,46083912.0,7857245.0,77617.0,,,7779628.0,0.0,,,,,,,,-11800000.0,0.0,-11800000.0,,,500770589.0,-475833.0,-475833.0,,27978.0,27978.0,,-180692.0,-180692.0,,,-628547.0,-628547.0,,-32900000.0,0.0,-32900000.0,0.0,,
ACIC,2021-05-24,2021,Q1,2021-01-01,2021-03-31,https://api.polygon.io/v1/reference/sec/filings/0001104659-21-071319,-50483.0,2368323.0,,,,4725017.0,,,,4725017.0,,,,,-4775500.0,,,-94900000.0,-94900000.0,,,,,,,,,,,,,,,,,,-2418806.0,0.0,,-94900000.0,,-94900000.0,0.0,,0.0,,,,,,500999587.0,842228.0,,,,396997.0,445231.0,500157359.0,,,,,,49565517.0,4285516.0,118425.0,,,4167091.0,0.0,,,,,,,,20100000.0,0.0,20100000.0,,,500999587.0,-551940.0,-551940.0,,71248.0,71248.0,,480692.0,480692.0,,,0.0,0.0,,-94900000.0,0.0,-94900000.0,0.0,,
