ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
AIZ,2025-05-08,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001267238-25-000026,3074000000.0,2890300000.0,,,,2890300000.0,,,,2890300000.0,,,,,183700000.0,,,146600000.0,183700000.0,,,,,,,37100000.0,,,,,,,,,,,146600000.0,0.0,,146600000.0,,146600000.0,0.0,,0.0,2.86,2.83,51281419.0,51731116.0,,34988400000.0,34988400000.0,,,,,,0,,786300000.0,552500000.0,,,29754200000.0,29754200000.0,,,,,0,,,,,,,,5234200000.0,0.0,5234200000.0,,,34988400000.0,392400000.0,392400000.0,,-421600000.0,-421600000.0,,-118700000.0,-118700000.0,,9800000.0,-138100000.0,-147900000.0,,234200000.0,0.0,234200000.0,87600000.0,,87600000.0
AIZ,2025-02-20,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001267238-25-000008,11877500000.0,10950200000.0,,,,10950200000.0,,,,10950200000.0,,,,,927300000.0,,,760200000.0,927300000.0,,,,,,,167100000.0,-77800000.0,244900000.0,,,,,,,,,760200000.0,0.0,,760200000.0,,760200000.0,0.0,,0.0,14.55,14.46,52231729.0,52581102.0,,35020600000.0,35020600000.0,,,,,,0,,768300000.0,535600000.0,,,29913900000.0,29913900000.0,,,,,0,,,,,,,,5106700000.0,0.0,5106700000.0,,,35020600000.0,1332700000.0,1332700000.0,,-657800000.0,-657800000.0,,-477500000.0,-477500000.0,,,197400000.0,197400000.0,,689100000.0,0.0,689100000.0,-71100000.0,,-71100000.0
AIZ,2024-11-07,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001267238-24-000047,2967700000.0,2816200000.0,,,,2816200000.0,,,,2816200000.0,,,,,151500000.0,,,133800000.0,151500000.0,,,,,,,17700000.0,,,,,,,,,,,133800000.0,0.0,,133800000.0,,133800000.0,0.0,,0.0,2.56,2.55,52204057.0,52464522.0,,35332300000.0,35332300000.0,,,,,,0,,742200000.0,545900000.0,,,30077000000.0,30077000000.0,,,,,0,,,,,,,,5255300000.0,0.0,5255300000.0,,,35332300000.0,436500000.0,436500000.0,,-207200000.0,-207200000.0,,-140800000.0,-140800000.0,,11800000.0,100300000.0,88500000.0,,359300000.0,0.0,359300000.0,225500000.0,,225500000.0
AIZ,2024-08-08,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001267238-24-000037,2924900000.0,2692000000.0,,,,2692000000.0,,,,2692000000.0,,,,,232900000.0,,,188700000.0,232900000.0,,,,,,,44200000.0,,,,,,,,,,,188700000.0,0.0,,188700000.0,,188700000.0,0.0,,0.0,3.59,3.58,52500727.0,52717736.0,,33773000000.0,33773000000.0,,,,,,0,,732600000.0,555100000.0,,,28768700000.0,-5004300000.0,,,,,0,,,,,,,,5004300000.0,0.0,5004300000.0,,,33773000000.0,710900000.0,710900000.0,,-193400000.0,-193400000.0,,-80800000.0,-80800000.0,,-5500000.0,431200000.0,436700000.0,,147200000.0,0.0,147200000.0,-41500000.0,,-41500000.0
AIZ,2024-05-09,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001267238-24-000026,2880100000.0,2587200000.0,,,,2587200000.0,,,,2587200000.0,,,,,292900000.0,,,236400000.0,292900000.0,,,,,,,56500000.0,,,,,26800000.0,,,,,,236400000.0,0.0,,236400000.0,,236400000.0,0.0,,0.0,4.5,4.47,52531865.0,52872254.0,,33225400000.0,33225400000.0,,,,,,0,,706100000.0,562600000.0,,,28305400000.0,-4920000000.0,,,,,0,,,,,,,,4920000000.0,0.0,4920000000.0,,,33225400000.0,82500000.0,82500000.0,,-328200000.0,-328200000.0,,-96200000.0,-96200000.0,,-3600000.0,-345500000.0,-341900000.0,,190200000.0,0.0,190200000.0,-46200000.0,,-46200000.0
AIZ,2024-02-15,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001267238-24-000008,11131600000.0,10324800000.0,,,,10324800000.0,,,,10324800000.0,,,,,806800000.0,,,642500000.0,806800000.0,0.0,,,,,,164300000.0,272800000.0,-108500000.0,,,108000000.0,,,,,,642500000.0,0.0,,642500000.0,,642500000.0,0.0,,0.0,12.02,11.95,53455139.0,53783069.0,,33635200000.0,33635200000.0,,,,,,0,,685800000.0,567100000.0,,,28825700000.0,28825700000.0,,,,,0,,,,,,,,4809500000.0,0.0,4809500000.0,,,33635200000.0,1138100000.0,1138100000.0,0.0,-637700000.0,-637700000.0,0.0,-403900000.0,-403900000.0,,-5800000.0,90700000.0,96500000.0,0.0,863700000.0,0.0,863700000.0,221200000.0,,
AIZ,2023-11-02,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001267238-23-000052,2774100000.0,2545300000.0,,,,2545300000.0,,,,2545300000.0,,,,,228800000.0,,,190100000.0,228800000.0,,,,,,,38700000.0,,,,,27000000.0,,,,,,190100000.0,0.0,,190100000.0,,190100000.0,0.0,,0.0,3.55,3.54,53535982.0,53745173.0,,33208800000.0,33208800000.0,,,,,,0,,664400000.0,589900000.0,,,28718200000.0,28718200000.0,,,,,0,,,,,,,,4490600000.0,0.0,4490600000.0,,,33208800000.0,330500000.0,330500000.0,,-157000000.0,-157000000.0,,-141500000.0,-141500000.0,,-8400000.0,23600000.0,32000000.0,,61800000.0,0.0,61800000.0,61800000.0,,-128300000.0
AIZ,2023-08-03,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001267238-23-000041,2731600000.0,2527300000.0,,,,2527300000.0,,,,2527300000.0,,,,,204300000.0,,,156300000.0,204300000.0,,,,,,,48000000.0,,,,,27200000.0,,,,,,156300000.0,0.0,,156300000.0,,156300000.0,0.0,,0.0,2.91,2.9,53745611.0,53889682.0,,33104700000.0,33104700000.0,,,,,,0,,642700000.0,608400000.0,,,28618700000.0,-4486000000.0,,,,,0,,,,,,,,4486000000.0,0.0,4486000000.0,,,33104700000.0,185400000.0,185400000.0,,-254400000.0,-254400000.0,,-57400000.0,-57400000.0,,2500000.0,-123900000.0,-126400000.0,,133100000.0,0.0,133100000.0,133100000.0,,-23200000.0
AIZ,2023-05-04,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001267238-23-000029,2642800000.0,2495700000.0,,,,2495700000.0,,,,2495700000.0,,,,,147100000.0,,,113600000.0,147100000.0,,,,,,,33500000.0,,,,,27000000.0,,,,,,113600000.0,0.0,,113600000.0,,113600000.0,0.0,,0.0,2.12,2.12,53492413.0,53698162.0,,32915200000.0,32915200000.0,,,,,,0,,671200000.0,615900000.0,,,28518800000.0,-4396400000.0,,,,,0,,,,,,,,4396400000.0,0.0,4396400000.0,,,32915200000.0,259600000.0,259600000.0,,-229400000.0,-229400000.0,,-43000000.0,-43000000.0,,1700000.0,-11100000.0,-12800000.0,,200300000.0,0.0,200300000.0,200300000.0,,86700000.0
AIZ,2023-02-17,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001267238-23-000007,10193000000.0,9843100000.0,,,,9843100000.0,,,,9843100000.0,,,,,349900000.0,,,276600000.0,349900000.0,0.0,,,,,,73300000.0,9500000.0,63800000.0,,,108300000.0,,,,,,276600000.0,0.0,,276600000.0,,276600000.0,0.0,,0.0,5.09,5.05,54371531.0,54782528.0,,33123800000.0,33123800000.0,,,,,,0,,645100000.0,638900000.0,,,28895100000.0,28895100000.0,,,,,0,,,,,,,,4228700000.0,0.0,4228700000.0,,,33123800000.0,596900000.0,596900000.0,0.0,-262100000.0,-262100000.0,0.0,-818400000.0,-818400000.0,,-34500000.0,-518100000.0,-483600000.0,0.0,-559600000.0,0.0,-559600000.0,-836200000.0,,
