ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
ALGS,2025-05-06,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-063983,311000.0,-42820000.0,,,,-42820000.0,,,,19554000.0,,,14502000.0,5052000.0,-19243000.0,,,43088000.0,43131000.0,,,,,,,43000,,,,,,800000.0,800000.0,,,0.0,43088000.0,0,,43088000.0,,43088000.0,0,,0,5.12,-2.11,8408481.0,8709693.0,,150699000.0,143205000.0,137900000.0,,,,5305000.0,7494000.0,,2214000.0,,,5280000.0,34254000.0,18948000.0,4460000.0,,3449000.0,11039000.0,15306000.0,,,,,,,,116445000.0,0,116445000.0,,,150699000.0,-20909000.0,-20909000.0,,-44067000.0,-44067000.0,,101742000.0,101742000.0,,,36766000.0,36766000.0,,43084000.0,0,43084000.0,43084000.0,,-4000
ALGS,2025-03-10,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-035929,3611000.0,134491000.0,,,,134491000.0,,,,93099000.0,,,70269000.0,22830000.0,-89154000.0,,,-131211000.0,-130880000.0,,,,,,,331000,331000.0,0.0,,,,1700000.0,1700000.0,,,0.0,-131211000.0,0,,-131211000.0,,-131211000.0,0,,0,-20.94,-20.94,6264612.0,6264612.0,,70094000.0,62141000.0,56900000.0,,,,5241000.0,7953000.0,,2362000.0,,,5591000.0,99067000.0,21737000.0,2571000.0,,6387000.0,12779000.0,77330000.0,,,,,,,,-28973000.0,0,-28973000.0,,,70094000.0,-80743000.0,-80743000.0,,-18279000.0,-18279000.0,,355000.0,355000.0,,,-98667000.0,-98667000.0,,-131305000.0,0,-131305000.0,-131305000.0,,-94000
ALGS,2024-11-06,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-122371,1250000.0,20418000.0,,,,20418000.0,,,,21400000.0,,,16774000.0,4626000.0,-20131000.0,,,-19259000.0,-19168000.0,,,,,,,91000,,,,,,500000.0,500000.0,,,0.0,-19259000.0,0,,-19259000.0,,-19259000.0,0,,0,-3.07,-3.07,6272291.0,6272291.0,,88426000.0,79822000.0,74900000.0,,,,4922000.0,8604000.0,,2575000.0,,,6029000.0,38330000.0,20956000.0,2740000.0,,4407000.0,13809000.0,17374000.0,,,,,,,,50096000.0,0,50096000.0,,,88426000.0,-20101000.0,-20101000.0,,10398000.0,10398000.0,,-4000.0,-4000.0,,,-9707000.0,-9707000.0,,-19176000.0,0,-19176000.0,-19176000.0,,83000
ALGS,2024-08-06,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-091828,1061000.0,-4189000.0,,,,-4189000.0,,,,27475000.0,,,21099000.0,6376000.0,-26414000.0,,,5061000.0,5250000.0,,,,,,,189000,,,,,,300000.0,300000.0,,,0.0,5061000.0,0,,5061000.0,,5061000.0,0,,0,0.03,0.03,156444408.0,156647917.0,,108811000.0,99570000.0,94500000.0,,,,5070000.0,9241000.0,,2797000.0,,,6444000.0,41582000.0,23564000.0,6819000.0,,3599000.0,13146000.0,0.0,,,,,,,,67229000.0,0,67229000.0,,,108811000.0,-19493000.0,-19493000.0,,39993000.0,39993000.0,,281000.0,281000.0,,,20781000.0,20781000.0,,5079000.0,0,5079000.0,5079000.0,,18000
ALGS,2024-05-07,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-054497,694000.0,35533000.0,,,,35533000.0,,,,23032000.0,,,16366000.0,6666000.0,-22046000.0,,,-34863000.0,-34839000.0,,,,,,,24000,,,,,,600000.0,600000.0,,,0.0,-34863000.0,0,,-34863000.0,,-34863000.0,0,,0,-0.22,-0.22,156154156.0,156154156.0,,127902000.0,118064000.0,112700000.0,,,,5364000.0,9838000.0,,3046000.0,,,6792000.0,68106000.0,18880000.0,2842000.0,,3058000.0,12980000.0,0.0,,,,,,,,59796000.0,0,59796000.0,,,127902000.0,-22746000.0,-22746000.0,,-88642000.0,-88642000.0,,-19000.0,-19000.0,,,-111407000.0,-111407000.0,,-34932000.0,0,-34932000.0,-34932000.0,,-69000
ALGS,2024-03-12,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-029953,6191000.0,93075000.0,,,,93075000.0,,,,103656000.0,,,73040000.0,30616000.0,-88127000.0,,,-87679000.0,-86884000.0,,,,,,,795000,795000.0,0.0,,,,4300000.0,4300000.0,,,0.0,-87679000.0,0,,-87679000.0,,-87679000.0,0,,0,-1.36,-1.36,64260588.0,64260588.0,,151527000.0,141084000.0,135700000.0,,,,5384000.0,10443000.0,,3259000.0,,,7184000.0,59447000.0,23906000.0,2517000.0,,6673000.0,14716000.0,35541000.0,,,,,,,,92080000.0,0,92080000.0,,,151527000.0,-78997000.0,-78997000.0,,44981000.0,44981000.0,,88328000.0,88328000.0,,,54312000.0,54312000.0,,-87535000.0,0,-87535000.0,-87535000.0,,144000
ALGS,2023-11-02,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-058256,1085000.0,19097000.0,,,,19097000.0,,,,22310000.0,,,15867000.0,6443000.0,-19071000.0,,,-18041000.0,-18012000.0,,,,,,,29000,,,,,,,,,,,-18041000.0,0,,-18041000.0,,-18041000.0,0,,0,-0.41,-0.41,43496975.0,43496975.0,,85852000.0,74643000.0,70400000.0,,,,4243000.0,11209000.0,,3646000.0,,,7563000.0,31031000.0,22468000.0,2941000.0,,4083000.0,15444000.0,8563000.0,,,,,,,,54821000.0,0,54821000.0,,,85852000.0,-20336000.0,-20336000.0,,-9000.0,-9000.0,,-21000.0,-21000.0,,,-20366000.0,-20366000.0,,-18041000.0,0,-18041000.0,-18041000.0,,0
ALGS,2023-08-03,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-038045,4294000.0,22328000.0,,,,22328000.0,,,,26027000.0,,,16781000.0,9246000.0,-19141000.0,,,-18791000.0,-18034000.0,,,,,,,757000,,,,,,,,,,,-18791000.0,0,,-18791000.0,,-18791000.0,0,,0,-0.43,-0.43,43215478.0,43215478.0,,106130000.0,94243000.0,90800000.0,,,,3443000.0,11887000.0,,3951000.0,,,7936000.0,36495000.0,27225000.0,3241000.0,,3137000.0,20847000.0,0.0,,,,,,,,69635000.0,0,69635000.0,,,106130000.0,-13616000.0,-13616000.0,,25004000.0,25004000.0,,414000.0,414000.0,,,11802000.0,11802000.0,,-18793000.0,0,-18793000.0,-18793000.0,,-2000
ALGS,2023-05-04,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-017890,140000.0,23056000.0,,,,23056000.0,,,,26641000.0,,,18135000.0,8506000.0,-23918000.0,,,-22955000.0,-22916000.0,,,,,,,39000,,,,,,,,,,,-22955000.0,0,,-22955000.0,,-22955000.0,0,,0,-0.53,-0.53,42910065.0,42910065.0,,121738000.0,109429000.0,103500000.0,,,,5929000.0,12309000.0,,4369000.0,,,7940000.0,36988000.0,28079000.0,2822000.0,,3085000.0,22172000.0,0.0,,,,,,,,84750000.0,0,84750000.0,,,121738000.0,-22387000.0,-22387000.0,,19993000.0,19993000.0,,-1000.0,-1000.0,,,-2395000.0,-2395000.0,,-22857000.0,0,-22857000.0,-22857000.0,,98000
ALGS,2023-03-09,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-007033,13907000.0,109847000.0,,,,111487000.0,,,,111487000.0,,,85077000.0,26410000.0,-97580000.0,,,-96046000.0,-95940000.0,,,,,,,106000,106000.0,0.0,,,,,,,,,-96046000.0,0,,-96046000.0,,-96046000.0,0,,0,,,,,,146693000.0,133545000.0,125800000.0,,,,7745000.0,13148000.0,,4816000.0,,,8332000.0,42793000.0,33129000.0,4737000.0,,6297000.0,22095000.0,9664000.0,,,,,,,,103900000.0,0,103900000.0,,,146693000.0,-79389000.0,-79389000.0,,-26293000.0,-26293000.0,,164000.0,164000.0,,,-105518000.0,-105518000.0,,-96097000.0,0,-96097000.0,-96097000.0,,-51000
