ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
ALGT,2025-05-07,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001362468-25-000022,699074000.0,657134000.0,,,,657134000.0,,,-23062000.0,634072000.0,,63312000.0,,570760000.0,65002000.0,,,32102000.0,41940000.0,,,,,,,9838000.0,,,,52718000.0,40783000.0,11935000.0,11935000.0,,,0.0,32102000.0,0,,32102000.0,,32102000.0,842000.0,842000.0,0,1.74,1.73,17984000.0,17984000.0,,4503862000.0,1078299000.0,,85571000.0,,,992728000.0,3425563000.0,,3103052000.0,,,322511000.0,3391131000.0,1198452000.0,70619000.0,,,1127833000.0,2192679000.0,2013891000.0,178788000.0,,,,,,1112731000.0,0.0,1112731000.0,,,4503862000.0,191406000.0,191406000.0,,-121902000.0,-121902000.0,,-69035000.0,-69035000.0,,,469000.0,469000.0,,31292000.0,0,31292000.0,31292000.0,,
ALGT,2024-11-05,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001362468-24-000061,562196000.0,605638000.0,,,,605638000.0,,,-17101000.0,588537000.0,,63918000.0,,524619000.0,-26341000.0,,,-36789000.0,-43442000.0,,,,,,,-6653000.0,,,,28994000.0,39065000.0,-10071000.0,-10071000.0,,,0.0,-36789000.0,0,,-36789000.0,,-36789000.0,0.0,0.0,0,-2.05,-2.05,17913000.0,17913000.0,0.0,4788252000.0,930616000.0,,62324000.0,,,868292000.0,3857636000.0,,3448723000.0,,,408913000.0,3488352000.0,1234559000.0,55296000.0,,,1179263000.0,2253793000.0,2188132000.0,65661000.0,,,,,,1299900000.0,0.0,1299900000.0,,,4788252000.0,17339000.0,17339000.0,,68908000.0,68908000.0,,-27495000.0,-27495000.0,,,58752000.0,58752000.0,,-34622000.0,0,-34622000.0,-34622000.0,,
ALGT,2024-08-06,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001362468-24-000043,666283000.0,648258000.0,,,,648258000.0,,,-16872000.0,631386000.0,,65361000.0,,566025000.0,34897000.0,,,13699000.0,18025000.0,,,,,,,4326000.0,,,,28414000.0,39544000.0,-11130000.0,-11130000.0,,,0.0,13699000.0,0,,13699000.0,,13699000.0,333000.0,333000.0,0,0.75,0.75,17828000.0,17828000.0,0.6,4903612000.0,980455000.0,,76475000.0,,,903980000.0,3923157000.0,,3493396000.0,,,429761000.0,3570577000.0,1322015000.0,71937000.0,,,1250078000.0,0.0,2218889000.0,29673000.0,,,,,,1333035000.0,0.0,1333035000.0,,,4903612000.0,68932000.0,68932000.0,,-16168000.0,-16168000.0,,-30900000.0,-30900000.0,,,21864000.0,21864000.0,,13445000.0,0,13445000.0,13445000.0,,
ALGT,2024-05-09,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001362468-24-000021,656406000.0,657743000.0,,,,657743000.0,,,-16785000.0,640958000.0,,63844000.0,,577114000.0,15448000.0,,,-919000.0,-1337000.0,,,,,,,-418000.0,,,,27919000.0,40160000.0,-12241000.0,-12241000.0,,,0.0,-919000.0,0,,-919000.0,,-919000.0,354000.0,354000.0,0,-0.07,-0.07,17664000.0,17664000.0,0.6,4935131000.0,1007106000.0,,72494000.0,,,934612000.0,3928025000.0,,3523343000.0,,,404682000.0,3612975000.0,1320673000.0,69486000.0,,,1251187000.0,0.0,2248748000.0,43554000.0,,,,,,1322156000.0,0.0,1322156000.0,,,4935131000.0,167805000.0,167805000.0,,-93584000.0,-93584000.0,,-23532000.0,-23532000.0,,,50689000.0,50689000.0,,-2127000.0,0,-2127000.0,-2127000.0,,
ALGT,2024-02-29,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001362468-24-000007,2509857000.0,2350806000.0,,,,2350806000.0,,,-61930000.0,2288876000.0,,223130000.0,,2065746000.0,220981000.0,,,117596000.0,159051000.0,,,,,,,41455000.0,3510000.0,,,106571000.0,153186000.0,-46615000.0,-46615000.0,,,0.0,117596000.0,0,,117596000.0,,117596000.0,-4188000.0,-4188000.0,0,6.32,6.29,17945000.0,18019000.0,,4869410000.0,1001130000.0,,70743000.0,,,930387000.0,3868280000.0,,3447111000.0,,,421169000.0,3540850000.0,1212307000.0,54484000.0,,,1157823000.0,2328543000.0,,,,,,,,1328560000.0,0.0,1328560000.0,,,4869410000.0,423092000.0,423092000.0,,-721877000.0,-721877000.0,,212923000.0,212923000.0,,,-85862000.0,-85862000.0,,120330000.0,0,120330000.0,2734000.0,,
ALGT,2023-11-08,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001362468-23-000060,565359000.0,595278000.0,,,,595278000.0,,,-12036000.0,583242000.0,,55816000.0,,527426000.0,-17883000.0,,,-25066000.0,-29919000.0,,,,,,,-4853000.0,,,,,,26189000.0,26189000.0,,,0.0,-25066000.0,0,,-25066000.0,,-25066000.0,452000.0,452000.0,0,-1.44,-1.44,17721000.0,17721000.0,0.6,4912336000.0,1143492000.0,,43957000.0,,,1099535000.0,3768844000.0,,3328122000.0,,,440722000.0,3569191000.0,1049695000.0,55476000.0,,,994219000.0,2519496000.0,2285998000.0,233498000.0,,,,,,1343145000.0,0.0,1343145000.0,,,4912336000.0,22846000.0,22846000.0,,-19628000.0,-19628000.0,,134850000.0,134850000.0,,,138068000.0,138068000.0,,-24510000.0,0,-24510000.0,556000.0,,
ALGT,2023-08-07,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001362468-23-000042,683810000.0,567465000.0,,,,567465000.0,,,-17084000.0,550381000.0,,53933000.0,,496448000.0,133429000.0,,,88469000.0,116345000.0,,,,,,,27876000.0,,,,,,25678000.0,25678000.0,,,0.0,88469000.0,0,,88469000.0,,88469000.0,3660000.0,3660000.0,0,4.8,4.8,17677000.0,17677000.0,,4829546000.0,1208498000.0,,47147000.0,,,1161351000.0,3621048000.0,,3176517000.0,,,444531000.0,3455985000.0,1067506000.0,63995000.0,,,1003511000.0,0.0,2158001000.0,230478000.0,,,,,,1373561000.0,0.0,1373561000.0,,,4829546000.0,131212000.0,131212000.0,,-403570000.0,-403570000.0,,106248000.0,106248000.0,,,-166110000.0,-166110000.0,,87866000.0,0,87866000.0,-603000.0,,
ALGT,2023-05-08,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001362468-23-000027,649687000.0,575269000.0,,,,575269000.0,,,-20407000.0,554862000.0,,54680000.0,,500182000.0,94825000.0,,,56149000.0,74418000.0,,,,,,,18269000.0,,,,,,20436000.0,20436000.0,,,0.0,56149000.0,0,,56149000.0,,56149000.0,1254000.0,1254000.0,0,3.09,3.09,17766000.0,17766000.0,,4680421000.0,1300100000.0,,57798000.0,,,1242302000.0,3380321000.0,,2946941000.0,,,433380000.0,3409024000.0,1117262000.0,65936000.0,,,1051326000.0,0.0,2105820000.0,185942000.0,,,,,,1271397000.0,0.0,1271397000.0,,,4680421000.0,215400000.0,215400000.0,,-114239000.0,-114239000.0,,-11877000.0,-11877000.0,,,89284000.0,89284000.0,,58134000.0,0,58134000.0,1985000.0,,
ALGT,2023-02-27,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001362468-23-000014,2301829000.0,2296876000.0,,,,2296876000.0,,,-86693000.0,2210183000.0,,197542000.0,,2012641000.0,91646000.0,,,2493000.0,4953000.0,,,,,,,2460000.0,288000.0,,,195433000.0,115711000.0,79722000.0,79722000.0,,,0.0,2493000.0,0,,2493000.0,,2493000.0,-32000.0,-32000.0,0,0.14,0.14,17959000.0,18034000.0,,4511297000.0,1274269000.0,,106578000.0,,,1167691000.0,3237028000.0,,2810693000.0,,,426335000.0,3290599000.0,869831000.0,58335000.0,,,811496000.0,2420768000.0,,,,,,,,1220698000.0,0.0,1220698000.0,,,4511297000.0,303050000.0,303050000.0,,-491424000.0,-491424000.0,,33119000.0,33119000.0,,,-155255000.0,-155255000.0,,1694000.0,0,1694000.0,-799000.0,,
ALGT,2022-11-03,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001362468-22-000067,560325000.0,616487000.0,,,,616487000.0,,,-25251000.0,591236000.0,,50092000.0,,541144000.0,-30911000.0,,,-46459000.0,-56162000.0,,,,,,,-9703000.0,,,,,,20016000.0,20016000.0,,,0.0,-46459000.0,0,,-46459000.0,,-46459000.0,0.0,0.0,0,-2.58,-2.58,18014000.0,18014000.0,,4410964000.0,1197553000.0,,79150000.0,,,1118403000.0,3213411000.0,,2738516000.0,,,474895000.0,3221991000.0,910089000.0,51394000.0,,,858695000.0,2311902000.0,,,,,,,,1188973000.0,0.0,1188973000.0,,,4410964000.0,-5960000.0,-5960000.0,,-83336000.0,-83336000.0,,-57556000.0,-57556000.0,,,-146852000.0,-146852000.0,,-48049000.0,0,-48049000.0,-1590000.0,,
