ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
ALZN,2025-03-10,2025,Q3,2024-11-01,2025-01-31,https://api.polygon.io/v1/reference/sec/filings/0001214659-25-004123,0,,,,,,,,-2019,1037415.0,,,447111.0,590304.0,-1037415.0,,,-1039434.0,-1039434.0,,,,,,,,,,,,2019,,,,,,-1039434.0,0.0,,-1039434.0,,-1039434.0,0,,0,-0.19,-0.19,5517796.0,5517796.0,,4175634.0,3947343.0,,,,,,228291,,228291.0,,,,725851.0,725851.0,725851.0,,,,0,,,,,,,,3449783.0,0,3449783.0,,,4175634.0,-1423638.0,-1423638.0,,0.0,0.0,,688700.0,688700.0,,,-734938.0,-734938.0,,-1039434.0,0,-1039434.0,0,,
ALZN,2024-12-11,2025,Q2,2024-08-01,2024-10-31,https://api.polygon.io/v1/reference/sec/filings/0001214659-24-020264,0,,,,,,,,-3495,1358068.0,,,311088.0,1046980.0,-1358068.0,,,-1361563.0,-1361563.0,,,,,,,,,,,,3495,,,,,,-1361563.0,53651.0,,-1415214.0,,-1415214.0,0,,0,-0.4,-0.4,3531702.0,3531702.0,,5007718.0,4766742.0,,,,,,240976,,240976.0,,,,1254750.0,-3752968.0,1254750.0,,,,0,,,,,,,,3752968.0,0,3752968.0,,,5007718.0,-3400101.0,-3400101.0,,0.0,0.0,,7117126.0,7117126.0,,,3717025.0,3717025.0,,-1361563.0,0,-1361563.0,0,,
ALZN,2024-09-11,2025,Q1,2024-05-01,2024-07-31,https://api.polygon.io/v1/reference/sec/filings/0001214659-24-016346,0,,,,,,,,-12006,962405.0,,,206571.0,755834.0,-962405.0,,,1000000.0,1000000.0,,,,,,,,,,,,12006,,,,,,1000000.0,1974411.0,,-974411.0,,-974411.0,0,,0,-1.25,-1.25,777821.0,777821.0,,1669852.0,1416191.0,,,,,,253661,,253661.0,,,,2882171.0,1212319.0,2882171.0,,,,0,,,,,,,,-1212319.0,0,-1212319.0,,,1669852.0,-1055742.0,-1055742.0,,-90000.0,-90000.0,,1145742.0,1145742.0,,,0.0,0.0,,1000000.0,0,1000000.0,0,,
ALZN,2024-07-30,2024,FY,2023-05-01,2024-04-30,https://api.polygon.io/v1/reference/sec/filings/0001214659-24-013191,0,,,,,,,,-10101,9937645.0,,,6455107.0,3482538.0,-9937645.0,,,-9947746.0,-9947746.0,,,,,,,,,,,,10101,,,,,,9900000.0,19847746.0,,-9947746.0,,-9947746.0,0,,0,-14.7,-14.7,676565.0,676565.0,,631588.0,455242.0,,,,,,176346,,176346.0,,,,3225773.0,3225773.0,2925059.0,,,300714.0,0,,,,,,,,-2594185.0,0,-2594185.0,,,631588.0,-8269993.0,-8269993.0,,4617568.0,4617568.0,,3652425.0,3652425.0,,,0.0,0.0,,9900000.0,0,9900000.0,0,,
ALZN,2024-03-25,2024,Q3,2023-11-01,2024-01-31,https://api.polygon.io/v1/reference/sec/filings/0001214659-24-005088,0,,,,,,,,-2488,2659930.0,,,1908757.0,751173.0,-2659930.0,,,2700000.0,2700000.0,,,,,,,,,,,,2488,,,,,,2700000.0,5362418.0,,-2662418.0,,-2662418.0,0,,0,-0.38,-0.38,7054319.0,7054319.0,,782636.0,593605.0,,,,,,189031,,189031.0,,,,4568720.0,3826457.0,3826457.0,,,,742263,,,,,,,,-4263821.0,0,-4263821.0,,,782636.0,-2031662.0,-2031662.0,,,,,,,,,-2031662.0,-2031662.0,,2700000.0,0,2700000.0,0,,
ALZN,2023-12-15,2024,Q2,2023-08-01,2023-10-31,https://api.polygon.io/v1/reference/sec/filings/0001214659-23-016500,0,,,,,,,,-4311,2901722.0,,,1996783.0,904939.0,-2901722.0,,,-2906033.0,-2906033.0,,,,,,,,,,,,4311,,,,,,-2906033.0,0.0,,-2906033.0,,-2906033.0,0,,0,-0.44,-0.44,6563784.0,6563784.0,,983597.0,781881.0,,,,,,201716,,201716.0,,,,3666090.0,2682493.0,3666090.0,,,,0,,,,,,,,-2682493.0,0,-2682493.0,,,983597.0,-1513424.0,-1513424.0,,,,,,,,,-1513424.0,-1513424.0,,-2906033.0,0,-2906033.0,0,,
ALZN,2023-09-13,2024,Q1,2023-05-01,2023-07-31,https://api.polygon.io/v1/reference/sec/filings/0001214659-23-012326,0,,,,,,,,-1835,3525931.0,,,2366137.0,1159794.0,-3525931.0,,,3500000.0,3500000.0,,,,,,,,,,,,1835,,,,,,3500000.0,7027766.0,,-3527766.0,,-3527766.0,0,,0,-0.04,-0.04,98440124.0,98440124.0,,2628005.0,2413604.0,,,,,,214401,,214401.0,,,,2740888.0,112883.0,2740888.0,,,,0,,,,,,,,113000.0,0,-112883.0,,,2628005.0,-3298200.0,-3298200.0,,,,,,,,,-3298200.0,-3298200.0,,3500000.0,0,3500000.0,0,,
ALZN,2023-07-27,2023,FY,2022-05-01,2023-04-30,https://api.polygon.io/v1/reference/sec/filings/0001214659-23-010076,0,,,,,14870466.0,,,-7701,,,,7445857.0,,-14870466.0,,,-14878167.0,-14878167.0,,,,,,,,,,,,7701,,,,,,14900000.0,29778167.0,,-14878167.0,,-14878167.0,0,,0,-0.15,-0.15,97519016.0,97519016.0,,5915625.0,5835782.0,,,,,,79843,,79843.0,,,,2870122.0,2870122.0,2870122.0,,,,0,,,,,,,,3045503.0,0,3045503.0,,,5915625.0,-8923152.0,-8923152.0,,17822952.0,17822952.0,,200.0,200.0,,,8900000.0,8900000.0,,14900000.0,0,14900000.0,0,,
ALZN,2023-03-15,2023,Q3,2022-11-01,2023-01-31,https://api.polygon.io/v1/reference/sec/filings/0001214659-23-003850,0,,,,,5423512.0,,,-2062,,,,2888847.0,,-5423512.0,,,5400000.0,5400000.0,,,,,,,,,,,,2062,,,,,,5400000.0,10825574.0,,-5425574.0,,-5425574.0,0,,0,-0.06,,,98326175.0,,8501978.0,8416812.0,,,,,,85166,,85166.0,,,,2642473.0,2642473.0,2642473.0,,,,0,,,,,,,,5859505.0,0,5859505.0,,,8501978.0,-1806971.0,-1806971.0,,,,,,,,,-1806971.0,-1806971.0,,5400000.0,0,5400000.0,0,,
ALZN,2022-12-12,2023,Q2,2022-08-01,2022-10-31,https://api.polygon.io/v1/reference/sec/filings/0001214659-22-014779,0,,,,,3106403.0,,,-3588,,,,1532985.0,,-3106403.0,,,-3109991.0,-3106403.0,,,,,,,,,,,,3588,,,,,,-3109991.0,0.0,,-3109991.0,,-3109991.0,0,,0,-0.03,,,97488448.0,,10424876.0,10334387.0,,,,,,90489,,90489.0,,,,1637453.0,1637453.0,648119.0,,,989334.0,0,,,,,,,,8787423.0,0,8787423.0,,,10424876.0,-2344309.0,-2344309.0,,,,,,,,,-2344309.0,-2344309.0,,-3109991.0,0,-3109991.0,0,,
