ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
AMH,2025-05-02,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001562401-25-000037,,,,,,394797000.0,,,,,,124928000.0,,,,,129628000.0,128713000.0,128713000.0,,,,,,-915000.0,,,,,,45426000.0,,,,,,128713000.0,15255000.0,,109972000.0,,109972000.0,346000.0,346000.0,0,0.3,0.3,370372388.0,370761741.0,,13289223000.0,13289223000.0,,,,,,0,,,,,,5447112000.0,5447112000.0,,,,,0,4926702000.0,,,,,,,7842111000.0,688222000.0,7153889000.0,,,13289223000.0,223403000.0,223403000.0,,-107689000.0,-107689000.0,,-247072000.0,-247072000.0,,,-131358000.0,-131358000.0,,126813000.0,15021000.0,111792000.0,-1900000.0,,
AMH,2025-02-21,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001562401-25-000013,,,,,,,,,22243000.0,1502231000.0,,477010000.0,,1025221000.0,,,468148000.0,468142000.0,468142000.0,,,,,,-6000.0,,,,,,165351000.0,,,,,,468142000.0,55716000.0,,398482000.0,,398482000.0,1317000.0,1317000.0,0,1.08,1.08,367454012.0,367989537.0,,13381151000.0,13381151000.0,,,,,,0,,,,,,5532521000.0,5532521000.0,,,,,0,5010762000.0,,,,,,,7848630000.0,688614000.0,7160016000.0,,,13381151000.0,811535000.0,811535000.0,,-825876000.0,-825876000.0,,142696000.0,142696000.0,,,128355000.0,128355000.0,,476122000.0,56687000.0,419435000.0,7980000.0,,
AMH,2024-10-30,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001562401-24-000082,,,,,,393062000.0,,,,,,119691000.0,,,,,87160000.0,87640000.0,87640000.0,,,,,,480000.0,,,,,,43611000.0,,,,,,87640000.0,10333000.0,,73821000.0,,73821000.0,313000.0,313000.0,0,0.2,0.2,366981466.0,367600636.0,,12844285000.0,12844285000.0,,,,,,0,,,,,,5148681000.0,5148681000.0,,,,,0,4518813000.0,,,,,,,7695604000.0,684110000.0,7011494000.0,,,12844285000.0,233568000.0,233568000.0,,-184736000.0,-184736000.0,,-612629000.0,-612629000.0,,,-563797000.0,-563797000.0,,90102000.0,10636000.0,79466000.0,2462000.0,,
AMH,2024-08-02,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001562401-24-000069,,,,,,362763000.0,,,,,,117603000.0,,,,,108584000.0,108534000.0,108534000.0,,,,,,-50000.0,,,,,,38678000.0,,,,,,108534000.0,12906000.0,,108534000.0,,92142000.0,0.0,314000.0,0,0.25,0.25,366778333.0,367312955.0,,13303940000.0,13303940000.0,,,,,,0,,,,,,5591953000.0,-7711987000.0,,,,,0,4992590000.0,,,,,,,7711987000.0,686833000.0,7025154000.0,,,13303940000.0,274000000.0,274000000.0,,-40166000.0,-40166000.0,,364521000.0,364521000.0,,,598355000.0,598355000.0,,108393000.0,12889000.0,95504000.0,-141000.0,,
AMH,2024-05-03,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001562401-24-000053,,,,,,366841000.0,,,3434000.0,366841000.0,,115726000.0,,251115000.0,,,128979000.0,128095000.0,128095000.0,,,,,,-884000.0,,,,,,38577000.0,,,,,,128095000.0,15320000.0,,128095000.0,,109289000.0,0.0,379000.0,0,0.3,0.3,366513257.0,366972293.0,,12761092000.0,12761092000.0,,,,,,0,,,,,,5056361000.0,-7704731000.0,,,,,0,4503113000.0,,,,,,,7704731000.0,687302000.0,7017429000.0,,,12761092000.0,201780000.0,201780000.0,,-68146000.0,-68146000.0,,-72204000.0,-72204000.0,,,61430000.0,61430000.0,,127954000.0,15301000.0,112653000.0,-141000.0,,
AMH,2024-02-23,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001562401-24-000021,,,,,,,,,9798000.0,1411095000.0,,456550000.0,,954545000.0,,,430915000.0,432142000.0,432142000.0,,,,,,1227000.0,,,,,,140198000.0,,,,,,432142000.0,51974000.0,,366224000.0,,366224000.0,1083000.0,1083000.0,0,1.01,1.01,362024968.0,362477216.0,,12688190000.0,12688190000.0,,,,,,0,,,,,,5035307000.0,5035307000.0,,,,,0,4461647000.0,,,,,,,7652883000.0,685359000.0,6967524000.0,,,12688190000.0,738689000.0,738689000.0,,-692578000.0,-692578000.0,,-42210000.0,-42210000.0,,,3901000.0,3901000.0,,431578000.0,51899000.0,379679000.0,-564000.0,,
AMH,2023-11-03,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001562401-23-000123,,,,,,,,,1865000.0,368805000.0,,114863000.0,,253942000.0,,,87222000.0,88092000.0,88092000.0,,,,,,870000.0,,,,,,34381000.0,,,,,,88092000.0,10493000.0,,74113000.0,,74113000.0,238000.0,238000.0,0,0.2,0.2,362426273.0,362924932.0,,12559377000.0,12559377000.0,,,,,,0,,,,,,5008841000.0,5008841000.0,,,,,0,4375046000.0,,,,,,,7550536000.0,685846000.0,6864690000.0,,,12559377000.0,207698000.0,207698000.0,,-227494000.0,-227494000.0,,-99327000.0,-99327000.0,,,-119123000.0,-119123000.0,,87950000.0,10476000.0,77474000.0,-142000.0,,
AMH,2023-08-01,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001562401-23-000099,,,,,,,,,2482000.0,345374000.0,,113199000.0,,232175000.0,,,116043000.0,115414000.0,115414000.0,,,,,,-629000.0,,,,,,34844000.0,,,,,,115414000.0,13899000.0,,115414000.0,,98029000.0,0.0,288000.0,0,0.27,0.27,362148911.0,362479942.0,,12522438000.0,12522438000.0,,,,,,0,,,,,,4972193000.0,-7550245000.0,,,,,0,4378039000.0,,,,,,,7550245000.0,686673000.0,6863572000.0,,,12522438000.0,215209000.0,215209000.0,,-164910000.0,-164910000.0,,-97344000.0,-97344000.0,,,-47045000.0,-47045000.0,,115274000.0,13881000.0,101393000.0,-140000.0,,
AMH,2023-05-05,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001562401-23-000047,,,,,,,,,4735000.0,349398000.0,,112717000.0,,236681000.0,,,136359000.0,137699000.0,137699000.0,,,,,,1340000.0,,,,,,35882000.0,,,,,,137699000.0,16748000.0,,137699000.0,,117465000.0,0.0,328000.0,0,0.33,0.32,360353124.0,360674370.0,,12420013000.0,12420013000.0,,,,,,0,,,,,,4902109000.0,-7517904000.0,,,,,0,4381745000.0,,,,,,,7517904000.0,684095000.0,6833809000.0,,,12420013000.0,200467000.0,200467000.0,,-72912000.0,-72912000.0,,63300000.0,63300000.0,,,190855000.0,190855000.0,,137558000.0,16727000.0,120831000.0,-141000.0,,
AMH,2023-02-24,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001562401-23-000032,,,,,,,,,6865000.0,1323833000.0,,426531000.0,,897302000.0,,,306959000.0,310025000.0,310025000.0,,,,,,3066000.0,,,,,,134871000.0,,,,,,310025000.0,36887000.0,,250781000.0,,250781000.0,767000.0,767000.0,0,0.72,0.71,349290848.0,349787092.0,,12175059000.0,12175059000.0,,,,,,0,,,,,,5000401000.0,5000401000.0,,,,,0,4515998000.0,,,,,,,7174658000.0,678671000.0,6495987000.0,,,12175059000.0,665518000.0,665518000.0,,-1425502000.0,-1425502000.0,,786177000.0,786177000.0,,,26193000.0,26193000.0,,309461000.0,36805000.0,272656000.0,-564000.0,,
