ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
AMN,2025-05-09,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001142750-25-000034,689533000.0,0.0,491413000.0,,,677026000.0,198120000.0,,,185613000.0,147731000.0,37882000.0,,,12507000.0,,,-1092000.0,689533000.0,,,,,,,1275000.0,,-5824000.0,,,,,,,,,-1092000.0,0,,-1092000.0,,-1092000.0,0.0,,0.0,-0.03,-0.03,38312000.0,38312000.0,,2395123000.0,627357000.0,,,,24645000.0,602712000.0,1767766000.0,,177996000.0,361937000.0,,1227833000.0,1680072000.0,582249000.0,195974000.0,,269497000.0,116778000.0,1097823000.0,,,,,,,,715051000.0,0,715051000.0,,,2395123000.0,92671000.0,92671000.0,,-26046000.0,-26046000.0,,-61211000.0,-61211000.0,,,5414000.0,5414000.0,,-1031000.0,0,-1031000.0,-1031000.0,,61000
AMN,2024-11-08,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001142750-24-000061,687509000.0,679701000.0,474454000.0,,,679701000.0,213055000.0,,,190803000.0,149681000.0,41122000.0,,,22252000.0,,,6989000.0,7808000.0,,,,,,,819000.0,,-3307000.0,,,,,,,,,6989000.0,0,,6989000.0,,6989000.0,0.0,,0.0,0.18,0.18,38200000.0,38287000.0,,2667816000.0,612266000.0,,,,17073000.0,595193000.0,2055550000.0,,196902000.0,402400000.0,,1456248000.0,1777151000.0,518546000.0,213206000.0,,281683000.0,23657000.0,1258605000.0,,,,,,,,890665000.0,0,890665000.0,,,2667816000.0,66703000.0,66703000.0,,-22004000.0,-22004000.0,,-60469000.0,-60469000.0,,,-15770000.0,-15770000.0,,7090000.0,0,7090000.0,7090000.0,,101000
AMN,2024-08-09,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001142750-24-000050,740685000.0,718718000.0,510858000.0,,,718718000.0,229827000.0,,,192145000.0,149044000.0,43101000.0,,,37682000.0,,,16237000.0,21967000.0,,,,,,,5730000.0,,5060000.0,,,,,,,,,16237000.0,0,,16237000.0,,16237000.0,0.0,,0.0,0.43,0.42,38173000.0,38234000.0,,2771327000.0,704757000.0,,,,19673000.0,685084000.0,2066570000.0,,197059000.0,424504000.0,,1445007000.0,1894468000.0,573890000.0,283176000.0,,268354000.0,22360000.0,0.0,,,,,,,,876859000.0,0,876859000.0,,,2771327000.0,99515000.0,99515000.0,,-22332000.0,-22332000.0,,-80108000.0,-80108000.0,,,-2925000.0,-2925000.0,,16419000.0,0,16419000.0,16419000.0,,182000
AMN,2024-05-10,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001142750-24-000040,820878000.0,797561000.0,563372000.0,,,797561000.0,257506000.0,,,217561000.0,174842000.0,42719000.0,,,39945000.0,,,17328000.0,23317000.0,,,,,,,5989000.0,,-7661000.0,,,16628000.0,,,,,,17328000.0,0,,17328000.0,,17328000.0,0.0,,0.0,0.45,0.45,38114000.0,38197000.0,,2873597000.0,790746000.0,,,,25281000.0,765465000.0,2082851000.0,,194537000.0,449248000.0,,1439066000.0,2019406000.0,623903000.0,316016000.0,,280513000.0,27374000.0,0.0,,,,,,,,854191000.0,0,854191000.0,,,2873597000.0,81386000.0,81386000.0,,-21399000.0,-21399000.0,,-38973000.0,-38973000.0,,,21014000.0,21014000.0,,17412000.0,0,17412000.0,17412000.0,,84000
AMN,2024-02-22,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001142750-24-000016,3789254000.0,3504965000.0,2539673000.0,,,3504965000.0,1249581000.0,,,911152000.0,756238000.0,154914000.0,,,338429000.0,,,210679000.0,284289000.0,,,,,,,73610000.0,86543000.0,-12933000.0,,,54140000.0,,,,,,210679000.0,0,,210679000.0,,210679000.0,0.0,,0.0,5.38,5.36,39173000.0,39341000.0,,2924394000.0,841685000.0,,,,21889000.0,819796000.0,2082709000.0,,191385000.0,474134000.0,,1417190000.0,2093138000.0,656121000.0,343847000.0,,278536000.0,33738000.0,1437017000.0,1304688000.0,132329000.0,,,,,,831256000.0,0,831256000.0,,,2924394000.0,372165000.0,372165000.0,,-412493000.0,-412493000.0,,10729000.0,10729000.0,,0.0,-29599000.0,-29599000.0,,211195000.0,0,211195000.0,211195000.0,,516000
AMN,2023-11-06,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001142750-23-000030,853463000.0,778078000.0,563957000.0,,,778078000.0,289506000.0,,,202580000.0,163405000.0,39175000.0,,,86926000.0,,,53174000.0,75385000.0,,,,,,,22211000.0,,24275000.0,,,11541000.0,,,,,,53174000.0,0,,53174000.0,,53174000.0,0.0,,0.0,1.39,1.39,38147000.0,38325000.0,,2654766000.0,831120000.0,,,,18364000.0,812756000.0,1823646000.0,,187557000.0,409803000.0,,1226286000.0,1837597000.0,707126000.0,362907000.0,,263697000.0,80522000.0,1130471000.0,,,,,,,,817169000.0,0,817169000.0,,,2654766000.0,172194000.0,172194000.0,,-33903000.0,-33903000.0,,-105022000.0,-105022000.0,,,33269000.0,33269000.0,,53307000.0,0,53307000.0,53307000.0,,133000
AMN,2023-08-04,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001142750-23-000019,991299000.0,911811000.0,661018000.0,,,911811000.0,330281000.0,,,238618000.0,201771000.0,36847000.0,,,91663000.0,,,60906000.0,79488000.0,,,,,,,18582000.0,,-9141000.0,,,12175000.0,,,,,,60906000.0,0,,60906000.0,,60906000.0,0.0,,0.0,1.56,1.55,39151000.0,39341000.0,,2644143000.0,807236000.0,,,,17965000.0,789271000.0,1836907000.0,,177417000.0,432366000.0,,1227124000.0,1877846000.0,673715000.0,327538000.0,,261629000.0,84548000.0,0.0,,,,,,,,766297000.0,0,766297000.0,,,2644143000.0,197667000.0,197667000.0,,-22428000.0,-22428000.0,,-203287000.0,-203287000.0,,,-28048000.0,-28048000.0,,60956000.0,0,60956000.0,60956000.0,,50000
AMN,2023-05-05,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001142750-23-000011,1126223000.0,1010812000.0,757377000.0,,,1010812000.0,368846000.0,,,243176000.0,205599000.0,37577000.0,,,125670000.0,,,84110000.0,115411000.0,,,,,,,31301000.0,,-6639000.0,,,10259000.0,,,,,,84110000.0,0,,84110000.0,,84110000.0,0.0,,0.0,2.03,2.02,41378000.0,41570000.0,,2881063000.0,1071064000.0,,,,26696000.0,1044368000.0,1809999000.0,,155276000.0,454485000.0,,1200238000.0,1925289000.0,803601000.0,473764000.0,,269237000.0,60600000.0,0.0,,,,,,,,955774000.0,0,955774000.0,,,2881063000.0,43434000.0,43434000.0,,-32431000.0,-32431000.0,,-44457000.0,-44457000.0,,0.0,-33454000.0,-33454000.0,,84256000.0,0,84256000.0,84256000.0,,146000
AMN,2023-02-22,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001142750-23-000006,5243242000.0,4636539000.0,3526558000.0,,,4636539000.0,1716684000.0,,,1069583000.0,936576000.0,133007000.0,,,647101000.0,,,444050000.0,606703000.0,,,,,,,162653000.0,187268000.0,-24615000.0,,,40398000.0,,,,,,444050000.0,0,,444050000.0,,444050000.0,0.0,,0.0,9.96,9.9,44591000.0,44870000.0,,2888351000.0,1093645000.0,,,,18708000.0,1074937000.0,1794706000.0,,149276000.0,476832000.0,,1168598000.0,1844717000.0,857933000.0,476452000.0,,333244000.0,48237000.0,986784000.0,843505000.0,143279000.0,,,,,,1043634000.0,0,1043634000.0,,,2888351000.0,653733000.0,653733000.0,,-170710000.0,-170710000.0,,-591865000.0,-591865000.0,,0.0,-108842000.0,-108842000.0,,443406000.0,0,443406000.0,443406000.0,,-644000
AMN,2022-11-04,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001142750-22-000027,1138586000.0,1011179000.0,753560000.0,,,1011179000.0,385026000.0,,,248658000.0,215419000.0,33239000.0,,,136368000.0,,,92445000.0,127407000.0,,,,,,,34962000.0,,-8785000.0,,,8961000.0,,,,,,92445000.0,0,,92445000.0,,92445000.0,0.0,,0.0,2.11,2.1,43785000.0,44039000.0,,3018261000.0,1206166000.0,,,,17019000.0,1189147000.0,1812095000.0,,140995000.0,499067000.0,,1172033000.0,1885628000.0,891246000.0,459237000.0,,338833000.0,93176000.0,994382000.0,,,,,,,,1132633000.0,0,1132633000.0,,,3018261000.0,113728000.0,113728000.0,,-32305000.0,-32305000.0,,-3835000.0,-3835000.0,,0.0,77588000.0,77588000.0,,92226000.0,0,92226000.0,92226000.0,,-219000
