ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
AMST,2025-05-15,2025,Q3,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-25-044301,30690,0.0,,,,718412.0,,,24304.0,718412.0,,,172098.0,546314.0,-687722.0,,,-663418.0,30690.0,,,,,,,,,,,,,,,,,,-663418.0,0,,-663418.0,,-663418.0,0,,0,-0.16,-0.16,4054939.0,4054939.0,,3809216.0,3139124.0,,,,175721.0,2963403.0,670092.0,,45773.0,,,624319.0,210954.0,210954.0,30937.0,,167184.0,12833.0,0,,,,,,,,3598262.0,0,3598262.0,,,3809216.0,-677093.0,-677093.0,,-79600,-79600,,1544640.0,1544640.0,,,787947.0,787947.0,,-663418.0,0,-663418.0,0,,
AMST,2025-02-07,2025,Q2,2024-10-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-25-011338,12760,0.0,,,,1143629.0,,,9232.0,1143629.0,,,211867.0,931762.0,-1130869.0,,,-1121637.0,-1121637.0,,,,,,,,,,,,,,,,,,-1121637.0,0,,-1121637.0,,-1121637.0,0,,0,-0.4,-0.4,2792440.0,,,2136202.0,1445201.0,,,,,,691001.0,,52110.0,,,638891.0,-1247465.0,888737.0,144785.0,,685365.0,58587.0,0,,,,,,,,1247465.0,0,1247465.0,,,2136202.0,-850448.0,-850448.0,,-64599,-64599,,915047.0,915047.0,,,0.0,0.0,,-1121637.0,0,-1121637.0,0,,
AMST,2024-11-14,2025,Q1,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-24-098441,11250,0.0,,,,938594.0,,,19299.0,938594.0,,,139658.0,798936.0,-927344.0,,,-908045.0,-908045.0,,,,,,,,,,,,,,,,,,-908045.0,0,,-908045.0,,-908045.0,0,,0,-0.34,-0.34,2707275.0,,,3171110.0,2431774.0,,,,,,739336.0,,58447.0,,,680889.0,-2328107.0,843003.0,56014.0,,688075.0,98914.0,0,,,,,,,,2328107.0,0,2328107.0,,,3171110.0,-488263.0,-488263.0,,-148000,-148000,,636263.0,636263.0,,,0.0,0.0,,-908045.0,0,-908045.0,0,,
AMST,2024-09-30,2024,FY,2023-07-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-24-083458,166881,0.0,,,,4746532.0,,,176469.0,4746532.0,,,,,-4579651.0,,,-4403182.0,166881.0,,,,,,,,,,,,,,,,,,-4403182.0,0,,-4403182.0,,-4403182.0,0,,0,-1.73,-1.73,2542440.0,,,3314177.0,2604565.0,,,,,,709612.0,,64784.0,,,644828.0,798465.0,798465.0,48907.0,,655275.0,94283.0,0,,,,,,,,2515712.0,0,2515712.0,,,3314177.0,-2813779.0,-2813779.0,,-375866,-375866,,3189645.0,3189645.0,,,0.0,0.0,,-4403182.0,0,-4403182.0,0,,
AMST,2024-05-10,2024,Q3,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-24-041800,34261,0.0,,,,1498045.0,,,,1498045.0,,,,,-1463784.0,,,-1425912.0,34261.0,,,,,,,,,,,,,,,,,,-1425912.0,0,,-1425912.0,,-1425912.0,0,,0,-0.56,-0.56,2542440.0,,,3834688.0,3152686.0,,,,,,682002.0,,71121.0,,,610881.0,211741.0,211741.0,63008.0,,63600.0,85133.0,0,,,,,,,,3622947.0,0,3622947.0,,,3834688.0,-581532.0,-581532.0,,-109400,-109400,,690932.0,690932.0,,,0.0,0.0,,-1425912.0,0,-1425912.0,0,,
AMST,2024-02-14,2024,Q2,2023-10-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-24-014049,41443,0.0,,,,997527.0,,,,997527.0,,,,,-956084.0,,,-905611.0,-905611.0,,,,,,,,,,,,,,,,,,-905611.0,0,,-905611.0,,-905611.0,0,,0,-0.036,-0.036,2542440.0,,,4552316.0,3857563.0,,,,,,694753.0,,77458.0,,,617295.0,-4376352.0,175964.0,64827.0,,39100.0,72037.0,0,,,,,,,,4376352.0,0,4376352.0,,,4552316.0,-919053.0,-919053.0,,-54166,-54166,,973219.0,973219.0,,,0.0,0.0,,-905611.0,0,-905611.0,0,,
AMST,2023-11-13,2024,Q1,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-23-086169,63333,0.0,,,,1013323.0,,,,1013323.0,,,,,-949990.0,,,-890693.0,-890693.0,,,,,,,,,,,,,,,,,,-890693.0,0,,-890693.0,,-890693.0,0,,0,-0.35,-0.35,2542440.0,,,5512155.0,4731901.0,,,,,,780254.0,,82629.0,,,697625.0,-5248830.0,263325.0,78890.0,,,184435.0,0,,,,,,,,5248830.0,0,5248830.0,,,5512155.0,-658779.0,-658779.0,,-65200,-65200,,723979.0,723979.0,,,0.0,0.0,,-890693.0,0,-890693.0,0,,
AMST,2023-10-06,2023,FY,2022-07-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-23-081208,845009,0.0,,,,5069517.0,,,,5069517.0,,,1523547.0,3545970.0,-4224508.0,,,-4153303.0,845009.0,,,,,,,,,,,,,,,,,,-4153303.0,0,,-4153303.0,,-4153303.0,0,,0,-1.68,-1.68,2469890.0,,,6349752.0,5482340.0,,15000.0,,,5467340.0,867412.0,,88966.0,,,778446.0,265327.0,265327.0,70070.0,,64500.0,130757.0,0,,,,,,,,6084425.0,0,6084425.0,,,6349752.0,-3249176.0,-3249176.0,,-396033,-396033,,1850503.0,1850503.0,,,-1794706.0,-1794706.0,,-4153303.0,0,-4153303.0,0,,
AMST,2023-05-15,2023,Q3,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-23-039842,204589,0.0,,,,1150067.0,,,,1150067.0,,,,,-945478.0,,,-927997.0,204589.0,,,,,,,,,,,,,,,,,,-927997.0,0,,-927997.0,,-927997.0,0,,0,-0.37,-0.37,2528845.0,,,,,,,,,,,,,,,,-6957183.0,-6957183.0,,,,,0,,,,,,,,6957183.0,0,6957183.0,,,,-746933.0,-746933.0,,-115693,-115693,,0.0,0.0,,,-862626.0,-862626.0,,-927997.0,0,-927997.0,0,,
AMST,2023-02-17,2023,Q2,2022-10-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-23-012931,237139,0.0,,,,949131.0,,,,949131.0,,,,,-711992.0,,,-699484.0,-699484.0,,,,,,,,,,,,,,,,,,-699484.0,0,,-699484.0,,-699484.0,0,,0,-0.02,-0.02,30305566.0,30305566.0,,8327038.0,7357444.0,,104985.0,,,7252459.0,969594.0,,77377.0,,,892217.0,-7879250.0,447788.0,112863.0,,36200.0,298725.0,0,,,,,,,,7879250.0,0,7879250.0,,,8327038.0,-1026796.0,-1026796.0,,-65672,-65672,,0.0,0.0,,,-1092468.0,-1092468.0,,-699484.0,0,-699484.0,0,,
AMST,2022-11-10,2023,Q1,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-22-071308,280282,0.0,,,,-30519718.0,,,,1862540.0,,,,,30800000.0,,,-1577338.0,-1577338.0,,,,,,,,,,,,,,,,,,-1577338.0,0,,-1577338.0,,-1577338.0,0,,0,-0.06,-0.06,27420362.0,27420362.0,,9389809.0,8310583.0,,66076.0,,,8244507.0,1079226.0,,83674.0,,,995552.0,-8645944.0,743865.0,33904.0,,222132.0,487829.0,0,,,,,,,,8645944.0,0,8645944.0,,,9389809.0,-809766.0,-809766.0,,-112398,-112398,,1850501.0,1850501.0,,,928337.0,928337.0,,-1577338.0,0,-1577338.0,0,,
AMST,2022-09-28,2022,FY,2021-07-01,2022-06-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-22-059740,697001,9756924.0,,,,9756924.0,,,,9753519.0,,,,,-9056518.0,,,-9059923.0,-9059923.0,,,,,,,,,,,,,,,,,,-9059923.0,0,,-9059923.0,,-9059923.0,0,,0,-0.39,-0.39,23269590.0,23269590.0,,8883860.0,7729996.0,,14545.0,,,7715451.0,1153864.0,,87190.0,,,1066674.0,748108.0,748108.0,122285.0,,174056.0,451767.0,0,,,,,,,,8135752.0,0,8135752.0,,,8883860.0,-6715652.0,-6715652.0,,-711622,-711622,,3869550.0,3869550.0,,,-3557724.0,-3557724.0,,-9059923.0,0,-9059923.0,0,,
AMST,2022-05-13,2022,Q3,2022-01-01,2022-03-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-22-026115,209518,2425629.0,,,,2425629.0,,,,2421787.0,,,,,-2212269.0,,,-2216111.0,-2216111.0,,,,,,,0.0,,0.0,,,,,,,,,-2216111.0,0,,-2216111.0,,-2216111.0,0,,0,-0.09,,23802866.0,,,10776001.0,9480910.0,,10795.0,,,9470115.0,1295091.0,,91146.0,,,1203945.0,838813.0,838813.0,412911.0,,180296.0,245606.0,0,,,,,,,,9937188.0,0,9937188.0,,,10776001.0,-1275899.0,-1275899.0,,-78963,-78963,,1354862.0,1354862.0,,,0.0,0.0,,-2216111.0,0,-2216111.0,0,,
AMST,2022-02-18,2022,Q2,2021-10-01,2021-12-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-22-008486,189174,2511503.0,,,,2511503.0,,,,2517024.0,,,,,-2327850.0,,,-2322239.0,-2322239.0,,,,,,,0.0,,0.0,,,,,,,,,-2322329.0,0,,-2322239.0,,-2322239.0,0,,0,-0.11,,,,,9983653.0,8544889.0,,16595.0,,,8528294.0,1438764.0,,91671.0,,,1347093.0,-9229003.0,754650.0,236322.0,,70510.0,447818.0,0,,,,,,,,9229003.0,0,9229003.0,,,9983653.0,-2603549.0,-2603549.0,,-236280,-236280,,2839829.0,2839829.0,,,0.0,0.0,,-2322239.0,0,-2322239.0,0,,
AMST,2021-11-15,2022,Q1,2021-07-01,2021-09-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-21-059346,140691,0.0,,,,2519110.0,,,,2519110.0,,,,,-2378419.0,,,-2378157.0,-2378157.0,,,,,,,17000.0,,17000.0,,,,,,,,,-2378157.0,0,,-2378157.0,,-2378157.0,0,,0,-0.11,,,,,12231295.0,12231295.0,,22925.0,,,12208370.0,0.0,,94603.0,,,,-11106018.0,1125277.0,209871.0,,410728.0,504678.0,0,,,,,,,,11106018.0,0,11106018.0,,,12231295.0,-1209372.0,-1209372.0,,-273147,-273147,,1482519.0,1482519.0,,,0.0,0.0,,-2378157.0,0,-2378157.0,0,,
AMST,2021-09-10,2021,FY,2020-07-01,2021-06-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-21-047257,674580,0.0,,,,8648592.0,,,,8648592.0,,,,,-7974012.0,,,-11586292.0,674580.0,,,,,,,17000.0,,17000.0,,,,,,,,,-11586292.0,0,,-11586292.0,,-11586292.0,0,,0,-0.59,,,,,12476833.0,12476833.0,,51120.0,,,12425713.0,0.0,,100590.0,,,,741743.0,741743.0,139754.0,,199908.0,402081.0,0,,,,,,,,11735090.0,0,11735090.0,,,12476833.0,-5334686.0,-5334686.0,,-842326,-842326,,12796229.0,12796229.0,,,6619217.0,6619217.0,,-11586292.0,0,-11586292.0,0,,
AMST,2021-05-14,2021,Q3,2021-01-01,2021-03-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-21-026408,201394,2524144.0,,,,2524144.0,,,,2524847.0,,,,,-2323453.0,,,-2322750.0,-2322750.0,,,,,,,0.0,,0.0,,,,,,,,,-2322750.0,0,,-2322750.0,,-2322750.0,0,,0,-0.11,,,,,14214073.0,14214073.0,,6900.0,,,14207173.0,0.0,,100222.0,,,,1034918.0,1034918.0,215850.0,,96356.0,722712.0,0,,,,,,,,13179155.0,0,13179155.0,,,14214073.0,-1345153.0,-1345153.0,,-220977,-220977,,1566130.0,1566130.0,,,0.0,0.0,,-2322750.0,0,-2322750.0,0,,
AMST,2021-02-12,2021,Q2,2020-10-01,2020-12-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-21-008960,106812,2394386.0,,,,2394386.0,,,,2394993.0,,,,,-2288181.0,,,-2287574.0,-2287574.0,,,,,,,0.0,,0.0,,,,,,,,,-2287574.0,0,,-2287574.0,,-2287574.0,0,,0,-0.11,,,,,16251472.0,16251472.0,,10440.0,,,16241032.0,0.0,,84976.0,,,,-15280737.0,970735.0,73294.0,,46586.0,850855.0,0,,,,,,,,15280737.0,0,15280737.0,,,16251472.0,-2435867.0,-2435867.0,,-231476,-231476,,2667343.0,2667343.0,,,0.0,0.0,,-2287574.0,0,-2287574.0,0,,
AMST,2020-11-16,2021,Q1,2020-07-01,2020-09-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-20-037381,110109,0.0,,,,1582555.0,,,,1582555.0,,,,,-1472446.0,,,-5086264.0,-5086264.0,,,,,,,17000.0,,17000.0,,,,,,,,,-5086264.0,0,,-5086264.0,,-5086264.0,0,,0,-0.31,,,,,18160964.0,18160964.0,,276750.0,,,17884214.0,0.0,,61667.0,,,,-16561636.0,1599328.0,385999.0,,313311.0,900018.0,0,,,,,,,,16561636.0,0,16561636.0,,,18160964.0,-312890.0,-312890.0,,-222049,-222049,,534939.0,534939.0,,,0.0,0.0,,-5086264.0,0,-5086264.0,0,,
AMST,,,TTM,2024-04-01,2025-03-31,,82544,0.0,,,,4038272.0,,,81662.0,4038272.0,,,,,-3955728.0,,,-3874066.0,-1971148.0,,,,,,,,,,,,,,,,,,-3874066.0,0,,-3874066.0,,-3874066.0,0,,0,-1.36,-1.36,6832433.0,,,3809216.0,3139124.0,,,,175721.0,2963403.0,670092.0,,45773.0,,,624319.0,210954.0,210954.0,30937.0,,167184.0,12833.0,0,,,,,,,,3598262.0,0,3598262.0,,,3809216.0,-2670219.0,-2670219.0,,-439299,-439299,,3897465.0,3897465.0,,,787947.0,787947.0,,-3874066.0,0,-3874066.0,0,,
AMST,,2024,Q4,2024-04-01,2024-06-30,,27844,0.0,,,,1237637.0,,,,1237637.0,,,,,-1209793.0,,,-1180966.0,27844.0,,,,,,,,,,,,,,,,,,-1180966.0,0,,-1180966.0,,-1180966.0,0,,0,-0.45999999999999996,-0.45999999999999996,0.0,,,3314177.0,2604565.0,,,,,,709612.0,,64784.0,,,644828.0,798465.0,798465.0,48907.0,,655275.0,94283.0,0,,,,,,,,2515712.0,0,2515712.0,,,3314177.0,-654415.0,-654415.0,,-147100,-147100,,801515.0,801515.0,,,0.0,0.0,,-1180966.0,0,-1180966.0,0,,
AMST,,2023,Q4,2023-04-01,2023-06-30,,122999,0.0,,,,1107779.0,,,,1107779.0,,,,,-984780.0,,,-948484.0,122999.0,,,,,,,,,,,,,,,,,,-948484.0,0,,-948484.0,,-948484.0,0,,0,-0.3699999999999999,-0.3699999999999999,24045.0,,,6349752.0,5482340.0,,15000.0,,,5467340.0,867412.0,,88966.0,,,778446.0,265327.0,265327.0,70070.0,,64500.0,130757.0,0,,,,,,,,6084425.0,0,6084425.0,,,6349752.0,-665681.0,-665681.0,,-102270,-102270,,2.0,2.0,,,-767949.0,-767949.0,,-948484.0,0,-948484.0,0,,
AMST,,2022,Q4,2022-04-01,2022-06-30,,157618,9756924.0,,,,2299003.0,,,,2295598.0,,,,,-2137980.0,,,-2143416.0,-9599306.0,,,,,,,,,,,,,,,,,,-2143416.0,0,,-2143416.0,,-2143416.0,0,,0,-0.07,,1444902.0,,,8883860.0,7729996.0,,14545.0,,,7715451.0,1153864.0,,87190.0,,,1066674.0,748108.0,748108.0,122285.0,,174056.0,451767.0,0,,,,,,,,8135752.0,0,8135752.0,,,8883860.0,-1626832.0,-1626832.0,,-123232,-123232,,-1807660.0,-1807660.0,,,-3557724.0,-3557724.0,,-2143416.0,0,-2143416.0,0,,
AMST,,2021,Q4,2021-04-01,2021-06-30,,256265,0.0,,,,2146197.0,,,,2146197.0,,,,,-1889932.0,,,-1889704.0,256265.0,,,,,,,0.0,,0.0,,,,,,,,,-1889704.0,0,,-1889704.0,,-1889704.0,0,,0,-0.07999999999999996,,,,,12476833.0,12476833.0,,51120.0,,,12425713.0,0.0,,100590.0,,,,741743.0,741743.0,139754.0,,199908.0,402081.0,0,,,,,,,,11735090.0,0,11735090.0,,,12476833.0,-1240776.0,-1240776.0,,-167824,-167824,,8027817.0,8027817.0,,,6619217.0,6619217.0,,-1889704.0,0,-1889704.0,0,,
