ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
ANSS,2025-04-30,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001013462-25-000017,504891000.0,440362000.0,72569000.0,,,440362000.0,432322000.0,,,373429000.0,230415000.0,37461000.0,137292000.0,,58893000.0,,,51865000.0,64529000.0,,,,,,,12664000.0,,-8038000.0,,,10177000.0,,,,,,51865000.0,0,,51865000.0,,51865000.0,0,,0,0.59,0.59,87653000.0,88127000.0,,7981013000.0,2848832000.0,,,,75420000.0,2773412000.0,5132181000.0,,92733000.0,694235000.0,,4345213000.0,1801538000.0,779103000.0,22249000.0,,46532000.0,710322000.0,1022435000.0,755000000.0,267435000.0,,,,,,6179475000.0,0,6179475000.0,,,7981013000.0,398935000.0,398935000.0,,-30687000.0,-30687000.0,,-68049000.0,-68049000.0,,11213000.0,311412000.0,300199000.0,,90202000.0,0,90202000.0,90202000.0,,38337000.0
ANSS,2025-02-19,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001013462-25-000009,2544809000.0,1826771000.0,279819000.0,,,1826771000.0,2264990000.0,,,1547102000.0,995340000.0,142672000.0,528014000.0,,717888000.0,,,575692000.0,718038000.0,,,,,,,142346000.0,,-80403000.0,,,47849000.0,,,,,,575692000.0,0,,575692000.0,,575692000.0,0,,0,6.59,6.55,87313000.0,87895000.0,,8051431000.0,2831493000.0,,,,58766000.0,2772727000.0,5219938000.0,,89646000.0,716244000.0,,4414048000.0,1964991000.0,941184000.0,27062000.0,,,914122000.0,1023807000.0,755000000.0,268807000.0,,,,,,6086440000.0,0,6086440000.0,,,8051431000.0,795740000.0,795740000.0,,-99562000.0,-99562000.0,,-98544000.0,-98544000.0,,-11092000.0,586542000.0,597634000.0,,518383000.0,0,518383000.0,518383000.0,,-57309000.0
ANSS,2024-11-06,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001013462-24-000028,601892000.0,440637000.0,69109000.0,,,440637000.0,532783000.0,,,371245000.0,233065000.0,35795000.0,132320000.0,5860000.0,161538000.0,,,128192000.0,161255000.0,,,,,,,33063000.0,,-29811000.0,,,12318000.0,,,,,,128192000.0,0,,128192000.0,,128192000.0,0,,0,1.47,1.46,87399000.0,87885000.0,,7608073000.0,2348078000.0,,,,64376000.0,2283702000.0,5259995000.0,,87134000.0,756712000.0,,4416149000.0,1779297000.0,754490000.0,16394000.0,,,738096000.0,1024807000.0,755000000.0,269807000.0,,,,,,5828776000.0,0,5828776000.0,,,7608073000.0,174237000.0,174237000.0,,-36655000.0,-36655000.0,,-7287000.0,-7287000.0,,16804000.0,147099000.0,130295000.0,,177267000.0,0,177267000.0,177267000.0,,49075000.0
ANSS,2024-07-31,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001013462-24-000024,594138000.0,437606000.0,69355000.0,,,437606000.0,524783000.0,,,367367000.0,228623000.0,35997000.0,132624000.0,6120000.0,157416000.0,,,130034000.0,156532000.0,,,,,,,26498000.0,,-40244000.0,,,12238000.0,,,,,,130034000.0,0,,130034000.0,,130034000.0,0,,0,1.49,1.48,87332000.0,87777000.0,,7319615000.0,2091824000.0,,,,65412000.0,2026412000.0,5227791000.0,,86294000.0,776461000.0,,4365036000.0,-5586503000.0,708742000.0,24993000.0,,,683749000.0,1024370000.0,755000000.0,269370000.0,,,,,,5586503000.0,0,5586503000.0,,,7319615000.0,80713000.0,80713000.0,,-14939000.0,-14939000.0,,-14540000.0,-14540000.0,,-2785000.0,48449000.0,51234000.0,,130034000.0,0,121616000.0,0.0,,-8418000.0
ANSS,2024-05-01,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001013462-24-000015,466605000.0,425647000.0,68667000.0,,,425647000.0,397938000.0,,,354599000.0,219643000.0,35536000.0,128811000.0,,43339000.0,,,34778000.0,40958000.0,,,,,,,6180000.0,,-2340000.0,,,12369000.0,,,,,,34778000.0,0,,34778000.0,,34778000.0,0,,0,0.4,0.4,87067000.0,87780000.0,,7150414000.0,1981171000.0,,,,74253000.0,1906918000.0,5169243000.0,,80930000.0,806375000.0,,4281938000.0,-5409643000.0,706574000.0,27899000.0,,39142000.0,639533000.0,1034197000.0,755000000.0,279197000.0,,,,,,5409643000.0,0,5409643000.0,,,7150414000.0,282817000.0,282817000.0,,-34436000.0,-34436000.0,,-54643000.0,-54643000.0,,-3430000.0,190308000.0,193738000.0,,34778000.0,0,12754000.0,0.0,,-22024000.0
ANSS,2024-02-21,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001013462-24-000007,2269949000.0,1677811000.0,271298000.0,,,1677811000.0,1998651000.0,,,1372516000.0,855135000.0,132504000.0,494869000.0,,626135000.0,,,500412000.0,592138000.0,,,,,,,91726000.0,,-91306000.0,,,47145000.0,,,,,,500412000.0,0,,500412000.0,,500412000.0,0,,0,5.76,5.73,86833000.0,87386000.0,,7322875000.0,2049567000.0,,,,48901000.0,2000666000.0,5273308000.0,,77780000.0,835417000.0,,4360111000.0,1932511000.0,889294000.0,22772000.0,,,866522000.0,1043217000.0,755000000.0,288217000.0,,,,,,5390364000.0,0,5390364000.0,,,7322875000.0,717122000.0,717122000.0,,-240042000.0,-240042000.0,,-231319000.0,-231319000.0,,49000.0,245810000.0,245761000.0,,532863000.0,0,532863000.0,532863000.0,,32451000.0
ANSS,2023-11-01,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001013462-23-000055,458795000.0,396250000.0,65257000.0,,,396250000.0,393538000.0,,,323722000.0,194552000.0,33883000.0,123223000.0,5947000.0,69816000.0,,,55502000.0,62545000.0,,,,,,,7043000.0,,-37662000.0,,,12276000.0,,,,,,55502000.0,0,,55502000.0,,55502000.0,0,,0,0.64,0.64,86817000.0,87381000.0,,6673520000.0,1542499000.0,,,,55935000.0,1486564000.0,5131021000.0,,75431000.0,849205000.0,,4206385000.0,1666720000.0,634431000.0,14801000.0,,,619630000.0,1032289000.0,755000000.0,277289000.0,,,,,,5006800000.0,0,5006800000.0,,,6673520000.0,160768000.0,160768000.0,,-4539000.0,-4539000.0,,11421000.0,11421000.0,,-6183000.0,161467000.0,167650000.0,,22668000.0,0,22668000.0,22668000.0,,-32834000.0
ANSS,2023-08-02,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001013462-23-000046,496599000.0,412616000.0,68340000.0,,,412616000.0,428259000.0,,,332635000.0,202142000.0,33009000.0,125023000.0,5470000.0,95624000.0,,,69526000.0,83983000.0,,,,,,,14457000.0,,-33849000.0,,,11560000.0,,,,,,69526000.0,0,,69526000.0,,69526000.0,0,,0,0.8,0.8,86696000.0,87192000.0,,6605252000.0,1414235000.0,,,,54142000.0,1360093000.0,5191017000.0,,78539000.0,884018000.0,,4228460000.0,-4914412000.0,643837000.0,14166000.0,,,629671000.0,1047003000.0,755000000.0,292003000.0,,,,,,4914412000.0,0,4914412000.0,,,6605252000.0,62866000.0,62866000.0,,-87237000.0,-87237000.0,,-3193000.0,-3193000.0,,-2250000.0,-29814000.0,-27564000.0,,69526000.0,0,77529000.0,0.0,,8003000.0
ANSS,2023-05-03,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001013462-23-000028,509447000.0,388609000.0,67652000.0,,,388609000.0,441795000.0,,,314100000.0,188584000.0,32124000.0,120335000.0,,127695000.0,,,100622000.0,120838000.0,,,,,,,20216000.0,,-2915000.0,,,10758000.0,,,,,,100622000.0,0,,100622000.0,,100622000.0,0,,0,1.16,1.15,86930000.0,87431000.0,,6480934000.0,1384076000.0,,,,63399000.0,1320677000.0,5096858000.0,,80825000.0,870544000.0,,4145489000.0,-4782162000.0,650915000.0,21938000.0,,38255000.0,590722000.0,1047857000.0,755000000.0,292857000.0,,,,,,4782162000.0,0,4782162000.0,,,6480934000.0,260766000.0,260766000.0,,-128390000.0,-128390000.0,,-240828000.0,-240828000.0,,1750000.0,-106702000.0,-108452000.0,,100622000.0,0,113906000.0,0.0,,13284000.0
ANSS,2023-02-22,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001013462-23-000013,2065553000.0,1490238000.0,250641000.0,,,1490238000.0,1814912000.0,,,1222254000.0,772871000.0,114563000.0,433661000.0,,592658000.0,,,523710000.0,575315000.0,,,,,,,51605000.0,,-130716000.0,,,22726000.0,,,,,,523710000.0,0,,523710000.0,,523710000.0,0,,0,6.02,5.99,87051000.0,87490000.0,,6687945000.0,1664122000.0,,,,51159000.0,1612963000.0,5023823000.0,,80838000.0,809183000.0,,4133802000.0,1822094000.0,794836000.0,14021000.0,,,780815000.0,1027258000.0,755000000.0,272258000.0,,,,,,4865851000.0,0,4865851000.0,,,6687945000.0,631003000.0,631003000.0,,-411368000.0,-411368000.0,,-245508000.0,-245508000.0,,-27403000.0,-53276000.0,-25873000.0,,457100000.0,0,457100000.0,457100000.0,,-66610000.0
