ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
ATEX,2025-02-11,2025,Q3,2024-10-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001304492-25-000024,1566000.0,-5910000.0,,,,15287000.0,,,,-5466000.0,,142000.0,1120000.0,-6728000.0,7032000.0,,,7710000.0,7476000.0,,,,,,,-234000.0,,-934000.0,,,,,,,,,7710000.0,0,,7710000.0,,7710000.0,0,,0,0.41,0.41,18609736.0,18783445.0,,326679000.0,40281000.0,,,,,,286398000.0,,1579000.0,,,284819000.0,181934000.0,24403000.0,,,,,157531000.0,,,,,,,,144745000.0,0,144745000.0,,,326679000.0,-7699000.0,-7699000.0,,-1717000.0,-1717000.0,,-4893000.0,-4893000.0,,,-14309000.0,-14309000.0,,7710000.0,0,7710000.0,0,,
ATEX,2024-11-13,2025,Q2,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001304492-24-000121,1551000.0,14087000.0,,,,14681000.0,,,,14681000.0,,151000.0,1776000.0,12754000.0,-13130000.0,,,-12766000.0,-12536000.0,,,,,,,230000.0,,332000.0,,,,,,,,,-12766000.0,0,,-12766000.0,,-12766000.0,0,,0,-0.69,-0.69,18586075.0,18586075.0,,317237000.0,56774000.0,,,,,,260463000.0,,1726000.0,,,258737000.0,178174000.0,15807000.0,,,,,0.0,,,,,,,,139063000.0,0,139063000.0,,,317237000.0,-2648000.0,-2648000.0,,-5545000.0,-5545000.0,,-362000.0,-362000.0,,,-8555000.0,-8555000.0,,-12766000.0,0,-12766000.0,0,,
ATEX,2024-08-06,2025,Q1,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001304492-24-000103,1525000.0,15827000.0,,,,16630000.0,,,,16537000.0,,179000.0,1750000.0,14608000.0,-15012000.0,,,-15524000.0,-14302000.0,,,,,,,1222000.0,,1057000.0,,,,,,,,,-15524000.0,0,,-15524000.0,,-15524000.0,0,,0,-0.84,-0.84,18486964.0,18486964.0,,321138000.0,65686000.0,,,,,,255452000.0,,1836000.0,,,253616000.0,172355000.0,16523000.0,,,,,0.0,,,,,,,,148783000.0,0,148783000.0,,,321138000.0,-2361000.0,-2361000.0,,-5400000.0,-5400000.0,,-1071000.0,-1071000.0,,,-8832000.0,-8832000.0,,-15524000.0,0,-15524000.0,0,,
ATEX,2024-06-26,2024,FY,2023-04-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001304492-24-000077,4191000.0,11706000.0,,,,56657000.0,,,,14313000.0,,844000.0,5697000.0,7772000.0,-10122000.0,,,-9128000.0,-7515000.0,,,,,,,1613000.0,772000.0,841000.0,,,,,,,,,-9128000.0,0,,-9128000.0,,-9128000.0,0,,0,-0.49,-0.49,18765190.0,18765190.0,,324894000.0,73011000.0,,,,,,251883000.0,,2062000.0,,,249821000.0,163862000.0,17951000.0,696000.0,,5017000.0,12238000.0,145911000.0,,,,,,,,161032000.0,0,161032000.0,,,324894000.0,41993000.0,41993000.0,,8089000.0,8089000.0,,-25140000.0,-25140000.0,,,24942000.0,24942000.0,,-9128000.0,0,-9128000.0,0,,
ATEX,2024-02-14,2024,Q3,2023-10-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001304492-24-000018,1271000.0,-395000.0,,,,14068000.0,,,,302000.0,,198000.0,1238000.0,,969000.0,,,328000.0,1666000.0,,,,,,,1338000.0,,519000.0,,,,,,,,,328000.0,0,,328000.0,,328000.0,0,,0,0.02,0.02,18704400.0,18916246.0,,320880000.0,77849000.0,,,,,,243031000.0,,2129000.0,,,240902000.0,148616000.0,17263000.0,,,,,131353000.0,,,,,,,,172264000.0,0,172264000.0,,,320880000.0,33640000.0,33640000.0,,-4538000.0,-4538000.0,,-8086000.0,-8086000.0,,,21016000.0,21016000.0,,328000.0,0,328000.0,0,,
ATEX,2023-11-13,2024,Q2,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001304492-23-000061,1052000.0,-1666000.0,,,,14571000.0,,,,-1207000.0,,209000.0,1147000.0,,2259000.0,,,2073000.0,2718000.0,,,,,,,645000.0,,645000.0,,,,,,,,,2073000.0,0,,2073000.0,,2073000.0,0,,0,0.11,0.11,18921126.0,19109394.0,,279876000.0,62112000.0,,,,,,217764000.0,,2323000.0,,,215441000.0,103775000.0,15298000.0,,,,,0.0,,,,,,,,176101000.0,0,176101000.0,,,279876000.0,10422000.0,10422000.0,,20084000.0,20084000.0,,-11005000.0,-11005000.0,,,19501000.0,19501000.0,,2073000.0,0,2073000.0,0,,
ATEX,2023-08-02,2024,Q1,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001304492-23-000043,608000.0,2966000.0,,,,14263000.0,,,,3447000.0,,246000.0,1069000.0,2132000.0,-2839000.0,,,-2118000.0,-2358000.0,,,,,,,-240000.0,,-272000.0,,,,,,,,,-2118000.0,0,,-2118000.0,,-2118000.0,0,,0,-0.11,-0.11,18951046.0,18951046.0,,279328000.0,43836000.0,,,,,,235492000.0,,2541000.0,,,232951000.0,98133000.0,32600000.0,,,,,0.0,,,,,,,,181195000.0,0,181195000.0,,,279328000.0,-8209000.0,-8209000.0,,-5195000.0,-5195000.0,,-745000.0,-745000.0,,,-14149000.0,-14149000.0,,-2118000.0,0,-2118000.0,0,,
ATEX,2023-06-14,2023,FY,2022-04-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001304492-23-000030,1919000.0,16974000.0,0.0,,,56769000.0,,,,18380000.0,,1420000.0,4439000.0,12521000.0,-16461000.0,,,-16317000.0,-15055000.0,,,,,,0.0,1262000.0,44000.0,1218000.0,,,,,,,,,-16317000.0,0,,-16317000.0,,-16317000.0,0,,0,-0.87,-0.87,18841049.0,18841049.0,,278558000.0,59459000.0,,,,,,219099000.0,,3606000.0,,,215493000.0,98765000.0,31900000.0,755000.0,,4271000.0,26874000.0,66865000.0,,,,,,,,179793000.0,0,179793000.0,,,278558000.0,-27250000.0,-27250000.0,,-27130000.0,-27130000.0,,-8062000.0,-8062000.0,,,-62442000.0,-62442000.0,,-16317000.0,0,-16317000.0,0,,
ATEX,2023-02-09,2023,Q3,2022-10-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001304492-23-000005,578000.0,8388000.0,0.0,,,14779000.0,,,,8982000.0,,373000.0,936000.0,7673000.0,-8404000.0,,,-8020000.0,-7810000.0,,,,,,,210000.0,,210000.0,,,,,,,,,-8020000.0,0,,-8020000.0,,-8020000.0,0,,0,-0.42,-0.42,18930594.0,18930594.0,,257606000.0,72468000.0,,,,,,185138000.0,,3342000.0,,,181796000.0,98581000.0,31331000.0,,,,,67250000.0,,,,,,,,159025000.0,0,159025000.0,,,257606000.0,-728000.0,-728000.0,,-8239000.0,-8239000.0,,-3636000.0,-3636000.0,,,-12603000.0,-12603000.0,,-8020000.0,0,-8020000.0,0,,
ATEX,2022-10-31,2023,Q2,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001304492-22-000039,398000.0,10826000.0,,,,13943000.0,,,,11058000.0,,372000.0,980000.0,9706000.0,-10660000.0,,,-10643000.0,-10428000.0,,,,,,,215000.0,,203000.0,,,,,,,,,-10643000.0,0,,-10643000.0,,-10643000.0,0,,0,-0.56,-0.56,18953044.0,18953044.0,,255935000.0,81829000.0,,,,,,174106000.0,,3321000.0,,,170785000.0,89846000.0,29903000.0,,,,,0.0,,,,,,,,166089000.0,0,166089000.0,,,255935000.0,-8116000.0,-8116000.0,,-5717000.0,-5717000.0,,-2509000.0,-2509000.0,,,-16342000.0,-16342000.0,,-10643000.0,0,-10643000.0,0,,
