ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
ATRA,2025-05-15,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-072040,98149000.0,60139000.0,,,,59347000.0,,,,59347000.0,,1795000.0,27433000.0,30119000.0,38802000.0,,,38010000.0,38010000.0,,,,,,,0,,,,,1017000.0,,,,,,38010000.0,0,,38010000.0,,38010000.0,0,,0,3.53,3.5,10764000.0,10851000.0,,62038000.0,27182000.0,,,0.0,,,34856000.0,,285000.0,,,34571000.0,117110000.0,47892000.0,1384000.0,,4599000.0,41909000.0,69218000.0,,,,,,,,-55072000.0,0,-55072000.0,,,62038000.0,-28138000.0,-28138000.0,,17199000.0,17199000.0,,-250000.0,-250000.0,,,-11189000.0,-11189000.0,,38002000.0,0,38002000.0,-8000.0,,
ATRA,2025-03-07,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-035507,128940000.0,214355000.0,,,,212378000.0,,,,212378000.0,,5051000.0,151483000.0,55844000.0,-83438000.0,,,-85403000.0,-85415000.0,,,,,,,-12000,-12000.0,,,,4615000.0,,,,,,-85403000.0,0,,-85403000.0,,-85403000.0,0,,0,-11.41,-11.41,7488000.0,7488000.0,,109098000.0,64894000.0,,,10655000.0,,54239000.0,44204000.0,,1294000.0,,,42910000.0,206381000.0,134574000.0,4367000.0,,6589000.0,123618000.0,71807000.0,,,,,,,,-97283000.0,0,-97283000.0,,,109098000.0,-68717000.0,-68717000.0,,8624000.0,8624000.0,,59282000.0,59282000.0,,,-811000.0,-811000.0,,-85191000.0,0,-85191000.0,212000.0,,
ATRA,2024-11-12,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-125389,40190000.0,62116000.0,,,,61947000.0,,,,61947000.0,,1230000.0,43924000.0,18023000.0,-21757000.0,,,-21909000.0,-21926000.0,,,,,,,-17000,,,,,1183000.0,,,,,,-21909000.0,0,,-21909000.0,,-21909000.0,0,,0,-2.93,-2.93,7466000.0,7466000.0,,142706000.0,91855000.0,,,13980000.0,,77875000.0,50851000.0,,1661000.0,,,49190000.0,233245000.0,155979000.0,2146000.0,,7768000.0,146065000.0,77266000.0,,,,,,,,-90539000.0,0,-90539000.0,,,142706000.0,-3989000.0,-3989000.0,,-16665000.0,-16665000.0,,35793000.0,35793000.0,,,15139000.0,15139000.0,,-21873000.0,0,-21873000.0,-21873000.0,,
ATRA,2024-08-12,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-095533,28640000.0,47689000.0,,,,46871000.0,,,,46871000.0,,1330000.0,33332000.0,13539000.0,-18231000.0,,,-19049000.0,-19049000.0,,,,,,,0,,,,,1262000.0,,,,,,-19049000.0,0,,-19049000.0,,-19049000.0,0,,0,-3.1,-3.1,6143000.0,6143000.0,,117284000.0,62410000.0,,,18749000.0,,43661000.0,54874000.0,,2317000.0,,,52557000.0,228152000.0,148267000.0,5253000.0,,7269000.0,135745000.0,0.0,,,,,,,,-110868000.0,0,-110868000.0,,,117284000.0,-10645000.0,-10645000.0,,7196000.0,7196000.0,,-324000.0,-324000.0,,,-3773000.0,-3773000.0,,-19049000.0,0,-19008000.0,0.0,,
ATRA,2024-05-09,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-056959,27357000.0,59085000.0,,,,58604000.0,,,,58604000.0,,1391000.0,45506000.0,11707000.0,-31247000.0,,,-31752000.0,-31728000.0,,,,,,,24000,,,,,1153000.0,,,,,,-31752000.0,0,,-31752000.0,,-31752000.0,0,,0,-0.23,-0.23,140587000.0,140587000.0,,165272000.0,106434000.0,,,16084000.0,,90350000.0,58838000.0,,2989000.0,,,55849000.0,263580000.0,180690000.0,2854000.0,,5707000.0,172129000.0,0.0,,,,,,,,-98308000.0,0,-98308000.0,,,165272000.0,-29612000.0,-29612000.0,,14717000.0,14717000.0,,24141000.0,24141000.0,,,9246000.0,9246000.0,,-31752000.0,0,-31603000.0,0.0,,
ATRA,2024-03-28,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-037644,8573000.0,284684000.0,,,,284579000.0,,,,284579000.0,,4829000.0,224785000.0,54965000.0,-276006000.0,,,-276126000.0,-276111000.0,,,,,,,15000,15000.0,,,,5285000.0,,,,,,-276126000.0,0,,-276126000.0,,-276126000.0,0,,0,-2.61,-2.61,105912000.0,105912000.0,,165504000.0,101869000.0,,,9706000.0,,92163000.0,63635000.0,,3856000.0,,,59779000.0,264735000.0,142226000.0,3684000.0,,11519000.0,127023000.0,122509000.0,,,,,,,,-99231000.0,0,-99231000.0,,,165504000.0,-192977000.0,-192977000.0,,123866000.0,123866000.0,,2010000.0,2010000.0,,,-67101000.0,-67101000.0,,-274263000.0,0,-274263000.0,1863000.0,,
ATRA,2023-11-01,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-057147,2138000.0,71954000.0,,,,71750000.0,,,,71750000.0,,1209000.0,56888000.0,14862000.0,-69612000.0,,,-69797000.0,-69816000.0,,,,,,,-19000,,,,,1395000.0,,,,,,-69797000.0,0,,-69797000.0,,-69797000.0,0,,0,-0.66,-0.66,106401000.0,106401000.0,,188788000.0,118696000.0,,,6591000.0,,112105000.0,70092000.0,,4628000.0,,,65464000.0,239626000.0,79089000.0,6511000.0,,14430000.0,58148000.0,160537000.0,,,,,,,,-50838000.0,0,-50838000.0,,,188788000.0,-51346000.0,-51346000.0,,70447000.0,70447000.0,,-208000.0,-208000.0,,,18893000.0,18893000.0,,-69435000.0,0,-69435000.0,-69435000.0,,
ATRA,2023-08-08,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-039820,957000.0,72064000.0,,,,72064000.0,,,,72371000.0,,1201000.0,56141000.0,16230000.0,-71414000.0,,,-71108000.0,-71107000.0,,,,,,,1000,,,,,1378000.0,,,,,,-71108000.0,0,,-71108000.0,,-71108000.0,0,,0,-0.68,-0.68,105091000.0,105091000.0,,246439000.0,172320000.0,,,7861000.0,,164459000.0,74119000.0,,5349000.0,,,68770000.0,238985000.0,74552000.0,4138000.0,,12556000.0,57858000.0,0.0,,,,,,,,7454000.0,0,7454000.0,,,246439000.0,-52796000.0,-52796000.0,,49482000.0,49482000.0,,471000.0,471000.0,,,-2843000.0,-2843000.0,,-71108000.0,0,-70804000.0,0.0,,
ATRA,2023-05-08,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-018820,1226000.0,75975000.0,,,,75975000.0,,,,76244000.0,,1214000.0,62156000.0,12874000.0,-75018000.0,,,-74771000.0,-74749000.0,,,,,,,22000,,,,,1336000.0,,,,,,-74771000.0,0,,-74771000.0,,-74771000.0,0,,0,-0.72,-0.72,103969000.0,103969000.0,,302083000.0,224182000.0,,,5340000.0,,218842000.0,77901000.0,,5852000.0,,,72049000.0,237123000.0,67876000.0,5068000.0,,8913000.0,53895000.0,0.0,,,,,,,,64960000.0,0,64960000.0,,,302083000.0,-38429000.0,-38429000.0,,-6007000.0,-6007000.0,,235000.0,235000.0,,,-44201000.0,-44201000.0,,-74771000.0,0,-73941000.0,0.0,,
ATRA,2023-02-08,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-002185,63573000.0,291863000.0,,,,344086000.0,,,,344086000.0,,5653000.0,272533000.0,65900000.0,-280513000.0,,,-228302000.0,-228290000.0,,,,,,,12000,12000.0,,,,,,,,,,-228302000.0,0,,-228302000.0,,-228302000.0,0,,0,-2.24,-2.24,101990000.0,101990000.0,,376420000.0,295080000.0,,,1586000.0,,293494000.0,81340000.0,,6300000.0,,,75040000.0,249780000.0,78916000.0,6871000.0,,17659000.0,54386000.0,170864000.0,,,,,,,,126640000.0,0,126640000.0,,,376420000.0,-270430000.0,-270430000.0,,202956000.0,202956000.0,,53084000.0,53084000.0,,,-14390000.0,-14390000.0,,-230001000.0,0,-230001000.0,-1699000.0,,
