ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
AUBN,2025-05-02,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001193125-25-111182,155000.0,-1767000.0,,,,-1767000.0,,,,-1767000.0,,528000.0,,,1922000.0,,,1530000.0,1922000.0,,,,,,,392000.0,,,,9861000.0,2816000.0,7055000.0,7045000.0,5880000.0,747000.0,-57000.0,1530000.0,0,,1530000.0,,1530000.0,0,,0,0.44,,3493699.0,,0.27,996786000.0,996786000.0,,,,,,0,,45673000.0,,,,913671000.0,913671000.0,,,,,0,,,,,,,,83115000.0,0,83115000.0,,,996786000.0,2627000.0,2627000.0,,8939000.0,8939000.0,,13736000.0,13736000.0,,,25302000.0,25302000.0,,5766000.0,0,5766000.0,4236000.0,,
AUBN,2025-03-11,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001193125-25-051574,614000.0,-7783000.0,,,,-7783000.0,,,,-7783000.0,,1933000.0,,,8397000.0,,,6397000.0,8397000.0,,,,,,,2000000.0,1562000.0,438000.0,,38732000.0,11607000.0,27089000.0,27125000.0,22166000.0,3474000.0,-6000.0,6397000.0,0,,6397000.0,,6397000.0,0,,0,1.83,,3493690.0,,1.08,977324000.0,977324000.0,,,,,,0,,45931000.0,,,,899032000.0,899032000.0,,,,,0,,,,,,,,78292000.0,0,78292000.0,,,977324000.0,10809000.0,10809000.0,,16854000.0,16854000.0,,-5678000.0,-5678000.0,,,21985000.0,21985000.0,,5819000.0,0,5819000.0,-578000.0,,
AUBN,2024-11-01,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001193125-24-249547,154000.0,-2109000.0,,,,-2109000.0,,,,-2109000.0,,500000.0,,,2263000.0,,,1732000.0,2263000.0,,,,,,,531000.0,,,,9959000.0,3169000.0,6917000.0,6790000.0,5500000.0,846000.0,-206000.0,1732000.0,0,,1732000.0,,1732000.0,0,,0,0.5,,3493699.0,,0.27,990143000.0,990143000.0,,,,,,0,,46236000.0,,,,905807000.0,905807000.0,,,,,0,,,,,,,,84336000.0,0,84336000.0,,,990143000.0,1883000.0,1883000.0,,19072000.0,19072000.0,,-45624000.0,-45624000.0,,,-24669000.0,-24669000.0,,10070000.0,0,10070000.0,8338000.0,,
AUBN,2024-08-02,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001193125-24-192937,153000.0,-2056000.0,,,,-2056000.0,,,,-2056000.0,,468000.0,,,2209000.0,,,1734000.0,2209000.0,,,,,,,475000.0,,,,9584000.0,2875000.0,6832000.0,6709000.0,5519000.0,896000.0,-64000.0,1734000.0,0,,1734000.0,,1734000.0,0,,0,0.5,,3493699.0,,0.27,1025054000.0,1025054000.0,,,,,,0,,46618000.0,,,,949845000.0,-75209000.0,,,,,0,,,,,,,,75209000.0,0,75209000.0,,,1025054000.0,3045000.0,3045000.0,,-5402000.0,-5402000.0,,44275000.0,44275000.0,,,41918000.0,41918000.0,,1663000.0,0,1663000.0,-71000.0,,
AUBN,2024-05-08,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001193125-24-134060,156000.0,-1379000.0,,,,-1379000.0,,,,-1379000.0,,434000.0,,,1535000.0,,,1371000.0,1535000.0,,,,,,,164000.0,,,,9229000.0,2572000.0,6323000.0,6657000.0,5675000.0,887000.0,285000.0,1371000.0,0,,1371000.0,,1371000.0,0,,0,0.39,,3493663.0,,0.27,979039000.0,979039000.0,,,,,,0,,46193000.0,,,,904550000.0,-74489000.0,,,,,0,,,,,,,,74489000.0,0,74489000.0,,,979039000.0,3081000.0,3081000.0,,-4383000.0,-4383000.0,,2514000.0,2514000.0,,,1212000.0,1212000.0,,-813000.0,0,-813000.0,-2184000.0,,
AUBN,2024-03-14,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001193125-24-067944,603000.0,-15000.0,,,,-15000.0,,,,-15000.0,,1700000.0,,,618000.0,,,1395000.0,618000.0,,,,,,,-777000.0,-582000.0,-195000.0,,34374000.0,8046000.0,26193000.0,26328000.0,22594000.0,-2981000.0,125000.0,1395000.0,0,,1395000.0,,1395000.0,0,,0,0.4,,3498030.0,,1.08,975255000.0,975255000.0,,,,,,0,,45535000.0,,,,898748000.0,898748000.0,,,,,0,,,,,,,,76507000.0,0,76507000.0,,,975255000.0,11902000.0,11902000.0,,91377000.0,91377000.0,,-59164000.0,-59164000.0,,,44115000.0,44115000.0,,13286000.0,0,13286000.0,11891000.0,,
AUBN,2023-11-07,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001193125-23-272449,148000.0,-1522000.0,,,,-1522000.0,,,,-1522000.0,,420000.0,,,1670000.0,,,1488000.0,1670000.0,,,,,,,182000.0,,,,8643000.0,2371000.0,6167000.0,6272000.0,5362000.0,865000.0,105000.0,1488000.0,0,,1488000.0,,1488000.0,0,,0,0.43,,3496411.0,,0.27,1030724000.0,1030724000.0,,,,,,0,,45666000.0,,,,969273000.0,969273000.0,,,,,0,,,,,,,,61451000.0,0,61451000.0,,,1030724000.0,3318000.0,3318000.0,,-15604000.0,-15604000.0,,12361000.0,12361000.0,,,75000.0,75000.0,,-8453000.0,0,-8453000.0,-9941000.0,,
AUBN,2023-08-08,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001193125-23-206357,154000.0,-2062000.0,,,,-2062000.0,,,,-2062000.0,,435000.0,,,2216000.0,,,1928000.0,2216000.0,,,,,,,288000.0,,,,8393000.0,1505000.0,7250000.0,6888000.0,5825000.0,791000.0,-362000.0,1928000.0,0,,1928000.0,,1928000.0,0,,0,0.55,,3500064.0,,0.27,1026130000.0,1026130000.0,,,,,,0,,45896000.0,,,,955154000.0,-70976000.0,,,,,0,,,,,,,,70976000.0,0,70976000.0,,,1026130000.0,2484000.0,2484000.0,,-9086000.0,-9086000.0,,10282000.0,10282000.0,,,3680000.0,3680000.0,,-1687000.0,0,-1687000.0,-3615000.0,,
AUBN,2023-05-05,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001193125-23-136824,154000.0,-2077000.0,,,,-2077000.0,,,,-2077000.0,,423000.0,,,2231000.0,,,1964000.0,2231000.0,,,,,,,267000.0,,,,8235000.0,1126000.0,7043000.0,7109000.0,5604000.0,792000.0,66000.0,1964000.0,0,,1964000.0,,1964000.0,0,,0,0.56,,3502143.0,,0.27,1017746000.0,1017746000.0,,,,,,0,,46222000.0,,,,944106000.0,-73640000.0,,,,,0,,,,,,,,73640000.0,0,73640000.0,,,1017746000.0,4891000.0,4891000.0,,5961000.0,5961000.0,,-12250000.0,-12250000.0,,,-1398000.0,-1398000.0,,7427000.0,0,7427000.0,5463000.0,,
AUBN,2023-03-17,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001193125-23-074092,598000.0,-12251000.0,,,,-12251000.0,,,,-12251000.0,,1528000.0,,,12849000.0,,,10346000.0,12849000.0,,,,,,,2503000.0,1817000.0,686000.0,,29545000.0,2379000.0,26166000.0,27166000.0,19823000.0,6506000.0,1000000.0,10346000.0,0,,10346000.0,,10346000.0,0,,0,2.95,,3510869.0,,1.06,1023888000.0,1023888000.0,,,,,,0,,46575000.0,,,,955847000.0,955847000.0,,,,,0,,,,,,,,68041000.0,0,68041000.0,,,1023888000.0,10980000.0,10980000.0,,-90958000.0,-90958000.0,,-49027000.0,-49027000.0,,,-129005000.0,-129005000.0,,-31465000.0,0,-31465000.0,-41811000.0,,
