ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
AYRO,2025-05-14,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001641172-25-010337,0.0,,,,,,,,2818563.0,1973552.0,,6703.0,307730.0,1659119.0,-1973552.0,,,845011.0,845011.0,,,,,,,,,,,,,26240.0,26240.0,,,0.0,845011.0,0,,845011.0,,-1675576.0,2520587.0,,2520587.0,-0.2,-0.2,8541466.0,8541466.0,,16155172.0,15733943.0,,,,,,421229.0,,,,,,9784216.0,7147491.0,1657539.0,,,5489952.0,2636725.0,,,,,,,,3006353.0,0,3006353.0,3364603.0,3364603.0,16155172.0,-1476150.0,-1476150.0,,1749462.0,1749462.0,,-273312.0,-273312.0,,,0.0,0.0,,845011.0,0,845011.0,0,,
AYRO,2025-03-31,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001641172-25-001705,63777.0,1819256.0,6650979.0,,,1819256.0,-6587202.0,,17621532.0,12789809.0,,1709985.0,1493202.0,9586622.0,-19377011.0,,,-1755479.0,-1755479.0,,,,,,,,,,,,,484325.0,484325.0,,,0.0,-1755479.0,0,,-1755479.0,,-12436228.0,546886.0,,546886.0,-2.02,-2.02,6170439.0,6170439.0,,21738718.0,21262234.0,,,,,,476484.0,,,,,,9469271.0,4161629.0,1863045.0,,,2298584.0,5307642.0,,,,,,,,4681929.0,0,4681929.0,7587518.0,7587518.0,21738718.0,-13315402.0,-13315402.0,,-3064499.0,-3064499.0,,-10860809.0,-10860809.0,,,-27240710.0,-27240710.0,,-1755479.0,0,-1755479.0,0,,
AYRO,2024-11-14,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001493152-24-045893,5426.0,-545131.0,286028.0,,,-545131.0,-280602.0,,2476566.0,1645407.0,,404521.0,14776.0,1630631.0,-1926009.0,,,550557.0,550557.0,,,,,,,,,,,,,89060.0,89060.0,,,0.0,550557.0,0,,550557.0,,-1697594.0,2248151.0,,2248151.0,-0.25,-0.25,6863234.0,6863234.0,,35925552.0,33377483.0,,,3209892.0,,30167591.0,2548069.0,,1973465.0,,,574604.0,13982144.0,5093285.0,1382260.0,,,3711025.0,8888859.0,,,,,,,,11458286.0,0,11458286.0,10485122.0,10485122.0,35925552.0,-3499948.0,-3499948.0,,6903768.0,6903768.0,,-34092083.0,-34092083.0,,,-30688263.0,-30688263.0,,550557.0,0,550557.0,0,,
AYRO,2024-08-15,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001493152-24-032672,-1074896.0,-7989516.0,1074896.0,,,2884960.0,-1074896.0,,10874476.0,2884960.0,,555395.0,622567.0,2262393.0,-3959856.0,,,6914620.0,6914620.0,,,,,,,,,,,,,140567.0,140567.0,,,0.0,6914620.0,0,,6914620.0,,4368836.0,0.0,,0.0,0.78,0.14,5615725.0,16638755.0,,44996793.0,41993822.0,,,3314008.0,,38679814.0,3002971.0,,2351061.0,,,651910.0,18024488.0,6545276.0,3500916.0,,,3044360.0,0.0,,,,,,,,12831549.0,0,12831549.0,14140756.0,14140756.0,44996793.0,-2152022.0,-2152022.0,,1145405.0,1145405.0,,1006617.0,1006617.0,,,0.0,0.0,,6914620.0,0,6914620.0,0,,
AYRO,2024-05-15,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001493152-24-019973,58351.0,0.0,1183207.0,,,5274305.0,-1124856.0,,1577202.0,4091098.0,,340232.0,760417.0,2990449.0,-5215954.0,,,-3638752.0,-3638752.0,,,,,,,,,,,,,153298.0,153298.0,,,0.0,-3638752.0,0,,-3638752.0,,-7186311.0,0.0,,0.0,-1.46,-1.46,4929490.0,4929490.0,,47872538.0,44325442.0,,,3676501.0,,40648941.0,3547096.0,,2834018.0,,,713078.0,26118912.0,4029873.0,2376161.0,,,1653712.0,0.0,,,,,,,,7012128.0,0,7012128.0,14741498.0,14741498.0,47872538.0,-4682044.0,-4682044.0,,-23298533.0,-23298533.0,,27980577.0,27980577.0,,,0.0,0.0,,-3638752.0,0,-3638752.0,0,,
AYRO,2024-04-01,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001493152-24-012412,498917.0,34659372.0,5133996.0,,,34659372.0,-4635079.0,,-6004027.0,23521349.0,,1093039.0,7418026.0,15010284.0,-28156428.0,,,-34160455.0,-34160455.0,,,,,,,,,,,,,441443.0,441443.0,,,0.0,-34160455.0,0,,-34160455.0,,-39037720.0,4877265.0,,4877265.0,-8.19,-8.19,4764494.0,4764494.0,,52863778.0,48979631.0,,,3431982.0,,45547649.0,3884147.0,,3117164.0,,,766983.0,27532112.0,4309481.0,2456258.0,,,1853223.0,23222631.0,,,,,,,,14137727.0,0,14137727.0,,,52863778.0,-26181465.0,-26181465.0,,8893614.0,8893614.0,,17287851.0,17287851.0,,,0.0,0.0,,-34160455.0,0,-34160455.0,0,,
AYRO,2023-11-20,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001493152-23-042134,88395.0,0.0,231837.0,,,6328371.0,-143441.0,,-6349596.0,6096535.0,,329004.0,1335167.0,4761368.0,-6239976.0,,,-12589572.0,88395.0,,,,,,,,,,,,,35557.0,35557.0,,,0.0,-12589572.0,0,,-12589572.0,,-14198207.0,1608635.0,,1608635.0,-2.99,-2.99,4744229.0,4744229.0,,59798486.0,55491588.0,,,4346610.0,,51144978.0,4306898.0,,3499299.0,,,807599.0,24561228.0,2012060.0,826924.0,,,1185136.0,22549168.0,,,,,,,,27311949.0,0,27311949.0,,,59798486.0,-6408640.0,-6408640.0,,-15504878.0,-15504878.0,,21913518.0,21913518.0,,,0.0,0.0,,-12589572.0,0,-12589572.0,0,,
AYRO,2023-08-14,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001493152-23-028602,139544.0,0.0,332027.0,,,6406017.0,-192483.0,,263240.0,6073990.0,,258546.0,2405398.0,3668592.0,-6266473.0,,,-6003233.0,-6003233.0,,,,,,,,,,,,,,,,,,-6003233.0,0,,-6003233.0,,-6003233.0,0.0,,0.0,-0.16,-0.16,,37476845.0,,43493970.0,39457238.0,,,3049972.0,,36407266.0,4036732.0,,3201260.0,,,835472.0,2405712.0,1804363.0,716236.0,,,1088127.0,0.0,,,,,,,,41088258.0,0,41088258.0,,,43493970.0,-8357325.0,-8357325.0,,-10064245.0,-10064245.0,,18421570.0,18421570.0,,,0.0,0.0,,-6003233.0,0,-6003233.0,0,,
AYRO,2023-05-09,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001493152-23-015858,113084.0,0.0,219792.0,,,5911191.0,-106708.0,,322338.0,5691399.0,,194302.0,2129990.0,3367107.0,-5798107.0,,,-5475769.0,-5475769.0,,,,,,,,,,,,,,,,,,-5475769.0,0,,-5475769.0,,-5475769.0,0.0,,0.0,-0.15,-0.15,,-78290.0,,49307919.0,45527132.0,,,1521662.0,,44005470.0,3780787.0,,2910236.0,,,870551.0,2458558.0,1809832.0,746383.0,,,1063449.0,0.0,,,,,,,,46849361.0,0,46849361.0,,,49307919.0,-6536154.0,-6536154.0,,-569573.0,-569573.0,,7105727.0,7105727.0,,,0.0,0.0,,-5475769.0,0,-5475769.0,0,,
AYRO,2023-03-23,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001493152-23-008631,2990497.0,25925850.0,6043506.0,,,25925850.0,-3053009.0,,341553.0,20223897.0,,762206.0,6845451.0,12616240.0,-23276906.0,,,-22935353.0,-22935353.0,,,,,,,,,,,,,,,,,,-22935353.0,0,,-22935353.0,,-22935353.0,0.0,,0.0,-0.62,,,,,54990084.0,51904663.0,,,970381.0,,50934282.0,3085421.0,,2192337.0,,,893084.0,2931695.0,2237919.0,1107215.0,,,1130704.0,693776.0,,,,,,,,52058389.0,0,52058389.0,,,54990084.0,-18728643.0,-18728643.0,,-11335261.0,-11335261.0,,30063904.0,30063904.0,,,0.0,0.0,,-22935353.0,0,-22935353.0,0,,
