ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
BBSI,2025-05-08,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-066002,292566000.0,294104000.0,249942000.0,,,294104000.0,42624000.0,,2634000.0,46796000.0,44838000.0,1958000.0,,,-4172000.0,,,-1021000.0,-1538000.0,,,,,,,-517000.0,,,,,,,,,,,-1021000.0,0,,-1021000.0,,-1021000.0,0,,0,-0.04,-0.04,25809000.0,25809000.0,0.08,778567000.0,531652000.0,,,,,,246915000.0,,59337000.0,,,187578000.0,565216000.0,437761000.0,7634000.0,,,430127000.0,127455000.0,,,,,,,,213351000.0,0,213351000.0,,,778567000.0,5211000.0,5211000.0,,-31978000.0,-31978000.0,,-12798000.0,-12798000.0,,,-39565000.0,-39565000.0,,2087000.0,0,2087000.0,2087000.0,,
BBSI,2025-02-28,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-029516,1144531000.0,1073709000.0,891280000.0,,,1073709000.0,253251000.0,,11041000.0,193470000.0,185869000.0,7601000.0,,,59781000.0,,,52993000.0,70822000.0,,,,,,,17829000.0,18683000.0,-854000.0,,,,,,,,,52993000.0,0,,52993000.0,,52993000.0,0,,0,2.03,1.98,26076000.0,26708000.0,0.31,745508000.0,475442000.0,,,,,,270066000.0,,56781000.0,,,213285000.0,524104000.0,358896000.0,6787000.0,,,352109000.0,165208000.0,,,,,,,,221404000.0,0,221404000.0,,,745508000.0,10087000.0,10087000.0,,38785000.0,38785000.0,,-41125000.0,-41125000.0,,,7747000.0,7747000.0,,54549000.0,0,54549000.0,54549000.0,,
BBSI,2024-11-07,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-122511,294278000.0,268574000.0,219866000.0,,,268574000.0,74412000.0,,2251000.0,50959000.0,49060000.0,1899000.0,,,23453000.0,,,19628000.0,25704000.0,,,,,,,6076000.0,,,,,,,,,,,19628000.0,0,,19628000.0,,19628000.0,0,,0,0.75,0.74,26052000.0,26620000.0,0.08,725768000.0,452685000.0,,,,,,273083000.0,,55633000.0,,,217450000.0,510382000.0,344879000.0,4222000.0,,,340657000.0,165503000.0,,,,,,,,215386000.0,0,215386000.0,,,725768000.0,-935000.0,-935000.0,,-27984000.0,-27984000.0,,-12362000.0,-12362000.0,,,-41281000.0,-41281000.0,,26432000.0,0,26432000.0,26432000.0,,
BBSI,2024-08-01,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-088744,279651000.0,256191000.0,211754000.0,,,256191000.0,67897000.0,,3052000.0,47489000.0,45577000.0,1912000.0,,,20408000.0,,,16701000.0,23460000.0,,,,,,,6759000.0,,,,,44000.0,,,,,,16701000.0,0,,16701000.0,,16701000.0,0,,0,0.64,0.62,26067000.0,26765000.0,0.075,688587000.0,421474000.0,,,,,,267113000.0,,54240000.0,,,212873000.0,489626000.0,332830000.0,4396000.0,,,328434000.0,0.0,,,,,,,,198961000.0,0,198961000.0,,,688587000.0,-51332000.0,-51332000.0,,42891000.0,42891000.0,,-9392000.0,-9392000.0,,,-17833000.0,-17833000.0,,16701000.0,0,16658000.0,0.0,,
BBSI,2024-05-02,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-051423,265782000.0,267185000.0,226215000.0,,,267185000.0,39567000.0,,3296000.0,44266000.0,42414000.0,1852000.0,,,-4699000.0,,,-136000.0,-1403000.0,,,,,,,-1267000.0,,,,,44000.0,,,,,,-136000.0,0,,-136000.0,,-136000.0,0,,0,-0.02,-0.02,6570000.0,6570000.0,0.075,747800000.0,475295000.0,,,,,,272505000.0,,51222000.0,,,221283000.0,558211000.0,387994000.0,5697000.0,,,382297000.0,0.0,,,,,,,,189589000.0,0,189589000.0,,,747800000.0,8979000.0,8979000.0,,14115000.0,14115000.0,,-10106000.0,-10106000.0,,,12988000.0,12988000.0,,-136000.0,0,-1632000.0,0.0,,
BBSI,2024-03-01,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-024024,1069307000.0,1000319000.0,826775000.0,,,1000319000.0,242532000.0,,8338000.0,181882000.0,174772000.0,7110000.0,,,60650000.0,,,50612000.0,68988000.0,,,,,,,18376000.0,13750000.0,4626000.0,,,166000.0,,,,,,50612000.0,0,,50612000.0,,50612000.0,0,,0,7.52,7.39,6731000.0,6849000.0,1.2,721538000.0,447502000.0,,,,,,274036000.0,,50295000.0,,,223741000.0,522398000.0,343252000.0,6593000.0,,,336659000.0,179146000.0,,,,,,,,199140000.0,0,199140000.0,,,721538000.0,67222000.0,67222000.0,,-55187000.0,-55187000.0,,-44572000.0,-44572000.0,,,-32537000.0,-32537000.0,,57405000.0,0,57405000.0,57405000.0,,
BBSI,2023-11-02,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-057611,273328000.0,248656000.0,204999000.0,,,248656000.0,68329000.0,,2370000.0,46027000.0,44160000.0,1867000.0,,,22302000.0,,,18219000.0,24672000.0,,,,,,,6453000.0,,,,,80000.0,,,,,,18219000.0,0,,18219000.0,,18219000.0,0,,0,2.72,2.68,6699000.0,6795000.0,0.3,690008000.0,427461000.0,,,,,,262547000.0,,48679000.0,,,213868000.0,509562000.0,341109000.0,5268000.0,,,335841000.0,168453000.0,,,,,,,,180446000.0,0,180446000.0,,,690008000.0,33196000.0,33196000.0,,-11184000.0,-11184000.0,,-14171000.0,-14171000.0,,,7841000.0,7841000.0,,14512000.0,0,14512000.0,14512000.0,,
BBSI,2023-08-03,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-037341,264630000.0,240973000.0,197584000.0,,,240973000.0,67046000.0,,2148000.0,45537000.0,43808000.0,1729000.0,,,21509000.0,,,17016000.0,23657000.0,,,,,,,6641000.0,,,,,0.0,,,,,,17016000.0,0,,17016000.0,,17016000.0,0,,0,2.52,2.47,6751000.0,6875000.0,0.3,671904000.0,417655000.0,,,,,,254249000.0,,48354000.0,,,205895000.0,493935000.0,335818000.0,5701000.0,,,330117000.0,0.0,,,,,,,,177969000.0,0,177969000.0,,,671904000.0,3318000.0,3318000.0,,-4322000.0,-4322000.0,,-12460000.0,-12460000.0,,,-13464000.0,-13464000.0,,17016000.0,0,14988000.0,0.0,,
BBSI,2023-05-04,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-017333,254667000.0,253713000.0,213123000.0,,,253713000.0,41544000.0,,2313000.0,42903000.0,41226000.0,1677000.0,,,-1359000.0,,,819000.0,954000.0,,,,,,,135000.0,,,,,38000.0,,,,,,819000.0,0,,819000.0,,819000.0,0,,0,0.12,0.12,6866000.0,6985000.0,0.3,676390000.0,449506000.0,,,,,,226884000.0,,47272000.0,,,179612000.0,502912000.0,338388000.0,5384000.0,,,333004000.0,0.0,,,,,,,,173478000.0,0,173478000.0,,,676390000.0,-26515000.0,-26515000.0,,-2041000.0,-2041000.0,,-10763000.0,-10763000.0,,,-39319000.0,-39319000.0,,819000.0,0,4471000.0,0.0,,
BBSI,2023-03-06,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-006131,1054326000.0,989023000.0,819481000.0,,,989023000.0,234845000.0,,6328000.0,175870000.0,169642000.0,6228000.0,,,58975000.0,,,47268000.0,65303000.0,,,,,,,18035000.0,20212000.0,-2177000.0,,,141000.0,,,,,,47268000.0,0,,47268000.0,,47268000.0,0,,0,6.63,6.54,7130000.0,7226000.0,1.2,686938000.0,454362000.0,,,,,,232576000.0,,45954000.0,,,186622000.0,509096000.0,334731000.0,8264000.0,,,326467000.0,174365000.0,,,,,,,,177842000.0,0,177842000.0,,,686938000.0,27778000.0,27778000.0,,61154000.0,61154000.0,,-60183000.0,-60183000.0,,,28749000.0,28749000.0,,18595000.0,0,18595000.0,18595000.0,,
