ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
BBWI,2025-03-14,2025,TTM,2024-02-04,2025-02-01,https://api.polygon.io/v1/reference/sec/filings/0000701985-25-000011,7307000000.0,6279000000.0,4073000000.0,,,6279000000.0,3234000000.0,,,1968000000.0,1968000000.0,,,,1266000000.0,,,798000000.0,1028000000.0,0.0,,,,,,230000000.0,343000000.0,-113000000.0,,,312000000.0,,,,,,798000000.0,0.0,,798000000.0,,798000000.0,0.0,,0.0,3.62,3.61,220000000.0,221000000.0,0.8,4872000000.0,1823000000.0,,,734000000.0,,1089000000.0,3049000000.0,,1127000000.0,,,1922000000.0,6255000000.0,1231000000.0,338000000.0,,78000000.0,815000000.0,5024000000.0,,,,,,,,-1383000000.0,2000000.0,-1385000000.0,,,4872000000.0,886000000.0,886000000.0,,-162000000.0,-162000000.0,,-1132000000.0,-1132000000.0,,,-408000000.0,-408000000.0,,794000000.0,0.0,794000000.0,-4000000.0,,
BBWI,2025-03-14,2025,FY,2024-02-04,2025-02-01,https://api.polygon.io/v1/reference/sec/filings/0000701985-25-000011,7307000000.0,6279000000.0,4073000000.0,,,6279000000.0,3234000000.0,,,1968000000.0,1968000000.0,,,,1266000000.0,,,798000000.0,1028000000.0,0.0,,,,,,230000000.0,343000000.0,-113000000.0,,,312000000.0,,,,,,798000000.0,0.0,,798000000.0,,798000000.0,0.0,,0.0,3.62,3.61,220000000.0,221000000.0,0.8,4872000000.0,1823000000.0,,,734000000.0,,1089000000.0,3049000000.0,,1127000000.0,,,1922000000.0,6255000000.0,1231000000.0,338000000.0,,78000000.0,815000000.0,5024000000.0,,,,,,,,-1383000000.0,2000000.0,-1385000000.0,,,4872000000.0,886000000.0,886000000.0,,-162000000.0,-162000000.0,,-1132000000.0,-1132000000.0,,,-408000000.0,-408000000.0,,794000000.0,0.0,794000000.0,-4000000.0,,
BBWI,2024-11-26,2025,Q3,2024-08-04,2024-11-02,https://api.polygon.io/v1/reference/sec/filings/0000701985-24-000033,1610000000.0,1465000000.0,910000000.0,,,1465000000.0,700000000.0,,,482000000.0,482000000.0,,,,218000000.0,,,106000000.0,145000000.0,,,,,,,39000000.0,,,,,77000000.0,,,,,,106000000.0,0.0,,106000000.0,,106000000.0,0.0,,0.0,0.49,0.49,218000000.0,219000000.0,0.2,4984000000.0,1720000000.0,,,1178000000.0,,542000000.0,3264000000.0,,1158000000.0,,,2106000000.0,6732000000.0,1575000000.0,510000000.0,,,1065000000.0,5157000000.0,4197000000.0,960000000.0,,,,,,-1748000000.0,1000000.0,-1749000000.0,,,4984000000.0,,,,,,,,,,,,,,105000000.0,0.0,105000000.0,-1000000.0,,
BBWI,2024-06-04,2025,Q1,2024-02-04,2024-05-04,https://api.polygon.io/v1/reference/sec/filings/0000701985-24-000018,1384000000.0,1266000000.0,778000000.0,,,1266000000.0,606000000.0,,,419000000.0,419000000.0,,,,187000000.0,,,87000000.0,118000000.0,,,,,,,31000000.0,,,,,82000000.0,,,,,,87000000.0,0.0,,87000000.0,,87000000.0,0.0,,0.0,0.39,0.38,225000000.0,226000000.0,0.2,5221000000.0,1917000000.0,,,814000000.0,,1103000000.0,3304000000.0,,1183000000.0,,,2121000000.0,6897000000.0,1221000000.0,403000000.0,,,818000000.0,5676000000.0,4282000000.0,1394000000.0,,,,,,-1676000000.0,1000000.0,-1677000000.0,,,5221000000.0,76000000.0,76000000.0,,-46000000.0,-46000000.0,,-259000000.0,-259000000.0,,0.0,-229000000.0,-229000000.0,,86000000.0,0.0,86000000.0,-1000000.0,,
BBWI,2024-03-22,2024,FY,2023-01-29,2024-02-03,https://api.polygon.io/v1/reference/sec/filings/0000701985-24-000010,7429000000.0,6408000000.0,4193000000.0,,,6408000000.0,3236000000.0,,,1951000000.0,1951000000.0,,,,1285000000.0,,,878000000.0,1021000000.0,0.0,,,,,,143000000.0,270000000.0,-127000000.0,,,345000000.0,,,,,,878000000.0,0.0,,878000000.0,,878000000.0,0.0,,0.0,3.86,3.84,228000000.0,229000000.0,0.8,5463000000.0,2115000000.0,,,710000000.0,,1405000000.0,3348000000.0,,1220000000.0,,,2128000000.0,7089000000.0,1289000000.0,380000000.0,,114000000.0,795000000.0,5800000000.0,,,,,,,,-1626000000.0,1000000.0,-1627000000.0,,,5463000000.0,954000000.0,954000000.0,,-286000000.0,-286000000.0,,-815000000.0,-815000000.0,,,-147000000.0,-147000000.0,,875000000.0,0.0,875000000.0,-3000000.0,,
BBWI,2023-12-01,2024,Q3,2023-07-30,2023-10-28,https://api.polygon.io/v1/reference/sec/filings/0000701985-23-000035,1562000000.0,1403000000.0,880000000.0,,,1403000000.0,682000000.0,,,461000000.0,461000000.0,,,,221000000.0,,,119000000.0,159000000.0,,,,,,,40000000.0,,,,,84000000.0,,,,,,119000000.0,0.0,,119000000.0,,119000000.0,0.0,,0.0,0.52,0.52,227000000.0,228000000.0,0.2,5243000000.0,1959000000.0,,,1205000000.0,,754000000.0,3284000000.0,,1244000000.0,,,2040000000.0,7367000000.0,1409000000.0,627000000.0,,,782000000.0,5958000000.0,4497000000.0,1461000000.0,,,,,,-2124000000.0,1000000.0,-2125000000.0,,,5243000000.0,-49000000.0,-49000000.0,,-63000000.0,-63000000.0,,-266000000.0,-266000000.0,,0.0,-378000000.0,-378000000.0,,117000000.0,0.0,117000000.0,-2000000.0,,
BBWI,2023-09-01,2024,Q2,2023-04-30,2023-07-29,https://api.polygon.io/v1/reference/sec/filings/0000701985-23-000030,1559000000.0,1432000000.0,937000000.0,,,1432000000.0,622000000.0,,,434000000.0,434000000.0,,,,188000000.0,,,99000000.0,127000000.0,,,,,,,28000000.0,,,,,86000000.0,,,,,,99000000.0,0.0,,99000000.0,,99000000.0,0.0,,0.0,0.43,0.43,228000000.0,229000000.0,0.2,5195000000.0,1893000000.0,,,818000000.0,,1075000000.0,3302000000.0,,1236000000.0,,,2066000000.0,2154000000.0,1213000000.0,508000000.0,,,705000000.0,0.0,4668000000.0,1468000000.0,,,,,,-2154000000.0,1000000.0,-2155000000.0,,,5195000000.0,33000000.0,33000000.0,,-82000000.0,-82000000.0,,-208000000.0,-208000000.0,,1000000.0,-256000000.0,-257000000.0,,-99000000.0,-198000000.0,99000000.0,-99000000.0,,
BBWI,2023-06-02,2024,Q1,2023-01-29,2023-04-29,https://api.polygon.io/v1/reference/sec/filings/0000701985-23-000018,1396000000.0,1284000000.0,800000000.0,,,1284000000.0,596000000.0,,,415000000.0,415000000.0,,,,181000000.0,,,81000000.0,112000000.0,,,,,,,31000000.0,,,,,89000000.0,,,,,,81000000.0,0.0,,81000000.0,,81000000.0,0.0,,0.0,0.36,0.35,229000000.0,230000000.0,0.2,5363000000.0,2080000000.0,,,771000000.0,,1309000000.0,3283000000.0,,1223000000.0,,,2060000000.0,2170000000.0,1277000000.0,426000000.0,,,851000000.0,0.0,4781000000.0,1475000000.0,,,,,,-2170000000.0,1000000.0,-2171000000.0,,,5363000000.0,44000000.0,44000000.0,,-94000000.0,-94000000.0,,-135000000.0,-135000000.0,,-1000000.0,-186000000.0,-185000000.0,,80000000.0,0.0,80000000.0,-1000000.0,,
BBWI,2023-03-17,2023,FY,2022-01-30,2023-01-28,https://api.polygon.io/v1/reference/sec/filings/0000701985-23-000008,7560000000.0,6515000000.0,4305000000.0,,,6515000000.0,3255000000.0,,,1879000000.0,1879000000.0,,,,1376000000.0,,,794000000.0,1045000000.0,6000000.0,,,,,,251000000.0,236000000.0,15000000.0,,,348000000.0,,,,,,800000000.0,0.0,,800000000.0,,800000000.0,0.0,,0.0,3.45,3.43,232000000.0,233000000.0,0.8,5494000000.0,2266000000.0,,,709000000.0,,1557000000.0,3228000000.0,,1193000000.0,,,2035000000.0,7699000000.0,1379000000.0,455000000.0,,127000000.0,797000000.0,6320000000.0,,,,,,,,-2205000000.0,1000000.0,-2206000000.0,,,5494000000.0,1144000000.0,1144000000.0,,-328000000.0,-328000000.0,,-1562000000.0,-1562000000.0,,,-746000000.0,-746000000.0,,798000000.0,0.0,798000000.0,-2000000.0,,
BBWI,2022-11-30,2023,Q3,2022-07-31,2022-10-29,https://api.polygon.io/v1/reference/sec/filings/0000701985-22-000040,1604000000.0,1485000000.0,926000000.0,,,1485000000.0,678000000.0,,,476000000.0,476000000.0,,,,202000000.0,,,91000000.0,119000000.0,0.0,,,,,,28000000.0,,1000000.0,,,86000000.0,,,,,,91000000.0,0.0,,91000000.0,,91000000.0,0.0,,0.0,0.4,0.4,228000000.0,229000000.0,0.2,5133000000.0,1948000000.0,,,1269000000.0,,679000000.0,3185000000.0,,1121000000.0,,,2064000000.0,7741000000.0,1452000000.0,632000000.0,,,820000000.0,6289000000.0,4860000000.0,1429000000.0,,,,,,-2608000000.0,1000000.0,-2609000000.0,,,5133000000.0,-14000000.0,-14000000.0,,-90000000.0,-90000000.0,,-53000000.0,-53000000.0,,0.0,-157000000.0,-157000000.0,,90000000.0,0.0,90000000.0,-1000000.0,,
