ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
BFIN,2025-04-25,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-25-013015,884000.0,-1629000.0,,,,-1629000.0,,,,-1629000.0,,,,,2513000.0,,,2081000.0,2513000.0,,,,,,,432000.0,,,,16312000.0,394000.0,11791000.0,11495000.0,10912000.0,1634000.0,-296000.0,2081000.0,0,,2081000.0,,2081000.0,0,,0,0.17,,12460678.0,,,1442121000.0,1442121000.0,,,,,,0,,22464000.0,,,,1284626000.0,1284626000.0,,,,,0,,,,,,,,157495000.0,0,157495000.0,,,1442121000.0,-617000.0,-617000.0,,53515000.0,53515000.0,,6676000.0,6676000.0,,,59574000.0,59574000.0,,2364000.0,0,2364000.0,283000.0,,
BFIN,2025-03-24,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-25-008966,3433000.0,-1588000.0,,,,-1588000.0,,,,-1588000.0,,,,,5021000.0,,,4073000.0,5021000.0,,,,,,,948000.0,922000.0,26000.0,,68573000.0,1789000.0,43416000.0,48441000.0,44184000.0,5789000.0,5025000.0,4073000.0,0,,4073000.0,,4073000.0,0,,0,0.33,,12462512.0,,,1434814000.0,1434814000.0,,,,,,0,,22889000.0,,,,1278437000.0,1278437000.0,,,,,0,,,,,,,,156377000.0,0,156377000.0,,,1434814000.0,7564000.0,7564000.0,,-46137000.0,-46137000.0,,-55082000.0,-55082000.0,,,-93655000.0,-93655000.0,,6136000.0,0,6136000.0,2063000.0,,
BFIN,2024-11-05,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-033339,915000.0,-1659000.0,,,,-1659000.0,,,,-1659000.0,,,,,2574000.0,,,1993000.0,2574000.0,,,,,,,581000.0,,,,16886000.0,450000.0,11176000.0,11661000.0,10084000.0,1482000.0,485000.0,1993000.0,0,,1993000.0,,1993000.0,0,,0,0.16,,12460678.0,,,1417660000.0,1417660000.0,,,,,,0,,22674000.0,,,,1258552000.0,1258552000.0,,,,,0,,,,,,,,159108000.0,0,159108000.0,,,1417660000.0,2996000.0,2996000.0,,44727000.0,44727000.0,,-61223000.0,-61223000.0,,,-13500000.0,-13500000.0,,2876000.0,0,2876000.0,883000.0,,
BFIN,2024-07-31,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-024137,834000.0,-2005000.0,,,,-2005000.0,,,,-2005000.0,,,,,2839000.0,,,2134000.0,2839000.0,,,,,,,705000.0,,,,17655000.0,455000.0,12698000.0,12576000.0,11135000.0,1276000.0,-122000.0,2134000.0,0,,2134000.0,,2134000.0,0,,0,0.17,,12460678.0,,,1477690000.0,1477690000.0,,,,,,0,,22765000.0,,,,1320212000.0,-157478000.0,,,,,0,,,,,,,,157478000.0,0,157478000.0,,,1477690000.0,293000.0,293000.0,,23996000.0,23996000.0,,-4951000.0,-4951000.0,,,19338000.0,19338000.0,,2693000.0,0,2693000.0,559000.0,,
BFIN,2024-05-09,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-015676,809000.0,-1401000.0,,,,-1401000.0,,,,-1401000.0,,,,,2210000.0,,,1710000.0,2210000.0,,,,,,,500000.0,,,,17345000.0,4818000.0,12515000.0,12527000.0,11766000.0,1461000.0,12000.0,1710000.0,0,,1710000.0,,1710000.0,0,,0,0.14,,12468052.0,,,1480058000.0,1480058000.0,,,,,,0,,22614000.0,,,,1324027000.0,-156031000.0,,,,,0,,,,,,,,156031000.0,0,156031000.0,,,1480058000.0,9000.0,9000.0,,-39425000.0,-39425000.0,,-6628000.0,-6628000.0,,,-46044000.0,-46044000.0,,2051000.0,0,2051000.0,341000.0,,
BFIN,2024-03-01,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-006272,3318000.0,-9434000.0,,,,-9434000.0,,,,-9434000.0,,,,,12752000.0,,,9393000.0,12752000.0,,,,,,,3359000.0,3012000.0,347000.0,,66155000.0,14326000.0,51516000.0,51829000.0,43181000.0,4417000.0,313000.0,9393000.0,0,,9393000.0,,9393000.0,0,,0,0.74,,12622882.0,,,1487384000.0,1487384000.0,,,,,,0,,22950000.0,,,,1332001000.0,1332001000.0,,,,,0,,,,,,,,155383000.0,0,155383000.0,,,1487384000.0,9221000.0,9221000.0,,197923000.0,197923000.0,,-95431000.0,-95431000.0,,,111713000.0,111713000.0,,12880000.0,0,12880000.0,3487000.0,,
BFIN,2023-10-30,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-029397,836000.0,-2432000.0,,,,-2432000.0,,,,-2432000.0,,,,,3268000.0,,,2369000.0,3268000.0,,,,,,,899000.0,,,,16894000.0,3940000.0,12818000.0,12954000.0,10790000.0,1240000.0,136000.0,2369000.0,0,,2369000.0,,2369000.0,0,,0,0.19,,12578494.0,,,1505454000.0,1505454000.0,,,,,,0,,22914000.0,,,,1351699000.0,1351699000.0,,,,,0,,,,,,,,153755000.0,0,153755000.0,,,1505454000.0,4893000.0,4893000.0,,76873000.0,76873000.0,,-25536000.0,-25536000.0,,,56230000.0,56230000.0,,3182000.0,0,3182000.0,813000.0,,
BFIN,2023-07-28,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-021036,830000.0,-2320000.0,,,,-2320000.0,,,,-2320000.0,,,,,3150000.0,,,2312000.0,3150000.0,,,,,,,838000.0,,,,16178000.0,3235000.0,13131000.0,12943000.0,11220000.0,1239000.0,-188000.0,2312000.0,0,,2312000.0,,2312000.0,0,,0,0.18,,12667129.0,,,1526696000.0,1526696000.0,,,,,,0,,22957000.0,,,,1374393000.0,-152303000.0,,,,,0,,,,,,,,152303000.0,0,152303000.0,,,1526696000.0,2600000.0,2600000.0,,55452000.0,55452000.0,,-19726000.0,-19726000.0,,,38326000.0,38326000.0,,1957000.0,0,1957000.0,-355000.0,,
BFIN,2023-05-02,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-012089,816000.0,-2657000.0,,,,-2657000.0,,,,-2657000.0,,,,,3473000.0,,,2633000.0,3473000.0,,,,,,,840000.0,,,,16160000.0,2660000.0,13452000.0,13500000.0,10292000.0,313000.0,48000.0,2633000.0,0,,2633000.0,,2633000.0,0,,0,0.21,,12721841.0,,,1544110000.0,1544110000.0,,,,,,0,,22955000.0,,,,1391751000.0,-152359000.0,,,,,0,,,,,,,,152359000.0,0,152359000.0,,,1544110000.0,-2275000.0,-2275000.0,,40357000.0,40357000.0,,-27848000.0,-27848000.0,,,10234000.0,10234000.0,,4182000.0,0,4182000.0,1549000.0,,
BFIN,2023-03-09,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-005957,3271000.0,-10564000.0,,,,-10564000.0,,,,-10564000.0,,,,,13835000.0,,,10494000.0,13835000.0,,,,,,,3341000.0,3578000.0,-237000.0,,55296000.0,4481000.0,48987000.0,50815000.0,41128000.0,5976000.0,1828000.0,10494000.0,0,,10494000.0,,10494000.0,0,,0,0.8,,13071742.0,,,1575137000.0,1575137000.0,,,,,,0,,24956000.0,,,,1423466000.0,1423466000.0,,,,,0,,,,,,,,151671000.0,0,151671000.0,,,1575137000.0,9292000.0,9292000.0,,-316772000.0,-316772000.0,,-127913000.0,-127913000.0,,,-435393000.0,-435393000.0,,4302000.0,0,4302000.0,-6192000.0,,
