ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
BJRI,2025-05-05,2026,Q1,2025-01-01,2025-04-01,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-063508,347973000.0,334314000.0,86820000.0,,,333023000.0,261153000.0,,-1291000.0,246203000.0,,,,,14950000.0,,13818000.0,13492000.0,13659000.0,,,,,,-159000.0,167000.0,,,,,,-1230000.0,-1230000.0,,,0,13492000.0,0,,13492000.0,,13492000.0,0,,0,0.59,0.58,22683000.0,23284000.0,,1019847000.0,64079000.0,,16320000.0,,,47759000.0,955768000.0,,510105000.0,,,445663000.0,648366000.0,164458000.0,20368000.0,,,144090000.0,483908000.0,85500000.0,398408000.0,,,,,,371481000.0,0,371481000.0,,,1019847000.0,4621000.0,4621000.0,,-16647000.0,-16647000.0,,4932000.0,4932000.0,,,-7094000.0,-7094000.0,,13492000.0,0,13492000.0,0,,
BJRI,2025-02-26,2024,FY,2024-01-03,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-027899,1357302000.0,1349037000.0,350560000.0,,,1343222000.0,1006742000.0,,-5815000.0,992662000.0,,,,,14080000.0,,8769000.0,16687000.0,8265000.0,,,,,,-504000.0,-8422000.0,3749000.0,-12171000.0,,,,-5484000.0,-5484000.0,,,0,16687000.0,0,,16687000.0,,16687000.0,0,,0,0.72,0.7,23132000.0,23768000.0,,1041064000.0,79565000.0,,20402000.0,,,59163000.0,961499000.0,,510581000.0,,,450918000.0,671047000.0,196309000.0,51011000.0,,,145298000.0,474738000.0,66500000.0,408238000.0,,,,,,370017000.0,0,370017000.0,,,1041064000.0,101472000.0,101472000.0,,-76893000.0,-76893000.0,,-27553000.0,-27553000.0,,,-2974000.0,-2974000.0,,16687000.0,0,16687000.0,0,,
BJRI,2024-11-04,2025,Q3,2024-07-03,2024-10-01,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-120803,325702000.0,328889000.0,86673000.0,,,328310000.0,239029000.0,,-579000.0,241637000.0,,,,,-2608000.0,,-3099000.0,-2927000.0,-3187000.0,,,,,,-88000.0,-260000.0,,,,,,-1342000.0,-1342000.0,,,0,-2927000.0,0,,-2927000.0,,-2927000.0,0,,0,-0.13,-0.13,23111000.0,23111000.0,,1041784000.0,64468000.0,,17503000.0,,,46965000.0,977316000.0,,528125000.0,,,449191000.0,665609000.0,183140000.0,47658000.0,,,135482000.0,482469000.0,66500000.0,415969000.0,,,,,,376175000.0,0,376175000.0,,,1041784000.0,27310000.0,27310000.0,,-19679000.0,-19679000.0,,-5394000.0,-5394000.0,,,2237000.0,2237000.0,,-2927000.0,0,-2927000.0,0,,
BJRI,2024-08-05,2025,Q2,2024-04-03,2024-07-02,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-090952,349927000.0,335193000.0,89836000.0,,,336706000.0,260091000.0,,1513000.0,246870000.0,,,,,13221000.0,,14880000.0,17157000.0,14734000.0,,,,,,-146000.0,-2423000.0,,,,,,-1259000.0,-1259000.0,,,0,17157000.0,0,,17157000.0,,17157000.0,0,,0,0.74,0.72,23309000.0,23921000.0,,1044136000.0,60050000.0,,15616000.0,,,44434000.0,984086000.0,,529190000.0,,,454896000.0,657647000.0,171754000.0,50617000.0,,,121137000.0,0.0,63500000.0,422393000.0,,,,,,386489000.0,0,386489000.0,,,1044136000.0,20202000.0,20202000.0,,-19467000.0,-19467000.0,,-3370000.0,-3370000.0,,,-2635000.0,-2635000.0,,17157000.0,0,17157000.0,0,,
BJRI,2024-05-06,2025,Q1,2024-01-03,2024-04-02,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-053699,337334000.0,329791000.0,84953000.0,,,329076000.0,252381000.0,,-715000.0,244123000.0,,,,,8258000.0,,7690000.0,7723000.0,7543000.0,,,,,,-147000.0,-180000.0,,,,,,-1411000.0,-1411000.0,,,0,7723000.0,0,,7723000.0,,7723000.0,0,,0,0.33,0.32,23318000.0,23965000.0,,1044922000.0,65645000.0,,15165000.0,,,50480000.0,979277000.0,,528105000.0,,,451172000.0,669570000.0,186554000.0,52439000.0,,,134115000.0,0.0,58000000.0,425016000.0,,,,,,375352000.0,0,375352000.0,,,1044922000.0,22330000.0,22330000.0,,-21882000.0,-21882000.0,,-10698000.0,-10698000.0,,,-10250000.0,-10250000.0,,7723000.0,0,7723000.0,0,,
BJRI,2023-11-06,2024,Q3,2023-07-05,2023-10-03,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-059349,318644000.0,322047000.0,82652000.0,,,321031000.0,235992000.0,,-1016000.0,238379000.0,,,,,-2387000.0,,-3374000.0,-3804000.0,-3403000.0,,,,,,-29000.0,401000.0,,,,,,-1013000.0,-1013000.0,,,0,-3804000.0,0,,-3804000.0,,-3804000.0,0,,0,-0.16,-0.16,23542000.0,23542000.0,,1037136000.0,61261000.0,,18385000.0,,,42876000.0,975875000.0,,527686000.0,,,448189000.0,676166000.0,182681000.0,49357000.0,,,133324000.0,493485000.0,60000000.0,433485000.0,,,,,,360970000.0,0,360970000.0,,,1037136000.0,32011000.0,32011000.0,,-29056000.0,-29056000.0,,2957000.0,2957000.0,,,5912000.0,5912000.0,,-3804000.0,0,-3804000.0,0,,
BJRI,2023-08-07,2024,Q2,2023-04-05,2023-07-04,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-039023,349670000.0,339944000.0,90614000.0,,,339458000.0,259056000.0,,-486000.0,248844000.0,,,,,10212000.0,,9786000.0,11932000.0,9726000.0,,,,,,-60000.0,-2206000.0,,,,,,-1108000.0,-1108000.0,,,0,11932000.0,0,,11932000.0,,11932000.0,0,,0,0.51,0.5,23539000.0,23971000.0,,1041261000.0,65774000.0,,33091000.0,,,32683000.0,975487000.0,,522610000.0,,,452877000.0,675215000.0,183881000.0,53816000.0,,,130065000.0,0.0,53000000.0,438334000.0,,,,,,366046000.0,0,366046000.0,,,1041261000.0,9701000.0,9701000.0,,-25946000.0,-25946000.0,,-7000000.0,-7000000.0,,,-23245000.0,-23245000.0,,11932000.0,0,11932000.0,0,,
BJRI,2023-05-08,2024,Q1,2023-01-04,2023-04-04,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-018921,341280000.0,339589000.0,90877000.0,,,338664000.0,250403000.0,,-925000.0,247787000.0,,,,,2616000.0,,1731000.0,3481000.0,1691000.0,,,,,,-40000.0,-1790000.0,,,,,,-1121000.0,-1121000.0,,,0,3481000.0,0,,3481000.0,,3481000.0,0,,0,0.15,0.15,23481000.0,23926000.0,,1044168000.0,77193000.0,,19849000.0,,,57344000.0,966975000.0,,510857000.0,,,456118000.0,692934000.0,189548000.0,51511000.0,,,138037000.0,0.0,60000000.0,443386000.0,,,,,,351234000.0,0,351234000.0,,,1044168000.0,31899000.0,31899000.0,,-26962000.0,-26962000.0,,-512000.0,-512000.0,,,4425000.0,4425000.0,,3481000.0,0,3481000.0,0,,
BJRI,2023-02-28,2022,FY,2021-12-29,2023-01-03,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-004813,1283926000.0,1292234000.0,349645000.0,,,1289406000.0,934281000.0,,-2828000.0,939761000.0,,,,,-5480000.0,,,4076000.0,-8308000.0,,,,,,,-12384000.0,1026000.0,-13410000.0,,,,-2888000.0,-2888000.0,,,0,4076000.0,0,,4076000.0,,4076000.0,0,,0,0.17,0.17,23405000.0,23662000.0,,1045922000.0,82258000.0,,28593000.0,,,53665000.0,963664000.0,,507116000.0,,,456548000.0,700407000.0,196858000.0,59563000.0,,,137295000.0,503549000.0,60000000.0,443549000.0,,,,,,345515000.0,0,345515000.0,,,1045922000.0,51122000.0,51122000.0,,-71907000.0,-71907000.0,,7131000.0,7131000.0,,,-13654000.0,-13654000.0,,4076000.0,0,4076000.0,0,,
BJRI,2022-10-31,2023,Q3,2022-06-29,2022-09-27,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-035872,311348000.0,317107000.0,85010000.0,,,316519000.0,226338000.0,,-588000.0,231509000.0,,,,,-5171000.0,,,-1642000.0,-5759000.0,,,,,,,-4117000.0,,,,,,-645000.0,-645000.0,,,0,-1642000.0,0,,-1642000.0,,-1642000.0,0,,0,-0.07,-0.07,23427000.0,23427000.0,,1017546000.0,61797000.0,,19874000.0,,,41923000.0,955749000.0,,505247000.0,,,450502000.0,678532000.0,184845000.0,51088000.0,,,133757000.0,493687000.0,50000000.0,443687000.0,,,,,,339014000.0,0,339014000.0,,,1017546000.0,3578000.0,3578000.0,,-19756000.0,-19756000.0,,-2404000.0,-2404000.0,,,-18582000.0,-18582000.0,,-1642000.0,0,-1642000.0,0,,
