ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
BKH,2025-05-08,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-066572,805200000.0,650700000.0,,,,650700000.0,,,-50500000.0,600200000.0,,69200000.0,,531000000.0,205000000.0,,,136400000.0,154500000.0,,,,,,,18100000.0,,33200000.0,,,51300000.0,,,,,,136400000.0,2100000.0,,134300000.0,,134300000.0,0,,0,1.87,1.87,71600000.0,71800000.0,0.676,10061200000.0,708100000.0,,,128100000.0,,580000000.0,9353100000.0,,7722000000.0,7300000.0,,1623800000.0,6344100000.0,928900000.0,216800000.0,,58600000.0,653500000.0,5415200000.0,,,,,,,,3717100000.0,82000000.0,3635100000.0,,,10061200000.0,227800000.0,227800000.0,,-155200000.0,-155200000.0,,-81900000.0,-81900000.0,,,-9300000.0,-9300000.0,,137400000.0,2100000.0,135300000.0,1000000.0,,
BKH,2025-02-12,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-018647,2127700000.0,1807700000.0,,,,1807700000.0,,,-183100000.0,1624600000.0,,270100000.0,,1354500000.0,503100000.0,,,283700000.0,320000000.0,,,,,,,36300000.0,15700000.0,52000000.0,,,181700000.0,,,,,,283700000.0,10600000.0,,273100000.0,,273100000.0,0,,0,3.91,3.91,69800000.0,69900000.0,2.6,10022600000.0,742300000.0,,,153900000.0,,588400000.0,9280300000.0,,7629900000.0,7600000.0,,1642800000.0,6437400000.0,763400000.0,229100000.0,,85500000.0,448800000.0,5674000000.0,,,,,,,,3585200000.0,83700000.0,3501500000.0,,,10022600000.0,719300000.0,719300000.0,,-746000000.0,-746000000.0,,-42900000.0,-42900000.0,,,-69600000.0,-69600000.0,,289100000.0,10600000.0,278500000.0,5400000.0,,
BKH,2024-11-07,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-122969,401600000.0,372300000.0,,,,372300000.0,,,-46500000.0,325800000.0,,69300000.0,,256500000.0,75800000.0,,,26400000.0,29300000.0,,,,,,,2900000.0,,3000000.0,,,,,,,,,26400000.0,2000000.0,,24400000.0,,24400000.0,0,,0,0.35,0.35,70500000.0,70600000.0,0.65,9718700000.0,599500000.0,,,155400000.0,,444100000.0,9119200000.0,,7469600000.0,7900000.0,,1641700000.0,6186500000.0,536200000.0,136300000.0,,78800000.0,321100000.0,5650300000.0,,,,,,,,3532200000.0,85600000.0,3446600000.0,,,9718700000.0,102100000.0,102100000.0,,-191300000.0,-191300000.0,,-522900000.0,-522900000.0,,,-612100000.0,-612100000.0,,27100000.0,2000000.0,25100000.0,700000.0,,
BKH,2024-08-01,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-089042,402600000.0,374200000.0,,,,374200000.0,,,-42200000.0,332000000.0,,66600000.0,,265400000.0,70600000.0,,,24700000.0,28400000.0,,,,,,,3700000.0,,19900000.0,,,,,,,,,24700000.0,1900000.0,,22800000.0,,24700000.0,0,,0,0.33,0.33,69000000.0,69000000.0,0.65,10185900000.0,1173600000.0,,,134800000.0,,1038800000.0,9012300000.0,,7355500000.0,8100000.0,,1648700000.0,-3443400000.0,1106800000.0,155200000.0,,68200000.0,883400000.0,0.0,,,,,,,,3443400000.0,0.0,3357300000.0,,,10185900000.0,230600000.0,230600000.0,,-163800000.0,-163800000.0,,435200000.0,435200000.0,,,502000000.0,502000000.0,,25700000.0,1900000.0,23800000.0,1000000.0,,
BKH,2024-05-09,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-056459,726400000.0,577900000.0,,,,577900000.0,,,-44800000.0,533100000.0,,65900000.0,,467200000.0,193300000.0,,,131600000.0,148500000.0,,,,,,,16900000.0,,16700000.0,,,,,,,,,131600000.0,3700000.0,,127900000.0,,131600000.0,0,,0,1.88,1.87,68200000.0,68300000.0,0.65,9676700000.0,797600000.0,,,130600000.0,,667000000.0,8879100000.0,,7223100000.0,8400000.0,,1647600000.0,-3422500000.0,1088400000.0,132600000.0,,52200000.0,903600000.0,0.0,,,,,,,,3422500000.0,0.0,3333900000.0,,,9676700000.0,233400000.0,233400000.0,,-176900000.0,-176900000.0,,-19800000.0,-19800000.0,,,36700000.0,36700000.0,,134100000.0,3700000.0,130400000.0,2500000.0,,
BKH,2024-02-14,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-015090,2331300000.0,2029700000.0,,,,552000000.0,,,-171100000.0,1858600000.0,,,,,472700000.0,,,276000000.0,301600000.0,,,,,,,25600000.0,200000.0,25400000.0,,,167900000.0,,,,,,276000000.0,13800000.0,,262200000.0,,262200000.0,0,,0,3.91,3.91,67000000.0,67100000.0,2.5,9620400000.0,826600000.0,,,160900000.0,,665700000.0,8793800000.0,,7119300000.0,8400000.0,,1666100000.0,6314600000.0,1185100000.0,186400000.0,,74800000.0,923900000.0,5129500000.0,,,,,,,,3305800000.0,90500000.0,3215300000.0,,,9620400000.0,944400000.0,944400000.0,,-536700000.0,-536700000.0,,-341700000.0,-341700000.0,,,66000000.0,66000000.0,,276800000.0,13800000.0,263000000.0,800000.0,,
BKH,2023-11-02,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-057904,407126000.0,351000000.0,,,,351000000.0,,,-41645000.0,309355000.0,,,,,97771000.0,,,48760000.0,56126000.0,,,,,,,7366000.0,,6911000.0,,,,,,,,,48760000.0,3377000.0,,45383000.0,,45383000.0,0,,0,0.67,0.67,67315000.0,67389000.0,0.625,9932928000.0,1240274000.0,,,168079000.0,,1072195000.0,8692654000.0,,7012348000.0,8708000.0,,1671598000.0,6673356000.0,1602672000.0,124033000.0,,65620000.0,1413019000.0,5070684000.0,,,,,,,,3259572000.0,92255000.0,3167317000.0,,,9932928000.0,150981000.0,150981000.0,,-158413000.0,-158413000.0,,449387000.0,449387000.0,,,441955000.0,441955000.0,,49165000.0,3377000.0,45788000.0,405000.0,,
BKH,2023-08-03,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-037718,411283000.0,390828000.0,,,,390828000.0,,,-43061000.0,347767000.0,,,,,63516000.0,,,26544000.0,20455000.0,,,,,,,-6089000.0,,-5655000.0,,,,,,,,,26544000.0,3491000.0,,23053000.0,,26544000.0,0,,0,0.35,0.35,66591000.0,66684000.0,0.625,9409095000.0,802328000.0,,,136534000.0,,665794000.0,8606767000.0,,6919493000.0,9002000.0,,1678272000.0,-3202767000.0,977860000.0,133300000.0,,62031000.0,782529000.0,0.0,,,,,,,,3202767000.0,0.0,3110015000.0,,,9409095000.0,276326000.0,276326000.0,,-143867000.0,-143867000.0,,-19042000.0,-19042000.0,,,113417000.0,113417000.0,,27579000.0,3491000.0,24088000.0,1035000.0,,
BKH,2023-05-04,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-017598,921159000.0,789106000.0,,,,789106000.0,,,-42830000.0,746276000.0,,,,,174883000.0,,,117380000.0,132053000.0,,,,,,,14673000.0,,14858000.0,,,,-43504000.0,-43504000.0,,,0.0,117380000.0,3296000.0,,114084000.0,,114084000.0,0,,0,1.73,1.73,66036000.0,66132000.0,0.625,9460136000.0,918318000.0,,,129960000.0,,788358000.0,8541818000.0,,6837401000.0,9296000.0,,1695121000.0,-3191731000.0,1038911000.0,173221000.0,,48555000.0,817135000.0,0.0,,,,,,,,3191731000.0,0.0,3097947000.0,,,9460136000.0,328745000.0,328745000.0,,-101505000.0,-101505000.0,,-209095000.0,-209095000.0,,,18145000.0,18145000.0,,118600000.0,3296000.0,115304000.0,1220000.0,,
BKH,2023-02-14,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-002759,2551816000.0,2255853000.0,,,,615113000.0,,,-159281000.0,2096572000.0,,,,,455244000.0,,,270758000.0,295963000.0,,,,,,,25205000.0,-387000.0,25592000.0,,,160989000.0,,,,,,270758000.0,12371000.0,,258387000.0,,258387000.0,0,,0,3.98,3.97,64858000.0,65021000.0,2.41,9618230000.0,1071708000.0,,,207421000.0,,864287000.0,8546522000.0,,6797948000.0,9589000.0,,1738985000.0,6528335000.0,1666690000.0,310020000.0,,62890000.0,1293780000.0,4861645000.0,,,,,,,,3089895000.0,94982000.0,2994913000.0,,,9618230000.0,584801000.0,584801000.0,,-603880000.0,-603880000.0,,32254000.0,32254000.0,,,13175000.0,13175000.0,,275275000.0,12371000.0,262904000.0,4517000.0,,
BKH,2022-11-03,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001130464-22-000029,462612000.0,422688000.0,,,,422688000.0,,,-39555000.0,383133000.0,,,,,79479000.0,,,37834000.0,39924000.0,,,,,,,2090000.0,,2202000.0,,,,-40019000.0,-40019000.0,,,0.0,37834000.0,2861000.0,,34973000.0,,34973000.0,0,,0,0.54,0.54,64876000.0,65061000.0,0.595,9322294000.0,849248000.0,,,223162000.0,,626086000.0,8473046000.0,,6697322000.0,9883000.0,,1765841000.0,6338537000.0,969597000.0,187046000.0,,64855000.0,717696000.0,5368940000.0,,,,,,,,2983757000.0,97141000.0,2886616000.0,,,9322294000.0,52257000.0,52257000.0,,-174936000.0,-174936000.0,,124409000.0,124409000.0,,,1730000.0,1730000.0,,40261000.0,2861000.0,37400000.0,2427000.0,,
BKH,2022-08-04,2022,Q2,2022-04-01,2022-06-30,https://api.polygon.io/v1/reference/sec/filings/0001130464-22-000021,474195000.0,439007000.0,,,,439007000.0,,,-37201000.0,401806000.0,,,,,72389000.0,,,35846000.0,35188000.0,,,,,,,-658000.0,,-602000.0,,,,-38764000.0,-38764000.0,,,0.0,35846000.0,2431000.0,,35846000.0,,33415000.0,0,,0,0.52,0.52,64721000.0,64883000.0,0.595,9134562000.0,760427000.0,,,152864000.0,,607563000.0,8374135000.0,,6587152000.0,10177000.0,,1776806000.0,-2982801000.0,785180000.0,185735000.0,,64417000.0,535028000.0,0.0,,,,,,,,2982801000.0,0.0,2885447000.0,,,9134562000.0,177909000.0,177909000.0,,-153541000.0,-153541000.0,,-30353000.0,-30353000.0,,,-5985000.0,-5985000.0,,33108000.0,2431000.0,30677000.0,-2738000.0,,
