ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
BPOP,2025-05-12,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001193125-25-117624,39054000.0,-183511000.0,,,,-183511000.0,,,,-183511000.0,,,,,222565000.0,,222565000.0,177502000.0,222565000.0,,,,,,8621000.0,45063000.0,,,,916998000.0,311401000.0,541516000.0,605597000.0,471012000.0,152061000.0,64081000.0,177502000.0,0,,177502000.0,,177149000.0,353000.0,,353000.0,2.56,2.56,69280137.0,69307681.0,,74038606000.0,74038606000.0,,,,,,0,,625237000.0,6229000.0,,,68238911000.0,68238911000.0,,,,,0,,,,,,,,5799695000.0,0,5799695000.0,,,74038606000.0,172058000.0,172058000.0,,-886914000.0,-886914000.0,,676072000.0,676072000.0,,,-38784000.0,-38784000.0,,348755000.0,0,348755000.0,348755000.0,,171253000.0
BPOP,2024-11-12,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001193125-24-255718,937448000.0,739662000.0,,,,739662000.0,,,,739662000.0,,,,,197786000.0,,197786000.0,155323000.0,197786000.0,,,,,,9852000.0,42463000.0,,,,937448000.0,364975000.0,501025000.0,572473000.0,467321000.0,164082000.0,71448000.0,155323000.0,0,,155323000.0,,154970000.0,353000.0,,353000.0,2.16,2.16,71807136.0,71828402.0,,71323074000.0,71323074000.0,,,,,,0,,624376000.0,7531000.0,,,65532560000.0,65532560000.0,,,,,0,,,,,,,,5790514000.0,0,5790514000.0,,,71323074000.0,233235000.0,233235000.0,,1878158000.0,1878158000.0,,-2042986000.0,-2042986000.0,,,68407000.0,68407000.0,,520611000.0,0,520611000.0,520611000.0,,365288000.0
BPOP,2024-08-09,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001193125-24-197914,921907000.0,703659000.0,,,,703659000.0,,,,703659000.0,,,,,218248000.0,,218248000.0,177789000.0,218248000.0,,,,,,-8921000.0,40459000.0,,,,921907000.0,353595000.0,521518000.0,568312000.0,469576000.0,166306000.0,46794000.0,177789000.0,0,,177789000.0,,177436000.0,353000.0,,353000.0,2.47,2.46,71970773.0,71991911.0,,72845072000.0,72845072000.0,,,,,,0,,599058000.0,8235000.0,,,67472394000.0,-5372678000.0,,,,,0,,,,,,,,5372678000.0,0,5372678000.0,,,72845072000.0,80441000.0,80441000.0,,-1730364000.0,-1730364000.0,,1688903000.0,1688903000.0,,,38980000.0,38980000.0,,232693000.0,0,232693000.0,232693000.0,,54904000.0
BPOP,2024-05-10,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001193125-24-136053,894141000.0,735290000.0,,,,735290000.0,,,,735290000.0,,,,,158851000.0,,158851000.0,103283000.0,158851000.0,,,,,,11792000.0,55568000.0,,,,894141000.0,343397000.0,478146000.0,550744000.0,483113000.0,163818000.0,72598000.0,103283000.0,0,,103283000.0,,102930000.0,353000.0,,353000.0,1.43,1.43,71869735.0,71966803.0,,70936939000.0,70936939000.0,,,,,,0,,588708000.0,8969000.0,,,65759625000.0,-5177314000.0,,,,,0,,,,,,,,5177314000.0,0,5177314000.0,,,70936939000.0,161563000.0,161563000.0,,-357408000.0,-357408000.0,,96549000.0,96549000.0,,,-99296000.0,-99296000.0,,65628000.0,0,65628000.0,65628000.0,,-37655000.0
BPOP,2024-02-29,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001193125-24-053017,3245307000.0,2569768000.0,,,,2569768000.0,,,,2569768000.0,,,,,675539000.0,,675539000.0,541342000.0,675539000.0,,,,,,27450000.0,134197000.0,177336000.0,-43139000.0,,3245307000.0,1113783000.0,1922915000.0,2131524000.0,1898100000.0,650724000.0,208609000.0,541342000.0,0,,541342000.0,,539930000.0,1412000.0,,1412000.0,7.53,7.52,71710265.0,71791692.0,2.27,70758155000.0,70758155000.0,,,,,,0,,565284000.0,9764000.0,,,65611202000.0,65611202000.0,,,,,0,,,,,,,,5146953000.0,0,5146953000.0,,,70758155000.0,686612000.0,686612000.0,,-2613407000.0,-2613407000.0,,1878211000.0,1878211000.0,,,-48584000.0,-48584000.0,,1170739000.0,0,1170739000.0,1170739000.0,,629397000.0
BPOP,2023-11-09,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001193125-23-274342,844786000.0,662318000.0,,,,662318000.0,,,,662318000.0,,,,,182468000.0,,182468000.0,136609000.0,182468000.0,,,,,,10847000.0,45859000.0,,,,844786000.0,310766000.0,488903000.0,534020000.0,465984000.0,159549000.0,45117000.0,136609000.0,0,,136609000.0,,136256000.0,353000.0,,353000.0,1.9,1.9,71794934.0,71818102.0,,69736936000.0,69736936000.0,,,,,,0,,534384000.0,10559000.0,,,65279328000.0,65279328000.0,,,,,0,,,,,,,,4457608000.0,0,4457608000.0,,,69736936000.0,121671000.0,121671000.0,,975031000.0,975031000.0,,-1038164000.0,-1038164000.0,,,58538000.0,58538000.0,,-68898000.0,0,-68898000.0,-68898000.0,,-205507000.0
BPOP,2023-08-09,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001193125-23-207168,794007000.0,599344000.0,,,,599344000.0,,,,599344000.0,,,,,194663000.0,,194663000.0,151160000.0,194663000.0,,,,,,-2081000.0,43503000.0,,,,794007000.0,262339000.0,494476000.0,531668000.0,460284000.0,160471000.0,37192000.0,151160000.0,0,,151160000.0,,150807000.0,353000.0,,353000.0,2.1,2.1,71690396.0,71709203.0,,70838266000.0,70838266000.0,,,,,,0,,523927000.0,11354000.0,,,66273257000.0,-4565009000.0,,,,,0,,,,,,,,4565009000.0,0,4565009000.0,,,70838266000.0,198306000.0,198306000.0,,-3214535000.0,-3214535000.0,,3029743000.0,3029743000.0,,,13514000.0,13514000.0,,124550000.0,0,124550000.0,124550000.0,,-26610000.0
BPOP,2023-05-10,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001193125-23-140853,739022000.0,533729000.0,,,,533729000.0,,,,533729000.0,,,,,205293000.0,,205293000.0,158979000.0,205293000.0,,,,,,8621000.0,46314000.0,,,,739022000.0,207366000.0,484019000.0,531656000.0,440687000.0,161961000.0,47637000.0,158979000.0,0,,158979000.0,,158626000.0,353000.0,,353000.0,2.22,2.22,71541778.0,71606196.0,,67675759000.0,67675759000.0,,,,,,0,,508007000.0,12149000.0,,,63205034000.0,-4470725000.0,,,,,0,,,,,,,,4470725000.0,0,4470725000.0,,,67675759000.0,153046000.0,153046000.0,,172778000.0,172778000.0,,-332797000.0,-332797000.0,,,-6973000.0,-6973000.0,,382082000.0,0,382082000.0,382082000.0,,223103000.0
BPOP,2023-03-01,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001193125-23-056454,2465911000.0,1230940000.0,,,,1230940000.0,,,,1230940000.0,,,,,1234971000.0,,1234971000.0,1102641000.0,1234971000.0,,,,,,29522000.0,132330000.0,165459000.0,-33129000.0,,2465911000.0,298552000.0,2084329000.0,2167359000.0,1746420000.0,897062000.0,83030000.0,1102641000.0,0,,1102641000.0,,1101229000.0,1412000.0,,1412000.0,14.65,14.63,75147263.0,75274003.0,2.2,67637917000.0,67637917000.0,,,,,,0,,498711000.0,12944000.0,,,63544492000.0,63544492000.0,,,,,0,,,,,,,,4093425000.0,0,4093425000.0,,,67637917000.0,1014538000.0,1014538000.0,,5350200000.0,5350200000.0,,-6323091000.0,-6323091000.0,,,41647000.0,41647000.0,,-1097218000.0,0,-1097218000.0,-1097218000.0,,-2199859000.0
BPOP,2022-11-09,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001193125-22-281232,651235000.0,160854000.0,,,,160854000.0,,,,160854000.0,,,,,490381000.0,,490381000.0,422395000.0,490381000.0,,,,,,9395000.0,67986000.0,,,,651235000.0,71616000.0,539982000.0,579619000.0,476095000.0,426494000.0,39637000.0,422395000.0,0,,422395000.0,,422042000.0,353000.0,,353000.0,5.71,5.7,73955184.0,74057332.0,,70729675000.0,70729675000.0,,,,,,0,,492685000.0,13738000.0,,,67054837000.0,67054837000.0,,,,,0,,,,,,,,3674838000.0,0,3674838000.0,,,70729675000.0,322076000.0,322076000.0,,1607091000.0,1607091000.0,,-440033000.0,-440033000.0,,,1489134000.0,1489134000.0,,-348920000.0,0,-348920000.0,-348920000.0,,-771315000.0
