ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued
BRBR,2025-05-06,2025,Q2,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001772016-25-000081,588000000.0,509400000.0,398200000.0,,,509400000.0,189800000.0,,,94700000.0,90500000.0,,,4200000.0,95100000.0,,,58700000.0,78600000.0,,,,,,,19900000.0,,,,,16500000.0,,,,,,58700000.0,0.0,,58700000.0,,58700000.0,0,,0,0.46,0.45,128200000.0,129900000.0,,947500000.0,710600000.0,,266000000.0,385300000.0,,59300000.0,236900000.0,,10200000.0,,,226700000.0,1201600000.0,243400000.0,160600000.0,,,82800000.0,958200000.0,953700000.0,4500000.0,,,,,,-254100000.0,0.0,-254100000.0,,,947500000.0,59400000.0,0.0,59400000.0,700000.0,,,,,,,,,,,,,,,
BRBR,2024-11-19,2024,FY,2023-10-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001772016-24-000108,1996200000.0,1666800000.0,1288900000.0,,,1666800000.0,707300000.0,,,319600000.0,284600000.0,,14300000.0,20700000.0,387700000.0,,,246500000.0,329400000.0,,,,,,,82900000.0,91600000.0,-8700000.0,,,58300000.0,,,,,,246500000.0,0.0,,246500000.0,,246500000.0,0,,0,1.89,1.86,130300000.0,132300000.0,,837000000.0,592700000.0,,220400000.0,286100000.0,,86200000.0,244300000.0,,9200000.0,,,235100000.0,1042900000.0,203700000.0,121000000.0,,,82700000.0,839200000.0,833100000.0,6100000.0,,0.0,,,,-205900000.0,0.0,-205900000.0,0.0,,837000000.0,247600000.0,0.0,247600000.0,1100000.0,,,199600000.0,199600000.0,,-1800000.0,-1800000.0,,-175100000.0,-175100000.0,,0.0,22700000.0,22700000.0,
BRBR,2024-08-06,2024,Q3,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001772016-24-000082,515400000.0,418200000.0,325500000.0,,,418200000.0,189900000.0,,,78300000.0,74000000.0,,,4300000.0,111600000.0,,,73700000.0,97200000.0,,,,,,,23500000.0,,-2200000.0,,,14400000.0,,,,,,73700000.0,0.0,,73700000.0,,73700000.0,0,,0,0.57,0.56,130000000.0,132100000.0,,804100000.0,554200000.0,,230700000.0,237800000.0,,85700000.0,249900000.0,,8200000.0,,,241700000.0,1047300000.0,207900000.0,113900000.0,,,94000000.0,839400000.0,832700000.0,6700000.0,,,,,,-243200000.0,0.0,-243200000.0,,,804100000.0,73600000.0,0.0,73600000.0,-100000.0,,,69000000.0,69000000.0,,-100000.0,-100000.0,,-75400000.0,-75400000.0,,-200000.0,-6700000.0,-6500000.0,
BRBR,2024-05-07,2024,Q2,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001772016-24-000050,494600000.0,418100000.0,330300000.0,,,418100000.0,164300000.0,,,73300000.0,69100000.0,,,4200000.0,91000000.0,,,57200000.0,76500000.0,,,,,,,19300000.0,,-4700000.0,,,14500000.0,,,,,,57200000.0,0.0,,57200000.0,,57200000.0,0,,0,0.44,0.43,131000000.0,133000000.0,,765000000.0,513200000.0,,229400000.0,194100000.0,,89700000.0,251800000.0,,8500000.0,,,243300000.0,1012700000.0,173000000.0,101900000.0,,,71100000.0,839700000.0,832400000.0,7300000.0,,,,,,-247700000.0,0.0,-247700000.0,,,765000000.0,56800000.0,0.0,56800000.0,-400000.0,,,16300000.0,16300000.0,,-300000.0,-300000.0,,-21400000.0,-21400000.0,,-300000.0,-5700000.0,-5400000.0,
BRBR,2024-02-06,2024,Q1,2023-10-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001772016-24-000030,430400000.0,372300000.0,282400000.0,,,372300000.0,148000000.0,,,75000000.0,52800000.0,,,22200000.0,73000000.0,,,43900000.0,58100000.0,,,,,,,14200000.0,,-3300000.0,,,14900000.0,,,,,,43900000.0,0.0,,43900000.0,,43900000.0,0,,0,0.33,0.33,131200000.0,133000000.0,,715500000.0,464800000.0,,178600000.0,187600000.0,,98600000.0,250700000.0,,8600000.0,,,242100000.0,1002400000.0,162500000.0,91300000.0,,,71200000.0,839900000.0,832100000.0,7800000.0,,,,,,-286900000.0,0.0,-286900000.0,,,715500000.0,44700000.0,0.0,44700000.0,800000.0,,,74200000.0,74200000.0,,-200000.0,-200000.0,,-37800000.0,-37800000.0,,400000.0,36600000.0,36200000.0,
BRBR,2023-11-21,2023,FY,2022-10-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001772016-23-000091,1666800000.0,1446400000.0,1136600000.0,,,1446400000.0,530200000.0,,,242900000.0,216300000.0,,12000000.0,14600000.0,287300000.0,,,165500000.0,220400000.0,,,,,,,54900000.0,60900000.0,-6000000.0,,,66900000.0,,,,,,165500000.0,0.0,,165500000.0,,165500000.0,0,,0,1.24,1.23,133000000.0,134100000.0,,691600000.0,424200000.0,,168200000.0,194300000.0,,61700000.0,267400000.0,,8500000.0,,,258900000.0,1015100000.0,150200000.0,89000000.0,,,61200000.0,864900000.0,856800000.0,8100000.0,,0.0,,,,-323500000.0,0.0,-323500000.0,0.0,,691600000.0,166700000.0,0.0,166700000.0,1200000.0,,,215600000.0,215600000.0,,-1800000.0,-1800000.0,,-201700000.0,-201700000.0,,500000.0,12600000.0,12100000.0,
BRBR,2023-08-08,2023,Q3,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001772016-23-000060,445900000.0,387200000.0,309900000.0,,,387200000.0,136000000.0,,,60000000.0,55100000.0,,,4900000.0,76000000.0,,,44300000.0,58700000.0,,,,,,,14400000.0,,-800000.0,,,17300000.0,,,,,,44300000.0,0.0,,44300000.0,,44300000.0,0,,0,0.33,0.33,132400000.0,133800000.0,,722400000.0,450200000.0,,,236200000.0,,214000000.0,272200000.0,,8300000.0,,,263900000.0,1087100000.0,167800000.0,96300000.0,,,71500000.0,919300000.0,910500000.0,8800000.0,,0.0,,,,-364700000.0,0.0,-364700000.0,0.0,,722400000.0,44300000.0,0.0,44300000.0,0.0,,,110400000.0,110400000.0,,-500000.0,-500000.0,,-109100000.0,-109100000.0,,-200000.0,600000.0,800000.0,
BRBR,2023-05-09,2023,Q2,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001772016-23-000035,385600000.0,344400000.0,268500000.0,,,344400000.0,117100000.0,,,59100000.0,54300000.0,,,4800000.0,58000000.0,,,30900000.0,41200000.0,,,,,,,10300000.0,,-2300000.0,,,16800000.0,,,,,,30900000.0,0.0,,30900000.0,,30900000.0,0,,0,0.23,0.23,133400000.0,134500000.0,,772500000.0,497000000.0,,,265500000.0,,231500000.0,275500000.0,,8300000.0,,,267200000.0,1135600000.0,157000000.0,105000000.0,,,52000000.0,978600000.0,970100000.0,8500000.0,,0.0,,,,-363100000.0,0.0,-363100000.0,0.0,,772500000.0,31200000.0,0.0,31200000.0,300000.0,,,-16000000.0,-16000000.0,,-200000.0,-200000.0,,-2300000.0,-2300000.0,,100000.0,-18400000.0,-18500000.0,
BRBR,2023-02-07,2023,Q1,2022-10-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001772016-23-000015,362700000.0,304200000.0,240900000.0,,,304200000.0,121800000.0,,,46600000.0,41700000.0,,,4900000.0,75200000.0,,,44200000.0,58500000.0,,,,,,,14300000.0,,1400000.0,,,16700000.0,,,,,,44200000.0,0.0,,44200000.0,,44200000.0,0,,0,0.33,0.33,134900000.0,135100000.0,,735000000.0,454000000.0,,,212700000.0,,241300000.0,281000000.0,,8500000.0,,,272500000.0,1105300000.0,149100000.0,94400000.0,,,54700000.0,956200000.0,944800000.0,11400000.0,,0.0,,,,-370300000.0,0.0,-370300000.0,0.0,,735000000.0,45700000.0,0.0,45700000.0,1500000.0,,,36300000.0,36300000.0,,-300000.0,-300000.0,,-28400000.0,-28400000.0,,500000.0,8100000.0,7600000.0,
BRBR,2022-11-17,2022,FY,2021-10-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001772016-22-000061,1371500000.0,1225900000.0,949700000.0,,,1225900000.0,421800000.0,,,209400000.0,189700000.0,,11400000.0,8300000.0,212400000.0,,,116000000.0,145600000.0,,,,,,,29600000.0,33600000.0,-4000000.0,,,49200000.0,,,,,,116000000.0,33700000.0,,82300000.0,,82300000.0,0,,0,0.88,0.88,93500000.0,93800000.0,,707200000.0,421300000.0,,173300000.0,199800000.0,,48200000.0,285900000.0,,8000000.0,,,277900000.0,1083400000.0,143500000.0,93800000.0,,,49700000.0,939900000.0,929500000.0,10400000.0,,0.0,,,,-376200000.0,0.0,-376200000.0,0.0,,707200000.0,119800000.0,38300000.0,81500000.0,3800000.0,,,21000000.0,21000000.0,,-1800000.0,-1800000.0,,-135000000.0,-135000000.0,,-1000000.0,-116800000.0,-115800000.0,
