ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
BTBD,2025-05-14,2025,Q1,2024-12-30,2025-03-30,https://api.polygon.io/v1/reference/sec/filings/0001477932-25-003689,3231073.0,3560922.0,,,,3523269.0,,,,3523269.0,,156395,,3366874.0,-292196.0,,-195549.0,-329849.0,-329849.0,,,,,,-134300.0,0,,,,,21554,,,,,,329849.0,659698,,-329849.0,,-329849.0,0,,0,,,,,,11003980.0,4458423.0,,35431,238247,,4184745.0,6545557.0,,3281326.0,348174.0,,2916057.0,4337602.0,968329.0,280262,,,688067,3369273.0,,,,,,,,6666378.0,0,6666378.0,,,11003980.0,-306739.0,-306739.0,,-527705.0,-527705.0,,-46870.0,-46870.0,,,-881314.0,-881314.0,,329849.0,0,329849.0,0,,
BTBD,2025-03-31,2024,FY,2024-01-01,2024-12-29,https://api.polygon.io/v1/reference/sec/filings/0001477932-25-002248,14823472.0,16928680.0,,,,16655780.0,,,,16655780.0,,742860,,15912920.0,-1832308.0,,-1690123.0,-2311208.0,-2105208.0,,,,,,-415085.0,206000,0.0,,,,99906,,,,,,-2311208.0,0,,-2311208.0,,-2311208.0,0,,0,,,,,,11996797.0,4999404.0,,69459,272603,,4657342.0,6997393.0,,3343340.0,367799.0,,3286254.0,5031570.0,1442935.0,612059,,,830876,3588635.0,2307143.0,,,,,,,6965227.0,0,6965227.0,,,11996797.0,-723505.0,-723505.0,,-2184677.0,-2184677.0,,-440849.0,-440849.0,,,-3349031.0,-3349031.0,,-2311208.0,0,-2311208.0,0,,
BTBD,2024-11-13,2024,Q3,2024-07-01,2024-09-29,https://api.polygon.io/v1/reference/sec/filings/0001477932-24-007110,4348824.0,4582303.0,,,,4423835.0,,,,4423835.0,,141527,,4282308.0,-75011.0,,,-247479.0,-233479.0,,,,,,,14000,,,,,22552,,,,,,-219479.0,0,,-219479.0,,-219479.0,0,,0,,,,,,13680060.0,5733588.0,,49390,289199,,5394999.0,7946472.0,,3699988.0,423205.0,,3823279.0,5175346.0,1457071.0,588968,,,868103,3718275.0,,,,,,,,8504714.0,0,8504714.0,,,13680060.0,,,,,,,,,,,,,,-219479.0,0,-219479.0,0,,
BTBD,2024-05-15,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001477932-24-002958,3190147.0,3753347.0,,,,3820976.0,,,,3820976.0,,160542,,3660434.0,-630829.0,,-657700.0,-680700.0,-563200.0,,,,,,94500.0,117500,,,,,27488,,,,,,-445700.0,0,,-445700.0,,-445700.0,0,,0,,,,,,14001317.0,6702564.0,,13263,226218,,6463083.0,7298753.0,,3225456.0,,,4073297.0,5204288.0,1415187.0,629504,,,785683,3789101.0,,,,,,,,8797029.0,0,8797029.0,,,14001317.0,-408875.0,-408875.0,,-62319.0,-62319.0,,-160957.0,-160957.0,,,-632151.0,-632151.0,,-445700.0,0,-445700.0,0,,
BTBD,2024-04-01,2023,FY,2023-01-02,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001477932-24-001711,14076653.0,15109021.0,,,,15149242.0,,,,15149242.0,,598540,,14550702.0,-1072589.0,,-1378748.0,-1177368.0,-1032368.0,,,,,,346380.0,145000,0.0,,,,97608,,,,,,-887368.0,0,,-887368.0,,-887368.0,0,,0,,,,,,14609212.0,7228573.0,,28737,201333,,6998503.0,7380639.0,,3247013.0,,,4133626.0,5420483.0,1550090.0,555247,,,994843,3870393.0,2489299.0,1381094.0,,,,,,9188729.0,0,9188729.0,,,14609212.0,-258787.0,-258787.0,,4713044.0,4713044.0,,-1304389.0,-1304389.0,,,3149868.0,3149868.0,,-887368.0,0,-887368.0,0,,
BTBD,2023-08-16,2024,Q2,2023-04-03,2023-07-02,https://api.polygon.io/v1/reference/sec/filings/0001477932-23-006216,3999965.0,4285699.0,,,,4079513.0,,,,4079513.0,,192520,,3886993.0,-79548.0,,-376385.0,-233734.0,-285734.0,,,,,,90651.0,-52000,,,,,24376,,,,,,-233734.0,0,,-233734.0,,-233734.0,0,,0,,,,,,15149733.0,7482184.0,,35412,191206,,7255566.0,7667549.0,,3276683.0,411713.0,,3979153.0,5545556.0,1542097.0,639226,,,902871,0.0,,,,,,,,9604177.0,0,9604177.0,,,15149733.0,362512.0,362512.0,,-107109.0,-107109.0,,-44925.0,-44925.0,,,210478.0,210478.0,,-233734.0,0,-233734.0,0,,
BTBD,2022-11-15,2023,Q3,2022-07-04,2022-10-02,https://api.polygon.io/v1/reference/sec/filings/0001477932-22-008574,4023920.0,4198826.0,,,,4014929.0,,,,4014929.0,,127883,,3887045.0,8991.0,,-53265.0,-174906.0,-174906.0,,,,,,-121641.0,0,,,,,33638,,,,,,-174906.0,0,,-174906.0,,-174906.0,0,,0,,,,,,15924591.0,8077895.0,,57603,150814,,7869478.0,7846696.0,,3541493.0,,,4305203.0,5343603.0,1240361.0,354486,,,885875,4103242.0,,,,,,,,10580988.0,0,10580988.0,,,15924591.0,-13564.0,-13564.0,,-1074981.0,-1074981.0,,-41703.0,-41703.0,,,-1130248.0,-1130248.0,,-174906.0,0,-174906.0,0,,
BTBD,2022-08-16,2023,Q2,2022-04-04,2022-07-03,https://api.polygon.io/v1/reference/sec/filings/0001477932-22-006162,3524881.0,3640156.0,,,,3529029.0,,,,3529029.0,,109286,,3419743.0,-4148.0,,-101103.0,-92275.0,-115275.0,,,,,,-14172.0,-23000,,,,,26190,,,,,,-92275.0,0,,-92275.0,,-92275.0,0,,0,,,,,,15931986.0,9060122.0,,36068,146892,,8877162.0,6871864.0,,2961807.0,425000.0,,3485057.0,5204992.0,1387593.0,498257,,,889336,0.0,,,,,,,,10726994.0,0,10726994.0,,,15931986.0,160674.0,160674.0,,-2896569.0,-2896569.0,,-41798.0,-41798.0,,,-2777693.0,-2777693.0,,-92275.0,0,-92275.0,0,,
BTBD,2022-05-18,2023,Q1,2022-01-03,2022-04-03,https://api.polygon.io/v1/reference/sec/filings/0001477932-22-003640,2073195.0,2012545.0,,,,1984274.0,,,,1984274.0,,69415,,1914859.0,88921.0,,60650.0,42650.0,60650.0,,,,,,0.0,18000,,,,,28271,,,,,,-42650.0,-85300,,42650.0,,42650.0,0,,0,,,,,,15414133.0,11492535.0,,15830,97850,,11378855.0,3921598.0,,2411600.0,,,1509998.0,4634764.0,1167919.0,403328,,,764591,0.0,,,0.0,,,,,10779369.0,0,10779369.0,,,15414133.0,337394.0,337394.0,,-1682010.0,-1682010.0,,32629.0,32629.0,,,-1311987.0,-1311987.0,,-42650.0,0,-42650.0,0,,
BTBD,2022-03-17,2022,FY,2021-01-04,2022-01-02,https://api.polygon.io/v1/reference/sec/filings/0001477932-22-001454,8451870.0,7644019.0,,,,7471158.0,,,,7471158.0,,234027,,7237131.0,980712.0,,,607851.0,807851.0,,,,,,,200000,199000.0,0.0,,,172861,,,,0.0,,607851.0,0,,607851.0,,607851.0,0,,0,,,,,,14505727.0,12564579.0,,72251,79510,,12412818.0,1941148.0,,1592338.0,,,348810.0,3877347.0,925310.0,291973,,,633337,2952037.0,3049971.0,,,,,,,10628353.0,0,10628353.0,,,14505727.0,813955.0,813955.0,,-207920.0,-207920.0,,10458353.0,10458353.0,,,11064388.0,11064388.0,,607851.0,0,607851.0,0,,
