ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
BX,2025-05-02,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001193125-25-111595,3289458000.0,1836857000.0,,,,1894432000.0,,,,1894432000.0,,,,,1395026000.0,,1312101000.0,1208774000.0,1452601000.0,,,,,,140500000.0,243827000.0,,,,,118115000.0,,,,,,1208774000.0,100547000.0,,614852000.0,7900000.0,614852000.0,0,,0,0.8,0.8,771796385.0,772434602.0,,45255629000.0,45255629000.0,,,,,,0,,513583000.0,,,,25390726000.0,25390726000.0,,,,,0,12583600000.0,,,1382374000.0,,,,18482529000.0,10504409000.0,7978120000.0,1382374000.0,,45255629000.0,1109218000.0,1109218000.0,,-29278000.0,-29278000.0,,139235000.0,139235000.0,,4570000.0,1223745000.0,1219175000.0,,1285245000.0,659094000.0,626151000.0,76471000.0,,
BX,2024-08-02,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001193125-24-192846,2796381000.0,1587772000.0,,,,1632706000.0,,,,1632706000.0,,,,,1163675000.0,,1067509000.0,948363000.0,1208609000.0,,,,,,141100000.0,260246000.0,,,,,108616000.0,,,,,,948363000.0,100583000.0,,444414000.0,258000.0,444414000.0,0,,0,0.58,0.58,769187351.0,769234677.0,,40585029000.0,40585029000.0,,,,,,0,,521935000.0,,,,21910734000.0,21910734000.0,,,,,0,10824342000.0,,,888868000.0,,,,17785427000.0,10951854000.0,6833573000.0,888868000.0,,40585029000.0,1158561000.0,1158561000.0,,-12380000.0,-12380000.0,,-1216512000.0,-1216512000.0,,-1022000.0,-71353000.0,-70331000.0,,939960000.0,498881000.0,441079000.0,-8403000.0,,
BX,2024-05-03,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001193125-24-130670,3687828000.0,1808174000.0,,,,1790407000.0,,,,1790407000.0,,,,,1897421000.0,,1723654000.0,1595983000.0,1879654000.0,,,,,,156000000.0,283671000.0,,,,,108203000.0,,,,,,1595983000.0,102827000.0,,847386000.0,-39669000.0,847386000.0,0,,0,1.12,1.11,759798537.0,760257644.0,,39706302000.0,39706302000.0,,,,,,0,,534674000.0,,,,21228868000.0,-17542429000.0,,,,,0,10878081000.0,,,935005000.0,,,,17542429000.0,0.0,6955068000.0,935005000.0,,39706302000.0,939846000.0,939846000.0,,-17756000.0,-17756000.0,,-1516009000.0,-1516009000.0,,-5962000.0,-599881000.0,-593919000.0,,1559418000.0,724181000.0,835237000.0,-36565000.0,,
BX,2024-02-23,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001193125-24-044485,8022841000.0,5065127000.0,,,,4981130000.0,,,,4981130000.0,,,,,3041711000.0,,2711914000.0,2444253000.0,2957714000.0,,,,,,245800000.0,513461000.0,661856000.0,-148395000.0,,,431868000.0,,,,,,2444253000.0,224155000.0,,1390880000.0,-245518000.0,1390880000.0,0,,0,1.84,1.84,755204556.0,755419936.0,,40287530000.0,40287530000.0,,,,,,0,,542753000.0,,,,22212316000.0,22212316000.0,,,,,0,11605882000.0,,,1179073000.0,,,,16896141000.0,10079343000.0,6816798000.0,1179073000.0,,40287530000.0,4056906000.0,4056906000.0,,-229651000.0,-229651000.0,,-5053895000.0,-5053895000.0,,4988000.0,-1221652000.0,-1226640000.0,,2503951000.0,1104729000.0,1399222000.0,59698000.0,,
BX,2023-11-03,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001193125-23-270358,2541285000.0,1423983000.0,,,,1374905000.0,,,,1374905000.0,,,,,1166380000.0,,1069202000.0,920742000.0,1117302000.0,,,,,,48100000.0,196560000.0,,,,,110599000.0,,,,,,920742000.0,20716000.0,,551994000.0,-92577000.0,551994000.0,0,,0,0.73,0.73,757958602.0,758046096.0,,41663823000.0,41663823000.0,,,,,,0,,536445000.0,,,,22853102000.0,22853102000.0,,,,,0,12340132000.0,,,1349060000.0,,,,17461661000.0,10328838000.0,7132823000.0,1349060000.0,,41663823000.0,1082914000.0,1082914000.0,,-62668000.0,-62668000.0,,-1400572000.0,-1400572000.0,,-5527000.0,-385853000.0,-380326000.0,,853696000.0,322755000.0,530941000.0,-67046000.0,,
BX,2023-08-04,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001193125-23-203835,2814691000.0,1387715000.0,,,,1475310000.0,,,,1475310000.0,,,,,1339381000.0,,1335576000.0,1203707000.0,1426976000.0,,,,,,91400000.0,223269000.0,,,,,108096000.0,,,,,,1203707000.0,89436000.0,,601274000.0,17688000.0,601274000.0,0,,0,0.79,0.79,758479943.0,758548248.0,,41582784000.0,41582784000.0,,,,,,0,,495141000.0,,,,22492305000.0,-17464130000.0,,,,,0,12473329000.0,,,1626349000.0,,,,17464130000.0,0.0,7219447000.0,1626349000.0,,41582784000.0,1725576000.0,1725576000.0,,-60686000.0,-60686000.0,,-1189593000.0,-1189593000.0,,-942000.0,474355000.0,475297000.0,,1220599000.0,614197000.0,606402000.0,16892000.0,,
BX,2023-05-05,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001193125-23-137073,1381845000.0,1123489000.0,,,,1189345000.0,,,,1189345000.0,,,,,192500000.0,,189156000.0,210681000.0,258356000.0,,,,,,69200000.0,47675000.0,,,,,104441000.0,,,,,,210681000.0,74869000.0,,85812000.0,-6700000.0,85812000.0,0,,0,0.12,0.11,746064922.0,746643929.0,,41086439000.0,41086439000.0,,,,,,0,,458329000.0,,,,22372614000.0,-17069128000.0,,,,,0,12462792000.0,,,1644697000.0,,,,17069128000.0,0.0,7090837000.0,1644697000.0,,41086439000.0,352728000.0,352728000.0,,-74970000.0,-74970000.0,,-1751464000.0,-1751464000.0,,1284000.0,-1472422000.0,-1473706000.0,,240081000.0,149127000.0,90954000.0,29400000.0,,
BX,2023-02-24,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001193125-23-048733,8517673000.0,5055884000.0,,,,4973025000.0,,,,4973025000.0,,,,,3544648000.0,,3169689000.0,2988909000.0,3461789000.0,,,,,,292100000.0,472880000.0,834355000.0,-361475000.0,,,317225000.0,,,,,,2988909000.0,107766000.0,,1747631000.0,-142890000.0,1747631000.0,0,,0,2.36,2.36,740664038.0,740942399.0,,42524227000.0,42524227000.0,,,,,,0,,411713000.0,,,,22843160000.0,22843160000.0,,,,,0,12491000000.0,,,1715006000.0,,,,17966061000.0,10310150000.0,7655911000.0,1715006000.0,,42524227000.0,6336253000.0,6336253000.0,,-235497000.0,-235497000.0,,-3794455000.0,-3794455000.0,,-12318000.0,2293983000.0,2306301000.0,,2956386000.0,1216604000.0,1739782000.0,-32523000.0,,
BX,2022-11-04,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001193125-22-277894,1058114000.0,960183000.0,,,,961361000.0,,,,961361000.0,,,,,96753000.0,,78131000.0,3700000.0,97931000.0,,,,,,19800000.0,94231000.0,,,,,80507000.0,,,,,,3700000.0,-62093000.0,,2296000.0,25773000.0,2296000.0,0,,0,0.0,0.0,742345646.0,742495532.0,,40259321000.0,40259321000.0,,,,,,0,,387066000.0,,,,20523936000.0,20523936000.0,,,,,0,9391027000.0,,,1344188000.0,,,,18391197000.0,10805521000.0,7585676000.0,1344188000.0,,40259321000.0,982926000.0,982926000.0,,-85387000.0,-85387000.0,,-1624275000.0,-1624275000.0,,-11559000.0,-738295000.0,-726736000.0,,-152910000.0,-122631000.0,-30279000.0,-156610000.0,,
BX,2022-08-05,2022,Q2,2022-04-01,2022-06-30,https://api.polygon.io/v1/reference/sec/filings/0001193125-22-213575,629220000.0,848452000.0,,,,744113000.0,,,,744113000.0,,,,,-114893000.0,,-80532000.0,-255746000.0,-219232000.0,,,,,,-138700000.0,36514000.0,,,,,69642000.0,,,,,,-255746000.0,-216707000.0,,-29393000.0,25875000.0,-29393000.0,0,,0,-0.04,-0.04,707382293.0,707382293.0,,41631308000.0,41631308000.0,,,,,,0,,316389000.0,,,,20297210000.0,-20058607000.0,,,,,0,9496800000.0,,,1275491000.0,,,,20058607000.0,0.0,8631167000.0,1275491000.0,,41631308000.0,1889691000.0,1889691000.0,,-45244000.0,-45244000.0,,-1500612000.0,-1500612000.0,,-10394000.0,333441000.0,343835000.0,,-315813000.0,-269949000.0,-45864000.0,-60067000.0,,
