ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
C,2025-05-08,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000831001-25-000086,21596000000.0,16148000000.0,,,,16148000000.0,,,,16148000000.0,,,,,5448000000.0,,,4108000000.0,5448000000.0,-1000000.0,,,,,,1340000000.0,,-8000000.0,,33666000000.0,,11451000000.0,14012000000.0,13425000000.0,7584000000.0,2561000000.0,4107000000.0,43000000.0,,4064000000.0,,3751000000.0,313000000.0,,313000000.0,2.0,1.96,1879000000.0,1919600000.0,,2571514000000.0,2571514000000.0,,,,,,0.0,,,4430000000.0,,,2358256000000.0,2358256000000.0,,,,,0,295684000000.0,,,,,,,213258000000.0,850000000.0,212408000000.0,,,2571514000000.0,-58708000000.0,-58708000000.0,,-98983000000.0,-98983000000.0,,184976000000.0,184976000000.0,,4514000000.0,31799000000.0,27285000000.0,,6286000000.0,92000000.0,6194000000.0,2179000000.0,49000000.0,2130000000.0
C,2025-02-21,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000831001-25-000067,81139000000.0,64093000000.0,,,,64093000000.0,,,,64093000000.0,,,,,17046000000.0,,,12835000000.0,17046000000.0,-2000000.0,,-2000000.0,,,,4211000000.0,6107000000.0,-1896000000.0,,143713000000.0,,44369000000.0,54095000000.0,53984000000.0,27044000000.0,9726000000.0,12833000000.0,151000000.0,,12682000000.0,,11458000000.0,1224000000.0,,1224000000.0,6.03,5.94,1901400000.0,1940100000.0,,2352945000000.0,2352945000000.0,,,,,,0.0,,,4494000000.0,,,2143579000000.0,2143579000000.0,,,,,0,287300000000.0,,,,,,,209366000000.0,768000000.0,208598000000.0,,,2352945000000.0,-19669000000.0,-19669000000.0,,86250000000.0,86250000000.0,,-38304000000.0,-38304000000.0,,-12677000000.0,15600000000.0,28277000000.0,,9720000000.0,90000000.0,9630000000.0,-3113000000.0,-61000000.0,-3052000000.0
C,2024-11-07,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000831001-24-000134,20315000000.0,15925000000.0,,,,15925000000.0,,,,15925000000.0,,,,,4390000000.0,,,3274000000.0,4390000000.0,-1000000.0,,,,,,1116000000.0,,-621000000.0,,36456000000.0,,10980000000.0,13362000000.0,13250000000.0,6953000000.0,2382000000.0,3273000000.0,35000000.0,,3238000000.0,,2905000000.0,333000000.0,,333000000.0,1.53,1.51,1899900000.0,1940300000.0,,2430663000000.0,2430663000000.0,,,,,,0.0,,,4121000000.0,,,2220761000000.0,2220761000000.0,,,,,0,299081000000.0,,,,,,,209902000000.0,819000000.0,209083000000.0,,,2430663000000.0,-16674000000.0,-16674000000.0,,51388000000.0,51388000000.0,,15391000000.0,15391000000.0,,6855000000.0,56960000000.0,50105000000.0,,4793000000.0,75000000.0,4718000000.0,1520000000.0,40000000.0,1480000000.0
C,2024-08-02,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000831001-24-000100,20139000000.0,15829000000.0,,,,15829000000.0,,,,15829000000.0,,,,,4310000000.0,,,3263000000.0,4310000000.0,0.0,,,,,,1047000000.0,,-605000000.0,,35987000000.0,22494000000.0,11134000000.0,13493000000.0,13353000000.0,6646000000.0,2359000000.0,3263000000.0,46000000.0,,3217000000.0,,2943000000.0,274000000.0,,274000000.0,1.54,1.52,1907700000.0,1945700000.0,,2405686000000.0,2405686000000.0,,,,,,0.0,,,4226000000.0,,,2196542000000.0,2196542000000.0,,,,,0,280321000000.0,,,,,,,209144000000.0,834000000.0,208310000000.0,,,2405686000000.0,-16960000000.0,-16960000000.0,,12269000000.0,12269000000.0,,-18740000000.0,-18740000000.0,,-3165000000.0,-26596000000.0,-23431000000.0,,2295000000.0,26000000.0,2269000000.0,-968000000.0,-20000000.0,-948000000.0
C,2024-05-03,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000831001-24-000051,21104000000.0,16560000000.0,,,,16560000000.0,,,,16560000000.0,,,,,4544000000.0,,,3408000000.0,4544000000.0,-1000000.0,,,,,,1136000000.0,,-348000000.0,,36223000000.0,22716000000.0,11085000000.0,13507000000.0,14195000000.0,7597000000.0,2422000000.0,3407000000.0,36000000.0,,3371000000.0,,3047000000.0,324000000.0,,324000000.0,1.59,1.58,1910400000.0,1943200000.0,,2432510000000.0,2432510000000.0,,,,,,0.0,,,4338000000.0,,,2225112000000.0,2225112000000.0,,,,,0,285495000000.0,,,,,,,207398000000.0,813000000.0,206585000000.0,,,2432510000000.0,-10831000000.0,-10831000000.0,,14844000000.0,14844000000.0,,12351000000.0,12351000000.0,,-4566000000.0,11798000000.0,16364000000.0,,2465000000.0,23000000.0,2442000000.0,-942000000.0,-13000000.0,-929000000.0
C,2024-02-23,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000831001-24-000033,78462000000.0,65552000000.0,,,,65552000000.0,,,,65552000000.0,,,,,12910000000.0,,,9382000000.0,12910000000.0,-1000000.0,,-1000000.0,,,,3528000000.0,5944000000.0,-2416000000.0,,133258000000.0,78358000000.0,47114000000.0,54900000000.0,56366000000.0,23562000000.0,7786000000.0,9381000000.0,153000000.0,,9228000000.0,,7850000000.0,1378000000.0,,1378000000.0,4.07,4.04,1930100000.0,1955800000.0,,2411834000000.0,2411834000000.0,,,,,,0.0,,,4421000000.0,,,2205583000000.0,2205583000000.0,,,,,0,286619000000.0,,,,,,,206251000000.0,798000000.0,205453000000.0,,,2411834000000.0,-73416000000.0,-73416000000.0,,-8459000000.0,-8459000000.0,,687000000.0,687000000.0,,95000000.0,-81093000000.0,-81188000000.0,,11700000000.0,237000000.0,11463000000.0,2319000000.0,84000000.0,2235000000.0
C,2023-11-03,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000831001-23-000132,20139000000.0,15351000000.0,,,,15351000000.0,,,,15351000000.0,,,,,4788000000.0,,,3585000000.0,4788000000.0,2000000.0,,,,,,1203000000.0,,-127000000.0,,34837000000.0,21009000000.0,12012000000.0,13828000000.0,13511000000.0,6311000000.0,1816000000.0,3587000000.0,41000000.0,,3546000000.0,,3160000000.0,386000000.0,,386000000.0,1.64,1.63,1924400000.0,1951700000.0,,2368477000000.0,2368477000000.0,,,,,,0.0,,,4540000000.0,,,2158282000000.0,2158282000000.0,,,,,0,275760000000.0,,,,,,,210195000000.0,692000000.0,209503000000.0,,,2368477000000.0,15794000000.0,15794000000.0,,-12710000000.0,-12710000000.0,,-43965000000.0,-43965000000.0,,-2040000000.0,-42921000000.0,-40881000000.0,,3238000000.0,4000000.0,3234000000.0,-349000000.0,-37000000.0,-312000000.0
C,2023-08-04,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000831001-23-000097,19436000000.0,15394000000.0,,,,15394000000.0,,,,15394000000.0,,,,,4042000000.0,,,2952000000.0,4042000000.0,-1000000.0,,,,,,1090000000.0,,-824000000.0,,32647000000.0,18747000000.0,12139000000.0,13900000000.0,13570000000.0,5536000000.0,1761000000.0,2951000000.0,36000000.0,,2915000000.0,,2594000000.0,321000000.0,,321000000.0,1.34,1.33,1942800000.0,1968600000.0,,2423675000000.0,2423675000000.0,,,,,,0.0,,,4576000000.0,,,2214253000000.0,2214253000000.0,,,,,0,274510000000.0,,,,,,,209422000000.0,703000000.0,208719000000.0,,,2423675000000.0,-54059000000.0,-54059000000.0,,45790000000.0,45790000000.0,,-16847000000.0,-16847000000.0,,-1935000000.0,-27051000000.0,-25116000000.0,,2541000000.0,50000000.0,2491000000.0,-410000000.0,14000000.0,-424000000.0
C,2023-05-05,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000831001-23-000055,21447000000.0,15264000000.0,,,,15264000000.0,,,,15264000000.0,,,,,6183000000.0,,,4652000000.0,6183000000.0,-1000000.0,,,,,0.0,1531000000.0,,-28000000.0,,29395000000.0,16047000000.0,11611000000.0,13348000000.0,13289000000.0,8099000000.0,1737000000.0,4651000000.0,45000000.0,,4606000000.0,,4295000000.0,311000000.0,,311000000.0,2.21,2.19,1943500000.0,1964100000.0,,2455113000000.0,2455113000000.0,,,,,,0.0,,,4632000000.0,,,2246094000000.0,2246094000000.0,,,,,0,279684000000.0,,,,,,,209019000000.0,724000000.0,208295000000.0,,,2455113000000.0,-30485000000.0,-30485000000.0,,-3073000000.0,-3073000000.0,,15766000000.0,15766000000.0,,-274000000.0,-18066000000.0,-17792000000.0,,6277000000.0,77000000.0,6200000000.0,1626000000.0,32000000.0,1594000000.0
C,2023-02-27,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000831001-23-000037,75338000000.0,56531000000.0,,,,56531000000.0,,,,56531000000.0,,,,,18807000000.0,,,15165000000.0,18807000000.0,-231000000.0,,-231000000.0,,,0.0,3642000000.0,4783000000.0,-1141000000.0,,74408000000.0,25740000000.0,43923000000.0,48668000000.0,51292000000.0,26670000000.0,4745000000.0,14934000000.0,89000000.0,,14845000000.0,,13700000000.0,1145000000.0,,1145000000.0,7.04,7.0,1946700000.0,1964300000.0,,2416676000000.0,2416676000000.0,,,,,,0.0,,,4428000000.0,,,2214838000000.0,2214838000000.0,,,,,0,271606000000.0,,,,,,,201838000000.0,649000000.0,201189000000.0,,,2416676000000.0,25069000000.0,25069000000.0,,-79455000000.0,-79455000000.0,,137763000000.0,137763000000.0,,-3385000000.0,79992000000.0,83377000000.0,,6579000000.0,31000000.0,6548000000.0,-8355000000.0,-58000000.0,-8297000000.0
