ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
CACC,2025-04-30,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000885550-25-000055,571100000.0,429400000.0,,,,429400000.0,,,,135500000.0,,,,,435600000.0,,,106300000.0,141700000.0,,,,,,,35400000.0,,1600000.0,,,114700000.0,,,,,161900000.0,106300000.0,0,,106300000.0,,106300000.0,0,,0,8.79,8.66,12091027.0,12279446.0,,9258000000.0,9258000000.0,,,,,,0,,13700000.0,,,,7547100000.0,7547100000.0,,,,,0,,,,,,,,1710900000.0,0,1710900000.0,,,9258000000.0,346200000.0,346200000.0,,-291600000.0,-291600000.0,,221000000.0,221000000.0,,,275600000.0,275600000.0,,107200000.0,0,107200000.0,900000.0,,900000.0
CACC,2024-10-30,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000885550-24-000119,550300000.0,443800000.0,,,,443800000.0,,,,129400000.0,,,,,420900000.0,,,78800000.0,106500000.0,,,,,,,27700000.0,,13100000.0,,,111200000.0,,,,,184700000.0,78800000.0,0,,78800000.0,,78800000.0,0,,0,6.42,6.35,12274685.0,12415143.0,,8683200000.0,8683200000.0,,,,,,0,,15200000.0,,,,7036700000.0,7036700000.0,,,,,0,,,,,,,,1646500000.0,0,1646500000.0,,,8683200000.0,317700000.0,317700000.0,,-424000000.0,-424000000.0,,305000000.0,305000000.0,,,198700000.0,198700000.0,,80900000.0,0,80900000.0,2100000.0,,2100000.0
CACC,2024-07-31,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000885550-24-000092,538200000.0,593500000.0,,,,593500000.0,,,,124400000.0,,,,,413800000.0,,,-47100000.0,-55300000.0,,,,,,,-8200000.0,,-11600000.0,,,104500000.0,,,,,320600000.0,-47100000.0,0,,-47100000.0,,-47100000.0,0,,0,-3.83,-3.83,12282174.0,12282174.0,,8255400000.0,8255400000.0,,,,,,0,,16100000.0,,,,6700500000.0,-1554900000.0,,,,,0,,,,,,,,1554900000.0,0,1554900000.0,,,8255400000.0,204000000.0,204000000.0,,-526000000.0,-526000000.0,,272000000.0,272000000.0,,,-50000000.0,-50000000.0,,-47100000.0,0,-47100000.0,-47100000.0,,0.0
CACC,2024-04-30,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000885550-24-000069,508000000.0,421600000.0,,,,421600000.0,,,,126100000.0,,,,,381900000.0,,,64300000.0,86400000.0,,,,,,,22100000.0,,31900000.0,,,92500000.0,,,,,186000000.0,64300000.0,0,,64300000.0,,64300000.0,0,,0,5.15,5.08,12481139.0,12646529.0,,8097000000.0,8097000000.0,,,,,,0,,44600000.0,,,,6444800000.0,-1652200000.0,,,,,0,,,,,,,,1652200000.0,0,1652200000.0,,,8097000000.0,310000000.0,310000000.0,,-583900000.0,-583900000.0,,370600000.0,370600000.0,,,96700000.0,96700000.0,,64100000.0,0,64100000.0,-200000.0,,-200000.0
CACC,2024-02-12,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000885550-24-000030,1901900000.0,1534300000.0,,,,1534300000.0,,,,459100000.0,,,,,1442800000.0,,,286100000.0,367600000.0,,,,,,,81500000.0,117300000.0,-38000000.0,,,266500000.0,,,,,736200000.0,286100000.0,0,,286100000.0,,286100000.0,0,,0,22.09,21.99,12953424.0,13010735.0,,7610200000.0,7610200000.0,,,,,,0,,46500000.0,,,,5856500000.0,5856500000.0,,,,,0,,,,,,,,1753700000.0,0,1753700000.0,,,7610200000.0,1203800000.0,1203800000.0,,-1416800000.0,-1416800000.0,,266200000.0,266200000.0,,,53200000.0,53200000.0,,288000000.0,0,288000000.0,1900000.0,,1900000.0
CACC,2023-10-30,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000885550-23-000110,478600000.0,382100000.0,,,,382100000.0,,,,110500000.0,,,,,368100000.0,,,70800000.0,96500000.0,,,,,,,25700000.0,,13300000.0,,,70500000.0,,,,,184600000.0,70800000.0,0,,70800000.0,,70800000.0,0,,0,5.47,5.43,12933377.0,13039638.0,,7397100000.0,7397100000.0,,,,,,0,,47100000.0,,,,5696200000.0,5696200000.0,,,,,0,,,,,,,,1700900000.0,0,1700900000.0,,,7397100000.0,313400000.0,313400000.0,,-359900000.0,-359900000.0,,72700000.0,72700000.0,,,26200000.0,26200000.0,,70600000.0,0,70600000.0,-200000.0,,-200000.0
CACC,2023-08-01,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000885550-23-000080,477900000.0,450000000.0,,,,450000000.0,,,,117000000.0,,,,,360900000.0,,,22200000.0,27900000.0,,,,,,,5700000.0,,-2400000.0,,,62800000.0,,,,,250500000.0,22200000.0,0,,22200000.0,,22200000.0,0,,0,1.7,1.69,13049935.0,13099961.0,,7205500000.0,7205500000.0,,,,,,0,,49400000.0,,,,5458500000.0,-1747000000.0,,,,,0,,,,,,,,1747000000.0,0,1747000000.0,,,7205500000.0,282700000.0,282700000.0,,-367800000.0,-367800000.0,,9000000.0,9000000.0,,,-76100000.0,-76100000.0,,21600000.0,0,21600000.0,-600000.0,,-600000.0
CACC,2023-05-01,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000885550-23-000051,453800000.0,327000000.0,,,,327000000.0,,,,117300000.0,,,,,336500000.0,,,99500000.0,126800000.0,,,,,,,27300000.0,,24200000.0,,,54400000.0,,,,,137400000.0,99500000.0,0,,99500000.0,,99500000.0,0,,0,7.62,7.61,13057617.0,13073316.0,,7154900000.0,7154900000.0,,,,,,0,,50100000.0,,,,5431500000.0,-1723400000.0,,,,,0,,,,,,,,1723400000.0,0,1723400000.0,,,7154900000.0,296500000.0,296500000.0,,-344200000.0,-344200000.0,,118100000.0,118100000.0,,,70400000.0,70400000.0,,100300000.0,0,100300000.0,800000.0,,800000.0
CACC,2023-02-10,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000885550-23-000023,1832400000.0,1120700000.0,,,,1120700000.0,,,,1120700000.0,,,,,711700000.0,,,535800000.0,711700000.0,,,,,,,175900000.0,181200000.0,-7700000.0,,,166600000.0,,,,,481400000.0,535800000.0,0,,535800000.0,,535800000.0,0,,0,39.5,39.32,13563885.0,13625081.0,,6904700000.0,6904700000.0,,,,,,0,,51400000.0,,,,5280700000.0,5280700000.0,,,,,0,,,,,,,,1624000000.0,0,1624000000.0,,,6904700000.0,1238700000.0,1238700000.0,,-460600000.0,-460600000.0,,-794600000.0,-794600000.0,,,-16500000.0,-16500000.0,,532700000.0,0,532700000.0,-3100000.0,,-3100000.0
CACC,2022-11-01,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0000885550-22-000082,460300000.0,338200000.0,,,,338200000.0,,,,338200000.0,,,,,122100000.0,,,86800000.0,122100000.0,,,,,,,35300000.0,,-1900000.0,,,41800000.0,,,,,180300000.0,86800000.0,0,,86800000.0,,86800000.0,0,,0,6.53,6.49,13293224.0,13364160.0,,6892400000.0,6892400000.0,,,,,,0,,52400000.0,,,,5303200000.0,5303200000.0,,,,,0,,,,,,,,1589200000.0,0,1589200000.0,,,6892400000.0,326300000.0,326300000.0,,-172700000.0,-172700000.0,,-189000000.0,-189000000.0,,,-35400000.0,-35400000.0,,85600000.0,0,85600000.0,-1200000.0,,-1200000.0
