ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued
CBRL,2025-03-06,2025,Q2,2024-11-02,2025-01-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-25-002351,949439000.0,0,309832000.0,,,920316000.0,639607000.0,,,610484000.0,,,,,29123000.0,,,22207000.0,949439000.0,,,,,,,1938000.0,,,,,,,,,,,22207000.0,0,,22207000.0,,22207000.0,0,,0,1.0,0.99,22258289.0,22456421.0,,2149557000.0,280258000.0,,,172988000.0,,107270000.0,1869299000.0,,969790000.0,24387000.0,,875122000.0,1688642000.0,454240000.0,143161000.0,,,311079000.0,1234402000.0,,,,,,,,460915000.0,0,460915000.0,,,2149557000.0,22207000.0,0,22207000.0,22207000.0,,,,,,,,,,,,,,,
CBRL,2024-09-27,2024,FY,2023-07-29,2024-08-02,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-013061,3470762000.0,0,1087631000.0,,,3425643000.0,2383131000.0,,,2338012000.0,,,,,45119000.0,,,40930000.0,3470762000.0,,,,,,,-16744000.0,,,,,,,,,,,40930000.0,0,,40930000.0,,40930000.0,0,,0,1.84,1.83,22191961.0,22319894.0,,2161494000.0,278214000.0,,,180958000.0,,97256000.0,1883280000.0,,959821000.0,24425000.0,,899034000.0,1721345000.0,454207000.0,162288000.0,,,291919000.0,1267138000.0,,,,,,,,440149000.0,0,440149000.0,,,2161494000.0,40930000.0,0,40930000.0,0.0,,,168980000.0,168980000.0,,-124327000.0,-124327000.0,,-57765000.0,-57765000.0,,,-13112000.0,-13112000.0,
CBRL,2024-02-27,2024,Q2,2023-10-28,2024-01-26,https://api.polygon.io/v1/reference/sec/filings/0001140361-24-009737,935401000.0,0,314851000.0,,,904639000.0,620550000.0,,,589788000.0,,,,,30762000.0,,,26534000.0,935401000.0,,,,,,,-839000.0,,,,,,,,,,,26534000.0,0,,26534000.0,,26534000.0,0,,0,1.2,1.19,22196758.0,22295532.0,,2185059000.0,267800000.0,,,172702000.0,,95098000.0,1917259000.0,,965667000.0,24498000.0,,927094000.0,1723092000.0,458837000.0,136388000.0,,,322449000.0,1264255000.0,,,,,,,,461967000.0,0,461967000.0,,,2185059000.0,26534000.0,0,26534000.0,26534000.0,,,77676000.0,77676000.0,,-26391000.0,-26391000.0,,-52597000.0,-52597000.0,,,-1312000.0,-1312000.0,
CBRL,2023-11-30,2024,Q1,2023-07-29,2023-10-27,https://api.polygon.io/v1/reference/sec/filings/0001140361-23-055389,823839000.0,0,255559000.0,,,812426000.0,568280000.0,,,556867000.0,,,,,11413000.0,,,5456000.0,5456000.0,,,,,,,1019000.0,,,,,,,,,,,5456000.0,0,,5456000.0,,5456000.0,0,,0,0.25,0.25,22165852.0,22263690.0,,2219631000.0,287689000.0,,,207269000.0,,80420000.0,1931942000.0,,968441000.0,24517000.0,,938984000.0,-460252000.0,461898000.0,143294000.0,,,318604000.0,0.0,,,,,,,,460252000.0,0,460252000.0,,,2219631000.0,5456000.0,0,5456000.0,5456000.0,,,-15797000.0,-15797000.0,,-24598000.0,-24598000.0,,29162000.0,29162000.0,,,-11233000.0,-11233000.0,
CBRL,2023-09-26,2023,FY,2022-07-30,2023-07-28,https://api.polygon.io/v1/reference/sec/filings/0001140361-23-045201,3442808000.0,0,1127617000.0,,,3322191000.0,2315191000.0,,,2194574000.0,,,,,120617000.0,,,99050000.0,3442808000.0,,,,,,,4561000.0,,,,,,,,,,,99050000.0,0,,99050000.0,,99050000.0,0,,0,4.47,4.45,22167875.0,22265399.0,,2218094000.0,282287000.0,,,189364000.0,,92923000.0,1935807000.0,,971945000.0,23426000.0,,940436000.0,1734269000.0,488966000.0,165484000.0,,,323482000.0,1245303000.0,,,,,,,,483825000.0,0,483825000.0,,,2218094000.0,99050000.0,0,99050000.0,99050000.0,,0.0,250457000.0,250457000.0,,-124319000.0,-124319000.0,,-146096000.0,-146096000.0,,,-19958000.0,-19958000.0,
CBRL,2023-06-06,2023,Q3,2023-01-28,2023-04-28,https://api.polygon.io/v1/reference/sec/filings/0001140361-23-028528,832689000.0,0,262191000.0,,,815899000.0,570498000.0,,,553708000.0,,,,,16790000.0,,,13968000.0,832689000.0,,,,,,,-1714000.0,,,,,,,,,,,13968000.0,0,,13968000.0,,13968000.0,0,,0,0.63,0.63,22152002.0,22254511.0,,2213469000.0,273032000.0,,,184813000.0,,88219000.0,1940437000.0,,963565000.0,22090000.0,,954782000.0,1739601000.0,449223000.0,132032000.0,,,317191000.0,1290378000.0,,,,,,,,473868000.0,0,473868000.0,,,2213469000.0,13968000.0,0,13968000.0,13968000.0,,,50414000.0,50414000.0,,-38505000.0,-38505000.0,,-38861000.0,-38861000.0,,,-26952000.0,-26952000.0,
CBRL,2023-02-28,2023,Q2,2022-10-29,2023-01-27,https://api.polygon.io/v1/reference/sec/filings/0001140361-23-009126,933868000.0,0,326555000.0,,,894897000.0,607313000.0,,,568342000.0,,,,,38971000.0,,,30491000.0,30491000.0,,,,,,,4072000.0,,,,,,,,,,,30491000.0,0,,30491000.0,,30491000.0,0,,0,1.38,1.37,22173280.0,22251835.0,,2256707000.0,308683000.0,,,187251000.0,,121432000.0,1948024000.0,,965565000.0,21173000.0,,961286000.0,-486493000.0,470791000.0,135473000.0,,,335318000.0,0.0,,,,,,,,486493000.0,0,486493000.0,,,2256707000.0,30491000.0,0,30491000.0,30491000.0,,,101422000.0,101422000.0,,-26683000.0,-26683000.0,,-64040000.0,-64040000.0,,,10699000.0,10699000.0,
CBRL,2022-12-02,2023,Q1,2022-07-30,2022-10-28,https://api.polygon.io/v1/reference/sec/filings/0001140361-22-044158,839519000.0,0,281540000.0,,,815900000.0,557979000.0,,,534360000.0,,,,,23619000.0,,,17129000.0,17129000.0,,,,,,,2958000.0,,,,,,,,,,,17129000.0,0,,17129000.0,,17129000.0,0,,0,0.77,0.77,22193774.0,22292654.0,,2287053000.0,331241000.0,,,231010000.0,,100231000.0,1955812000.0,,965795000.0,21191000.0,,968826000.0,-487513000.0,469520000.0,135480000.0,,,334040000.0,0.0,,,,,,,,487513000.0,0,487513000.0,,,2287053000.0,17129000.0,0,17129000.0,17129000.0,,,-600000.0,-600000.0,,-21460000.0,-21460000.0,,15660000.0,15660000.0,,,-6400000.0,-6400000.0,
CBRL,2022-09-27,2022,FY,2021-07-31,2022-07-29,https://api.polygon.io/v1/reference/sec/filings/0001140361-22-034827,3267786000.0,0,1049884000.0,,,3114783000.0,2217902000.0,,,2064899000.0,,,,,153003000.0,,,131880000.0,3267786000.0,,,,,,0.0,11503000.0,,,,,,,,,,,131880000.0,0,,131880000.0,,131880000.0,0,,0,5.69,5.67,23164180.0,23246010.0,,2294911000.0,317276000.0,,,213249000.0,,104027000.0,1977635000.0,,969609000.0,21210000.0,,986816000.0,1783432000.0,502324000.0,169871000.0,,,332453000.0,1281108000.0,,,,,,,,511479000.0,0,511479000.0,,,2294911000.0,131880000.0,0,131880000.0,131880000.0,,0.0,205253000.0,205253000.0,,-98499000.0,-98499000.0,,-206242000.0,-206242000.0,,,-99488000.0,-99488000.0,
CBRL,2022-06-07,2022,Q3,2022-01-29,2022-04-29,https://api.polygon.io/v1/reference/sec/filings/0001140361-22-022215,790196000.0,0,250048000.0,,,759742000.0,540148000.0,,,509694000.0,,,,,30454000.0,,,27516000.0,790196000.0,,,,,,,767000.0,,,,,,,,,,,27516000.0,0,,27516000.0,,27516000.0,0,,0,1.19,1.19,23089521.0,23170900.0,,2279134000.0,294096000.0,,,192360000.0,,101736000.0,1985038000.0,,958928000.0,21229000.0,,1004881000.0,1714905000.0,465605000.0,125436000.0,,,340169000.0,1249300000.0,,,,,,,,564229000.0,0,564229000.0,,,2279134000.0,27516000.0,0,27516000.0,27516000.0,,0.0,-1437000.0,-1437000.0,,-29033000.0,-29033000.0,,-24466000.0,-24466000.0,,,-54936000.0,-54936000.0,
