ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
CBU,2025-05-09,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-25-001170,196248000.0,131980000.0,,,,131980000.0,,,,131980000.0,,,,,64268000.0,,,49614000.0,64268000.0,,,,,,,14654000.0,,,,167647000.0,47435000.0,113522000.0,120212000.0,125290000.0,76036000.0,6690000.0,49614000.0,0,,49614000.0,,49416000.0,198000,,198000,0.94,0.93,52715000.0,52919000.0,,16764296000.0,16764296000.0,,,,,,0,,189762000.0,,,,14930221000.0,14930221000.0,,,,,0,,,,,,,,1834075000.0,0,1834075000.0,,,16764296000.0,62509000.0,62509000.0,,-30311000.0,-30311000.0,,288819000.0,288819000.0,,,321017000.0,321017000.0,,92585000.0,0,92585000.0,92585000.0,,42971000.0
CBU,2025-02-28,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-25-000247,746303000.0,509598000.0,,,,509598000.0,,,,509598000.0,,,,,236705000.0,,,182481000.0,236705000.0,,,,,,,54224000.0,,,,643528000.0,194411000.0,426344000.0,449117000.0,486825000.0,297186000.0,22773000.0,182481000.0,0,,182481000.0,,181741000.0,740000,,740000,3.44,3.44,52755000.0,52883000.0,,16386044000.0,16386044000.0,,,,,,0,,183759000.0,,,,14623209000.0,14623209000.0,,,,,0,,,,,,,,1762835000.0,0,1762835000.0,,,16386044000.0,242276000.0,242276000.0,,-835617000.0,-835617000.0,,599383000.0,599383000.0,,,6042000.0,6042000.0,,191288000.0,0,191288000.0,191288000.0,,8807000.0
CBU,2024-11-12,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001410578-24-001881,163900000.0,106870000.0,,,,106870000.0,,,,106870000.0,,,,,57030000.0,,,43901000.0,57030000.0,,,,,,,13129000.0,,,,163900000.0,,105036000.0,112745000.0,124203000.0,76197000.0,7709000.0,43901000.0,0,,43901000.0,,43709000.0,192000,,192000,0.83,0.83,52520000.0,52680000.0,,16404700000.0,16404700000.0,,,,,,0,,178429000.0,48130000.0,,,14619753000.0,14619753000.0,,,,,0,,,,,,,,1784947000.0,0,1784947000.0,,,16404700000.0,56858000.0,56858000.0,,-239069000.0,-239069000.0,,326828000.0,326828000.0,,,144617000.0,144617000.0,,135663000.0,0,135663000.0,135663000.0,,91762000.0
CBU,2024-08-09,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001410578-24-001276,157038000.0,94946000.0,,,,94946000.0,,,,94946000.0,,,,,62092000.0,,,47915000.0,62092000.0,,,,,,,14177000.0,,,,157038000.0,,106701000.0,109409000.0,118999000.0,74390000.0,2708000.0,47915000.0,0,,47915000.0,,47746000.0,169000,,169000,0.91,0.91,52674000.0,52749000.0,,15906816000.0,15906816000.0,,,,,,0,,178095000.0,53522000.0,,,14236636000.0,-1670180000.0,,,,,0,,,,,,,,1670180000.0,0,1670180000.0,,,15906816000.0,39787000.0,39787000.0,,-171241000.0,-171241000.0,,-5434000.0,-5434000.0,,,-136888000.0,-136888000.0,,45937000.0,0,45937000.0,45937000.0,,-1978000.0
CBU,2024-05-10,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-24-000739,152659000.0,99616000.0,,,,99616000.0,,,,99616000.0,,,,,53043000.0,,,40872000.0,53043000.0,,,,,,,12171000.0,,,,152659000.0,45669000.0,100842000.0,106990000.0,118084000.0,70285000.0,6148000.0,40872000.0,0,,40872000.0,,40761000.0,111000,,111000,0.77,0.76,53228000.0,53321000.0,,15858670000.0,15858670000.0,,,,,,0,,170974000.0,54649000.0,,,14201715000.0,-1656955000.0,,,,,0,,,,,,,,1656955000.0,0,1656955000.0,,,15858670000.0,79893000.0,79893000.0,,-214676000.0,-214676000.0,,282202000.0,282202000.0,,,147419000.0,147419000.0,,13948000.0,0,13948000.0,13948000.0,,-26924000.0
CBU,2024-02-29,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-24-000095,541388000.0,373157000.0,,,,373157000.0,,,,373157000.0,,,,,168231000.0,,,131924000.0,168231000.0,,,,,,,36307000.0,,,,541388000.0,104103000.0,426082000.0,437285000.0,472685000.0,214834000.0,11203000.0,131924000.0,0,,131924000.0,,131477000.0,447000,,447000,2.45,2.45,53601000.0,53725000.0,,15555753000.0,15555753000.0,,,,,,0,,173418000.0,52591000.0,,,13857816000.0,13857816000.0,,,,,0,,,,,,,,1697937000.0,0,1697937000.0,,,15555753000.0,228420000.0,228420000.0,,335776000.0,335776000.0,,-583130000.0,-583130000.0,,,-18934000.0,-18934000.0,,261471000.0,0,261471000.0,261471000.0,,129547000.0
CBU,2023-11-09,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001410578-23-002297,137556000.0,81566000.0,,,,81566000.0,,,,81566000.0,,,,,55990000.0,,,44129000.0,55990000.0,,,,,,,11861000.0,,,,137556000.0,29770000.0,104908000.0,107786000.0,116504000.0,67586000.0,2878000.0,44129000.0,0,,44129000.0,,43971000.0,158000,,158000,0.82,0.82,53502000.0,53606000.0,,15386322000.0,15386322000.0,,,,,,0,,174749000.0,55938000.0,,,13831383000.0,13831383000.0,,,,,0,,,,,,,,1554939000.0,0,1554939000.0,,,15386322000.0,64858000.0,64858000.0,,-123229000.0,-123229000.0,,291399000.0,291399000.0,,,233028000.0,233028000.0,,-35862000.0,0,-35862000.0,-35862000.0,,-79991000.0
CBU,2023-08-09,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001410578-23-001628,131624000.0,70151000.0,,,,70151000.0,,,,70151000.0,,,,,61473000.0,,,48291000.0,61473000.0,,,,,,,13182000.0,,,,131624000.0,22345000.0,108527000.0,109279000.0,113038000.0,65984000.0,752000.0,48291000.0,0,,48291000.0,,48099000.0,192000,,192000,0.9,0.89,53679000.0,53794000.0,,15108050000.0,15108050000.0,,,,,,0,,158353000.0,57749000.0,,,13490644000.0,-1617406000.0,,,,,0,,,,,,,,1617406000.0,0,1617406000.0,,,15108050000.0,41482000.0,41482000.0,,159798000.0,159798000.0,,-167799000.0,-167799000.0,,,33481000.0,33481000.0,,14674000.0,0,14674000.0,14674000.0,,-33617000.0
CBU,2023-05-10,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-23-000973,125882000.0,118909000.0,,,,118909000.0,,,,118909000.0,,,,,6973000.0,,,5798000.0,6973000.0,,,,,,,1175000.0,,,,125882000.0,14852000.0,107530000.0,111030000.0,114052000.0,13495000.0,3500000.0,5798000.0,0,,5798000.0,,5781000.0,17000,,17000,0.11,0.11,53843000.0,54050000.0,,15255953000.0,15255953000.0,,,,,,0,,158562000.0,57978000.0,,,13621940000.0,-1634013000.0,,,,,0,,,,,,,,1634013000.0,0,1634013000.0,,,15255953000.0,77374000.0,77374000.0,,596072000.0,596072000.0,,-694044000.0,-694044000.0,,,-20598000.0,-20598000.0,,114152000.0,0,114152000.0,114152000.0,,108354000.0
CBU,2023-03-01,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-23-000196,443729000.0,203415000.0,,,,203415000.0,,,,203415000.0,,,,,240314000.0,,,188081000.0,240314000.0,,,,,,,52233000.0,,,,443729000.0,23099000.0,405857000.0,420630000.0,424268000.0,258725000.0,14773000.0,188081000.0,0,,188081000.0,,187548000.0,533000,,533000,3.48,3.46,53896000.0,54208000.0,,15835651000.0,15835651000.0,,,,,,0,,160778000.0,60996000.0,,,14283946000.0,14283946000.0,,,,,0,,,,,,,,1551705000.0,0,1551705000.0,,,15835651000.0,214600000.0,214600000.0,,-2138985000.0,-2138985000.0,,259217000.0,259217000.0,,,-1665168000.0,-1665168000.0,,-447731000.0,0,-447731000.0,-447731000.0,,-635812000.0
