ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
CCL,2025-03-25,2025,Q1,2024-12-01,2025-02-28,https://api.polygon.io/v1/reference/sec/filings/0000815097-25-000025,5810000000.0,5881000000.0,3766000000.0,,,5268000000.0,2044000000.0,,-614000000.0,1501000000.0,848000000.0,654000000.0,,,543000000.0,,-71000000.0,-78000000.0,-71000000.0,,,,,,-2000000.0,7000000.0,,,,,,,,,,,-78000000.0,0,,-78000000.0,,-78000000.0,0,,0,-0.06,-0.06,1309000000.0,1309000000.0,,48535000000.0,2977000000.0,,543000000.0,518000000.0,,1916000000.0,45558000000.0,,41654000000.0,1162000000.0,,2742000000.0,39353000000.0,11578000000.0,1091000000.0,,,10487000000.0,27775000000.0,27711000000.0,64000000.0,,,,,,9182000000.0,0,9182000000.0,,,48535000000.0,925000000.0,925000000.0,,-605000000.0,-605000000.0,,-690000000.0,-690000000.0,,-6000000.0,-376000000.0,-370000000.0,,-90000000.0,0,-90000000.0,-12000000.0,,-12000000.0
CCL,2025-01-27,2024,FY,2023-12-01,2024-11-30,https://api.polygon.io/v1/reference/sec/filings/0000815097-25-000007,25021000000.0,23106000000.0,15638000000.0,,,21447000000.0,9383000000.0,,-1659000000.0,5809000000.0,3252000000.0,2557000000.0,,,3574000000.0,,1915000000.0,1916000000.0,1915000000.0,,,,,,9000000.0,-1000000.0,,,,,,,,,,,1916000000.0,0,,1916000000.0,,1916000000.0,0,,0,1.5,1.44,1274000000.0,1398000000.0,,49057000000.0,3378000000.0,,590000000.0,507000000.0,,2281000000.0,45679000000.0,,41795000000.0,1163000000.0,,2721000000.0,39806000000.0,11617000000.0,1133000000.0,,,10484000000.0,28189000000.0,28213000000.0,,,,,,,9251000000.0,0,9251000000.0,,,49057000000.0,5923000000.0,5923000000.0,,-4535000000.0,-4535000000.0,,-2584000000.0,-2584000000.0,,-8000000.0,-1204000000.0,-1196000000.0,,1879000000.0,0,1879000000.0,-36000000.0,,-36000000.0
CCL,2024-09-30,2024,Q3,2024-06-01,2024-08-31,https://api.polygon.io/v1/reference/sec/filings/0000815097-24-000071,7896000000.0,6153000000.0,4303000000.0,,,5718000000.0,3593000000.0,,-435000000.0,1415000000.0,763000000.0,651000000.0,,1000000.0,2178000000.0,,1743000000.0,1735000000.0,1743000000.0,,,,,,10000000.0,8000000.0,,,,,,,,,,,1735000000.0,0,,1735000000.0,,1735000000.0,0,,0,1.37,1.26,1267000000.0,1399000000.0,,49805000000.0,3626000000.0,,632000000.0,492000000.0,,2502000000.0,46179000000.0,,42380000000.0,1173000000.0,,2626000000.0,41208000000.0,12265000000.0,1062000000.0,,,11203000000.0,28943000000.0,29644000000.0,,,,,,,8597000000.0,0,8597000000.0,,,49805000000.0,1205000000.0,1205000000.0,,-577000000.0,-577000000.0,,-770000000.0,-770000000.0,,16000000.0,-126000000.0,-142000000.0,,1761000000.0,0,1761000000.0,26000000.0,,26000000.0
CCL,2024-06-27,2024,Q2,2024-03-01,2024-05-31,https://api.polygon.io/v1/reference/sec/filings/0000815097-24-000057,5781000000.0,5685000000.0,3798000000.0,,,5221000000.0,1983000000.0,,-464000000.0,1423000000.0,789000000.0,634000000.0,,,560000000.0,,96000000.0,91000000.0,96000000.0,,,,,,-4000000.0,5000000.0,,,,,,,,,,,92000000.0,0,,92000000.0,,92000000.0,0,,0,0.07,0.07,1267000000.0,1271000000.0,,49603000000.0,3768000000.0,,494000000.0,509000000.0,,2765000000.0,45835000000.0,,42105000000.0,1167000000.0,,2563000000.0,-6814000000.0,13385000000.0,1063000000.0,,,12322000000.0,0.0,30154000000.0,,,,,,,6814000000.0,0,6814000000.0,,,49603000000.0,2039000000.0,2039000000.0,,-1221000000.0,-1221000000.0,,-1420000000.0,-1420000000.0,,-3000000.0,-605000000.0,-602000000.0,,110000000.0,0,110000000.0,18000000.0,,18000000.0
CCL,2024-03-27,2024,Q1,2023-12-01,2024-02-29,https://api.polygon.io/v1/reference/sec/filings/0000815097-24-000035,5406000000.0,5620000000.0,3705000000.0,,,5131000000.0,1701000000.0,,-489000000.0,1425000000.0,813000000.0,613000000.0,,,276000000.0,,-214000000.0,-214000000.0,-214000000.0,,,,,,-3000000.0,0.0,,,,,471000000.0,,,,,,-214000000.0,0,,-214000000.0,,-214000000.0,0,,0,-0.17,-0.17,1264000000.0,1264000000.0,,49761000000.0,4484000000.0,,644000000.0,531000000.0,,3309000000.0,45277000000.0,,41515000000.0,1168000000.0,,2594000000.0,-6682000000.0,12396000000.0,1103000000.0,,,11293000000.0,0.0,31552000000.0,,,,,,,6682000000.0,0,6682000000.0,,,49761000000.0,1768000000.0,1768000000.0,,-2163000000.0,-2163000000.0,,237000000.0,237000000.0,,-3000000.0,-161000000.0,-158000000.0,,-213000000.0,0,-213000000.0,1000000.0,,1000000.0
CCL,2024-01-26,2023,FY,2022-12-01,2023-11-30,https://api.polygon.io/v1/reference/sec/filings/0000815097-24-000011,21593000000.0,21655000000.0,14317000000.0,,,19637000000.0,7276000000.0,,-2018000000.0,5320000000.0,2950000000.0,2370000000.0,,,1956000000.0,,-62000000.0,-75000000.0,-62000000.0,,,,,,-13000000.0,13000000.0,,,,,2066000000.0,,,,,,-74000000.0,0,,-74000000.0,,-74000000.0,0,,0,-0.06,-0.06,1262000000.0,1262000000.0,,49120000000.0,5266000000.0,5400000000.0,556000000.0,528000000.0,,,43854000000.0,,40116000000.0,1169000000.0,,2569000000.0,42238000000.0,11481000000.0,1168000000.0,,,10313000000.0,30757000000.0,31339000000.0,,,,,,,6882000000.0,0,6882000000.0,,,49120000000.0,4281000000.0,4281000000.0,,-2810000000.0,-2810000000.0,,-5089000000.0,-5089000000.0,,17000000.0,-3601000000.0,-3618000000.0,,-30000000.0,0,-30000000.0,44000000.0,,44000000.0
CCL,2023-09-29,2023,Q3,2023-06-01,2023-08-31,https://api.polygon.io/v1/reference/sec/filings/0000815097-23-000066,6854000000.0,5789000000.0,3921000000.0,,,5230000000.0,2933000000.0,,-559000000.0,1309000000.0,713000000.0,596000000.0,,,1624000000.0,,1065000000.0,1074000000.0,1065000000.0,,,,,,11000000.0,-9000000.0,,,,,518000000.0,,,,,,1074000000.0,0,,1074000000.0,,1074000000.0,0,,0,0.85,0.79,1263000000.0,1396000000.0,,49756000000.0,4683000000.0,5700000000.0,485000000.0,483000000.0,,,45073000000.0,,39952000000.0,1168000000.0,,3953000000.0,42796000000.0,11008000000.0,1103000000.0,,,9905000000.0,31788000000.0,32093000000.0,,,,,,,6960000000.0,0,6960000000.0,,,49756000000.0,1834000000.0,1834000000.0,,-813000000.0,-813000000.0,,-2677000000.0,-2677000000.0,,19000000.0,-1637000000.0,-1656000000.0,,1081000000.0,0,1081000000.0,7000000.0,,7000000.0
CCL,2023-06-28,2023,Q2,2023-03-01,2023-05-31,https://api.polygon.io/v1/reference/sec/filings/0000815097-23-000051,4911000000.0,5313000000.0,3457000000.0,,,4791000000.0,1454000000.0,,-522000000.0,1334000000.0,736000000.0,597000000.0,,1000000.0,120000000.0,,-402000000.0,-407000000.0,-402000000.0,,,,,,-16000000.0,5000000.0,,,,,542000000.0,,,,,,-407000000.0,0,,-407000000.0,,-407000000.0,0,,0,-0.32,-0.32,1263000000.0,1263000000.0,,51873000000.0,6206000000.0,7300000000.0,449000000.0,438000000.0,,,45667000000.0,,39584000000.0,1163000000.0,,4920000000.0,-5865000000.0,11835000000.0,1042000000.0,,,10793000000.0,0.0,34511000000.0,,,,,,,5865000000.0,0,5865000000.0,,,51873000000.0,1137000000.0,1137000000.0,,-465000000.0,-465000000.0,,-1663000000.0,-1663000000.0,,8000000.0,-983000000.0,-991000000.0,,-338000000.0,0,-338000000.0,69000000.0,,69000000.0
CCL,2023-03-29,2023,Q1,2022-12-01,2023-02-28,https://api.polygon.io/v1/reference/sec/filings/0000815097-23-000035,4432000000.0,5118000000.0,3311000000.0,,,4604000000.0,1121000000.0,,-514000000.0,1293000000.0,712000000.0,582000000.0,,,-172000000.0,,-686000000.0,-693000000.0,-686000000.0,,,,,,-11000000.0,7000000.0,,,,,539000000.0,,,,,,-693000000.0,0,,-693000000.0,,-693000000.0,0,,0,-0.55,-0.55,1260000000.0,1260000000.0,,51985000000.0,7144000000.0,8100000000.0,514000000.0,448000000.0,,,44841000000.0,,39359000000.0,1158000000.0,,4324000000.0,-6170000000.0,11088000000.0,1022000000.0,,,10066000000.0,0.0,35963000000.0,,,,,,,6170000000.0,0,6170000000.0,,,51985000000.0,388000000.0,388000000.0,,-1044000000.0,-1044000000.0,,111000000.0,111000000.0,,-2000000.0,-547000000.0,-545000000.0,,-682000000.0,0,-682000000.0,11000000.0,,11000000.0
CCL,2023-01-27,2022,FY,2021-12-01,2022-11-30,https://api.polygon.io/v1/reference/sec/filings/0000815097-23-000012,12168000000.0,18248000000.0,,,,16547000000.0,,,-1701000000.0,16547000000.0,2515000000.0,2275000000.0,,11757000000.0,-4379000000.0,,-6080000000.0,-6094000000.0,-6080000000.0,,,,,,-38000000.0,14000000.0,,,,,1609000000.0,,,,,,-6093000000.0,0,,-6093000000.0,,-6093000000.0,0,,0,-5.16,-5.16,1180000000.0,1180000000.0,,51703000000.0,7492000000.0,8600000000.0,395000000.0,428000000.0,,,44211000000.0,,38687000000.0,1156000000.0,,4368000000.0,44638000000.0,10605000000.0,1050000000.0,,,9555000000.0,34033000000.0,35615000000.0,,,,,,,7065000000.0,0,7065000000.0,,,51703000000.0,-1670000000.0,-1670000000.0,,-4767000000.0,-4767000000.0,,3577000000.0,3577000000.0,,-79000000.0,-2939000000.0,-2860000000.0,,-6574000000.0,0,-6574000000.0,-481000000.0,,-481000000.0
