ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
CDLX,2025-05-07,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001666071-25-000069,61898000.0,75180000.0,,,,75977000.0,,,797000.0,75977000.0,,6291000.0,11706000.0,57980000.0,-14079000.0,,,-13282000.0,-13282000.0,,,,,,,,,,,,,-1830000.0,-1830000.0,,,0.0,-13282000.0,0,,-13282000.0,,-13282000.0,0,,0,-0.26,-0.26,51863000.0,51863000.0,,369073000.0,156829000.0,,,,,,212244000.0,,2466000.0,9916000.0,,199862000.0,304983000.0,131851000.0,4445000.0,,6442000.0,120964000.0,173132000.0,213945000.0,,,,,,,64090000.0,0,64090000.0,,,369073000.0,-6706000.0,-6706000.0,,-3903000.0,-3903000.0,,-3034000.0,-3034000.0,,95000.0,-13548000.0,-13643000.0,,-15637000.0,0,-15637000.0,-15637000.0,,-2355000.0
CDLX,2025-03-12,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001666071-25-000034,278298000.0,467602000.0,,,,473797000.0,,,6195000.0,473797000.0,,25689000.0,49607000.0,398501000.0,-195499000.0,,,-189304000.0,-189304000.0,,,,,,,0.0,0.0,0.0,,,,,,,,,-189304000.0,0,,-189304000.0,,-189304000.0,0,,0,-3.91,-3.91,48361000.0,48361000.0,,392711000.0,177983000.0,,,,,,214728000.0,,2596000.0,11371000.0,,200761000.0,322718000.0,148955000.0,3689000.0,,5494000.0,139772000.0,173763000.0,218570000.0,,,,,,,69993000.0,0,69993000.0,,,392711000.0,-8824000.0,-8824000.0,,-18746000.0,-18746000.0,,1444000.0,1444000.0,,-110000.0,-26236000.0,-26126000.0,,-188170000.0,0,-188170000.0,-188170000.0,,1134000.0
CDLX,2024-11-06,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001666071-24-000167,67057000.0,212239000.0,,,,215603000.0,,,3364000.0,215603000.0,,6970000.0,13194000.0,195439000.0,-148546000.0,,,-145182000.0,-145182000.0,,,,,,,,,,,,,-1479000.0,-1479000.0,,,0.0,-145182000.0,0,,-145182000.0,,-145182000.0,0,,0,-2.9,-2.9,50028000.0,50028000.0,,399393000.0,183330000.0,,,,,,216063000.0,,2847000.0,12826000.0,,200390000.0,329696000.0,155908000.0,3927000.0,,8250000.0,143731000.0,173788000.0,213237000.0,,,,,,,69697000.0,0,69697000.0,,,399393000.0,1385000.0,1385000.0,,-5257000.0,-5257000.0,,-388000.0,-388000.0,,0.0,-4260000.0,-4260000.0,,-149633000.0,0,-149633000.0,-149633000.0,,-4451000.0
CDLX,2024-08-07,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001666071-24-000130,69636000.0,73893000.0,,,,85448000.0,,,11555000.0,85448000.0,,6529000.0,13470000.0,65449000.0,-15812000.0,,,-4257000.0,-4257000.0,,,,,,,,,,,,,-1561000.0,-1561000.0,,,0.0,-4257000.0,0,,-4257000.0,,-4257000.0,0,,0,-0.09,-0.09,49056000.0,49056000.0,,534372000.0,185332000.0,,,,,,349040000.0,,3084000.0,29433000.0,,316523000.0,324338000.0,104601000.0,4866000.0,,5490000.0,94245000.0,0.0,212885000.0,6852000.0,,,,,,210033000.0,0,210033000.0,,,534372000.0,4429000.0,4429000.0,,-4656000.0,-4656000.0,,-26287000.0,-26287000.0,,-4000.0,-26518000.0,-26514000.0,,-4351000.0,0,-4351000.0,-4351000.0,,-94000.0
CDLX,2024-05-08,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001666071-24-000094,67608000.0,91883000.0,,,,90434000.0,,,-1449000.0,90434000.0,,6250000.0,13048000.0,71136000.0,-22826000.0,,,-24275000.0,-24275000.0,,,,,,,,,,,,,-819000.0,-819000.0,,,0.0,-24275000.0,0,,-24275000.0,,-24275000.0,0,,0,-0.56,-0.56,43248000.0,43248000.0,,568951000.0,218255000.0,,,,,,350696000.0,,2906000.0,32218000.0,,315572000.0,369814000.0,102550000.0,3974000.0,,8091000.0,90485000.0,0.0,257870000.0,9394000.0,,,,,,199137000.0,0,199137000.0,,,568951000.0,-17617000.0,-17617000.0,,-4747000.0,-4747000.0,,28321000.0,28321000.0,,-21000.0,5936000.0,5957000.0,,-23695000.0,0,-23695000.0,-23695000.0,,580000.0
CDLX,2024-03-14,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001666071-24-000037,309204000.0,443906000.0,,,,444874000.0,,,968000.0,444874000.0,,26460000.0,51352000.0,367062000.0,-135670000.0,,,-134702000.0,-134702000.0,,,,,,,0.0,0.0,0.0,,,,-2336000.0,-2336000.0,,,0.0,-134702000.0,0,,-134702000.0,,-134702000.0,0,,0,-3.69,,36488000.0,,,574144000.0,223928000.0,,,,,,350216000.0,,3323000.0,35003000.0,,311890000.0,439346000.0,171149000.0,4425000.0,,11662000.0,155062000.0,268197000.0,,,,,,,,134798000.0,0,134798000.0,,,574144000.0,-185000.0,-185000.0,,-10062000.0,-10062000.0,,-20026000.0,-20026000.0,,118000.0,-30155000.0,-30273000.0,,-137833000.0,0,-137833000.0,-137833000.0,,-3131000.0
CDLX,2023-11-08,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001666071-23-000150,79005000.0,102971000.0,,,,99657000.0,,,-3314000.0,99657000.0,,5990000.0,12430000.0,81237000.0,-20652000.0,,,-23966000.0,-23966000.0,,,,,,,0.0,,,,,,-915000.0,-915000.0,,,0.0,-23966000.0,0,,-23966000.0,,-23966000.0,0,,0,-0.63,-0.63,37982000.0,37982000.0,,634916000.0,205589000.0,,,,,,429327000.0,,3005000.0,43116000.0,,383206000.0,409581000.0,179483000.0,3479000.0,,11086000.0,164918000.0,230098000.0,257139000.0,,,,,,,225335000.0,0,225335000.0,,,634916000.0,1194000.0,1194000.0,,-3146000.0,-3146000.0,,21000.0,21000.0,,-74000.0,-2005000.0,-1931000.0,,-21705000.0,0,-21705000.0,-21705000.0,,2261000.0
CDLX,2023-08-01,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001666071-23-000105,76701000.0,100209000.0,,,,101024000.0,,,815000.0,101024000.0,,7200000.0,14847000.0,78977000.0,-24323000.0,,,-23508000.0,-23508000.0,,,,,,,0.0,,,,,,-574000.0,-574000.0,,,0.0,-23508000.0,0,,-23508000.0,,-23508000.0,0,,0,-0.67,,34880000.0,,,633324000.0,201714000.0,,,,,,431610000.0,,3401000.0,46563000.0,,381646000.0,397212000.0,167922000.0,1698000.0,,8609000.0,157615000.0,0.0,256774000.0,,,,,,,236112000.0,0,236112000.0,,,633324000.0,5751000.0,5751000.0,,-2747000.0,-2747000.0,,-50076000.0,-50076000.0,,-59000.0,-47131000.0,-47072000.0,,-24789000.0,0,-24789000.0,-24789000.0,,-1281000.0
CDLX,2023-05-04,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001666071-23-000073,64331000.0,50723000.0,,,,52104000.0,,,1381000.0,52104000.0,,6575000.0,11564000.0,33965000.0,12227000.0,,,13608000.0,13608000.0,,,,,,,0.0,,,,,,-8000.0,-8000.0,,,0.0,13608000.0,0,,13608000.0,,13608000.0,0,,0,0.41,0.4,33595000.0,36727000.0,,684596000.0,246387000.0,,,,,,438209000.0,,4755000.0,50006000.0,,383448000.0,452276000.0,190843000.0,2073000.0,,7457000.0,181313000.0,0.0,256407000.0,5026000.0,,,,,,232321000.0,0,232321000.0,,,684596000.0,-10064000.0,-10064000.0,,-2802000.0,-2802000.0,,29981000.0,29981000.0,,176000.0,17291000.0,17115000.0,,12334000.0,0,12334000.0,12334000.0,,-1274000.0
CDLX,2023-03-01,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001666071-23-000032,298542000.0,765252000.0,,,,756320000.0,,,-8932000.0,756320000.0,,37544000.0,54435000.0,664341000.0,-457778000.0,,,-465264000.0,-466710000.0,,,,,,,-1446000.0,0.0,1446000.0,,,,-2556000.0,-2556000.0,,,0.0,-465264000.0,0,,-465264000.0,,-465264000.0,0,,0,-13.92,,33419000.0,,,691236000.0,250042000.0,,,,,,441194000.0,,5916000.0,53475000.0,,381803000.0,479631000.0,248944000.0,3765000.0,,10486000.0,234693000.0,230687000.0,226044000.0,4643000.0,,,,,,211605000.0,0,211605000.0,,,691236000.0,-53904000.0,-53904000.0,,-15760000.0,-15760000.0,,-39987000.0,-39987000.0,,-1926000.0,-111577000.0,-109651000.0,,-460152000.0,0,-460152000.0,-460152000.0,,5112000.0
