ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
CELZ,2025-05-09,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001477932-25-003498,3000,1641097.0,1200,,,1641097.0,1800,,22381.0,1662278.0,888397.0,46000.0,743304.0,,-1660478.0,,,-1638097.0,-1638097.0,,,,,,,0.0,,,,,,,,,,,-1638097.0,0.0,,-1638097.0,,-1638097.0,0,,0,,0.83,,1980735.0,,8347274.0,7844011.0,,,994,,7843017.0,503263,,,,,,286387.0,286387.0,272193.0,,,14194,0,,,,,,,,8060887.0,0,8060887.0,,,8347274.0,-1591535.0,-1591535.0,,-1762465.0,-1762465.0,,3354000.0,3354000.0,,,0.0,0.0,,-1638097.0,0,-1638097.0,0,,
CELZ,2025-03-14,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001477932-25-001736,11000,5504481.0,4400,,,5504481.0,6600,,250380.0,5750461.0,3239232.0,56000.0,2400777.0,54452.0,-5743861.0,,,-5493481.0,-5493481.0,,,,,,,0.0,,,,,,,,,,,-5493481.0,0.0,,-5493481.0,,-5493481.0,0,,0,,-3.71,,1480420.0,,6669143.0,6135303.0,,,2194,,6133109.0,533840,,,,,,327644.0,327644.0,273530.0,,,54114,0,,,,,,,,6341499.0,0,6341499.0,,,6669143.0,-5301292.0,-5301292.0,,6320191.0,6320191.0,,1454636.0,1454636.0,,,2473535.0,2473535.0,,-5493481.0,0,-5493481.0,0,,
CELZ,2024-11-08,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001477932-24-006991,0,1040135.0,0,,,1040135.0,0,,69539.0,1109674.0,498607.0,0.0,581796.0,29271.0,-1109674.0,,,-1040135.0,-1040135.0,,,,,,,,,,,,,,,,,,-1040135.0,0.0,,-1040135.0,,-1040135.0,0,,0,,,,,,6887919.0,6331440.0,,,3394,,6328046.0,556479,,,,,,330908.0,330908.0,273794.0,,,57114,0,,,,,,,,6557011.0,0,6557011.0,,,6887919.0,-985588.0,-985588.0,,-200000.0,-200000.0,,-25450.0,-25450.0,,,-1211038.0,-1211038.0,,-1040135.0,0,-1040135.0,0,,
CELZ,2024-08-09,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001477932-24-004635,8000,1565728.0,3200,,,1565728.0,4800,,67578.0,1630106.0,676086.0,0.0,924749.0,29271.0,-1625306.0,,,-1557728.0,-1557728.0,,,,,,,0.0,,,,,,,,,,,-1557728.0,0.0,,-1557728.0,,-1557728.0,0,,0,,,,,,7989706.0,7603956.0,,,3394,,7600562.0,385750,,,,,,376272.0,376272.0,322158.0,,,54114,0,,,,,,,,7613434.0,0,7613434.0,,,7989706.0,-1469304.0,-1469304.0,,0.0,0.0,,-66618.0,-66618.0,,,-1535922.0,-1535922.0,,-1557728.0,0,-1557728.0,0,,
CELZ,2024-05-10,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001477932-24-002695,0,1041544.0,0,,,1041544.0,0,,81603.0,1123147.0,671484.0,46000.0,422392.0,-16729.0,-1123147.0,,,-1041544.0,-1041544.0,,,,,,,0.0,,,,,0.0,,,,,,-1041544.0,0.0,,-1041544.0,,-1041544.0,0,,0,,,,,,9619577.0,9204556.0,,,6594,,9197962.0,415021,,,,,,390959.0,390959.0,336845.0,,,54114,0,,,,,,,,9228618.0,0,9228618.0,,,9619577.0,-896864.0,-896864.0,,6520191.0,6520191.0,,-82796.0,-82796.0,,,5540531.0,5540531.0,,-1041544.0,0,-1041544.0,0,,
CELZ,2024-03-22,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001477932-24-001431,9000,5295574.0,3600,,,5295574.0,5400,,333558.0,5625532.0,3560309.0,56000.0,1970639.0,38584.0,-5620132.0,,,-5286574.0,-5286574.0,,,,,,,0.0,,,,,,,,,,,-5286574.0,0.0,,-5286574.0,,-5286574.0,0,,0,,,,,,10715190.0,10270898.0,,,6594,,10264304.0,444292,,,,,,371394.0,371394.0,317280.0,,,54114,0,,,,,,,,10343796.0,0,10343796.0,,,10715190.0,-8027885.0,-8027885.0,,3445185.0,3445185.0,,-270952.0,-270952.0,,,-4853652.0,-4853652.0,,-5286574.0,0,-5286574.0,0,,
CELZ,2023-11-14,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001477932-23-008458,6000,1459952.0,2400,,,1459952.0,3600,,89233.0,1546785.0,531042.0,,992722.0,23021.0,-1543185.0,,,-1453952.0,-1453952.0,,,,,,,0.0,,,,,,,,,,,-1453952.0,0.0,,-1453952.0,,-1453952.0,0,,0,,,,,,12513539.0,12043726.0,,,7794,,12035932.0,469813,,,,,,421159.0,421159.0,367045.0,,,54114,0,,,,,,,,12092380.0,0,12092380.0,,,12513539.0,-1304523.0,-1304523.0,,1822081.0,1822081.0,,-517558.0,-517558.0,,,0.0,0.0,,-1453952.0,0,-1453952.0,0,,
CELZ,2023-08-11,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001477932-23-005935,0,,0,,,,0,,89913.0,1192038.0,859537.0,,309480.0,23021.0,-1192038.0,,,-1102125.0,-1102125.0,,,,,,,0.0,,,,,,,,,,,-1102125.0,0.0,,-1102125.0,,-1102125.0,0,,0,,,,,,14127477.0,13734643.0,,,10194,,13724449.0,392834,,,,,,398527.0,398527.0,344413.0,,,54114,0,,,,,,,,13728950.0,0,13728950.0,,,14127477.0,-986737.0,-986737.0,,-4539916.0,-4539916.0,,5526653.0,5526653.0,,,0.0,0.0,,-1102125.0,0,-1102125.0,0,,
CELZ,2023-05-12,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001477932-23-003347,0,,0,,,,0,,61147.0,1113070.0,771020.0,,319029.0,23021.0,-1113070.0,,,-1051923.0,-1051923.0,,,,,,,0.0,,,,,50.0,,,,,,1051923.0,2103846.0,,-1051923.0,,-1051923.0,0,,0,,,,,,15229449.0,14813594.0,,,10194,,14803400.0,415855,,,,,,407536.0,407536.0,353422.0,,,54114,0,,,,,,,,14821913.0,0,14821913.0,,,15229449.0,-3841642.0,-3841642.0,,5037326.0,5037326.0,,-1195684.0,-1195684.0,,,0.0,0.0,,1051923.0,0,1051923.0,0,,
CELZ,2023-03-31,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001477932-23-002123,88600,10232644.0,28491,,,10232644.0,60109,,100328.0,10304481.0,3943543.0,,6268854.0,92084.0,-10244372.0,,,-10144044.0,-10144044.0,,,,,,,0.0,,,,,0.0,,,,,,-10144044.0,0.0,,-10144044.0,,-10144044.0,0,,0,-0.93,-0.93,10932035.0,10932035.0,,19186326.0,18747450.0,,,10194,,18737256.0,438876,,,,,,3321652.0,3321652.0,3267538.0,,,54114,0,,,,,,,,15864674.0,0,15864674.0,,,19186326.0,-7796966.0,-7796966.0,,-10078617.0,-10078617.0,,15472232.0,15472232.0,,,-2403351.0,-2403351.0,,-10144044.0,0,-10144044.0,0,,
