ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
CF,2025-05-08,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001324404-25-000015,1663000000.0,1226000000.0,1091000000.0,,,1226000000.0,572000000.0,,,117000000.0,84000000.0,,,33000000.0,455000000.0,,433000000.0,351000000.0,437000000.0,,,,,,4000000.0,86000000.0,,,,,37000000.0,,,,,,351000000.0,39000000.0,,312000000.0,,312000000.0,0,,0,1.85,1.85,168600000.0,168800000.0,,13308000000.0,2433000000.0,,,351000000.0,,2082000000.0,10875000000.0,,6603000000.0,499000000.0,,3773000000.0,6011000000.0,939000000.0,,,,,5072000000.0,2972000000.0,2100000000.0,,,,,,7297000000.0,2517000000.0,4780000000.0,,,13308000000.0,586000000.0,586000000.0,,-126000000.0,-126000000.0,,-671000000.0,-671000000.0,,3000000.0,-208000000.0,-211000000.0,,360000000.0,39000000.0,321000000.0,9000000.0,,
CF,2025-02-20,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001324404-25-000006,5936000000.0,4174000000.0,3880000000.0,,,4174000000.0,2056000000.0,,,310000000.0,320000000.0,,,,1746000000.0,,,1477000000.0,1762000000.0,,,,,,,285000000.0,400000000.0,-115000000.0,,,121000000.0,,,,,,1477000000.0,259000000.0,,1218000000.0,,1218000000.0,0,,0,6.75,6.74,180400000.0,180700000.0,2.0,13466000000.0,2520000000.0,,404000000.0,314000000.0,,1802000000.0,10946000000.0,,6735000000.0,507000000.0,,3704000000.0,5874000000.0,818000000.0,125000000.0,,69000000.0,624000000.0,5056000000.0,2971000000.0,2085000000.0,,,,,,7592000000.0,2607000000.0,4985000000.0,,,13466000000.0,2271000000.0,2271000000.0,,-469000000.0,-469000000.0,,-2205000000.0,-2205000000.0,,-15000000.0,-418000000.0,-403000000.0,,1406000000.0,259000000.0,1147000000.0,-71000000.0,,
CF,2024-10-31,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001324404-24-000026,1370000000.0,970000000.0,926000000.0,,,970000000.0,444000000.0,,,80000000.0,78000000.0,,,2000000.0,364000000.0,,398000000.0,341000000.0,400000000.0,,,,,,2000000.0,59000000.0,,,,,0.0,,,,,,341000000.0,65000000.0,,276000000.0,,276000000.0,0,,0,1.55,1.55,178400000.0,178600000.0,,13843000000.0,2850000000.0,,,301000000.0,,2549000000.0,10993000000.0,,6816000000.0,515000000.0,,3662000000.0,6106000000.0,1013000000.0,,,,,5093000000.0,2970000000.0,2123000000.0,,,,,,7737000000.0,2543000000.0,5194000000.0,,,13843000000.0,931000000.0,931000000.0,,-139000000.0,-139000000.0,,-745000000.0,-745000000.0,,11000000.0,58000000.0,47000000.0,,364000000.0,65000000.0,299000000.0,23000000.0,,
CF,2024-08-08,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001324404-24-000020,1572000000.0,943000000.0,893000000.0,,,943000000.0,679000000.0,,,41000000.0,76000000.0,,,,638000000.0,,632000000.0,506000000.0,629000000.0,,,,,,-3000000.0,123000000.0,,,,,37000000.0,,,,,,506000000.0,86000000.0,,420000000.0,,420000000.0,0,,0,2.3,2.3,182700000.0,182800000.0,,13775000000.0,2801000000.0,,,302000000.0,,2499000000.0,10974000000.0,,6830000000.0,522000000.0,,3622000000.0,-8102000000.0,596000000.0,,,,,0.0,2970000000.0,2107000000.0,,,,,,8102000000.0,2642000000.0,5460000000.0,,,13775000000.0,475000000.0,475000000.0,,-34000000.0,-34000000.0,,-396000000.0,-396000000.0,,1000000.0,46000000.0,45000000.0,,499000000.0,86000000.0,413000000.0,-7000000.0,,
CF,2024-05-02,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001324404-24-000014,1470000000.0,1170000000.0,1061000000.0,,,1170000000.0,409000000.0,,,106000000.0,88000000.0,,,18000000.0,303000000.0,,298000000.0,238000000.0,300000000.0,,,,,,2000000.0,62000000.0,,,,,37000000.0,,,,,,238000000.0,44000000.0,,194000000.0,,194000000.0,0,,0,1.03,1.03,187600000.0,188100000.0,,13861000000.0,2719000000.0,,,271000000.0,,2448000000.0,11142000000.0,,6982000000.0,532000000.0,,3628000000.0,-7996000000.0,690000000.0,,,,,0.0,2969000000.0,2206000000.0,,,,,,7996000000.0,2556000000.0,5440000000.0,,,13861000000.0,445000000.0,445000000.0,,-100000000.0,-100000000.0,,-602000000.0,-602000000.0,,-2000000.0,-259000000.0,-257000000.0,,222000000.0,44000000.0,178000000.0,-16000000.0,,
CF,2024-02-22,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001324404-24-000008,6631000000.0,4383000000.0,4086000000.0,,,4383000000.0,2545000000.0,,,315000000.0,289000000.0,,,26000000.0,2230000000.0,,,1838000000.0,2248000000.0,,,,,,,410000000.0,329000000.0,81000000.0,,,150000000.0,,,,,,1838000000.0,313000000.0,,1525000000.0,,1525000000.0,0,,0,7.89,7.87,193300000.0,193800000.0,1.6,14376000000.0,3050000000.0,,505000000.0,299000000.0,,2246000000.0,11326000000.0,,7141000000.0,538000000.0,,3647000000.0,6003000000.0,800000000.0,114000000.0,,81000000.0,605000000.0,5203000000.0,2968000000.0,2235000000.0,,,,,,8373000000.0,2656000000.0,5717000000.0,,,14376000000.0,2757000000.0,2757000000.0,,-1679000000.0,-1679000000.0,,-1372000000.0,-1372000000.0,,3000000.0,-291000000.0,-294000000.0,,1859000000.0,313000000.0,1546000000.0,21000000.0,,
CF,2023-11-02,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001324404-23-000025,1273000000.0,1020000000.0,896000000.0,,,1020000000.0,377000000.0,,,133000000.0,68000000.0,,,65000000.0,244000000.0,,,230000000.0,253000000.0,,,,,,2000000.0,23000000.0,,,,,39000000.0,,,,,,230000000.0,66000000.0,,164000000.0,,164000000.0,0,,0,0.85,0.85,192400000.0,192900000.0,,13543000000.0,4190000000.0,,417000000.0,318000000.0,,3455000000.0,9353000000.0,,6156000000.0,,,3197000000.0,5242000000.0,926000000.0,,,,,4316000000.0,2967000000.0,1349000000.0,,,,,,8301000000.0,2578000000.0,5723000000.0,,,13543000000.0,618000000.0,618000000.0,,-144000000.0,-144000000.0,,-431000000.0,-431000000.0,,-8000000.0,35000000.0,43000000.0,,204000000.0,66000000.0,138000000.0,-26000000.0,,
CF,2023-08-03,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001324404-23-000019,1775000000.0,1035000000.0,971000000.0,,,1035000000.0,804000000.0,,,70000000.0,71000000.0,,,,734000000.0,,,606000000.0,740000000.0,,,,,,,134000000.0,,,,,36000000.0,,,,,,606000000.0,79000000.0,,527000000.0,,527000000.0,0,,0,2.71,2.7,194600000.0,195000000.0,,13537000000.0,4072000000.0,,388000000.0,319000000.0,,3365000000.0,9465000000.0,,6218000000.0,,,3247000000.0,-8520000000.0,622000000.0,,,,,0.0,2967000000.0,1428000000.0,,,,,,8520000000.0,2716000000.0,5804000000.0,,,13537000000.0,712000000.0,712000000.0,,-93000000.0,-93000000.0,,-229000000.0,-229000000.0,,4000000.0,394000000.0,390000000.0,,631000000.0,79000000.0,552000000.0,25000000.0,,
CF,2023-05-02,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001324404-23-000012,2012000000.0,1193000000.0,1149000000.0,,,1193000000.0,863000000.0,,,37000000.0,74000000.0,,,,826000000.0,,,650000000.0,819000000.0,,,,,,,169000000.0,,,,,40000000.0,,,,,,650000000.0,90000000.0,,560000000.0,,560000000.0,0,,0,2.86,2.85,196200000.0,196900000.0,,13398000000.0,3848000000.0,,482000000.0,430000000.0,,2936000000.0,9550000000.0,,6294000000.0,,,3256000000.0,-8090000000.0,862000000.0,,,,,0.0,2966000000.0,1480000000.0,,,,,,8090000000.0,2637000000.0,5453000000.0,,,13398000000.0,947000000.0,947000000.0,,-34000000.0,-34000000.0,,-410000000.0,-410000000.0,,-1000000.0,502000000.0,503000000.0,,656000000.0,90000000.0,566000000.0,6000000.0,,
CF,2023-02-23,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001324404-23-000006,11186000000.0,6091000000.0,5325000000.0,,,6091000000.0,5861000000.0,,,464000000.0,290000000.0,,,174000000.0,5397000000.0,,,3937000000.0,5095000000.0,,,,,,,1158000000.0,1265000000.0,-107000000.0,,,344000000.0,,,,,,3937000000.0,591000000.0,,3346000000.0,,3346000000.0,0,,0,16.45,16.38,203300000.0,204200000.0,1.5,13313000000.0,3673000000.0,,582000000.0,474000000.0,,2617000000.0,9640000000.0,,6437000000.0,,,3203000000.0,5460000000.0,995000000.0,63000000.0,,82000000.0,850000000.0,4465000000.0,2965000000.0,1500000000.0,,,,,,7853000000.0,2802000000.0,5051000000.0,,,13313000000.0,3855000000.0,3855000000.0,,-440000000.0,-440000000.0,,-2700000000.0,-2700000000.0,,-20000000.0,695000000.0,715000000.0,,3964000000.0,591000000.0,3373000000.0,27000000.0,,
