ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
CHH,2025-05-08,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001046311-25-000015,332860000.0,273098000.0,,,,252928000.0,,,-20170000.0,252928000.0,74210000.0,,,178718000.0,79932000.0,,59813000.0,44534000.0,59762000.0,,,,,,-51000.0,15228000.0,,,,,,,,,,50000.0,44534000.0,0,,44534000.0,,44315000.0,219000.0,,219000.0,0.95,0.94,46494000.0,47123000.0,,2577588000.0,358199000.0,,,,,,2219389000.0,,631609000.0,880793000.0,,706987000.0,2641522000.0,427416000.0,121627000.0,,,305789000.0,2214106000.0,1874821000.0,339285000.0,,,,,,-63934000.0,0,-63934000.0,,,2577588000.0,20467000.0,20467000.0,,-52952000.0,-52952000.0,,32208000.0,32208000.0,,154000.0,-123000.0,-277000.0,,44597000.0,0,44597000.0,44597000.0,,63000.0
CHH,2025-02-20,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001046311-25-000007,1584839000.0,1189194000.0,,,,1121066000.0,,,-68128000.0,1121066000.0,219878000.0,,,901188000.0,463773000.0,,383316000.0,299665000.0,395645000.0,,,,,,12329000.0,95980000.0,,,,,,,,,,-609000.0,299665000.0,0,,299665000.0,,298144000.0,1521000.0,,1521000.0,6.26,6.2,47653000.0,48078000.0,,2530527000.0,339086000.0,,,,36591000.0,302495000.0,2191441000.0,,604345000.0,884013000.0,,703083000.0,2575798000.0,462721000.0,134865000.0,,55806000.0,272050000.0,2113077000.0,1768526000.0,344551000.0,,,,,,-45271000.0,0,-45271000.0,,,2530527000.0,319403000.0,319403000.0,,-84571000.0,-84571000.0,,-221710000.0,-221710000.0,,301000.0,13423000.0,13122000.0,,299143000.0,0,299143000.0,299143000.0,,-522000.0
CHH,2024-11-04,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001046311-24-000036,427964000.0,290816000.0,,,,276181000.0,,,-14635000.0,276181000.0,49077000.0,,,227104000.0,151783000.0,,135838000.0,105716000.0,137148000.0,,,,,,1310000.0,31432000.0,,,,,,,,,,1006000.0,105716000.0,0,,105716000.0,,105176000.0,540000.0,,540000.0,2.24,2.22,46904000.0,47358000.0,,2544046000.0,338602000.0,,,,,,2205444000.0,,580021000.0,863811000.0,,761612000.0,2640198000.0,478786000.0,152781000.0,,,326005000.0,2161412000.0,1810731000.0,350681000.0,,,,,,-96152000.0,0,-96152000.0,,,2544046000.0,122945000.0,122945000.0,,-1331000.0,-1331000.0,,-123604000.0,-123604000.0,,146000.0,-1844000.0,-1990000.0,,106248000.0,0,106248000.0,106248000.0,,532000.0
CHH,2024-08-08,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001046311-24-000028,435156000.0,318575000.0,,,,302534000.0,,,-16041000.0,302534000.0,64995000.0,,,237539000.0,132622000.0,,108648000.0,87136000.0,116581000.0,,,,,,7933000.0,29445000.0,,,,,,,,,,-629000.0,87136000.0,0,,87136000.0,,86699000.0,437000.0,,0.0,1.82,1.8,47741000.0,48038000.0,,2518907000.0,448157000.0,,,,,,2070750000.0,,541194000.0,833016000.0,,696540000.0,2665686000.0,452090000.0,151086000.0,,,301004000.0,0.0,1868425000.0,345171000.0,,,,,,-146779000.0,0,-146779000.0,,,2518907000.0,111854000.0,111854000.0,,-19296000.0,-19296000.0,,-75037000.0,-75037000.0,,777000.0,18298000.0,17521000.0,,87136000.0,0,86442000.0,0.0,,-694000.0
CHH,2024-05-08,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001046311-24-000022,331949000.0,291741000.0,,,,271800000.0,,,-19941000.0,271800000.0,48625000.0,,,223175000.0,60149000.0,,40363000.0,31009000.0,40208000.0,,,,,,-155000.0,9199000.0,,,,,20181000.0,,,,,690000.0,31009000.0,0,,31009000.0,,30851000.0,158000.0,,0.0,0.63,0.62,49302000.0,49640000.0,,2475078000.0,338501000.0,,,,,,2136577000.0,,517903000.0,821029000.0,,797645000.0,2468351000.0,919512000.0,135297000.0,,,784215000.0,0.0,1695201000.0,,,,,,,6727000.0,0,6727000.0,,,2475078000.0,1741000.0,1741000.0,,-42736000.0,-42736000.0,,56473000.0,56473000.0,,-121000.0,15357000.0,15478000.0,,31009000.0,0,31463000.0,0.0,,454000.0
CHH,2024-02-20,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001046311-24-000010,1544165000.0,1207209000.0,,,,1165401000.0,,,-38072000.0,1169137000.0,216081000.0,,,953056000.0,375028000.0,,334077000.0,258507000.0,336956000.0,,,,,,2879000.0,78449000.0,,,,,63780000.0,,,,,763000.0,258507000.0,0,,258507000.0,,257128000.0,1379000.0,,1379000.0,5.11,5.07,50341000.0,50700000.0,,2394799000.0,296530000.0,,,,34669000.0,261861000.0,2098269000.0,,493478000.0,811075000.0,,793716000.0,2359201000.0,942690000.0,131284000.0,,51385000.0,760021000.0,1416511000.0,1568019000.0,,,,,,,35598000.0,0,35598000.0,,,2394799000.0,296554000.0,296554000.0,,-265626000.0,-265626000.0,,-45937000.0,-45937000.0,,197000.0,-14812000.0,-15009000.0,,258047000.0,0,258047000.0,258047000.0,,-460000.0
CHH,2023-11-07,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001046311-23-000036,425557000.0,304328000.0,,,,290515000.0,,,-13813000.0,290515000.0,54913000.0,,,235602000.0,135042000.0,,119428000.0,92024000.0,121229000.0,,,,,,1801000.0,29205000.0,,,,,16168000.0,,,,,0.0,92024000.0,0,,92024000.0,,91545000.0,479000.0,,479000.0,1.83,1.81,50041000.0,50471000.0,,2232237000.0,352812000.0,,,,,,1879425000.0,,469771000.0,781101000.0,,628553000.0,2159824000.0,418994000.0,124113000.0,,,294881000.0,1740830000.0,1395688000.0,345142000.0,,,,,,72413000.0,0,72413000.0,,,2232237000.0,121451000.0,121451000.0,,-44115000.0,-44115000.0,,-76881000.0,-76881000.0,,-190000.0,265000.0,455000.0,,91833000.0,0,91833000.0,91833000.0,,-191000.0
CHH,2023-08-08,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001046311-23-000031,427420000.0,314873000.0,,,,303031000.0,,,-11842000.0,303031000.0,67804000.0,,,235227000.0,124389000.0,,112362000.0,84710000.0,112547000.0,,,,,,185000.0,27837000.0,,,,,16270000.0,,,,,-188000.0,84710000.0,0,,84710000.0,,84273000.0,437000.0,,0.0,1.66,1.65,50626000.0,50991000.0,,2150323000.0,348134000.0,,,,,,1802189000.0,,449313000.0,764377000.0,,588499000.0,2095632000.0,406686000.0,120977000.0,,,285709000.0,0.0,1388709000.0,300237000.0,,,,,,54691000.0,0,54691000.0,,,2150323000.0,113706000.0,113706000.0,,-29687000.0,-29687000.0,,-79568000.0,-79568000.0,,37000.0,4488000.0,4451000.0,,84710000.0,0,85005000.0,0.0,,295000.0
CHH,2023-05-09,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001046311-23-000021,332792000.0,265297000.0,,,,254941000.0,,,-10356000.0,254941000.0,59283000.0,,,195658000.0,77851000.0,,67558000.0,52820000.0,67495000.0,,,,,,-63000.0,14675000.0,,,,,14084000.0,,,,,342000.0,52820000.0,0,,52820000.0,,52548000.0,272000.0,,0.0,1.02,1.02,51269000.0,51714000.0,,2106223000.0,341088000.0,,,,,,1765135000.0,,434282000.0,750179000.0,,580674000.0,2059215000.0,369574000.0,93135000.0,,,276439000.0,0.0,1379230000.0,310411000.0,,,,,,47008000.0,0,47008000.0,,,2106223000.0,12033000.0,12033000.0,,-29463000.0,-29463000.0,,7440000.0,7440000.0,,103000.0,-9887000.0,-9990000.0,,52820000.0,0,53214000.0,0.0,,394000.0
CHH,2023-03-01,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001046311-23-000008,1401949000.0,965143000.0,,,,939597000.0,,,-41795000.0,923348000.0,207275000.0,,,716073000.0,478601000.0,,435074000.0,332152000.0,436806000.0,,,,,,1732000.0,104654000.0,,,,,43797000.0,,,,,-938000.0,332152000.0,0,,332152000.0,,330271000.0,1881000.0,,1881000.0,6.05,5.99,54595000.0,55121000.0,,2102175000.0,347922000.0,,,,29640000.0,318282000.0,1754253000.0,,427306000.0,742190000.0,,584757000.0,1947515000.0,435898000.0,118863000.0,,75453000.0,241582000.0,1511617000.0,1203523000.0,308094000.0,,,,,,154660000.0,0,154660000.0,,,2102175000.0,367061000.0,367061000.0,,-442430000.0,-442430000.0,,-394150000.0,-394150000.0,,-520000.0,-470039000.0,-469519000.0,,331515000.0,0,331515000.0,331515000.0,,-637000.0
