ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued
CNK,2025-05-02,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-062253,540700000.0,0.0,,,,0.0,,,,,,,,,,,,-38900000.0,540700000.0,,,,,,,,,,,,,,,,,,-38900000.0,0.0,,-38900000.0,,-38500000.0,0.0,400000.0,-400000.0,-0.32,-0.32,119400000.0,119400000.0,,,,,,,,,,,,300500000.0,,,,,,,,,,,,,,,,,,,,,,,-38900000.0,0.0,-38900000.0,0.0,,,,,,,,,,,,,,,
CNK,2025-02-19,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-022756,3049500000.0,2796700000.0,,,,2796700000.0,,,,2796700000.0,,,,,252800000.0,,,312900000.0,252800000.0,,,,,,,-60100000.0,50700000.0,-110800000.0,,,,,,,,,312900000.0,3200000.0,,309700000.0,,304200000.0,11000000.0,5500000.0,5500000.0,2.54,2.06,119900000.0,154900000.0,,,,,,,,,,,1145100000.0,300500000.0,,,-9000000.0,-9000000.0,,,,,0.0,,,,,,,,9000000.0,9000000.0,0.0,,,,312900000.0,0.0,312900000.0,0.0,,,,,,,,,,,,,,,
CNK,2024-10-31,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-119234,921800000.0,0.0,,,,0.0,,,,,,,,,,,,187800000.0,921800000.0,,,,,,,,,,,,,,,,,,187800000.0,0.0,,187800000.0,,184200000.0,0.0,-3600000.0,3600000.0,1.54,1.19,120000000.0,158200000.0,,,,,,,,,,,,301200000.0,,,,,,,,,,,,,,,,,,,,,,,187800000.0,0.0,187800000.0,0.0,,,,,,,,,,,,,,,
CNK,2024-08-02,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-089583,734200000.0,0.0,,,,0.0,,,,,,,,,,,,45800000.0,734200000.0,,,,,,,5800000.0,,5800000.0,,,34600000.0,,,,,,45800000.0,0.0,,45800000.0,,44900000.0,0.0,-900000.0,900000.0,0.37,0.32,119900000.0,153400000.0,,,,,,,,,,,,301500000.0,,,,,,,,,,,,,,,,,,,,,,,45800000.0,0.0,45800000.0,0.0,,,,,,,,,,,,,,,
CNK,2024-05-02,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-051553,579200000.0,0.0,,,,0.0,,,,,,,,,,,,24800000.0,579200000.0,,,,,,,33700000.0,,33700000.0,,,37700000.0,,,,,,24800000.0,0.0,,24800000.0,,24400000.0,800000.0,400000.0,400000.0,0.2,0.19,119500000.0,152400000.0,,,,,,,,,,,,302300000.0,,,,,,,,,,,,,,,,,,,,,,,24800000.0,0.0,24800000.0,0.0,,,,,,,,,,,,,,,
CNK,2024-02-16,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-016143,3066700000.0,2845300000.0,,,,2845300000.0,,,,2845300000.0,,,,,221400000.0,,,191500000.0,221400000.0,,,,,,,29900000.0,19300000.0,10600000.0,,,-150400000.0,,,,,,191500000.0,3300000.0,,188200000.0,,184900000.0,6600000.0,3300000.0,3300000.0,1.55,1.34,119100000.0,152000000.0,,,,,,,,,,,1161700000.0,302800000.0,,,-9000000.0,-9000000.0,,,,,0.0,,,,,,,,9000000.0,9000000.0,0.0,,,,191500000.0,0.0,191500000.0,0.0,,,,,,,,,,,,,,,
CNK,2023-11-03,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-058496,874800000.0,0.0,,,,0.0,,,,,,,,,,,,91200000.0,874800000.0,,,,,,,21400000.0,,,,,38100000.0,,,,,,91200000.0,181400000.0,,-90200000.0,,-88400000.0,0.0,1800000.0,-1800000.0,0.74,0.61,119200000.0,152000000.0,,,,,,,,,,,,303000000.0,,,,,,,,,,,,,,,,,,,,100000.0,,,91200000.0,0.0,91200000.0,0.0,,,,,,,,,,,,,,,
CNK,2023-08-04,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-038309,942300000.0,0.0,,,,0.0,,,,,,,,,,,,120400000.0,942300000.0,,,,,,,12300000.0,,,,,37100000.0,,,,,,120400000.0,239500000.0,,-119100000.0,,-116800000.0,0.0,2300000.0,-2300000.0,0.98,0.8,119100000.0,151700000.0,,,,,,,,,,,,303900000.0,,,,,,,,,,,,,,,,,,,,,,,120400000.0,0.0,120400000.0,0.0,,,,,,,,,,,,,,,
CNK,2023-05-05,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-018072,610700000.0,0.0,,,,0.0,,,,,,,,,,,,-2500000.0,610700000.0,,,,,,,-3900000.0,,,,,36800000.0,,,,,,-2500000.0,-5600000.0,,3100000.0,,3100000.0,0.0,-400000.0,0.0,-0.03,-0.03,118800000.0,118800000.0,,,,,,,,,,,,304200000.0,,,,,,,,,,,,,,,,,,,,,,,-2500000.0,0.0,-2500000.0,0.0,,,,,,,,,,,,,,,
CNK,2023-02-24,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-004235,2454700000.0,2719700000.0,,,,2719700000.0,,,,2719700000.0,,,,,-265000000.0,,,-268000000.0,-265000000.0,,,,,,,3000000.0,12300000.0,-9300000.0,,,155300000.0,,,,,,-268000000.0,3200000.0,,-271200000.0,,-267400000.0,0.0,3800000.0,-3800000.0,-2.26,-2.26,118200000.0,118200000.0,,,,,,,,,,,1232100000.0,304600000.0,,,-9300000.0,-9300000.0,,,,,0.0,,,,,,,,9300000.0,9300000.0,0.0,,,,-268000000.0,0.0,-268000000.0,0.0,,,,,,,,,,,,,,,
