ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
CPF,2025-04-30,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000701347-25-000017,11096000.0,-11455000.0,,,,-11455000.0,,,,-11455000.0,,,,,22551000.0,,22549000.0,17760000.0,22551000.0,,,,,,2000,4791000.0,,5330000.0,,77206000.0,,53527000.0,57699000.0,42072000.0,11096000.0,4172000.0,17760000.0,0,,17760000.0,,17760000.0,0,,0,0.66,0.65,27087154.0,27213406.0,,7405239000.0,7405239000.0,,,,,,0,,103490000.0,,,,6847863000.0,6847863000.0,,,,,0,131405000.0,,,,,,,557376000.0,0,557376000.0,,,7405239000.0,20440000.0,20440000.0,,-42101000.0,-42101000.0,,-82384000.0,-82384000.0,,,-104045000.0,-104045000.0,,28617000.0,0,28617000.0,10857000.0,,
CPF,2025-02-26,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000701347-25-000007,38723000.0,-29316000.0,,,,-29316000.0,,,,-29316000.0,,,,,68039000.0,,68060000.0,53412000.0,68039000.0,,,,,,-21000,14627000.0,5856000.0,8771000.0,,306099000.0,,201907000.0,211733000.0,172591000.0,38723000.0,9826000.0,53412000.0,0,,53412000.0,,53412000.0,0,,0,1.97,1.97,27057329.0,27157120.0,,7472096000.0,7472096000.0,,,,,,0,,104342000.0,,,,6933711000.0,6933711000.0,,,,,0,156345000.0,,,,,,,538385000.0,0,538385000.0,,,7472096000.0,90519000.0,90519000.0,,654000.0,654000.0,,-232669000.0,-232669000.0,,,-141496000.0,-141496000.0,,61586000.0,0,61586000.0,8174000.0,,
CPF,2024-10-30,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000701347-24-000039,12734000.0,-4331000.0,,,,-4331000.0,,,,-4331000.0,,,,,17065000.0,,17058000.0,13305000.0,17065000.0,,,,,,7000,3760000.0,,12204000.0,,77897000.0,24046000.0,51018000.0,53851000.0,46687000.0,12734000.0,2833000.0,13305000.0,0,,13305000.0,,13305000.0,0,,0,0.49,0.49,27064035.0,27194625.0,,7415430000.0,7415430000.0,,,,,,0,,104575000.0,,,,6871705000.0,6871705000.0,,,,,0,156284000.0,,,,,,,543725000.0,0,543725000.0,,,7415430000.0,21266000.0,21266000.0,,12891000.0,12891000.0,,-6479000.0,-6479000.0,,,27678000.0,27678000.0,,31482000.0,0,31482000.0,18177000.0,,
CPF,2024-07-31,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000701347-24-000029,12121000.0,-8531000.0,,,,-8531000.0,,,,-8531000.0,,,,,20652000.0,,20603000.0,15817000.0,20652000.0,,,,,,49000,4835000.0,,-1487000.0,,75840000.0,23919000.0,49682000.0,51921000.0,41151000.0,12121000.0,2239000.0,15817000.0,0,,15817000.0,,15817000.0,0,,0,0.58,0.58,27053549.0,27116349.0,,7386952000.0,7386952000.0,,,,,,0,,100646000.0,,,,6868305000.0,-518647000.0,,,,,0,156223000.0,,,,,,,518647000.0,0,518647000.0,,,7386952000.0,25950000.0,25950000.0,,3494000.0,3494000.0,,-43435000.0,-43435000.0,,,-13991000.0,-13991000.0,,17449000.0,0,17449000.0,1632000.0,,
CPF,2024-04-24,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000701347-24-000016,11244000.0,-5675000.0,,,,-5675000.0,,,,-5675000.0,,,,,16919000.0,,16999000.0,12945000.0,16919000.0,,,,,,-80000,3974000.0,,2652000.0,,74402000.0,24215000.0,46251000.0,50187000.0,40576000.0,11244000.0,3936000.0,12945000.0,0,,12945000.0,,12945000.0,0,,0,0.48,0.48,27046525.0,27099101.0,,7409999000.0,7409999000.0,,,,,,0,,97688000.0,,,,6902796000.0,-507203000.0,,,,,0,156163000.0,,,,,,,507203000.0,0,507203000.0,,,7409999000.0,16996000.0,16996000.0,,10165000.0,10165000.0,,-236716000.0,-236716000.0,,,-209555000.0,-209555000.0,,11218000.0,0,11218000.0,-1727000.0,,
CPF,2024-02-21,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000701347-24-000006,46663000.0,-30159000.0,,,,-30159000.0,,,,-30159000.0,,,,,76822000.0,,76844000.0,58669000.0,76822000.0,,,,,,-22000,18153000.0,6942000.0,11211000.0,,282657000.0,72657000.0,194302000.0,210000000.0,164143000.0,46663000.0,15698000.0,58669000.0,0,,58669000.0,,58669000.0,0,,0,2.17,2.17,27027681.0,27080518.0,,7642796000.0,7642796000.0,,,,,,0,,96184000.0,,,,7138981000.0,7138981000.0,,,,,0,156102000.0,,,,,,,503815000.0,0,503815000.0,,,7642796000.0,105112000.0,105112000.0,,179661000.0,179661000.0,,125620000.0,125620000.0,,,410393000.0,410393000.0,,80057000.0,0,80057000.0,21388000.0,,
CPF,2023-10-25,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000701347-23-000041,8517000.0,-8973000.0,,,,-8973000.0,,,,-8973000.0,,,,,17490000.0,1530000.0,17477000.0,13141000.0,17490000.0,,,,,,13000,4349000.0,,-2270000.0,,72412000.0,20484000.0,47054000.0,51928000.0,39611000.0,10047000.0,4874000.0,13141000.0,0,,13141000.0,,13141000.0,0,,0,0.49,0.49,27042762.0,27079484.0,,7637924000.0,7637924000.0,,,,,,0,,97378000.0,,,,7169326000.0,7169326000.0,,,,,0,156041000.0,,,,,,,468598000.0,0,468598000.0,,,7637924000.0,35233000.0,35233000.0,,30609000.0,30609000.0,,61905000.0,61905000.0,,,127747000.0,127747000.0,,-1131000.0,0,-1131000.0,-14272000.0,,
CPF,2023-07-26,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000701347-23-000032,7781000.0,-11166000.0,,,,-11166000.0,,,,-11166000.0,,,,,18947000.0,2654000.0,19000000.0,14475000.0,18947000.0,,,,,,-53000,4472000.0,,2837000.0,,69324000.0,16590000.0,48415000.0,52734000.0,39903000.0,10435000.0,4319000.0,14475000.0,0,,14475000.0,,14475000.0,0,,0,0.54,0.53,27024043.0,27071478.0,,7567592000.0,7567592000.0,,,,,,0,,96479000.0,,,,7091313000.0,-476279000.0,,,,,0,155981000.0,,,,,,,476279000.0,0,476279000.0,,,7567592000.0,29999000.0,29999000.0,,55818000.0,55818000.0,,26385000.0,26385000.0,,,112202000.0,112202000.0,,11928000.0,0,11928000.0,-2547000.0,,
CPF,2023-04-26,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000701347-23-000019,6156000.0,-15090000.0,,,,-15090000.0,,,,-15090000.0,,,,,21246000.0,4853000.0,21218000.0,16187000.0,21246000.0,,,,,,28000,5059000.0,,8388000.0,,66808000.0,12612000.0,52344000.0,54196000.0,42107000.0,11009000.0,1852000.0,16187000.0,0,,16187000.0,,16187000.0,0,,0,0.6,0.6,26999138.0,27122012.0,,7521247000.0,7521247000.0,,,,,,0,,93761000.0,,,,7050321000.0,-470926000.0,,,,,0,155920000.0,,,,,,,470926000.0,0,470926000.0,,,7521247000.0,18268000.0,18268000.0,,-3045000.0,-3045000.0,,71515000.0,71515000.0,,,86738000.0,86738000.0,,27443000.0,0,27443000.0,11256000.0,,
CPF,2023-02-24,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000701347-23-000008,30403000.0,-68366000.0,,,,-68366000.0,,,,-68366000.0,,,,,98769000.0,17516000.0,98585000.0,73928000.0,98769000.0,,,,,,184000,24841000.0,-969000.0,25810000.0,,232656000.0,17093000.0,216836000.0,215563000.0,165986000.0,47919000.0,-1273000.0,73928000.0,0,,73928000.0,,73928000.0,0,,0,2.7,2.68,27398445.0,27567780.0,,7432763000.0,7432763000.0,,,,,,0,,91634000.0,,,,6979892000.0,6979892000.0,,,,,0,105859000.0,,,,,,,452871000.0,0,452871000.0,,,7432763000.0,114121000.0,114121000.0,,-384483000.0,-384483000.0,,53499000.0,53499000.0,,,-216863000.0,-216863000.0,,-62096000.0,0,-62096000.0,-136024000.0,,
