ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
CSX,2025-04-16,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000277948-25-000028,3423000000.0,2565000000.0,,,,2565000000.0,,,26000000.0,2382000000.0,,,,,1041000000.0,,,646000000.0,858000000.0,,,,,,,212000000.0,,13000000.0,,,,,,,,,646000000.0,0,,646000000.0,,646000000.0,0.0,,0,0.34,0.34,1890000000.0,1892000000.0,,43199000000.0,3020000000.0,,,,,,40179000000.0,,35858000000.0,,,4321000000.0,31024000000.0,3421000000.0,1315000000.0,,391000000.0,1715000000.0,27603000000.0,,,,,,,,12175000000.0,5000000.0,12170000000.0,,,43199000000.0,1255000000.0,1255000000.0,,-647000000.0,-647000000.0,,-402000000.0,-402000000.0,,,206000000.0,206000000.0,,651000000.0,0,651000000.0,651000000.0,,5000000.0
CSX,2025-02-27,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000277948-25-000008,14540000000.0,9985000000.0,,,,9985000000.0,,,142000000.0,9295000000.0,,,,,5245000000.0,,,3470000000.0,4555000000.0,,,,,,,1085000000.0,1073000000.0,12000000.0,,,,,,,,,3470000000.0,0,,3470000000.0,,3470000000.0,0.0,,0,1.79,1.79,1939000000.0,1943000000.0,0.48,42764000000.0,2820000000.0,,,,,,39944000000.0,,35658000000.0,194000000.0,,4092000000.0,30257000000.0,3276000000.0,1290000000.0,,480000000.0,1506000000.0,26981000000.0,,,,,,,,12507000000.0,5000000.0,12502000000.0,,,42764000000.0,5247000000.0,5247000000.0,,-2605000000.0,-2605000000.0,,-3062000000.0,-3062000000.0,,,-420000000.0,-420000000.0,,3517000000.0,0,3517000000.0,3517000000.0,,47000000.0
CSX,2024-10-17,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000277948-24-000054,3619000000.0,2435000000.0,,,,2435000000.0,,,36000000.0,2265000000.0,,,,,1354000000.0,,,894000000.0,1184000000.0,,,,,,,290000000.0,,5000000.0,,,,,,,,,894000000.0,0,,894000000.0,,894000000.0,0.0,,0,0.46,0.46,1936000000.0,1940000000.0,0.12,43069000000.0,3577000000.0,,,,,,39492000000.0,,35170000000.0,,,4322000000.0,30133000000.0,2569000000.0,1301000000.0,,470000000.0,798000000.0,27564000000.0,,,,,,,,12936000000.0,5000000.0,12931000000.0,,,43069000000.0,1686000000.0,1686000000.0,,-674000000.0,-674000000.0,,-606000000.0,-606000000.0,,,406000000.0,406000000.0,,895000000.0,0,895000000.0,895000000.0,,1000000.0
CSX,2024-08-05,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000277948-24-000047,3701000000.0,2434000000.0,,,,2434000000.0,,,28000000.0,2253000000.0,,,,,1448000000.0,,,963000000.0,1267000000.0,,,,,,,304000000.0,,7000000.0,,,,,,,,,963000000.0,0,,963000000.0,,963000000.0,0.0,,0,0.5,0.49,1944000000.0,1948000000.0,0.12,42362000000.0,3180000000.0,,,,,,39182000000.0,,34949000000.0,,,4233000000.0,29742000000.0,2739000000.0,1192000000.0,,469000000.0,1078000000.0,0.0,,,,,,,,12620000000.0,4000000.0,12620000000.0,,,42362000000.0,1107000000.0,1107000000.0,,-562000000.0,-562000000.0,,-790000000.0,-660000000.0,,,-115000000.0,-115000000.0,,966000000.0,0,966000000.0,966000000.0,,3000000.0
CSX,2024-04-18,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000277948-24-000032,3681000000.0,2496000000.0,,,,2496000000.0,,,41000000.0,2327000000.0,,,,,1337000000.0,,,880000000.0,1168000000.0,,,,,,,288000000.0,,7000000.0,,,,-210000000.0,-210000000.0,,,0.0,880000000.0,0,,880000000.0,,880000000.0,0.0,,0,0.45,0.45,1958000000.0,1962000000.0,0.12,42482000000.0,3447000000.0,,,,,,39035000000.0,,34825000000.0,,,4210000000.0,30041000000.0,3023000000.0,1306000000.0,,387000000.0,1331000000.0,27018000000.0,,,,,,,,12441000000.0,5000000.0,12441000000.0,,,42482000000.0,1066000000.0,1066000000.0,,-486000000.0,-486000000.0,,-450000000.0,-580000000.0,,,0.0,0.0,,886000000.0,0,886000000.0,886000000.0,,6000000.0
CSX,2024-02-14,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000277948-24-000010,14657000000.0,9766000000.0,,,,9766000000.0,,,139000000.0,9096000000.0,,,,,5561000000.0,,,3715000000.0,4891000000.0,,,,,,,1176000000.0,1036000000.0,140000000.0,,,,-809000000.0,-809000000.0,,,0.0,3715000000.0,0,,3715000000.0,,3715000000.0,0.0,,0,1.85,1.85,2008000000.0,2013000000.0,0.44,42408000000.0,3384000000.0,,,,,,39024000000.0,,34935000000.0,181000000.0,,3908000000.0,30275000000.0,3224000000.0,1237000000.0,,517000000.0,1470000000.0,27051000000.0,,,,,,,,12133000000.0,5000000.0,12128000000.0,,,42408000000.0,5549000000.0,5549000000.0,,-2287000000.0,-2287000000.0,,-3867000000.0,-3867000000.0,,,-605000000.0,-605000000.0,,3791000000.0,0,3791000000.0,3791000000.0,,76000000.0
CSX,2023-10-20,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000277948-23-000053,3572000000.0,2446000000.0,,,,2446000000.0,,,34000000.0,2277000000.0,,,,,1295000000.0,,,846000000.0,1126000000.0,,,,,,,280000000.0,,33000000.0,,,,-203000000.0,-203000000.0,,,0.0,846000000.0,0,,846000000.0,,846000000.0,0.0,,0,0.42,0.42,1994000000.0,1999000000.0,0.11,41850000000.0,3359000000.0,,,,,,38491000000.0,,34656000000.0,,,3835000000.0,29896000000.0,2934000000.0,1201000000.0,,441000000.0,1292000000.0,26962000000.0,,,,,,,,11954000000.0,4000000.0,11950000000.0,,,41850000000.0,1566000000.0,1566000000.0,,-575000000.0,-575000000.0,,-587000000.0,-587000000.0,,,404000000.0,404000000.0,,864000000.0,0,864000000.0,864000000.0,,18000000.0
CSX,2023-07-20,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000277948-23-000043,3699000000.0,2387000000.0,,,,2387000000.0,,,31000000.0,2217000000.0,,,,,1482000000.0,,,996000000.0,1312000000.0,,,,,,,316000000.0,,43000000.0,,,,-201000000.0,-201000000.0,,,0.0,996000000.0,0,,996000000.0,,996000000.0,0.0,,0,0.49,0.49,2020000000.0,2025000000.0,0.11,41217000000.0,2911000000.0,,,,,,38306000000.0,,34477000000.0,,,3829000000.0,28943000000.0,2055000000.0,1120000000.0,,444000000.0,491000000.0,0.0,,,,,,,,12274000000.0,4000000.0,12274000000.0,,,41217000000.0,1232000000.0,1232000000.0,,-500000000.0,-500000000.0,,-1067000000.0,-1067000000.0,,,-335000000.0,-335000000.0,,992000000.0,0,992000000.0,992000000.0,,-4000000.0
CSX,2023-04-20,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000277948-23-000027,3706000000.0,2402000000.0,,,,2402000000.0,,,41000000.0,2242000000.0,,,,,1464000000.0,,,987000000.0,1304000000.0,,,,,,,317000000.0,,35000000.0,,,,-201000000.0,-201000000.0,,,0.0,987000000.0,0,,987000000.0,,987000000.0,0.0,,0,0.48,0.48,2054000000.0,2058000000.0,0.11,41478000000.0,3355000000.0,,,,,,38123000000.0,,34293000000.0,,,3830000000.0,29144000000.0,2321000000.0,1203000000.0,,367000000.0,751000000.0,0.0,,,,,,,,12334000000.0,8000000.0,12334000000.0,,,41478000000.0,1251000000.0,1251000000.0,,-480000000.0,-480000000.0,,-1438000000.0,-1438000000.0,,,-667000000.0,-667000000.0,,989000000.0,0,989000000.0,989000000.0,,2000000.0
CSX,2023-02-15,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000277948-23-000006,14853000000.0,9439000000.0,,,,9439000000.0,,,133000000.0,8830000000.0,,,,,6023000000.0,,,4166000000.0,5414000000.0,,,,,,,1248000000.0,1131000000.0,117000000.0,,,,-742000000.0,-742000000.0,,,0.0,4166000000.0,0,,4166000000.0,,4166000000.0,0.0,,0,1.95,1.95,2136000000.0,2141000000.0,0.4,41912000000.0,3849000000.0,,,,,,38063000000.0,,34242000000.0,183000000.0,,3638000000.0,29287000000.0,2471000000.0,1130000000.0,,707000000.0,634000000.0,26816000000.0,,,,,,,,12625000000.0,10000000.0,12615000000.0,,,41912000000.0,5619000000.0,5619000000.0,,-2131000000.0,-2131000000.0,,-3769000000.0,-3769000000.0,,,-281000000.0,-281000000.0,,4186000000.0,0,4186000000.0,4186000000.0,,20000000.0
