ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
CUE,2025-05-12,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-069125,421000.0,12678000.0,,,,12678000.0,,,42000.0,12720000.0,,101000.0,8547000.0,4072000.0,-12299000.0,,,-12257000.0,-12257000.0,,,,,,,,,,,,,-128000.0,-128000.0,,,0.0,-12257000.0,0,,-12257000.0,,-12257000.0,0,,0,-0.17,-0.17,74254700.0,74254700.0,,22254000.0,15931000.0,,,,,,6323000.0,,523000.0,,,5800000.0,15674000.0,15498000.0,3784000.0,,,11714000.0,176000.0,,,,,,,,6580000.0,0,6580000.0,,,22254000.0,-8172000.0,-8172000.0,,-150000.0,-150000.0,,-1000000.0,-1000000.0,,,-9322000.0,-9322000.0,,-12257000.0,0,-12257000.0,0.0,,
CUE,2025-03-31,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-047677,9287000.0,49961000.0,,,,49961000.0,,,826000.0,50787000.0,,397000.0,36295000.0,14095000.0,-41500000.0,,,-40674000.0,-40674000.0,,,,,,,,,,,-696000.0,100000.0,-796000.0,-796000.0,,,0.0,-40674000.0,0,,-40674000.0,,-40674000.0,0,,0,-0.72,-0.72,56328348.0,56328348.0,,32191000.0,25138000.0,,,,,,7053000.0,,471000.0,,,6582000.0,14692000.0,13689000.0,2823000.0,,,10866000.0,1003000.0,,,,,,,,17499000.0,0,17499000.0,,,32191000.0,-36329000.0,-36329000.0,,32000.0,32000.0,,10243000.0,10243000.0,,,-26054000.0,-26054000.0,,-40674000.0,0,-40674000.0,0.0,,
CUE,2024-11-14,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-127005,3336000.0,0.0,,,,12151000.0,,,155000.0,12151000.0,,101000.0,9381000.0,2770000.0,-8815000.0,,,-8660000.0,3336000.0,,,,,,,,,,,,,-188000.0,-188000.0,,,0.0,-8660000.0,0,,-8660000.0,,-8660000.0,0,,0,-0.17,-0.17,51229701.0,51229701.0,,44810000.0,37256000.0,,,,,,7554000.0,,570000.0,,,6984000.0,19444000.0,16790000.0,6474000.0,,,10316000.0,2654000.0,1000000.0,1654000.0,,,,,,25366000.0,0,25366000.0,,,44810000.0,-7527000.0,-7527000.0,,98000.0,98000.0,,9821000.0,9821000.0,,,2392000.0,2392000.0,,-8660000.0,0,-8660000.0,-8660000.0,,
CUE,2024-08-14,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-096967,2658000.0,0.0,,,,13041000.0,,,212000.0,13041000.0,,99000.0,9530000.0,3511000.0,-10383000.0,,,-10171000.0,2658000.0,,,,,,,,,,,,,-215000.0,-215000.0,,,0.0,-10171000.0,0,,-10171000.0,,-10171000.0,0,,0,-0.2,-0.2,50174756.0,50174756.0,,42329000.0,33900000.0,,,,,,8429000.0,,667000.0,,,7762000.0,20707000.0,16459000.0,3906000.0,,,12553000.0,0.0,2000000.0,2248000.0,,,,,,21622000.0,0,21622000.0,,,42329000.0,-9990000.0,-9990000.0,,-10000.0,-10000.0,,-1000000.0,-1000000.0,,,-11000000.0,-11000000.0,,-10171000.0,0,-10171000.0,-10171000.0,,
CUE,2024-05-09,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-056838,1717000.0,14064000.0,,,,14064000.0,,,321000.0,14385000.0,,99000.0,10199000.0,4087000.0,-12668000.0,,,-12347000.0,-12347000.0,,,,,,,,,,,-208000.0,33000.0,-241000.0,-241000.0,,,0.0,-12347000.0,0,,-12347000.0,,-12347000.0,0,,0,-0.25,-0.25,49466711.0,49466711.0,,53951000.0,44669000.0,,,,,,9282000.0,,754000.0,,,8528000.0,23913000.0,18090000.0,3919000.0,,,14171000.0,0.0,3000000.0,2823000.0,,,,,,30038000.0,0,30038000.0,,,53951000.0,-9784000.0,-9784000.0,,-55000.0,-55000.0,,2354000.0,2354000.0,,,-7485000.0,-7485000.0,,-12347000.0,0,-12347000.0,0.0,,
CUE,2024-03-28,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-038059,5490000.0,56223000.0,,,,56223000.0,,,1416000.0,57639000.0,,556000.0,40802000.0,16281000.0,-52149000.0,,,-50733000.0,-50733000.0,,,,,,,,,,,-1115000.0,130000.0,-1245000.0,-1245000.0,,,0.0,-50733000.0,0,,-50733000.0,,-50733000.0,0,,0,-1.11,-1.11,45754794.0,45754794.0,,61530000.0,51454000.0,,,,,,10076000.0,,795000.0,,,9281000.0,24445000.0,17081000.0,3501000.0,,,13580000.0,7364000.0,4000000.0,3364000.0,,,,,,37085000.0,0,37085000.0,,,61530000.0,-39961000.0,-39961000.0,,25002000.0,25002000.0,,11860000.0,11860000.0,,,-3099000.0,-3099000.0,,-50637000.0,0,-50637000.0,96000.0,,
CUE,2023-11-03,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-058838,2100000.0,0.0,,,,13519000.0,,,414000.0,13519000.0,,130000.0,9874000.0,3645000.0,-11419000.0,,,-11005000.0,2100000.0,,,,,,,,,,,-32000.0,254000.0,-286000.0,-286000.0,,,0.0,-11005000.0,0,,-11005000.0,,-11005000.0,0,,0,-0.24,-0.24,46358555.0,46358555.0,,68888000.0,57517000.0,,,,,,11371000.0,,1064000.0,,,10307000.0,26222000.0,17207000.0,2480000.0,,,14727000.0,9015000.0,5000000.0,4015000.0,,,,,,42666000.0,0,42666000.0,,,68888000.0,-7799000.0,-7799000.0,,5000000.0,5000000.0,,4589000.0,4589000.0,,,1790000.0,1790000.0,,-11000000.0,0,-11000000.0,-11000000.0,,
CUE,2023-08-08,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-039770,1382000.0,0.0,,,,14899000.0,,,332000.0,14899000.0,,136000.0,10650000.0,4249000.0,-13517000.0,,,-13185000.0,1382000.0,,,,,,,,,,,118000.0,350000.0,-232000.0,-232000.0,,,0.0,-13185000.0,0,,-13185000.0,,-13185000.0,0,,0,-0.29,-0.29,44798760.0,44798760.0,,73163000.0,60935000.0,,,,,,12228000.0,,1192000.0,,,11036000.0,27159000.0,16307000.0,2356000.0,,,13951000.0,0.0,6000000.0,4852000.0,,,,,,46004000.0,0,46004000.0,,,73163000.0,-10371000.0,-10371000.0,,5000000.0,5000000.0,,2101000.0,2101000.0,,,-3270000.0,-3270000.0,,-13151000.0,0,-13151000.0,-13151000.0,,
CUE,2023-05-09,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-019646,187000.0,13296000.0,,,,13296000.0,,,271000.0,13567000.0,,177000.0,9391000.0,3999000.0,-13380000.0,,,-13109000.0,-13109000.0,,,,,,,,,,,-39583.0,330417.0,-370000.0,-370000.0,,,0.0,-13109000.0,0,,-13109000.0,,-13109000.0,0,,0,-0.29,-0.29,44652353.0,44652353.0,,81682000.0,68755000.0,,,,,,12927000.0,,1325000.0,,,11602000.0,26665000.0,13810000.0,2151000.0,,,11659000.0,0.0,7000000.0,5855000.0,,,,,,55017000.0,0,55017000.0,,,81682000.0,-10833000.0,-10833000.0,,15002000.0,15002000.0,,388000.0,388000.0,,,4557000.0,4557000.0,,-13052000.0,0,-13052000.0,57000.0,,
CUE,2023-03-21,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-008927,1245227.0,54255609.0,,,,54255609.0,,,214427.0,54470036.0,,922216.0,38578083.0,14969737.0,-53224809.0,,,-53010382.0,-53010382.0,,,,,,,0.0,,,,,,-713815.0,-713815.0,,,0.0,-53010382.0,0,,-53010382.0,,-53010382.0,0,,0,-1.49,-1.49,35649134.0,35649134.0,,91283452.0,77187474.0,,,,,,14095978.0,,1499263.0,,,12596715.0,25600877.0,11548535.0,2731123.0,,,8817412.0,14052342.0,8000000.0,6052342.0,,,,,,65682575.0,0,65682575.0,,,91283452.0,-41805954.0,-41805954.0,,-24609877.0,-24609877.0,,53659133.0,53659133.0,,,-12756698.0,-12756698.0,,-53106255.0,0,-53106255.0,-95873.0,,
