ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
D,2025-05-01,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-061558,4076000000.0,3328000000.0,,,,2853000000.0,,,,2853000000.0,,582000000.0,,2271000000.0,1223000000.0,,755000000.0,693000000.0,748000000.0,-1000000.0,,,,,-7000000.0,55000000.0,,82000000.0,480000000.0,,,,,,,,692000000.0,46000000.0,,646000000.0,,636000000.0,10000000.0,,10000000.0,0.75,0.75,852200000.0,852200000.0,,104555000000.0,6406000000.0,355000000.0,,1765000000.0,,4286000000.0,98149000000.0,,71169000000.0,,,26980000000.0,73833000000.0,8778000000.0,995000000.0,,,7783000000.0,65055000000.0,,,,,,,,30722000000.0,3357000000.0,27365000000.0,,,104555000000.0,1183000000.0,1183000000.0,,-3238000000.0,-3238000000.0,,2167000000.0,2167000000.0,,,112000000.0,112000000.0,,696000000.0,46000000.0,650000000.0,4000000.0,,
D,2025-02-27,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-028387,14459000000.0,12277000000.0,,,,11212000000.0,,,,11212000000.0,,2345000000.0,,8867000000.0,3247000000.0,,2179000000.0,1874000000.0,2182000000.0,197000000.0,,,,,3000000.0,308000000.0,-203000000.0,-302000000.0,1887000000.0,,,,,,,,2071000000.0,-53000000.0,,2124000000.0,,1849000000.0,275000000.0,,275000000.0,2.44,2.44,839200000.0,839400000.0,,102415000000.0,6613000000.0,310000000.0,,,315000000.0,5988000000.0,95802000000.0,,68862000000.0,1136000000.0,,25804000000.0,72223000000.0,9289000000.0,1149000000.0,,,8140000000.0,62934000000.0,39320000000.0,23614000000.0,,,,,,30192000000.0,2939000000.0,27253000000.0,,,102415000000.0,5018000000.0,5018000000.0,,-3183000000.0,-3183000000.0,,-1771000000.0,-1771000000.0,,,64000000.0,64000000.0,,2088000000.0,-53000000.0,2141000000.0,17000000.0,,
D,2024-11-01,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-119871,3941000000.0,2968000000.0,,,,2723000000.0,,,,2723000000.0,,549000000.0,,2174000000.0,1218000000.0,,,973000000.0,1150000000.0,-15000000.0,,,,,,183000000.0,,-220000000.0,403000000.0,,,,,,,,958000000.0,0.0,,958000000.0,,952000000.0,0.0,,0.0,1.12,1.12,839000000.0,839300000.0,,99820000000.0,7991000000.0,1776000000.0,,1717000000.0,,4498000000.0,91829000000.0,,65422000000.0,,,26407000000.0,72289000000.0,10832000000.0,937000000.0,,,9895000000.0,61457000000.0,,,,,,,,27531000000.0,0.0,27531000000.0,,,99820000000.0,1539000000.0,1539000000.0,,-1035000000.0,-1035000000.0,,1191000000.0,1191000000.0,,,1695000000.0,1695000000.0,,987000000.0,0.0,987000000.0,33000000.0,,
D,2024-08-01,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-089020,3486000000.0,3003000000.0,,,,2681000000.0,,,,2681000000.0,,621000000.0,,2060000000.0,805000000.0,,,483000000.0,586000000.0,97000000.0,,,,,,95000000.0,,106000000.0,469000000.0,,,,,,,,580000000.0,0.0,,580000000.0,,463000000.0,0.0,,0.0,0.66,0.66,838300000.0,838300000.0,,100417000000.0,10752000000.0,140000000.0,,1758000000.0,,8854000000.0,89665000000.0,,63363000000.0,,,26302000000.0,73344000000.0,11506000000.0,917000000.0,,,10589000000.0,0.0,,,,,,,,27073000000.0,0.0,27073000000.0,,,100417000000.0,856000000.0,856000000.0,,-57000000.0,-57000000.0,,-928000000.0,-928000000.0,,,-129000000.0,-129000000.0,,629000000.0,0.0,629000000.0,57000000.0,,
D,2024-05-02,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-051708,3632000000.0,3309000000.0,,,,2799000000.0,,,,2799000000.0,,621000000.0,,2178000000.0,833000000.0,,,323000000.0,694000000.0,118000000.0,,,,,,134000000.0,,-160000000.0,574000000.0,,,,,,,,441000000.0,0.0,,441000000.0,,540000000.0,0.0,,0.0,0.5,0.5,837600000.0,837600000.0,,102005000000.0,16189000000.0,306000000.0,,1719000000.0,,14164000000.0,85816000000.0,,60556000000.0,,,25260000000.0,74584000000.0,15418000000.0,721000000.0,,,14697000000.0,0.0,,,,,,,,27421000000.0,0.0,27421000000.0,,,102005000000.0,1982000000.0,1982000000.0,,1385000000.0,1385000000.0,,-3332000000.0,-3332000000.0,,,35000000.0,35000000.0,,436000000.0,0.0,436000000.0,-238000000.0,,
D,2024-02-23,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-019110,14393000000.0,11661000000.0,,,,10979000000.0,,,,10979000000.0,,2580000000.0,,8399000000.0,3414000000.0,,2758000000.0,2157000000.0,2732000000.0,-163000000.0,,,,,-26000000.0,575000000.0,-484000000.0,1471000000.0,1674000000.0,,,,,,,,1994000000.0,0.0,,1994000000.0,,2076000000.0,-82000000.0,,-82000000.0,2.29,2.29,836400000.0,836500000.0,,109032000000.0,25387000000.0,217000000.0,,,246000000.0,24924000000.0,83645000000.0,,58780000000.0,945000000.0,,23920000000.0,81503000000.0,24476000000.0,921000000.0,,,23555000000.0,57027000000.0,40206000000.0,16821000000.0,,,,,,27529000000.0,0.0,27529000000.0,,,109032000000.0,6572000000.0,6572000000.0,,-7207000000.0,-7207000000.0,,595000000.0,595000000.0,,,-40000000.0,-40000000.0,,2060000000.0,0.0,2060000000.0,66000000.0,,
D,2023-11-08,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-061178,3810000000.0,3112000000.0,,,,2775000000.0,,,,2781000000.0,,663000000.0,,2112000000.0,1029000000.0,,529000000.0,698000000.0,899000000.0,-541000000.0,,,,,-163000000.0,182000000.0,,,192000000.0,,,,,,,,157000000.0,0.0,,157000000.0,,697000000.0,0.0,,0.0,0.16,0.16,836800000.0,836800000.0,,105943000000.0,24679000000.0,176000000.0,,1633000000.0,,22870000000.0,81264000000.0,,56161000000.0,,,25103000000.0,77915000000.0,21633000000.0,756000000.0,,,20877000000.0,56282000000.0,,,,,,,,28028000000.0,0.0,28028000000.0,,,105943000000.0,1992000000.0,1992000000.0,,923000000.0,923000000.0,,-2983000000.0,-2983000000.0,,,-68000000.0,-68000000.0,,164000000.0,0.0,164000000.0,1000000.0,,
D,2023-08-04,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-038380,3166000000.0,2751000000.0,,,,3072000000.0,,,,2572000000.0,,706000000.0,,2366000000.0,594000000.0,,617000000.0,415000000.0,707000000.0,168000000.0,,,,,90000000.0,121000000.0,,,430000000.0,,,,,,,,583000000.0,0.0,,583000000.0,,566000000.0,0.0,,0.0,0.67,0.67,836000000.0,836200000.0,,106064000000.0,7977000000.0,137000000.0,,1826000000.0,,6014000000.0,98087000000.0,,66543000000.0,,,31544000000.0,77636000000.0,13986000000.0,997000000.0,,,12989000000.0,0.0,,,,,,,,28428000000.0,0.0,28428000000.0,,,106064000000.0,1097000000.0,1097000000.0,,-2712000000.0,-2712000000.0,,-26000000.0,-26000000.0,,,-1641000000.0,-1641000000.0,,598000000.0,0.0,598000000.0,-1000000.0,,
D,2023-05-05,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-018141,3883000000.0,3183000000.0,,,,3807000000.0,,,,2804000000.0,,720000000.0,,3087000000.0,1079000000.0,,1143000000.0,700000000.0,1223000000.0,281000000.0,,,,,80000000.0,221000000.0,,,586000000.0,,,,,,,,981000000.0,0.0,,981000000.0,,982000000.0,0.0,,0.0,1.15,1.15,835200000.0,835500000.0,,105325000000.0,9605000000.0,1792000000.0,,1746000000.0,,6067000000.0,95720000000.0,,64625000000.0,,,31095000000.0,76969000000.0,12762000000.0,1125000000.0,,,11637000000.0,0.0,,,,,,,,28356000000.0,0.0,28356000000.0,,,105325000000.0,2097000000.0,2097000000.0,,-2302000000.0,-2302000000.0,,1820000000.0,1820000000.0,,,1615000000.0,1615000000.0,,1004000000.0,0.0,1004000000.0,7000000.0,,
D,2023-02-21,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-003287,17174000000.0,16121000000.0,,,,15578000000.0,,,,15578000000.0,,2830000000.0,,12748000000.0,1596000000.0,,754000000.0,985000000.0,1053000000.0,9000000.0,,,,,299000000.0,68000000.0,53000000.0,1000000.0,966000000.0,,,,,,,,994000000.0,0.0,,994000000.0,,892000000.0,102000000.0,,102000000.0,1.09,1.09,823900000.0,824800000.0,,104243000000.0,9850000000.0,153000000.0,,,392000000.0,9305000000.0,94393000000.0,,63460000000.0,868000000.0,,30065000000.0,76362000000.0,13450000000.0,1825000000.0,,,11625000000.0,62912000000.0,41872000000.0,21040000000.0,,,,,,27881000000.0,0.0,27881000000.0,0.0,,104243000000.0,3700000000.0,3700000000.0,,-6746000000.0,-6746000000.0,,2979000000.0,2979000000.0,,,-67000000.0,-67000000.0,,880000000.0,0.0,880000000.0,-114000000.0,,
D,2022-11-04,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-036712,4386000000.0,3481000000.0,,,,3314000000.0,,,,3314000000.0,,727000000.0,,2587000000.0,1072000000.0,,813000000.0,781000000.0,905000000.0,-3000000.0,,,,,92000000.0,124000000.0,,,329000000.0,,,,,,,,778000000.0,0.0,,778000000.0,,761000000.0,17000000.0,,17000000.0,0.91,0.91,832600000.0,833200000.0,,103535000000.0,8699000000.0,163000000.0,,1766000000.0,,6770000000.0,94836000000.0,,62894000000.0,,,31942000000.0,74962000000.0,12172000000.0,1105000000.0,,,11067000000.0,62790000000.0,,,,,,,,28573000000.0,0.0,28573000000.0,,,103535000000.0,1310000000.0,1310000000.0,,629000000.0,629000000.0,,-2006000000.0,-2006000000.0,,,-67000000.0,-67000000.0,,800000000.0,0.0,800000000.0,22000000.0,,
D,2022-08-08,2022,Q2,2022-04-01,2022-06-30,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-028336,3596000000.0,4165000000.0,,,,3914000000.0,,,,3914000000.0,,695000000.0,,3219000000.0,-318000000.0,,-652000000.0,-452000000.0,-569000000.0,-1000000.0,,,,,83000000.0,-117000000.0,,,47000000.0,,,,,,,,-453000000.0,0.0,,-453000000.0,,-477000000.0,24000000.0,,24000000.0,-0.58,-0.58,818400000.0,818400000.0,,103678000000.0,11388000000.0,273000000.0,,1584000000.0,,9531000000.0,92290000000.0,,61264000000.0,,,31026000000.0,75381000000.0,13166000000.0,1130000000.0,,,12036000000.0,0.0,,,,,,,,28297000000.0,0.0,28297000000.0,,,103678000000.0,236000000.0,236000000.0,,-3574000000.0,-3574000000.0,,3151000000.0,3151000000.0,,,-187000000.0,-187000000.0,,-413000000.0,0.0,-413000000.0,40000000.0,,
D,2022-05-05,2022,Q1,2022-01-01,2022-03-31,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-018135,4279000000.0,3351000000.0,,,,3303000000.0,,,,3303000000.0,,698000000.0,,2605000000.0,976000000.0,,848000000.0,692000000.0,928000000.0,19000000.0,,,,,80000000.0,236000000.0,,,174000000.0,,,,,,,,711000000.0,0.0,,711000000.0,,665000000.0,46000000.0,,46000000.0,0.84,0.83,810600000.0,832000000.0,,100852000000.0,8383000000.0,446000000.0,,1512000000.0,,6425000000.0,92469000000.0,,60121000000.0,,,32348000000.0,71722000000.0,10581000000.0,1090000000.0,,,9491000000.0,0.0,,,,,,,,27520000000.0,0.0,27520000000.0,1610000000.0,,100852000000.0,1125000000.0,1125000000.0,,-1574000000.0,-1574000000.0,,635000000.0,635000000.0,,,186000000.0,186000000.0,,733000000.0,0.0,733000000.0,22000000.0,,
D,2022-02-24,2021,FY,2021-01-01,2021-12-31,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-006589,13964000000.0,10866000000.0,,,,10945000000.0,,,,10945000000.0,,2478000000.0,,8467000000.0,3019000000.0,,2822000000.0,2673000000.0,3098000000.0,641000000.0,,,,,276000000.0,425000000.0,-117000000.0,425000000.0,1354000000.0,,,,,,,,3314000000.0,26000000.0,,3288000000.0,,2579000000.0,709000000.0,,709000000.0,3.98,3.98,807800000.0,808500000.0,,99590000000.0,7269000000.0,283000000.0,,,328000000.0,6658000000.0,92321000000.0,,59774000000.0,784000000.0,,31763000000.0,70672000000.0,8673000000.0,1197000000.0,,,7476000000.0,61999000000.0,,,,,,,,27308000000.0,0.0,27308000000.0,1610000000.0,,99590000000.0,4037000000.0,4037000000.0,,-6247000000.0,-6247000000.0,,2371000000.0,2371000000.0,,,161000000.0,161000000.0,,3573000000.0,26000000.0,3547000000.0,259000000.0,,
