ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
DEA,2025-04-29,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-060207,78675000.0,75392000.0,17799000.0,,,58837000.0,60876000.0,,,41038000.0,,26797000.0,,14241000.0,19838000.0,,1461000.0,3283000.0,3283000.0,,,,,,1822000.0,,,,,,,,,,,-238000.0,3283000.0,156000.0,,3127000.0,,2920000.0,207000.0,,207000.0,0.07,0.07,43224145.0,43372207.0,0.66,3224607000.0,3224607000.0,,,,,,0,,,155663000.0,,,1826049000.0,1826049000.0,,,,,0,1601132000.0,,,,,,,1398558000.0,64867000.0,1333691000.0,,,3224607000.0,24187000.0,24187000.0,,-45239000.0,-45239000.0,,10737000.0,10737000.0,,,-10315000.0,-10315000.0,,-549000.0,-22000.0,-527000.0,-3832000.0,-178000.0,
DEA,2025-02-25,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-026749,302052000.0,281474000.0,70151000.0,,,225263000.0,231901000.0,,,155112000.0,,96333000.0,,58779000.0,76789000.0,,14527000.0,20578000.0,20578000.0,,,,,,6051000.0,0.0,,,,,,,,,,1527000.0,20578000.0,1025000.0,,19553000.0,,18999000.0,554000.0,,554000.0,0.18,0.18,103443951.0,103758546.0,1.06,3223071000.0,3223071000.0,,,,,,0,,,161425000.0,,,1835954000.0,1835954000.0,,,,,0,1598821000.0,,,,,,,1387117000.0,65999000.0,1321118000.0,,,3223071000.0,162635000.0,162635000.0,,-409645000.0,-409645000.0,,252875000.0,252875000.0,,,5865000.0,5865000.0,,19301000.0,936000.0,18365000.0,-1277000.0,-89000.0,
DEA,2024-11-05,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-121530,74781000.0,69666000.0,16710000.0,,,55032000.0,58071000.0,,,38322000.0,,23795000.0,,14527000.0,19749000.0,,3540000.0,5115000.0,5115000.0,,,,,,1575000.0,,,,,,,,,,,1260000.0,5115000.0,252000.0,,4863000.0,,4715000.0,148000.0,,148000.0,0.05,0.05,103515246.0,103904581.0,0.265,3103111000.0,3103111000.0,,,,,,0,,,146204000.0,,,1721477000.0,1721477000.0,,,,,0,1474577000.0,,,,,,,1381634000.0,66459000.0,1315175000.0,,,3103111000.0,57174000.0,57174000.0,,-124963000.0,-124963000.0,,79757000.0,79757000.0,,,11968000.0,11968000.0,,3163000.0,155000.0,3008000.0,-1952000.0,-97000.0,
DEA,2024-07-31,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-088240,76221000.0,71371000.0,18118000.0,,,57583000.0,58103000.0,,,39465000.0,,24086000.0,,15379000.0,18638000.0,,3473000.0,4850000.0,4850000.0,,,,,,1377000.0,,,,,,,,,,,,4850000.0,239000.0,,4611000.0,,4476000.0,135000.0,,135000.0,0.04,0.04,102913974.0,103200622.0,0.265,2996038000.0,2996038000.0,,,,,,0,,,147510000.0,,,1623564000.0,-1372474000.0,,,,,0,1400903000.0,,,,,,,1372474000.0,0.0,1304852000.0,,,2996038000.0,57017000.0,57017000.0,,-101381000.0,-101381000.0,,15501000.0,15501000.0,,,-28863000.0,-28863000.0,,4419000.0,217000.0,4202000.0,-431000.0,-22000.0,
DEA,2024-04-30,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-050565,72800000.0,67916000.0,16592000.0,,,55495000.0,56208000.0,,,38903000.0,,23800000.0,,15103000.0,17305000.0,,3469000.0,4884000.0,4884000.0,,,,,,1415000.0,,,,,,,,,,,,4884000.0,258000.0,,4626000.0,,4478000.0,148000.0,,148000.0,0.04,0.04,101993143.0,102235012.0,0.265,2942815000.0,2942815000.0,,,,,,0,,,143044000.0,,,1554969000.0,-1387846000.0,,,,,0,1358988000.0,,,,,,,1387846000.0,0.0,1318565000.0,,,2942815000.0,23891000.0,23891000.0,,-24903000.0,-24903000.0,,35175000.0,35175000.0,,,34163000.0,34163000.0,,5786000.0,278000.0,5508000.0,902000.0,20000.0,
DEA,2024-02-27,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-021249,287227000.0,266167000.0,71964000.0,,,222496000.0,215263000.0,,,150532000.0,,91292000.0,,59240000.0,64731000.0,,15562000.0,21060000.0,21060000.0,,,,,,5498000.0,0.0,,,,,,,,,,,21060000.0,2256000.0,,18804000.0,,18205000.0,599000.0,,599000.0,0.19,0.19,94264166.0,94556055.0,1.06,2879752000.0,2879752000.0,,,,,,0,,,148453000.0,,,1470236000.0,1470236000.0,,,,,0,1294835000.0,,,,,,,1409516000.0,87315000.0,1322201000.0,,,2879752000.0,114479000.0,114479000.0,,-127008000.0,-127008000.0,,17194000.0,17194000.0,,,4665000.0,4665000.0,,19035000.0,1906000.0,17129000.0,-2025000.0,-350000.0,
DEA,2023-10-31,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-056902,72014000.0,65933000.0,18746000.0,,,55233000.0,53268000.0,,,36487000.0,,22245000.0,,14242000.0,16781000.0,,4735000.0,6081000.0,6081000.0,,,,,,1346000.0,,,,,,,,,,,,6081000.0,707000.0,,5374000.0,,5223000.0,151000.0,,151000.0,0.06,0.06,93537121.0,93849444.0,0.265,2825479000.0,2825479000.0,,,,,,0,,,140505000.0,,,1390259000.0,1390259000.0,,,,,0,1216841000.0,,,,,,,1435220000.0,164394000.0,1270826000.0,,,2825479000.0,37893000.0,37893000.0,,-27692000.0,-27692000.0,,1462000.0,1462000.0,,,11663000.0,11663000.0,,5971000.0,685000.0,5286000.0,-110000.0,-22000.0,
DEA,2023-08-08,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-039895,71373000.0,65595000.0,17629000.0,,,55335000.0,53744000.0,,,37706000.0,,22619000.0,,15087000.0,16038000.0,,4360000.0,5778000.0,5778000.0,,,,,,1418000.0,,,,,,,,,,,,5778000.0,675000.0,,5103000.0,,4952000.0,151000.0,,151000.0,0.05,0.05,93358851.0,93641382.0,0.265,2807963000.0,2807963000.0,,,,,,0,,,145837000.0,,,1385896000.0,-1422067000.0,,,,,0,1221180000.0,,,,,,,1422067000.0,0.0,1256536000.0,,,2807963000.0,37427000.0,37427000.0,,-10391000.0,-10391000.0,,-25723000.0,-25723000.0,,,1313000.0,1313000.0,,8885000.0,1037000.0,7848000.0,3107000.0,362000.0,
DEA,2023-05-02,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-016718,71220000.0,66806000.0,17888000.0,,,56193000.0,53332000.0,,,38305000.0,,23081000.0,,15224000.0,15027000.0,,3012000.0,4414000.0,4414000.0,,,,,,1402000.0,,,,,,,,,,,,4414000.0,523000.0,,3891000.0,,3743000.0,148000.0,,148000.0,0.04,0.04,91099357.0,91329140.0,0.265,2819286000.0,2819286000.0,,,,,,0,,,151335000.0,,,1379247000.0,-1440039000.0,,,,,0,1218692000.0,,,,,,,1440039000.0,0.0,1272511000.0,,,2819286000.0,21625000.0,21625000.0,,-10576000.0,-10576000.0,,-7850000.0,-7850000.0,,,3199000.0,3199000.0,,2401000.0,283000.0,2118000.0,-2013000.0,-240000.0,
DEA,2023-02-28,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-005057,293606000.0,258044000.0,66781000.0,,,222090000.0,226825000.0,,,155309000.0,,98254000.0,,57055000.0,71516000.0,,32188000.0,35562000.0,35562000.0,,,,,,3374000.0,,,,,,,,,,,,35562000.0,4088000.0,,31474000.0,,30928000.0,546000.0,,546000.0,0.34,0.34,90613966.0,90948701.0,1.06,2829385000.0,2829385000.0,,,,,,0,,,157282000.0,,,1418403000.0,1418403000.0,,,,,0,1251371000.0,,,,,,,1410982000.0,166101000.0,1244881000.0,,,2829385000.0,125941000.0,125941000.0,,-69103000.0,-69103000.0,,-59707000.0,-59707000.0,,,-2869000.0,-2869000.0,,45281000.0,5189000.0,40092000.0,9719000.0,1101000.0,
