ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
DGX,2025-04-23,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001022079-25-000120,2652000000.0,2376000000.0,1789000000.0,,,2306000000.0,863000000.0,,-70000000.0,517000000.0,476000000.0,,,41000000.0,346000000.0,,276000000.0,217000000.0,276000000.0,,,,,,18000000.0,59000000.0,,7000000.0,,5000000.0,,-67000000.0,-67000000.0,,,0,235000000.0,15000000.0,,220000000.0,,220000000.0,0.0,,0.0,1.97,1.94,111000000.0,113000000.0,,15797000000.0,2075000000.0,,,189000000.0,,1886000000.0,13722000000.0,,2098000000.0,1725000000.0,,9899000000.0,8835000000.0,1441000000.0,,,,,7394000000.0,,,,81000000.0,,,,6962000000.0,33000000.0,6929000000.0,81000000.0,,15797000000.0,314000000.0,314000000.0,,-115000000.0,-115000000.0,,-561000000.0,-561000000.0,,1000000.0,-361000000.0,-362000000.0,,240000000.0,15000000.0,225000000.0,5000000.0,,
DGX,2025-02-20,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001022079-25-000044,9872000000.0,8697000000.0,6628000000.0,,,8526000000.0,3244000000.0,,-171000000.0,1898000000.0,1770000000.0,,,128000000.0,1346000000.0,,1175000000.0,902000000.0,1175000000.0,,,,,,19000000.0,273000000.0,,13000000.0,,25000000.0,,-201000000.0,-201000000.0,,,0,921000000.0,50000000.0,,871000000.0,,871000000.0,5000000.0,,0.0,7.78,7.69,111000000.0,113000000.0,,16153000000.0,2392000000.0,,,188000000.0,,2204000000.0,13761000000.0,,2113000000.0,1763000000.0,,9885000000.0,9257000000.0,2169000000.0,,,479000000.0,1690000000.0,7088000000.0,6217000000.0,871000000.0,,83000000.0,,,,6813000000.0,35000000.0,6778000000.0,83000000.0,,16153000000.0,1334000000.0,1334000000.0,,-2548000000.0,-2548000000.0,,1084000000.0,1084000000.0,,-7000000.0,-137000000.0,-130000000.0,,847000000.0,50000000.0,797000000.0,-74000000.0,,
DGX,2024-10-23,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001022079-24-000190,2488000000.0,2192000000.0,1677000000.0,,,2158000000.0,811000000.0,,-34000000.0,481000000.0,448000000.0,,,33000000.0,330000000.0,,296000000.0,231000000.0,296000000.0,,,,,,6000000.0,65000000.0,,15000000.0,,9000000.0,,-49000000.0,-49000000.0,,,0,237000000.0,11000000.0,,226000000.0,,226000000.0,0.0,,0.0,2.01,1.99,112000000.0,113000000.0,,16095000000.0,2623000000.0,,,184000000.0,,2439000000.0,13472000000.0,,2093000000.0,1716000000.0,,9663000000.0,9254000000.0,2092000000.0,,,,,7162000000.0,6251000000.0,911000000.0,,80000000.0,,,,6841000000.0,32000000.0,6809000000.0,80000000.0,,16095000000.0,356000000.0,356000000.0,,-1633000000.0,-1633000000.0,,1770000000.0,1770000000.0,,,493000000.0,493000000.0,,241000000.0,11000000.0,230000000.0,4000000.0,,
DGX,2024-07-24,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001022079-24-000156,2397000000.0,2083000000.0,1593000000.0,,,2042000000.0,804000000.0,,-41000000.0,449000000.0,416000000.0,,,33000000.0,355000000.0,,314000000.0,240000000.0,314000000.0,,,,,,0.0,74000000.0,,-18000000.0,,3000000.0,47000000.0,-44000000.0,-44000000.0,,,0,240000000.0,11000000.0,,229000000.0,,229000000.0,0.0,,0.0,2.05,2.03,111000000.0,112000000.0,,13881000000.0,2017000000.0,,,182000000.0,,1835000000.0,11864000000.0,,1832000000.0,1202000000.0,,8830000000.0,-6656000000.0,2012000000.0,,,,,0.0,,,,79000000.0,,,,6656000000.0,39000000.0,6617000000.0,79000000.0,,13881000000.0,360000000.0,360000000.0,,-200000000.0,-200000000.0,,-363000000.0,-363000000.0,,,-203000000.0,-203000000.0,,237000000.0,11000000.0,226000000.0,-3000000.0,,
DGX,2024-04-24,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001022079-24-000099,2366000000.0,2100000000.0,1595000000.0,,,2066000000.0,771000000.0,,-34000000.0,471000000.0,440000000.0,,,31000000.0,300000000.0,,266000000.0,200000000.0,266000000.0,,,,,,8000000.0,66000000.0,,-18000000.0,,6000000.0,49000000.0,-43000000.0,-43000000.0,,,0,208000000.0,14000000.0,,194000000.0,,194000000.0,0.0,,0.0,1.74,1.72,111000000.0,112000000.0,,13954000000.0,2228000000.0,,,181000000.0,,2047000000.0,11726000000.0,,1810000000.0,1192000000.0,,8724000000.0,-6469000000.0,2298000000.0,,,,,0.0,,,,77000000.0,,,,6469000000.0,37000000.0,6432000000.0,77000000.0,,13954000000.0,154000000.0,154000000.0,,-213000000.0,-213000000.0,,-153000000.0,-153000000.0,,,-212000000.0,-212000000.0,,206000000.0,14000000.0,192000000.0,-2000000.0,,
DGX,2024-02-22,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001022079-24-000041,9252000000.0,8122000000.0,6199000000.0,,,7990000000.0,3053000000.0,,-132000000.0,1791000000.0,1642000000.0,,,149000000.0,1262000000.0,,1130000000.0,882000000.0,1130000000.0,,,,,,26000000.0,248000000.0,,-49000000.0,,11000000.0,163000000.0,-152000000.0,-152000000.0,,,0,908000000.0,54000000.0,,854000000.0,,854000000.0,4000000.0,,0.0,7.59,7.49,112000000.0,113000000.0,,14022000000.0,2372000000.0,,,190000000.0,,2182000000.0,11650000000.0,,1816000000.0,1166000000.0,,8668000000.0,7680000000.0,1815000000.0,,,381000000.0,1434000000.0,5865000000.0,4713000000.0,1152000000.0,,76000000.0,,,,6342000000.0,35000000.0,6307000000.0,76000000.0,,14022000000.0,1272000000.0,1272000000.0,,-1061000000.0,-1061000000.0,,160000000.0,160000000.0,,,371000000.0,371000000.0,,915000000.0,54000000.0,861000000.0,7000000.0,,
DGX,2023-10-25,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001022079-23-000157,2295000000.0,1996000000.0,1541000000.0,,,1953000000.0,754000000.0,,-43000000.0,412000000.0,380000000.0,,,32000000.0,342000000.0,,299000000.0,231000000.0,299000000.0,,,,,,6000000.0,68000000.0,,-23000000.0,,1000000.0,41000000.0,-40000000.0,-40000000.0,,,0,237000000.0,12000000.0,,225000000.0,,225000000.0,0.0,,0.0,1.99,1.96,112000000.0,114000000.0,,13482000000.0,1815000000.0,,,184000000.0,,1631000000.0,11667000000.0,,1830000000.0,1219000000.0,,8618000000.0,6943000000.0,1618000000.0,,,,,5325000000.0,,,,76000000.0,,,,6463000000.0,38000000.0,6425000000.0,76000000.0,,13482000000.0,207000000.0,207000000.0,,-107000000.0,-107000000.0,,-83000000.0,-83000000.0,,,17000000.0,17000000.0,,233000000.0,12000000.0,221000000.0,-4000000.0,,
DGX,2023-07-27,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001022079-23-000136,2338000000.0,2021000000.0,1546000000.0,,,1990000000.0,792000000.0,,-31000000.0,444000000.0,416000000.0,,,28000000.0,348000000.0,,317000000.0,242000000.0,317000000.0,,,,,,7000000.0,75000000.0,,-12000000.0,,2000000.0,39000000.0,-37000000.0,-37000000.0,,,0,249000000.0,14000000.0,,235000000.0,,235000000.0,0.0,,0.0,2.08,2.05,112000000.0,114000000.0,,13425000000.0,1733000000.0,,,184000000.0,,1549000000.0,11692000000.0,,1814000000.0,1247000000.0,,8631000000.0,-6364000000.0,1875000000.0,,,,,0.0,,,,77000000.0,,,,6287000000.0,38000000.0,6249000000.0,77000000.0,,13425000000.0,444000000.0,444000000.0,,-682000000.0,-682000000.0,,189000000.0,189000000.0,,,-49000000.0,-49000000.0,,251000000.0,14000000.0,237000000.0,2000000.0,,
DGX,2023-04-28,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001022079-23-000093,2331000000.0,2054000000.0,1560000000.0,,,2026000000.0,771000000.0,,-28000000.0,466000000.0,439000000.0,,,27000000.0,305000000.0,,277000000.0,212000000.0,277000000.0,,,,,,5000000.0,65000000.0,,-4000000.0,,2000000.0,37000000.0,-35000000.0,-35000000.0,,,0,217000000.0,15000000.0,,202000000.0,,202000000.0,0.0,,0.0,1.8,1.78,112000000.0,113000000.0,,12794000000.0,1814000000.0,,,190000000.0,,1624000000.0,10980000000.0,,1795000000.0,1077000000.0,,8108000000.0,-6165000000.0,1355000000.0,,,,,0.0,,,,77000000.0,,,,6088000000.0,38000000.0,6050000000.0,77000000.0,,12794000000.0,94000000.0,94000000.0,,-158000000.0,-158000000.0,,-76000000.0,-76000000.0,,,-140000000.0,-140000000.0,,220000000.0,15000000.0,205000000.0,3000000.0,,
DGX,2023-02-21,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001022079-23-000018,9883000000.0,8648000000.0,6450000000.0,,,8455000000.0,3433000000.0,,-193000000.0,2005000000.0,1874000000.0,,,131000000.0,1428000000.0,,1235000000.0,971000000.0,1235000000.0,,,,,,44000000.0,264000000.0,,1000000.0,,10000000.0,148000000.0,-138000000.0,-138000000.0,,,0,1015000000.0,69000000.0,,946000000.0,,946000000.0,4000000.0,,0.0,8.1,7.97,116000000.0,118000000.0,,12837000000.0,1898000000.0,,,192000000.0,,1706000000.0,10939000000.0,,1766000000.0,1092000000.0,,8081000000.0,6907000000.0,1551000000.0,,,428000000.0,1123000000.0,5356000000.0,3980000000.0,1376000000.0,,77000000.0,,,,5930000000.0,37000000.0,5893000000.0,77000000.0,,12837000000.0,1718000000.0,1718000000.0,,-543000000.0,-543000000.0,,-1732000000.0,-1732000000.0,,,-557000000.0,-557000000.0,,1008000000.0,69000000.0,939000000.0,-7000000.0,,
