ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
DSS,2025-05-15,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001641172-25-010712,4954000.0,10317000.0,,,,10317000.0,,,,8680000.0,3493000.0,523000.0,,4664000.0,-3726000.0,,-5360000.0,-5296000.0,-5363000.0,,,,,,-3000.0,-67000.0,,,,,33000.0,,,,,,-5296000.0,-519000.0,,-4777000.0,,-4777000.0,0,,0,,,8685925.0,8685925.0,,92435000.0,52822000.0,,2627000.0,2499000.0,,47696000.0,39613000.0,,5238000.0,,,34375000.0,62614000.0,54048000.0,2431000.0,,,51617000.0,8566000.0,49283000.0,,,,,,,29821000.0,11958000.0,17863000.0,,,92435000.0,-1638000.0,-1638000.0,,12876000.0,12876000.0,,-11694000.0,-11694000.0,,,-456000.0,-456000.0,,-5296000.0,0,-5296000.0,0.0,,
DSS,2025-03-31,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001641172-25-001576,19097000.0,72795000.0,,,,72795000.0,,,,61693000.0,38154000.0,2239000.0,278000.0,21022000.0,-42596000.0,,-53699000.0,-53706000.0,-53698000.0,,,,,,1000.0,8000.0,8000.0,,,,283000.0,,,,,,-53706000.0,-6810000.0,,-46896000.0,,-46896000.0,0,,0,-6.63,-6.63,7072377.0,7072377.0,,106453000.0,63817000.0,,,2442000.0,,61375000.0,42636000.0,,5381000.0,,,37255000.0,73737000.0,65028000.0,2793000.0,,,62235000.0,8709000.0,57183000.0,,,,,,,32716000.0,12477000.0,20239000.0,,,106453000.0,-9082000.0,-9082000.0,,8811000.0,8811000.0,,5087000.0,5087000.0,,,4816000.0,4816000.0,,-53706000.0,0,-53706000.0,0.0,,
DSS,2024-11-13,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001493152-24-045198,5599000.0,11300000.0,,,,11300000.0,,,,10270000.0,3667000.0,556000.0,,6603000.0,-4671000.0,,-5697000.0,-5701000.0,-5701000.0,,,,,,-4000.0,,,,,,53000.0,,,,,,-5701000.0,-418000.0,,-5283000.0,,-5283000.0,0,,0,-0.75,-0.75,7066772.0,7066772.0,,142657000.0,68806000.0,,,3307000.0,,65499000.0,73851000.0,,5860000.0,,,67991000.0,72979000.0,59081000.0,3399000.0,,,55682000.0,13898000.0,,,,,,,,69679000.0,17559000.0,52120000.0,,,142657000.0,-3607000.0,-3607000.0,,1140000.0,1140000.0,,3379000.0,3379000.0,,,912000.0,912000.0,,-5701000.0,0,-5701000.0,0.0,,
DSS,2024-08-13,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001493152-24-031643,4211000.0,9353000.0,,,,9353000.0,,,,9146000.0,3473000.0,554000.0,,5673000.0,-4935000.0,,-5150000.0,-4954000.0,-5142000.0,,,,,,8000.0,,,,,,142000.0,,,,,,-4954000.0,-271000.0,,-4683000.0,,-4683000.0,0,,0,-0.66,-0.66,7066772.0,7066772.0,,144448000.0,67698000.0,,,3572000.0,,64126000.0,76750000.0,,6054000.0,,,70696000.0,71298000.0,57666000.0,3430000.0,,,54236000.0,13632000.0,,,,,,,,73150000.0,17977000.0,55173000.0,,,144448000.0,-3424000.0,-3424000.0,,3679000.0,3679000.0,,1212000.0,1212000.0,,,1467000.0,1467000.0,,-4954000.0,0,-4954000.0,0.0,,
DSS,2024-05-14,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001493152-24-019277,3871000.0,8955000.0,,,,8955000.0,,,,8551000.0,3561000.0,582000.0,,4408000.0,-4680000.0,,-5083000.0,-5109000.0,-5084000.0,,,,,,-1000.0,,,,,,48000.0,,,,,,-5109000.0,-1037000.0,,-4072000.0,,-4072000.0,0,,0,-0.58,-0.58,7066772.0,7066772.0,,148500000.0,72164000.0,,,3627000.0,,68537000.0,76336000.0,,6225000.0,,,70111000.0,70396000.0,56213000.0,4084000.0,,,52129000.0,14183000.0,,,,,,,,78104000.0,18249000.0,59855000.0,,,148500000.0,-2150000.0,-2150000.0,,5097000.0,5097000.0,,-310000.0,-310000.0,,,2637000.0,2637000.0,,-5109000.0,0,-5109000.0,0.0,,
DSS,2024-03-27,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001493152-24-011519,30258000.0,127757000.0,,,,127757000.0,,,,51719000.0,25072000.0,,1147000.0,25500000.0,-21461000.0,,-97465000.0,-97503000.0,-97499000.0,,,,,,-34000.0,4000.0,4000.0,,,,553000.0,,,,,,-97503000.0,-16897000.0,,-80606000.0,,-80606000.0,0,,0,-11.52,-11.52,6996322.0,6996322.0,,153192000.0,74634000.0,,,2819000.0,,71815000.0,78558000.0,,6417000.0,,,72141000.0,69979000.0,55611000.0,3654000.0,,,51957000.0,14368000.0,55227000.0,,,,,,,83213000.0,19286000.0,63927000.0,,,153192000.0,-19194000.0,-19194000.0,,8936000.0,8936000.0,,-2417000.0,-2417000.0,,,-12675000.0,-12675000.0,,-97503000.0,0,-97503000.0,0.0,,
DSS,2023-11-14,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001493152-23-041176,4182000.0,10863000.0,,,,10863000.0,,,,9285000.0,3213000.0,,,6072000.0,-5103000.0,,-6675000.0,-6681000.0,-6681000.0,,,,,,-6000.0,,,,,732000.0,51000.0,682000.0,682000.0,,,0.0,-6681000.0,-2339000.0,,-4342000.0,,-4342000.0,0,,0,-0.03,-0.03,140264250.0,140264250.0,,196551000.0,24403000.0,,,3930000.0,,20473000.0,172148000.0,,12351000.0,,,159797000.0,68804000.0,53472000.0,2924000.0,,,50548000.0,15332000.0,,,,,,,,127747000.0,33447000.0,94300000.0,,,196551000.0,-1320000.0,-2952000.0,,-1491000.0,-1491000.0,,-325000.0,-325000.0,,,-4768000.0,-4768000.0,,-6681000.0,0,-6681000.0,0.0,,
DSS,2023-08-14,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001493152-23-028533,7233000.0,44956000.0,,,,44956000.0,,,,13683000.0,8851000.0,,,4832000.0,-6450000.0,,-37705000.0,-37723000.0,-37723000.0,,,,,,-18000.0,,,,,,138000.0,,,,,,-37723000.0,200000.0,,-37923000.0,,-37923000.0,0,,0,-0.27,-0.27,140140913.0,140140913.0,,204861000.0,29793000.0,,,5300000.0,,24493000.0,175068000.0,,12438000.0,,,162630000.0,70432000.0,55490000.0,3046000.0,,,52444000.0,14942000.0,,,,,,,,134429000.0,35785000.0,98644000.0,,,204861000.0,-5516000.0,-3884000.0,,1839000.0,1839000.0,,-22000.0,-22000.0,,,-2067000.0,-2067000.0,,-37723000.0,0,-37723000.0,0.0,,
DSS,2023-05-15,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001493152-23-017443,11926000.0,20559000.0,,,,20559000.0,,,,17506000.0,8973000.0,1334000.0,,7199000.0,-5580000.0,,-8629000.0,-8633000.0,-8633000.0,,,,,,-4000.0,,,,,,249000.0,,,,,,-8633000.0,-598000.0,,-8035000.0,,-8035000.0,0,,0,-0.06,-0.06,139017172.0,139017172.0,,226750000.0,41454000.0,,,7262000.0,,34192000.0,185296000.0,,13611000.0,,,171685000.0,78702000.0,64606000.0,5095000.0,,,59511000.0,14096000.0,,,,,,,,148048000.0,30521000.0,117527000.0,,,226750000.0,-14199000.0,-14199000.0,,11537000.0,11537000.0,,-2896000.0,-2896000.0,,,-5558000.0,-5558000.0,,-8633000.0,0,-8633000.0,0.0,,
DSS,2023-03-31,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001493152-23-010334,47307000.0,116797000.0,37463000.0,,,116797000.0,9844000.0,,,90994000.0,53531000.0,11463000.0,1256000.0,24744000.0,-43687000.0,,-69619000.0,-69662000.0,-69490000.0,,,,,,129000.0,172000.0,,38000.0,,,2910000.0,,,,,,-69662000.0,-9822000.0,,-59840000.0,,-59840000.0,0,,0,-0.54,-0.54,111622114.0,111622114.0,,248916000.0,47994000.0,,,7721000.0,,40273000.0,200922000.0,,13391000.0,,,187531000.0,92235000.0,73689000.0,5914000.0,,,67775000.0,18546000.0,,,,,,,,156681000.0,31119000.0,125562000.0,,,248916000.0,-26953000.0,-26953000.0,,-17969000.0,-17969000.0,,7617000.0,7617000.0,,,-37305000.0,-37305000.0,,-69662000.0,0,-69662000.0,0.0,,
