ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
DUK,2025-05-06,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001326160-25-000150,8218000000.0,6621000000.0,,,,5912000000.0,,,143000000.0,5875000000.0,,,,,2343000000.0,,1586000000.0,1404000000.0,1597000000.0,-4000000.0,,,-4000000.0,,11000000.0,193000000.0,,192000000.0,,,889000000.0,,,,,,1404000000.0,25000000.0,,1379000000.0,,1365000000.0,-1000000.0,,14000000.0,1.76,1.76,777000000.0,777000000.0,,187476000000.0,12775000000.0,,,,,,174701000000.0,,124874000000.0,,,49827000000.0,135682000000.0,16625000000.0,4442000000.0,,,12183000000.0,119057000000.0,,,,,,,,51794000000.0,1124000000.0,50670000000.0,,,187476000000.0,2177000000.0,2177000000.0,,-3300000000.0,-3300000000.0,,1238000000.0,1238000000.0,,,115000000.0,115000000.0,,1370000000.0,25000000.0,1345000000.0,-34000000.0,,
DUK,2025-02-27,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001326160-25-000072,30050000000.0,24856000000.0,,,,22457000000.0,,,652000000.0,22124000000.0,,,,,7926000000.0,,5203000000.0,4604000000.0,5194000000.0,10000000.0,,,,,-9000000.0,590000000.0,-332000000.0,939000000.0,,,3384000000.0,,,,,,4614000000.0,90000000.0,,4524000000.0,,4402000000.0,6000000.0,,122000000.0,5.71,5.71,772000000.0,772000000.0,,186343000000.0,12950000000.0,,,,,,173393000000.0,,123303000000.0,,,50090000000.0,135087000000.0,19357000000.0,5479000000.0,,,13878000000.0,115730000000.0,80689000000.0,35041000000.0,,,,,,51256000000.0,1129000000.0,50127000000.0,,,186343000000.0,12328000000.0,12328000000.0,,-13123000000.0,-13123000000.0,,859000000.0,859000000.0,,,64000000.0,64000000.0,,4848000000.0,90000000.0,4758000000.0,234000000.0,,
DUK,2024-11-07,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001326160-24-000181,8127000000.0,6674000000.0,,,,6017000000.0,,,181000000.0,5983000000.0,,,,,2144000000.0,,1438000000.0,1290000000.0,1453000000.0,25000000.0,,,-17000000.0,,15000000.0,163000000.0,,105000000.0,,,,,,,,,1315000000.0,34000000.0,,1281000000.0,,1226000000.0,-2000000.0,,55000000.0,1.6,1.6,772000000.0,773000000.0,,183566000000.0,12142000000.0,,,,,,171424000000.0,,121396000000.0,,,50028000000.0,133317000000.0,17427000000.0,3953000000.0,,,13474000000.0,115890000000.0,,,,,,,,50249000000.0,1116000000.0,49133000000.0,,,183566000000.0,3524000000.0,3524000000.0,,-3276000000.0,-3276000000.0,,-284000000.0,-284000000.0,,,-36000000.0,-36000000.0,,1261000000.0,34000000.0,1227000000.0,-54000000.0,,
DUK,2024-08-06,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001326160-24-000167,7151000000.0,6080000000.0,,,,5471000000.0,,,188000000.0,5444000000.0,,,,,1707000000.0,,1050000000.0,931000000.0,1071000000.0,-10000000.0,,,-15000000.0,,21000000.0,140000000.0,,115000000.0,,,,,,,,,921000000.0,21000000.0,,900000000.0,,886000000.0,-1000000.0,,14000000.0,1.13,1.13,772000000.0,772000000.0,,181575000000.0,12557000000.0,,,,,,169018000000.0,,120100000000.0,,,48918000000.0,-50806000000.0,15482000000.0,3777000000.0,,,11705000000.0,0.0,,,,,,,,50806000000.0,1099000000.0,49707000000.0,,,181575000000.0,2953000000.0,2953000000.0,,-3233000000.0,-3233000000.0,,245000000.0,245000000.0,,,-35000000.0,-35000000.0,,914000000.0,21000000.0,893000000.0,-7000000.0,,
DUK,2024-05-07,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001326160-24-000108,7532000000.0,6200000000.0,,,,5720000000.0,,,186000000.0,5569000000.0,,,,,1963000000.0,,1315000000.0,1154000000.0,1332000000.0,-3000000.0,,,10000000.0,,17000000.0,178000000.0,,149000000.0,,,817000000.0,,,,,,1151000000.0,13000000.0,,1138000000.0,,1099000000.0,-2000000.0,,39000000.0,1.44,1.44,771000000.0,771000000.0,,178670000000.0,12091000000.0,,,,,,166579000000.0,,116891000000.0,,,49688000000.0,-50638000000.0,15546000000.0,3364000000.0,,,12182000000.0,0.0,,,,,,,,50638000000.0,1087000000.0,49551000000.0,,,178670000000.0,2474000000.0,2474000000.0,,-3342000000.0,-3342000000.0,,1029000000.0,1029000000.0,,,161000000.0,161000000.0,,1266000000.0,13000000.0,1253000000.0,115000000.0,,
DUK,2024-02-23,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001326160-24-000037,28674000000.0,23907000000.0,,,,22042000000.0,,,711000000.0,21604000000.0,,,,,7070000000.0,,4654000000.0,4329000000.0,4767000000.0,-1455000000.0,,,,,113000000.0,438000000.0,75000000.0,372000000.0,,,3014000000.0,,,,,,2874000000.0,33000000.0,,2841000000.0,,2735000000.0,6000000.0,,106000000.0,3.54,3.54,771000000.0,771000000.0,,176893000000.0,12769000000.0,,,,,,164124000000.0,,115315000000.0,,,48809000000.0,126706000000.0,17283000000.0,4228000000.0,,,13055000000.0,109423000000.0,75252000000.0,34171000000.0,,,,,,50187000000.0,1075000000.0,49112000000.0,,,176893000000.0,9878000000.0,9878000000.0,,-12475000000.0,-12475000000.0,,2351000000.0,2351000000.0,,,-246000000.0,-246000000.0,,3008000000.0,33000000.0,2975000000.0,134000000.0,,
DUK,2023-11-02,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001326160-23-000191,7994000000.0,6521000000.0,,,,5891000000.0,,,178000000.0,5883000000.0,,,,,2111000000.0,,1470000000.0,1473000000.0,1515000000.0,-152000000.0,,,,,45000000.0,42000000.0,,23000000.0,,,774000000.0,,,,,,1321000000.0,69000000.0,,1252000000.0,,1213000000.0,-2000000.0,,0.0,1.59,1.59,771000000.0,771000000.0,,181160000000.0,13048000000.0,,,,,,168112000000.0,,115947000000.0,,,52165000000.0,129334000000.0,17160000000.0,3539000000.0,,,13621000000.0,112174000000.0,,,,,,,,51826000000.0,2820000000.0,49006000000.0,,,181160000000.0,3524000000.0,3524000000.0,,-3243000000.0,-3243000000.0,,-274000000.0,-274000000.0,,,7000000.0,7000000.0,,1553000000.0,69000000.0,1484000000.0,232000000.0,,
DUK,2023-08-08,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001326160-23-000172,6578000000.0,5827000000.0,,,,5179000000.0,,,167000000.0,5148000000.0,,,,,1430000000.0,,850000000.0,751000000.0,870000000.0,-955000000.0,,,,,20000000.0,119000000.0,,-142000000.0,,,727000000.0,,,,,,-204000000.0,16000000.0,,-220000000.0,,-234000000.0,-1000000.0,,0.0,-0.32,-0.32,771000000.0,771000000.0,,180076000000.0,13088000000.0,,,,,,166988000000.0,,114480000000.0,,,52508000000.0,-51071000000.0,17375000000.0,3225000000.0,,,14150000000.0,0.0,,,,,,,,51071000000.0,2738000000.0,48333000000.0,,,180076000000.0,2302000000.0,2302000000.0,,-3299000000.0,-3299000000.0,,940000000.0,940000000.0,,,-57000000.0,-57000000.0,,-149000000.0,16000000.0,-165000000.0,55000000.0,,
DUK,2023-05-09,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001326160-23-000148,7276000000.0,6306000000.0,,,,5609000000.0,,,171000000.0,5602000000.0,,,,,1674000000.0,,1105000000.0,970000000.0,1125000000.0,-209000000.0,,,,,20000000.0,155000000.0,,90000000.0,,,720000000.0,,,,,,761000000.0,-43000000.0,,804000000.0,,765000000.0,-1000000.0,,0.0,1.01,1.01,770000000.0,770000000.0,,178833000000.0,12314000000.0,,,,,,166519000000.0,,112942000000.0,,,53577000000.0,-51951000000.0,16015000000.0,3214000000.0,,,12801000000.0,0.0,,,,,,,,51951000000.0,2691000000.0,49260000000.0,,,178833000000.0,1483000000.0,1483000000.0,,-3209000000.0,-3209000000.0,,1747000000.0,1747000000.0,,,21000000.0,21000000.0,,735000000.0,-43000000.0,778000000.0,-26000000.0,,
DUK,2023-02-27,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001326160-23-000073,28675000000.0,24597000000.0,,,,22778000000.0,,,505000000.0,22663000000.0,,,,,6012000000.0,,3965000000.0,3778000000.0,4078000000.0,-1323000000.0,,,,,113000000.0,300000000.0,-3000000.0,314000000.0,,,2439000000.0,,,,,,2455000000.0,-95000000.0,,2550000000.0,,2444000000.0,2000000.0,,106000000.0,3.17,3.17,770000000.0,770000000.0,,178086000000.0,13222000000.0,,,,,,164864000000.0,,111748000000.0,,,53116000000.0,126233000000.0,18873000000.0,4754000000.0,,,14119000000.0,107360000000.0,71215000000.0,36145000000.0,,,,,,51853000000.0,2531000000.0,49322000000.0,,,178086000000.0,5927000000.0,5927000000.0,,-11973000000.0,-11973000000.0,,6129000000.0,6129000000.0,,,83000000.0,83000000.0,,2629000000.0,-84000000.0,2713000000.0,174000000.0,,
