ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
ECPG,2025-05-07,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001084961-25-000056,392775000.0,332315000.0,,,,332315000.0,,,-68883000.0,263432000.0,,7344000.0,,256088000.0,129343000.0,,,46796000.0,60460000.0,,,,,,,13664000.0,,,,,,,,,,,46796000.0,0.0,,46796000.0,,46796000.0,0,,0,1.96,1.93,23879000.0,24269000.0,,4969586000.0,4969586000.0,,,,,,0,,82014000.0,,,,4150525000.0,4150525000.0,,,,,0,,,,,,,,819061000.0,0.0,819061000.0,,,4969586000.0,45283000.0,45283000.0,,-100278000.0,-100278000.0,,40337000.0,40337000.0,,1910000.0,-12748000.0,-14658000.0,,61384000.0,0.0,61384000.0,14588000.0,,
ECPG,2025-02-26,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001084961-25-000011,1316361000.0,1412576000.0,,,,1412576000.0,,,-253545000.0,1159031000.0,,32434000.0,,1126597000.0,157330000.0,,,-139244000.0,-96215000.0,,,,,,,43029000.0,65309000.0,-22280000.0,,,,,,,,,-139244000.0,0.0,,-139244000.0,,-139244000.0,0,,0,-5.83,-5.83,23873000.0,23873000.0,,4789729000.0,4789729000.0,,,,,,0,,80597000.0,0.0,,,4022398000.0,4022398000.0,,,,,0,,,,,,,,767331000.0,0.0,767331000.0,,,4789729000.0,156168000.0,156168000.0,,-440430000.0,-440430000.0,,317774000.0,317774000.0,,7989000.0,41501000.0,33512000.0,,-177454000.0,0.0,-177454000.0,-38210000.0,,
ECPG,2024-11-06,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001084961-24-000100,367071000.0,326309000.0,,,,326309000.0,,,-65328000.0,260981000.0,,8158000.0,,252823000.0,106090000.0,,,30643000.0,40762000.0,,,,,,,10119000.0,,2528000.0,,,,,,,,,30643000.0,0.0,,30643000.0,,30643000.0,0,,0,1.28,1.26,23912000.0,24407000.0,,4993716000.0,4993716000.0,,,,,,0,,103550000.0,,,,3945611000.0,3945611000.0,,,,,0,,,,,,,,1048105000.0,0.0,1048105000.0,,,4993716000.0,45927000.0,45927000.0,,-43819000.0,-43819000.0,,-9005000.0,-9005000.0,,3629000.0,-3268000.0,-6897000.0,,56219000.0,0.0,56219000.0,25576000.0,,
ECPG,2024-08-07,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001084961-24-000085,355285000.0,312775000.0,,,,312775000.0,,,-59329000.0,253446000.0,,7461000.0,,245985000.0,101839000.0,,,32181000.0,42510000.0,,,,,,,10329000.0,,-980000.0,,,61376000.0,,,,,,32181000.0,0.0,,32181000.0,,32181000.0,0,,0,1.35,1.34,23883000.0,24097000.0,,4816844000.0,4816844000.0,,,,,,0,,102291000.0,,,,3828717000.0,-988127000.0,,,,,0,,,,,,,,988127000.0,0.0,988127000.0,,,4816844000.0,35713000.0,35713000.0,,-41004000.0,-41004000.0,,83702000.0,83702000.0,,-780000.0,77631000.0,78411000.0,,29659000.0,0.0,29659000.0,-2522000.0,,
ECPG,2024-05-08,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001084961-24-000048,328386000.0,297894000.0,,,,297894000.0,,,-53099000.0,244795000.0,,7848000.0,,236947000.0,83591000.0,,,23239000.0,30492000.0,,,,,,,7253000.0,,170000.0,,,55765000.0,,,,,,23239000.0,0.0,,23239000.0,,23239000.0,0,,0,0.98,0.95,23784000.0,24468000.0,,4687175000.0,4687175000.0,,,,,,0,,102776000.0,,,,3733316000.0,-953859000.0,,,,,0,,,,,,,,953859000.0,0.0,953859000.0,,,4687175000.0,50984000.0,50984000.0,,-90882000.0,-90882000.0,,55790000.0,55790000.0,,-1266000.0,14626000.0,15892000.0,,19723000.0,0.0,19723000.0,-3516000.0,,
ECPG,2024-02-21,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001084961-24-000008,1222680000.0,1402944000.0,,,,1402944000.0,,,-196799000.0,1206145000.0,,41737000.0,,1164408000.0,16535000.0,,,-206492000.0,-180264000.0,,,,,,,26228000.0,82144000.0,-55916000.0,,,201877000.0,,,,,,-206492000.0,0.0,,-206492000.0,,-206492000.0,0,,0,-8.72,-8.72,23670000.0,23670000.0,,4630486000.0,4630486000.0,,,,,,0,,103959000.0,,,,3693948000.0,3693948000.0,,,,,0,,,,,,,,936538000.0,0.0,936538000.0,,,4630486000.0,152991000.0,152991000.0,,-401941000.0,-401941000.0,,268300000.0,268300000.0,,-4898000.0,14452000.0,19350000.0,,-231596000.0,0.0,-231596000.0,-25104000.0,,
ECPG,2023-11-01,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001084961-23-000107,309619000.0,279556000.0,,,,279556000.0,,,-45455000.0,234101000.0,,11196000.0,,222905000.0,75518000.0,,,19339000.0,30063000.0,,,,,,,10724000.0,,-1833000.0,,,50558000.0,,,,,,19339000.0,0.0,,19339000.0,,19339000.0,0,,0,0.82,0.79,23712000.0,24382000.0,,4760288000.0,4760288000.0,,,,,,0,,102208000.0,,,,3561505000.0,3561505000.0,,,,,0,,,,,,,,1198783000.0,0.0,1198783000.0,,,4760288000.0,53588000.0,53588000.0,,-56480000.0,-56480000.0,,-31754000.0,-31754000.0,,-5514000.0,-40160000.0,-34646000.0,,-39252000.0,0.0,-39252000.0,-58591000.0,,
ECPG,2023-08-02,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001084961-23-000090,323044000.0,286710000.0,,,,286710000.0,,,-51738000.0,234972000.0,,10702000.0,,224270000.0,88072000.0,,,26305000.0,36334000.0,,,,,,,10029000.0,,1416000.0,,,49983000.0,,,,,,26305000.0,0.0,,26305000.0,,26305000.0,0,,0,1.11,1.08,23670000.0,24280000.0,,4876570000.0,4876570000.0,,,,,,0,,107218000.0,,,,3642735000.0,-1233835000.0,,,,,0,,,,,,,,1233835000.0,0.0,1233835000.0,,,4876570000.0,26710000.0,26710000.0,,-83531000.0,-83531000.0,,80252000.0,80252000.0,,2666000.0,26097000.0,23431000.0,,45773000.0,0.0,45773000.0,19468000.0,,
ECPG,2023-05-03,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001084961-23-000055,312630000.0,287595000.0,,,,287595000.0,,,-45103000.0,242492000.0,,10870000.0,,231622000.0,70138000.0,,,18626000.0,25035000.0,,,,,,,6409000.0,,1369000.0,,,46835000.0,,,,,,18626000.0,0.0,,18626000.0,,18626000.0,0,,0,0.79,0.75,23548000.0,24942000.0,,4685965000.0,4685965000.0,,,,,,0,,110184000.0,,,,3501809000.0,-1184156000.0,,,,,0,,,,,,,,1184156000.0,0.0,1184156000.0,,,4685965000.0,35913000.0,35913000.0,,-130715000.0,-130715000.0,,110374000.0,110374000.0,,-710000.0,14862000.0,15572000.0,,27074000.0,0.0,27074000.0,8448000.0,,
ECPG,2023-02-22,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001084961-23-000014,1398347000.0,1087358000.0,,,,1087358000.0,,,-151185000.0,936173000.0,,50494000.0,,885679000.0,462174000.0,,,194564000.0,310989000.0,,,,,,,116425000.0,70015000.0,46410000.0,,,153308000.0,,,,,,194564000.0,0.0,,194564000.0,,194564000.0,0,,0,8.06,7.46,24142000.0,26092000.0,,4508360000.0,4508360000.0,,,,,,0,,113900000.0,,,,3328733000.0,3328733000.0,,,,,0,,,,,,,,1179627000.0,0.0,1179627000.0,,,4508360000.0,210681000.0,210681000.0,,-130235000.0,-130235000.0,,-107445000.0,-107445000.0,,-18734000.0,-45733000.0,-26999000.0,,149296000.0,0.0,149296000.0,-45268000.0,,
