ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
EPIX,2025-05-08,2025,Q2,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-25-006850,,,,,,,,,,7381677.0,,,3484442.0,3897235.0,,,,-6374787.0,-6374787.0,,,,,,,,,,,,,,,,,,-6374787.0,0.0,,-6374787.0,,-6374787.0,0.0,,0.0,-0.14,-0.14,44388550.0,44388550.0,,115415420.0,115167403.0,,415514,,879477.0,113872412.0,248017,,,,,,1868916.0,1714627.0,864155.0,,,850472.0,154289,,,,,,,,113546504.0,0,113546504.0,,,115415420.0,-6848654.0,-6848654.0,,-153890.0,-153890.0,,7002544.0,7002544.0,,,0.0,0.0,,-6392609.0,0.0,-6392609.0,-6392609.0,,
EPIX,2025-02-11,2025,Q1,2024-10-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-25-000779,,,,,,,,,,9684866.0,,,5474147.0,4210719.0,,,,-8531931.0,-8531931.0,,,,,,,,,,,,,,,,,,-8531931.0,0.0,,-8531931.0,,-8531931.0,0.0,,0.0,-0.19,-0.2,44388550.0,0.0,,122634340.0,122105306.0,,154351,,1397636.0,120553319.0,529034,,,,,,3867336.0,3687264.0,1835583.0,,,1851681.0,0,,,,,,,,118767004.0,0,118767004.0,,,122634340.0,-6469999.0,-6469999.0,,-3928649.0,-3928649.0,,10398648.0,10398648.0,,,0.0,0.0,,-8540697.0,0.0,-8540697.0,-8540697.0,,
EPIX,2024-12-17,2024,FY,2023-10-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-016318,,,,,,,,,,34421017.0,,,21206824.0,13214193.0,,,,-28542821.0,-28542821.0,,,,,,,,,,,,,,,,,,-28542821.0,0.0,,-28542821.0,,-28542821.0,0.0,,0.0,-0.64,-0.64,44277050.0,44277050.0,,128112003.0,127559555.0,,162973,,636463.0,126760119.0,552448,,,,,,3506233.0,3301027.0,2403519.0,,,897508.0,205206,,,,,,,,124605770.0,0,124605770.0,,,128112003.0,-22716199.0,-22716199.0,,91789210.0,91789210.0,,925510.0,925510.0,,,69998521.0,69998521.0,,-28485690.0,0.0,-28485690.0,57131.0,,
EPIX,2024-08-05,2024,Q3,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-010767,,,,,,,,,,8638318.0,,,5464123.0,3174195.0,,,,-7233747.0,-7233747.0,,,,,,,,,,,,,,,,,,-7233747.0,0.0,,-7233747.0,,-7233747.0,0.0,,0.0,-0.16,-0.16,44365505.0,44365505.0,,132666307.0,132091055.0,,183585,,1213018.0,130694452.0,575252,,,,,,3804764.0,3575057.0,1908037.0,,,1667020.0,229707,,,,,,,,128861543.0,0,128861543.0,,,132666307.0,-5745099.0,-5745099.0,,23487.0,23487.0,,25577.0,25577.0,,,-5696035.0,-5696035.0,,-7233091.0,0.0,-7233091.0,-7233091.0,,
EPIX,2024-05-14,2024,Q2,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-008053,,,,,,,,,,10493489.0,,,6177987.0,4315502.0,,,,-8989535.0,-8989535.0,,,,,,,,,,,,,,,,,,-8989535.0,0.0,,-8989535.0,,-8989535.0,0.0,,0.0,-0.2,-0.2,44237124.0,44237124.0,,137896175.0,137297872.0,,215168,,1194038.0,135888666.0,598303,,,,,,4427316.0,4174304.0,2041006.0,,,2133298.0,0,,,,,,,,133468859.0,0,133468859.0,,,137896175.0,-6817963.0,-6817963.0,,62508834.0,62508834.0,,643603.0,643603.0,,,56334474.0,56334474.0,,-8990284.0,0.0,-8990284.0,-8990284.0,,
EPIX,2024-02-13,2024,Q1,2023-10-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-001017,,,,,,,,,,7594632.0,,,5376764.0,2217868.0,,,,-5964322.0,-5964322.0,,,,,,,,,,,,,,,,,,-5964322.0,0.0,,-5964322.0,,-5964322.0,0.0,,0.0,-0.14,-0.14,44129491.0,44129491.0,,144489279.0,143868889.0,,180611,,1568488.0,142119790.0,620390,,,,,,3806340.0,3530895.0,2600156.0,,,930739.0,0,,,,,,,,140682939.0,0,140682939.0,,,144489279.0,-6787003.0,-6787003.0,,8232511.0,8232511.0,,196659.0,196659.0,,,1642167.0,1642167.0,,-5944198.0,0.0,-5944198.0,-5944198.0,,
EPIX,2023-12-12,2023,FY,2022-10-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-019732,,,,,,,,,,32141046.0,,,21322530.0,10818516.0,,,,-26582343.0,-26580743.0,,,,,,,1600.0,,,,,,,,,,,-26582343.0,0.0,,-26582343.0,,-26582343.0,0.0,,0.0,-0.6,-0.6,44089557.0,44089557.0,,149122131.0,148796878.0,,135057,,585420.0,148076401.0,325253,,,,,,3495071.0,3495071.0,2028265.0,,,1466806.0,0,,,,,,,,145627060.0,0,145627060.0,,,149122131.0,-19781716.0,-19781716.0,,-3527149.0,-3527149.0,,-68157.0,-68157.0,,,-23377022.0,-23377022.0,,-26567596.0,0.0,-26567596.0,14747.0,,
EPIX,2023-08-08,2023,Q3,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-013733,,,,,,,,,,8912094.0,,,6271186.0,2640908.0,,,,-7298873.0,-7298873.0,,,,,,,0.0,,,,,,,,,,,-7298873.0,0.0,,-7298873.0,,-7298873.0,0.0,,0.0,-0.17,-0.17,44092374.0,44092374.0,,153650198.0,153290379.0,,133293,,688172.0,152468914.0,359819,,,,,,3407650.0,3407650.0,2050602.0,,,1357048.0,0,,,,,,,,150242548.0,0,150242548.0,,,153650198.0,-3324365.0,-3324365.0,,-2472427.0,-2472427.0,,-35522.0,-35522.0,,,-5834510.0,-5832314.0,,-7256184.0,0.0,-7256184.0,-7256184.0,,
EPIX,2023-05-09,2023,Q2,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-008649,,,,,,,,,,8213499.0,,,4480863.0,3732636.0,,,,-7060239.0,-7058639.0,,,,,,,1600.0,,,,,,,,,,,-7060239.0,0.0,,-7060239.0,,-7060239.0,0.0,,0.0,-0.16,-0.16,44092374.0,44092374.0,,158504040.0,158113850.0,,8783,,1061353.0,157043714.0,390190,,,,,,2166381.0,2146604.0,1195783.0,,,950821.0,0,,,,,,,,156337659.0,0,156337659.0,,,158504040.0,-6974181.0,-6974181.0,,86269.0,86269.0,,-34639.0,-34639.0,,2626.0,-6919925.0,-6922551.0,,-7119354.0,0.0,-7119354.0,-7119354.0,,
EPIX,2023-02-07,2023,Q1,2022-10-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-000948,,,,,,,,,,7865719.0,,,5344250.0,2521469.0,,,,-6741882.0,-6741882.0,,,,,,,0.0,,,,,,,,,,,-6741882.0,0.0,,-6741882.0,,-6741882.0,0.0,,0.0,-0.15,-0.15,44073286.0,44073286.0,,165003340.0,164587833.0,,14640,,1501696.0,163071497.0,415507,,,,,,2983418.0,2935144.0,1635455.0,,,1299689.0,0,,,,,,,,162019922.0,0,162019922.0,,,165003340.0,-4994753.0,-4994753.0,,-876342.0,-876342.0,,15652.0,15652.0,,-430.0,-5855873.0,-5855443.0,,-6712455.0,0.0,-6712455.0,-6712455.0,,
