ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
ESOA,2025-05-12,2025,Q2,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-25-001193,76679151.0,85684304.0,76601291.0,,,85684304.0,77860.0,,-912926.0,8170087.0,8170087.0,,,,-8092227.0,,,-6798418.0,-9005153.0,,,,,,,-2206735.0,,-2218053.0,,,,,,,,,,,,,,,,,,-0.41,-0.41,16716809.0,16716809.0,,170225716.0,104204211.0,,,,,,66021505.0,,52321577.0,3770516.0,,9929412.0,116446167.0,79800395.0,22588996.0,,,57211399.0,36645772.0,50705885.0,,,,,,,53779549.0,0,53779549.0,,,170225716.0,1110828.0,1110828.0,,-2086576.0,-2086576.0,,-9446441.0,-9446441.0,,,-10422189.0,-10422189.0,,,,,,,
ESOA,2025-02-10,2025,Q1,2024-10-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-25-000104,100646114.0,99336918.0,90382532.0,,,99336918.0,10263582.0,,-336198.0,8618188.0,8618188.0,,,,1645394.0,,,853733.0,1309196.0,,,,,,,455463.0,,378172.0,,,,,,,,,,,,,,,,,,0.05,0.05,16585334.0,16636561.0,,192102626.0,124853011.0,,,,,,67249615.0,,53269806.0,3934713.0,,10045096.0,131055913.0,83447087.0,26827002.0,,,56620085.0,0.0,59616566.0,,,,,,,61046713.0,0,61046713.0,,,192102626.0,8878480.0,8878480.0,,-23187435.0,-23187435.0,,21731341.0,21731341.0,,,7422386.0,7422386.0,,,,,,,
ESOA,2024-12-19,2024,FY,2023-10-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001410578-24-002104,351876861.0,318356184.0,301922545.0,,,318356184.0,49954316.0,,13685431.0,30119070.0,30119070.0,,,,19835246.0,,,25105010.0,33520677.0,,,,,,,8415667.0,,-379622.0,,,,,,,,,,,,,,,,,,1.52,1.51,16570289.0,16608038.0,,158247000.0,110426929.0,,,,,,47820071.0,,38135714.0,3065576.0,,6618781.0,99552856.0,74248552.0,23673659.0,,,50574893.0,25304304.0,33853583.0,,,,,,,58694144.0,0,58694144.0,,,158247000.0,18677004.0,18677004.0,,-7997006.0,-7997006.0,,-14185534.0,-14185534.0,,,-3505536.0,-3505536.0,,,,,,,
ESOA,2024-08-12,2024,Q3,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001410578-24-001315,85923760.0,62370463.0,70615936.0,,,62370463.0,15307824.0,,15060664.0,6815191.0,6815191.0,,,,8492633.0,,,17513627.0,23553297.0,,,,,,,6039670.0,,81093.0,,,,,,,,,,,,,,,,,,1.06,1.06,16565827.0,16597982.0,,148847920.0,101353829.0,,,,,,47494091.0,,37850702.0,3058673.0,,6584716.0,96811792.0,73654477.0,19445674.0,,,54208803.0,0.0,31939057.0,,,,,,,52036128.0,0,52036128.0,,,148847920.0,19341419.0,19341419.0,,-3028647.0,-3028647.0,,-13866371.0,-13866371.0,,,2446401.0,2446401.0,,,,,,,
ESOA,2024-05-08,2024,Q2,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-24-000633,71127655.0,72609535.0,64888101.0,,,72609535.0,6239554.0,,-399483.0,7321951.0,7321951.0,,,,-1082397.0,,,-1108828.0,-1481880.0,,,,,,,-373052.0,,-450504.0,,,622616.0,,,,,,,,,,,,,,,-0.07,-0.07,16569871.0,16569871.0,,136116416.0,89117444.0,,,,,,46998972.0,,36977854.0,3166815.0,,6854303.0,101552535.0,76768055.0,18669362.0,,,58098693.0,0.0,45715143.0,,,,,,,34563881.0,0,34563881.0,,,136116416.0,-2681059.0,-2681059.0,,-1621519.0,-1621519.0,,5139024.0,5139024.0,,,836446.0,836446.0,,,,,,,
ESOA,2024-02-12,2024,Q1,2023-10-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-24-000038,90163187.0,87062957.0,79324226.0,,,87062957.0,10838961.0,,-540011.0,7198720.0,7198720.0,,,,3640241.0,,,2042195.0,3100230.0,,,,,,,1058035.0,,781868.0,,,601684.0,,,,,,,,,,,,,,,0.12,0.12,16567185.0,16607185.0,,136378064.0,89816946.0,,,,,,46561118.0,,36281266.0,3274957.0,,7004895.0,100740911.0,74366919.0,22262695.0,,,52104224.0,0.0,38666498.0,,,,,,,35637153.0,0,35637153.0,,,136378064.0,2864173.0,2864173.0,,-1020649.0,-1020649.0,,-7020076.0,-7020076.0,,,-5176552.0,-5176552.0,,,,,,,
ESOA,2024-01-16,2023,FY,2022-10-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001410578-24-000014,304104492.0,293727822.0,267291157.0,,,293727822.0,36813335.0,,-2659767.0,23776898.0,23776898.0,,,,13036437.0,,,7401420.0,10376670.0,,,,,,,2975250.0,,2415431.0,,,2406839.0,,,,,,,,,,,,,,,0.44,0.44,16646086.0,16670963.0,,142509149.0,95182582.0,,,,,,47326567.0,,36529509.0,3383099.0,,7413959.0,107920160.0,79904146.0,22026639.0,,,57877507.0,28016014.0,44825276.0,,,,,,,34588989.0,0,34588989.0,,,142509149.0,21067773.0,21067773.0,,-10175262.0,-10175262.0,,-1888413.0,-1888413.0,,,9004098.0,9004098.0,,,,,,,
ESOA,2023-08-14,2023,Q3,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001410578-23-001905,85529892.0,80616604.0,74650897.0,,,80616604.0,10878995.0,,-682090.0,5283617.0,5283617.0,,,,5595378.0,,,3415546.0,4913288.0,,,,,,,1497742.0,,1429704.0,,,639888.0,,,,,,,,,,,,,,,0.21,0.21,16602556.0,16602556.0,,129235716.0,81803735.0,,,,,,47431981.0,,36197503.0,3472469.0,,7762009.0,100367827.0,80049853.0,18833990.0,,,61215863.0,20317974.0,45838878.0,,,,,,,28867889.0,0,28867889.0,,,129235716.0,-1668814.0,-1668814.0,,-2451793.0,-2451793.0,,1563611.0,1563611.0,,,-2556996.0,-2556996.0,,,,,,,
ESOA,2023-05-31,2023,Q2,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-23-001405,53673443.0,56197203.0,49772790.0,,,56197203.0,3900653.0,,-536666.0,5887747.0,5887747.0,,,,-1987094.0,,,-1873600.0,-2523760.0,,,,,,,-650160.0,,-307894.0,,,574546.0,,,,,,,,,,,,,,,-0.11,-0.11,16666683.0,16666683.0,,104835987.0,59730913.0,,,,,,45105074.0,,35149111.0,3608289.0,,6347674.0,79235684.0,60316537.0,14158943.0,,,46157594.0,0.0,43798916.0,,,,,,,25600303.0,0,25600303.0,,,104835987.0,10402297.0,10402297.0,,-3244195.0,-3244195.0,,-3093451.0,-3093451.0,,,4064651.0,4064651.0,,,,,,,
ESOA,2023-02-13,2023,Q1,2022-10-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-23-000104,60042585.0,59958679.0,54056323.0,,,59958679.0,5986262.0,,-586218.0,5316138.0,5316138.0,,,,670124.0,,,138374.0,83906.0,,,,,,,-79612.0,,-421878.0,,,474284.0,,,,,,,,,,,,,,,0.01,0.01,16667185.0,16667185.0,,107923384.0,65403739.0,,,,,,42519645.0,,33212400.0,3740910.0,,5566335.0,69434791.0,49991827.0,14984022.0,,,35007805.0,0.0,31519811.0,,,,,,,28378918.0,0,28378918.0,,,107923384.0,1572919.0,1572919.0,,-2256086.0,-2256086.0,,786600.0,786600.0,,,103433.0,103433.0,,,,,,,
