ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
EVER,2025-05-07,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-065862,166632000.0,157958000.0,5380000.0,,,158635000.0,161252000.0,,677000.0,153255000.0,,1221000.0,7485000.0,144549000.0,7997000.0,,,7990000.0,8674000.0,,,,,,,684000.0,,,,,,,,,,,7990000.0,0,,7990000.0,,7990000.0,0.0,,0.0,0.22,0.21,35879.0,37667.0,,232145000.0,194335000.0,,,,,,37810000.0,,6496000.0,2971000.0,,28343000.0,82645000.0,80408000.0,57286000.0,,3964000.0,19158000.0,2237000.0,,,,,,,,149500000.0,0,149500000.0,,,232145000.0,23306000.0,23306000.0,,-1133000.0,-1133000.0,,669000.0,669000.0,,,22842000.0,22842000.0,,8043000.0,0.0,8043000.0,53000.0,,
EVER,2025-02-25,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-026724,500190000.0,466182000.0,20922000.0,,,468439000.0,479268000.0,,2257000.0,447517000.0,,5672000.0,29553000.0,412292000.0,31751000.0,,,32169000.0,34008000.0,,,,,,,1839000.0,1839000.0,,,,,,,,,,32169000.0,0,,32169000.0,,32169000.0,0.0,,0.0,0.92,0.88,35007.0,36646.0,,210530000.0,171780000.0,,,,,,38750000.0,,6176000.0,3252000.0,,29322000.0,75162000.0,72649000.0,59975000.0,,4796000.0,7878000.0,2513000.0,,,,,,,,135368000.0,0,135368000.0,,,210530000.0,66566000.0,66566000.0,,-4114000.0,-4114000.0,,1707000.0,1707000.0,,,64159000.0,64159000.0,,32140000.0,0.0,32140000.0,-29000.0,,
EVER,2024-11-05,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-121035,144530000.0,132257000.0,5450000.0,,,132864000.0,139080000.0,,607000.0,127414000.0,,1618000.0,8026000.0,119388000.0,11666000.0,,,11554000.0,12273000.0,,,,,,,719000.0,,,,,,,,,,,11554000.0,0,,11554000.0,,11554000.0,0.0,,0.0,0.33,0.31,35234.0,37214.0,,180539000.0,139891000.0,,,,,,40648000.0,,6409000.0,3652000.0,,30587000.0,62837000.0,59978000.0,46993000.0,,5173000.0,7812000.0,2859000.0,,,,,,,,117702000.0,0,117702000.0,,,180539000.0,23614000.0,23614000.0,,-1489000.0,-1489000.0,,-219000.0,-219000.0,,,21906000.0,21906000.0,,11636000.0,0.0,11636000.0,11636000.0,,
EVER,2024-08-06,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-091761,117140000.0,110332000.0,5011000.0,,,110848000.0,112129000.0,,516000.0,105837000.0,,1236000.0,7043000.0,98794000.0,6292000.0,,,6402000.0,6808000.0,,,,,,,406000.0,,,,,,,,,,,6402000.0,0,,6402000.0,,6402000.0,0.0,,0.0,0.18,0.17,34910.0,36698.0,,157952000.0,117056000.0,,,,,,40896000.0,,6230000.0,4116000.0,,30550000.0,57113000.0,54957000.0,42005000.0,,4835000.0,8117000.0,0.0,,,,,,,,100839000.0,0,100839000.0,,,157952000.0,12378000.0,12378000.0,,-852000.0,-852000.0,,772000.0,772000.0,,,12298000.0,12298000.0,,6402000.0,0.0,6404000.0,0.0,,
EVER,2024-05-07,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-053832,91065000.0,88872000.0,5041000.0,,,89299000.0,86024000.0,,427000.0,84258000.0,,1263000.0,6844000.0,76151000.0,1766000.0,,,1907000.0,2193000.0,,,,,,,286000.0,,,,,,,,,,,1907000.0,0,,1907000.0,,1907000.0,0.0,,0.0,0.06,0.05,34387.0,35608.0,,135401000.0,95684000.0,,,,,,39717000.0,,5754000.0,4652000.0,,29311000.0,47078000.0,47060000.0,33069000.0,,5352000.0,8639000.0,0.0,,,,,,,,88323000.0,0,88323000.0,,,135401000.0,10440000.0,10440000.0,,-770000.0,-770000.0,,999000.0,999000.0,,,10669000.0,10669000.0,,1907000.0,0.0,1899000.0,0.0,,
EVER,2024-02-27,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-021082,287921000.0,338631000.0,22455000.0,,,339896000.0,265466000.0,,1265000.0,317441000.0,,6196000.0,27591000.0,283654000.0,-51975000.0,,,-51287000.0,-50710000.0,,,,,,,577000.0,,,,,,,,,,,-51287000.0,0,,-51287000.0,,-51287000.0,0.0,,0.0,-1.54,-1.54,33350.0,33350.0,,110925000.0,69241000.0,,,,,,41684000.0,,5719000.0,5188000.0,,30777000.0,30018000.0,29948000.0,17202000.0,,5188000.0,7558000.0,70000.0,,,,,,,,80907000.0,0,80907000.0,,,110925000.0,-2828000.0,-2828000.0,,9354000.0,9354000.0,,577000.0,577000.0,,,7103000.0,7103000.0,,-51252000.0,0.0,-51252000.0,35000.0,,
EVER,2023-11-07,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-060247,55011000.0,83992000.0,6150000.0,,,84423000.0,48861000.0,,431000.0,78273000.0,,2251000.0,6270000.0,72003000.0,-29412000.0,,,-29217000.0,-28981000.0,,,,,,,236000.0,,,,,,,,,,,-29217000.0,0,,-29217000.0,,-29217000.0,0.0,,0.0,-0.87,-0.87,33549000.0,33549000.0,,113986000.0,70098000.0,,,,,,43888000.0,,5625000.0,5516000.0,,32747000.0,32115000.0,31995000.0,20627000.0,,3181000.0,8187000.0,120000.0,,,,,,,,81871000.0,0,81871000.0,,,113986000.0,-4147000.0,-4147000.0,,12228000.0,12228000.0,,-67000.0,-67000.0,,,8014000.0,8014000.0,,-29244000.0,0.0,-29244000.0,-29244000.0,,
EVER,2023-08-08,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-039939,67985000.0,81100000.0,5547000.0,,,81355000.0,62438000.0,,255000.0,75808000.0,,1463000.0,7450000.0,68358000.0,-13370000.0,,,-13193000.0,-13115000.0,,,,,,,78000.0,,,,,,,,,,,-13193000.0,0,,-13193000.0,,-13193000.0,0.0,,0.0,-0.4,-0.4,33129.0,33129.0,,145055000.0,70885000.0,,,,,,74170000.0,,6689000.0,6920000.0,,60561000.0,39517000.0,37731000.0,22879000.0,,6239000.0,8613000.0,0.0,,,,,,,,105538000.0,0,105538000.0,,,145055000.0,3348000.0,3348000.0,,-1015000.0,-1015000.0,,-49000.0,-49000.0,,,2284000.0,2284000.0,,-13193000.0,0.0,-13179000.0,0.0,,
EVER,2023-05-09,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-019073,109220000.0,111463000.0,5770000.0,,,111651000.0,103450000.0,,188000.0,105881000.0,,1407000.0,7927000.0,96547000.0,-2431000.0,,,-2529000.0,-2243000.0,,,,,,,286000.0,,,,,,,,,,,-2529000.0,0,,-2529000.0,,-2529000.0,0.0,,0.0,-0.08,-0.08,32892.0,32892.0,,160437000.0,84868000.0,,,,,,75569000.0,,6594000.0,7438000.0,,61537000.0,48801000.0,46262000.0,30689000.0,,4179000.0,11394000.0,0.0,,,,,,,,111636000.0,0,111636000.0,,,160437000.0,-1237000.0,-1237000.0,,-1007000.0,-1007000.0,,157000.0,157000.0,,,-2087000.0,-2087000.0,,-2529000.0,0.0,-2516000.0,0.0,,
EVER,2023-02-27,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-004649,404127000.0,428543000.0,23980000.0,,,428915000.0,380147000.0,,372000.0,404935000.0,,5848000.0,31713000.0,367374000.0,-24788000.0,,,-24416000.0,-24416000.0,,,,,,,,,,,,,,,,,,-24416000.0,0,,-24416000.0,,-24416000.0,0.0,,0.0,-0.77,-0.77,31613.0,31613.0,,156519000.0,80974000.0,,,,,,75545000.0,,6460000.0,7955000.0,,61130000.0,49033000.0,45407000.0,30680000.0,,4254000.0,10473000.0,3626000.0,,,,,,,,107486000.0,0,107486000.0,,,156519000.0,-15791000.0,-15791000.0,,-4290000.0,-4290000.0,,15842000.0,15842000.0,,,-4239000.0,-4239000.0,,-24432000.0,0.0,-24432000.0,-16000.0,,
