ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
EYEN,2025-04-15,2024,TTM,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-25-000743,57336.0,0.0,3927228.0,,,48795561.0,-3869892.0,,-1080208.0,44868333.0,14333114.0,,14462722.0,16072497.0,-48738225.0,,,-49818433.0,57336.0,,,,,,,,,,,,,,,,,,-49818433.0,0,,-49818433.0,,-49818433.0,0,,0,-59.81,-59.81,832997.0,832997.0,,3667759.0,2767199.0,,,,,,900560.0,,,,,,16763711.0,16046207.0,2199768.0,,144161.0,13702278.0,717504.0,,,,,,,,-13095952.0,0,-13095952.0,,,3667759.0,-30120981.0,-30120981.0,,-161477.0,-161477.0,,17554864.0,17554864.0,,,-12727594.0,-12727594.0,,-49818433.0,0,-49818433.0,0,,
EYEN,2025-04-15,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-25-000743,57336.0,0.0,3927228.0,,,48795561.0,-3869892.0,,-1080208.0,44868333.0,14333114.0,,14462722.0,16072497.0,-48738225.0,,,-49818433.0,57336.0,,,,,,,,,,,,,,,,,,-49818433.0,0,,-49818433.0,,-49818433.0,0,,0,-59.81,-59.81,832997.0,832997.0,,3667759.0,2767199.0,,,,,,900560.0,,,,,,16763711.0,16046207.0,2199768.0,,144161.0,13702278.0,717504.0,,,,,,,,-13095952.0,0,-13095952.0,,,3667759.0,-30120981.0,-30120981.0,,-161477.0,-161477.0,,17554864.0,17554864.0,,,-12727594.0,-12727594.0,,-49818433.0,0,-49818433.0,0,,
EYEN,2024-11-12,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001410578-24-001894,1625.0,0.0,132522.0,,,7333552.0,-130897.0,,-555926.0,7201030.0,3729091.0,,3471939.0,-7396024.0,-7331927.0,,,-7887853.0,1625.0,,,,,,,,,,,,,,,,,,-7887853.0,0,,-7887853.0,,-7887853.0,0,,0,-0.11,-0.11,69558325.0,69558325.0,,22796091.0,11689565.0,,,2967256.0,,8722309.0,11106526.0,,2752404.0,6122945.0,,2184657.0,19076788.0,15782964.0,1573940.0,,1656832.0,12552192.0,3293824.0,,,,,,,,3719303.0,0,3719303.0,,,22796091.0,-5943854.0,-5943854.0,,-1623.0,-1623.0,,10832754.0,10832754.0,,,4887277.0,4887277.0,,-7887853.0,0,-7887853.0,0,,
EYEN,2024-08-14,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001410578-24-001425,22625.0,0.0,490361.0,,,11710969.0,-467736.0,,634645.0,11220608.0,,,4597173.0,6623435.0,-11688344.0,,,-11053699.0,-11053699.0,,,,,,,,,,,,,,,,,,-11053699.0,0,,-11053699.0,,-11053699.0,0,,0,-0.21,-0.21,53121760.0,53121760.0,,18994960.0,7283620.0,,,3052142.0,,4231478.0,11711340.0,,3041462.0,6122945.0,,2488240.0,21364863.0,15848609.0,1436665.0,,1278178.0,13133766.0,0.0,,,,,,,,-2369903.0,0,-2369903.0,,,18994960.0,-8174481.0,-8174481.0,,-45748.0,-45748.0,,2544975.0,2544975.0,,,-5675254.0,-5675254.0,,-11053699.0,0,-11053699.0,0,,
EYEN,2024-05-15,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-24-000870,4993.0,0.0,4993.0,,,10271817.0,0.0,,-655277.0,10266824.0,,,4431601.0,5835223.0,-10266824.0,,,-10922101.0,-10922101.0,,,,,,,,,,,,678658.0,,,,,,-10922101.0,0,,-10922101.0,,-10922101.0,0,,0,-0.23,-0.23,46606790.0,46606790.0,,26177163.0,14451085.0,,,3513860.0,,10937225.0,11726078.0,,3155710.0,6122945.0,,2447423.0,24359391.0,16459923.0,2145272.0,,828286.0,13486365.0,0.0,,,,,,,,1817772.0,0,1817772.0,,,26177163.0,-9891747.0,-9891747.0,,-114105.0,-114105.0,,3132901.0,3132901.0,,,-6872951.0,-6872951.0,,-10922101.0,0,-10922101.0,0,,
EYEN,2024-03-18,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-24-000226,3787.0,0.0,3787.0,,,25410233.0,0.0,,-1854650.0,25406446.0,,,12975832.0,12430614.0,-25406446.0,,,-27261096.0,3787.0,,,,,,,,,,,,2371851.0,,,,,,-27261096.0,0,,-27261096.0,,-27261096.0,0,,0,-0.66,-0.66,41032970.0,41032970.0,,28779374.0,20706718.0,,,109798.0,,20596920.0,8072656.0,,3374384.0,2122945.0,,2575327.0,19780280.0,9530382.0,1753172.0,,1658613.0,6118597.0,10249898.0,,,,,,,,8999094.0,0,8999094.0,,,28779374.0,-23836539.0,-23836539.0,,-3970537.0,-3970537.0,,19792613.0,19792613.0,,,-8014463.0,-8014463.0,,-27261096.0,0,-27261096.0,0,,
EYEN,2023-11-13,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001410578-23-002416,1198.0,0.0,1198.0,,,6521384.0,0.0,,-818547.0,6520186.0,,,3578113.0,2942073.0,-6520186.0,,,-7338733.0,1198.0,,,,,,,,,,,,679222.0,,,,,,-7338733.0,0,,-7338733.0,,-7338733.0,0,,0,-0.18,-0.18,40139697.0,40139697.0,,34865437.0,26533033.0,,,50296.0,,26482737.0,8332404.0,,3531365.0,2122945.0,,2678094.0,19085704.0,6548295.0,1426028.0,,1375832.0,3746435.0,12537409.0,,,,,,,,15779733.0,0,15779733.0,,,34865437.0,-5840866.0,-5840866.0,,-1703109.0,-1703109.0,,10778099.0,10778099.0,,,3234124.0,3234124.0,,-7338733.0,0,-7338733.0,0,,
EYEN,2023-08-11,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001410578-23-001760,0.0,,,,,,,,,5960870.0,,,2811061.0,3149809.0,-5960870.0,,,-6215860.0,-6215860.0,,,,,,,,,,,,558003.0,,,,,,-6215860.0,0,,-6215860.0,,-6215860.0,0,,0,-0.16,-0.16,38093826.0,38093826.0,,29346899.0,23276793.0,,,,,,6070106.0,,3698421.0,,,2371685.0,18824952.0,4064210.0,1312749.0,,1013118.0,1738343.0,0.0,,,,,,,,10521947.0,0,10521947.0,,,29346899.0,-4714768.0,-4714768.0,,-1284145.0,-1284145.0,,5000679.0,5000679.0,,,-998234.0,-998234.0,,-6215860.0,0,-6215860.0,0,,
EYEN,2023-05-12,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-23-001063,0.0,,,,,,,,,5458836.0,,,2521950.0,2936886.0,-5458836.0,,,-5739366.0,-5739366.0,,,,,,,,,,,,454003.0,,,,,,-5739366.0,0,,-5739366.0,,-5739366.0,0,,0,-0.15,-0.15,37410587.0,37410587.0,,29309484.0,24924078.0,,,,,,4385406.0,,2152861.0,,,2232545.0,13495629.0,4901125.0,1402076.0,,637189.0,2861860.0,0.0,,,,,,,,15813855.0,0,15813855.0,,,29309484.0,-6958708.0,-6958708.0,,-838052.0,-838052.0,,3399562.0,3399562.0,,,-4397198.0,-4397198.0,,-5739366.0,0,-5739366.0,0,,
EYEN,2023-03-31,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001410578-23-000511,0.0,,,,,,,,,26911515.0,,,13378680.0,13532835.0,-26911515.0,,,-28011157.0,-28011157.0,,,,,,,,,,,,1380058.0,,,,,,-28011157.0,0,,-28011157.0,,-28011157.0,0,,0,-0.83,-0.83,33649747.0,33649747.0,,31036413.0,27642506.0,,,,,,3393907.0,,1295115.0,,,2098792.0,13801848.0,4512328.0,1428283.0,,1747191.0,1336854.0,9289520.0,,,,,,,,17234565.0,0,17234565.0,,,31036413.0,-25105482.0,-25105482.0,,-874745.0,-874745.0,,21506897.0,21506897.0,,,-4473330.0,-4473330.0,,-28011157.0,0,-28011157.0,0,,
