ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
FL,2025-03-27,2025,TTM,2024-02-04,2025-02-01,https://api.polygon.io/v1/reference/sec/filings/0001437749-25-009620,7988000000.0,7937000000.0,5666000000.0,,,7937000000.0,2322000000.0,,-44000000.0,2219000000.0,1920000000.0,202000000.0,,97000000.0,103000000.0,,53000000.0,18000000.0,51000000.0,-6000000.0,,,,,-2000000.0,33000000.0,61000000.0,-28000000.0,,,,,,,,,12000000.0,0.0,,12000000.0,,12000000.0,0,,0,0.13,0.13,95000000.0,95500000.0,,6748000000.0,2259000000.0,,156000000.0,1525000000.0,,578000000.0,4489000000.0,,910000000.0,365000000.0,,3214000000.0,3839000000.0,1330000000.0,378000000.0,,65000000.0,887000000.0,2509000000.0,396000000.0,2113000000.0,,,,,,2909000000.0,0.0,2909000000.0,,,6748000000.0,345000000.0,345000000.0,,-240000000.0,-240000000.0,,-7000000.0,-7000000.0,,-2000000.0,96000000.0,98000000.0,,-5000000.0,0,-5000000.0,-17000000.0,,
FL,2025-03-27,2025,FY,2024-02-04,2025-02-01,https://api.polygon.io/v1/reference/sec/filings/0001437749-25-009620,7988000000.0,7937000000.0,5666000000.0,,,7937000000.0,2322000000.0,,-44000000.0,2219000000.0,1920000000.0,202000000.0,,97000000.0,103000000.0,,53000000.0,18000000.0,51000000.0,-6000000.0,,,,,-2000000.0,33000000.0,61000000.0,-28000000.0,,,,,,,,,12000000.0,0.0,,12000000.0,,12000000.0,0,,0,0.13,0.13,95000000.0,95500000.0,,6748000000.0,2259000000.0,,156000000.0,1525000000.0,,578000000.0,4489000000.0,,910000000.0,365000000.0,,3214000000.0,3839000000.0,1330000000.0,378000000.0,,65000000.0,887000000.0,2509000000.0,396000000.0,2113000000.0,,,,,,2909000000.0,0.0,2909000000.0,,,6748000000.0,345000000.0,345000000.0,,-240000000.0,-240000000.0,,-7000000.0,-7000000.0,,-2000000.0,96000000.0,98000000.0,,-5000000.0,0,-5000000.0,-17000000.0,,
FL,2024-12-11,2025,Q3,2024-08-04,2024-11-02,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-037241,1961000000.0,1986000000.0,1378000000.0,,,1986000000.0,583000000.0,,-35000000.0,571000000.0,482000000.0,51000000.0,,38000000.0,12000000.0,,-25000000.0,-33000000.0,-25000000.0,,,,,,0.0,8000000.0,,-6000000.0,,,,,,,,,-33000000.0,0.0,,-33000000.0,,-33000000.0,0,,0,-0.34,-0.34,95000000.0,95000000.0,,6862000000.0,2386000000.0,,,1744000000.0,,642000000.0,4476000000.0,,906000000.0,365000000.0,,3205000000.0,3994000000.0,1432000000.0,501000000.0,,,931000000.0,2562000000.0,,,,,,,,2868000000.0,0.0,2868000000.0,,,6862000000.0,-28000000.0,-28000000.0,,-52000000.0,-52000000.0,,-1000000.0,-1000000.0,,1000000.0,-80000000.0,-81000000.0,,-35000000.0,0,-35000000.0,-35000000.0,,
FL,2024-09-11,2025,Q2,2024-05-05,2024-08-03,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-028967,1900000000.0,1914000000.0,1373000000.0,,,1914000000.0,527000000.0,,-2000000.0,536000000.0,476000000.0,51000000.0,,9000000.0,-9000000.0,,-14000000.0,-12000000.0,-14000000.0,,,,,,0.0,-2000000.0,,-24000000.0,,,,,,,,,-12000000.0,0.0,,-12000000.0,,-12000000.0,0,,0,-0.13,-0.13,95000000.0,95000000.0,,6953000000.0,2343000000.0,,,1648000000.0,,695000000.0,4610000000.0,,905000000.0,393000000.0,,3312000000.0,4056000000.0,1412000000.0,487000000.0,,,925000000.0,0.0,,,,,,,,2897000000.0,0.0,2897000000.0,,,6953000000.0,68000000.0,68000000.0,,-57000000.0,-57000000.0,,-4000000.0,-4000000.0,,-2000000.0,5000000.0,7000000.0,,3000000.0,0,3000000.0,3000000.0,,
FL,2024-06-12,2025,Q1,2024-02-04,2024-05-04,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-020080,1879000000.0,1866000000.0,1335000000.0,,,1866000000.0,544000000.0,,-4000000.0,526000000.0,461000000.0,51000000.0,,14000000.0,18000000.0,,15000000.0,8000000.0,13000000.0,,,,,,-2000000.0,5000000.0,,-5000000.0,,,,,,,,,8000000.0,0.0,,8000000.0,,8000000.0,0,,0,0.09,0.09,94700000.0,95300000.0,,6947000000.0,2355000000.0,,,1659000000.0,,696000000.0,4592000000.0,,910000000.0,392000000.0,,3290000000.0,4061000000.0,1405000000.0,515000000.0,,,890000000.0,0.0,,,,,,,,2886000000.0,0.0,2886000000.0,,,6947000000.0,58000000.0,58000000.0,,-76000000.0,-76000000.0,,-1000000.0,-1000000.0,,2000000.0,-17000000.0,-19000000.0,,-11000000.0,0,-11000000.0,-19000000.0,,
FL,2024-03-28,2024,FY,2023-01-29,2024-02-03,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-009866,8168000000.0,8591000000.0,5895000000.0,,,8591000000.0,2273000000.0,,-556000000.0,2131000000.0,1852000000.0,199000000.0,,80000000.0,142000000.0,,-422000000.0,-330000000.0,-423000000.0,0.0,,,,,-1000000.0,-93000000.0,43000000.0,-136000000.0,,,,,,,,,-330000000.0,0.0,,-330000000.0,,-330000000.0,0,,0,-3.51,-3.51,94200000.0,94200000.0,,6868000000.0,2225000000.0,,160000000.0,1509000000.0,,556000000.0,4643000000.0,,930000000.0,399000000.0,,3314000000.0,3978000000.0,1291000000.0,366000000.0,,72000000.0,853000000.0,2687000000.0,395000000.0,2292000000.0,,,,,,2890000000.0,0.0,2890000000.0,,,6868000000.0,91000000.0,91000000.0,,-222000000.0,-222000000.0,,-120000000.0,-120000000.0,,3000000.0,-248000000.0,-251000000.0,,-304000000.0,0,-304000000.0,26000000.0,,
FL,2023-12-06,2024,Q3,2023-07-30,2023-10-28,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-033771,1989000000.0,1942000000.0,1443000000.0,,,1942000000.0,546000000.0,,2000000.0,499000000.0,446000000.0,47000000.0,,6000000.0,47000000.0,,47000000.0,28000000.0,47000000.0,,,,,,0.0,19000000.0,,-2000000.0,,,,,,,,,28000000.0,0.0,,28000000.0,,28000000.0,0,,0,0.3,0.3,94300000.0,94700000.0,,7420000000.0,2374000000.0,,,1862000000.0,,512000000.0,5046000000.0,,884000000.0,407000000.0,,3755000000.0,4215000000.0,1459000000.0,593000000.0,,,866000000.0,2756000000.0,,,,,,,,3205000000.0,0.0,3205000000.0,,,7420000000.0,86000000.0,86000000.0,,-49000000.0,-49000000.0,,-40000000.0,-40000000.0,,1000000.0,-2000000.0,-3000000.0,,-9000000.0,0,-9000000.0,-37000000.0,,
FL,2023-09-06,2024,Q2,2023-04-30,2023-07-29,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-025308,1864000000.0,1867000000.0,1357000000.0,,,1867000000.0,507000000.0,,0.0,506000000.0,442000000.0,50000000.0,,14000000.0,1000000.0,,-3000000.0,-5000000.0,-3000000.0,,,,,,0.0,2000000.0,,1000000.0,,,,,,,,,-5000000.0,0.0,,-5000000.0,,-5000000.0,0,,0,-0.05,-0.05,94200000.0,94200000.0,,7536000000.0,2371000000.0,,,1831000000.0,,540000000.0,5165000000.0,,898000000.0,415000000.0,,3852000000.0,4289000000.0,1452000000.0,514000000.0,,,938000000.0,0.0,,,,,,,,3247000000.0,0.0,3247000000.0,,,7536000000.0,-66000000.0,-66000000.0,,-37000000.0,-37000000.0,,-34000000.0,-34000000.0,,3000000.0,-134000000.0,-137000000.0,,-6000000.0,0,-6000000.0,-1000000.0,,
FL,2023-06-07,2024,Q1,2023-01-29,2023-04-29,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-016867,1931000000.0,1874000000.0,1349000000.0,,,1874000000.0,582000000.0,,-3000000.0,521000000.0,431000000.0,51000000.0,,39000000.0,61000000.0,,58000000.0,36000000.0,57000000.0,,,,,,-1000000.0,21000000.0,,-4000000.0,,,,,,,,,36000000.0,0.0,,36000000.0,,36000000.0,0,,0,0.39,0.38,93700000.0,95100000.0,,7643000000.0,2397000000.0,,,1758000000.0,,639000000.0,5246000000.0,,901000000.0,421000000.0,,3924000000.0,4360000000.0,1460000000.0,474000000.0,,,986000000.0,0.0,,,,,,,,3283000000.0,0.0,3283000000.0,,,7643000000.0,-118000000.0,-118000000.0,,-59000000.0,-59000000.0,,-46000000.0,-46000000.0,,0.0,-223000000.0,-223000000.0,,32000000.0,0,32000000.0,-4000000.0,,
FL,2023-03-27,2023,FY,2022-01-30,2023-01-28,https://api.polygon.io/v1/reference/sec/filings/0000850209-23-000006,8759000000.0,8235000000.0,5955000000.0,,,8235000000.0,2804000000.0,,-42000000.0,2223000000.0,1903000000.0,208000000.0,,112000000.0,581000000.0,,523000000.0,344000000.0,524000000.0,-3000000.0,,,,,1000000.0,180000000.0,159000000.0,21000000.0,,,,,,,,,341000000.0,-1000000.0,,342000000.0,,342000000.0,0,,0,3.62,3.58,94300000.0,95500000.0,,7907000000.0,2521000000.0,,160000000.0,1643000000.0,,718000000.0,5386000000.0,,920000000.0,426000000.0,,4040000000.0,4614000000.0,1610000000.0,492000000.0,,99000000.0,1019000000.0,3004000000.0,395000000.0,2609000000.0,,,,,,3293000000.0,0.0,3293000000.0,,,7907000000.0,173000000.0,173000000.0,,-162000000.0,-162000000.0,,-279000000.0,-279000000.0,,,-268000000.0,-268000000.0,,293000000.0,0,293000000.0,-49000000.0,,
