ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
FMBH,2025-05-09,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-067613,87559000.0,59410000.0,,,,59410000.0,,,,59410000.0,,,,,28149000.0,,,22171000.0,28149000.0,,,,,,,5978000.0,,,,87559000.0,,57757000.0,59409000.0,54472000.0,24864000.0,1652000.0,22171000.0,0,,22171000.0,,22171000.0,0.0,,0.0,0.93,0.93,23858817.0,23959228.0,,7572688000.0,7572688000.0,,,,,,0,,97446000.0,55280000.0,,,6701739000.0,6701739000.0,,,,,0,,,,,,,,870949000.0,0,870949000.0,,,7572688000.0,47884000.0,47884000.0,,4545000.0,4545000.0,,27825000.0,27825000.0,,,80254000.0,80254000.0,,29204000.0,0,29204000.0,7033000.0,,7033000.0
FMBH,2025-02-28,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-029793,357379000.0,252983000.0,,,,252983000.0,,,,252983000.0,,,,,104396000.0,,,78898000.0,104396000.0,,,,,,,25498000.0,24908000.0,590000.0,,357379000.0,,223093000.0,228728000.0,214983000.0,96286000.0,5635000.0,78898000.0,0,,78898000.0,,78898000.0,0.0,,0.0,3.31,3.3,23800523.0,23895681.0,,7519734000.0,7519734000.0,,,,,,0,,100234000.0,58515000.0,,,6673343000.0,6673343000.0,,,,,0,,,,,,,,846391000.0,0,846391000.0,,,7519734000.0,124425000.0,124425000.0,,-7509000.0,-7509000.0,,-138764000.0,-138764000.0,,,-21848000.0,-21848000.0,,72942000.0,0,72942000.0,-5956000.0,,-5956000.0
FMBH,2024-11-08,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-123741,91182000.0,65815000.0,,,,65815000.0,,,,65815000.0,,,,,25367000.0,,,19482000.0,25367000.0,,,,,,,5885000.0,,,,91182000.0,,56277000.0,57543000.0,53933000.0,23023000.0,1266000.0,19482000.0,0,,19482000.0,,19482000.0,0.0,,0.0,0.81,0.81,23905099.0,24006647.0,,7562489000.0,7562489000.0,,,,,,0,,101464000.0,61748000.0,,,6703992000.0,6703992000.0,,,,,0,,,,,,,,858497000.0,0,858497000.0,,,7562489000.0,33131000.0,33131000.0,,-29813000.0,-29813000.0,,-74607000.0,-74607000.0,,,-71289000.0,-71289000.0,,49788000.0,0,49788000.0,49788000.0,,30306000.0
FMBH,2024-08-07,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-092347,88683000.0,61970000.0,,,,61970000.0,,,,61970000.0,,,,,26713000.0,,,19745000.0,26713000.0,,,,,,,6968000.0,,,,88683000.0,31918000.0,55682000.0,56765000.0,51391000.0,22422000.0,1083000.0,19745000.0,0,,19745000.0,,19745000.0,0.0,,0.0,0.83,0.82,23896210.0,23998152.0,,7581060000.0,7581060000.0,,,,,,0,,101583000.0,60916000.0,,,6767415000.0,-813645000.0,,,,,0,,,,,,,,813645000.0,0,813645000.0,,,7581060000.0,23972000.0,23972000.0,,-28139000.0,-28139000.0,,-116054000.0,-116054000.0,,,-120221000.0,-120221000.0,,20414000.0,0,20414000.0,20414000.0,,669000.0
FMBH,2024-05-07,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-054010,87672000.0,60729000.0,,,,60729000.0,,,,60729000.0,,,,,26943000.0,,,20503000.0,26943000.0,,,,,,,6440000.0,,,,87672000.0,32202000.0,55827000.0,55470000.0,53362000.0,24478000.0,-357000.0,20503000.0,0,,20503000.0,,20503000.0,0.0,,0.0,0.86,0.86,23872731.0,23960335.0,,7678246000.0,7678246000.0,,,,,,0,,101666000.0,64238000.0,,,6880294000.0,-797952000.0,,,,,0,,,,,,,,797952000.0,0,797952000.0,,,7678246000.0,29048000.0,29048000.0,,97403000.0,97403000.0,,86186000.0,86186000.0,,,212637000.0,212637000.0,,9263000.0,0,9263000.0,-11240000.0,,-11240000.0
FMBH,2024-03-06,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-026921,300166000.0,211761000.0,,,,211761000.0,,,,211761000.0,,,,,88405000.0,,,68935000.0,88405000.0,,,,,,,19470000.0,2731000.0,16739000.0,,300166000.0,106703000.0,187359000.0,193463000.0,185740000.0,86786000.0,6104000.0,68935000.0,0,,68935000.0,,68935000.0,0.0,,0.0,3.17,3.15,21780217.0,21868788.0,,7586794000.0,7586794000.0,,,,,,0,,101396000.0,67770000.0,,,6793590000.0,6793590000.0,,,,,0,,,,,,,,793204000.0,0,793204000.0,,,7586794000.0,72417000.0,72417000.0,,474380000.0,474380000.0,,-556166000.0,-556166000.0,,,-9369000.0,-9369000.0,,84015000.0,0,84015000.0,15080000.0,,15080000.0
FMBH,2023-11-08,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-060773,80438000.0,59949000.0,,,,59949000.0,,,,59949000.0,,,,,20489000.0,,,15117000.0,20489000.0,,,,,,,5372000.0,,,,80438000.0,29995000.0,44532000.0,50443000.0,47096000.0,23053000.0,5911000.0,15117000.0,0,,15117000.0,,15117000.0,0.0,,0.0,0.68,0.68,22220438.0,22319334.0,,7855294000.0,7855294000.0,,,,,,0,,102004000.0,71332000.0,,,7117346000.0,7117346000.0,,,,,0,,,,,,,,737948000.0,0,737948000.0,,,7855294000.0,5411000.0,5411000.0,,355461000.0,355461000.0,,-151888000.0,-151888000.0,,,208984000.0,208984000.0,,12220000.0,0,12220000.0,12220000.0,,-27337000.0
FMBH,2023-08-08,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-039508,66130000.0,44777000.0,,,,44777000.0,,,,44777000.0,,,,,21353000.0,,,16567000.0,21353000.0,,,,,,,4786000.0,,,,66130000.0,23763000.0,41909000.0,42367000.0,40042000.0,19486000.0,458000.0,16567000.0,0,,16567000.0,,16567000.0,0.0,,0.0,0.81,0.8,20528717.0,20628239.0,,6703869000.0,6703869000.0,,,,,,0,,89924000.0,32252000.0,,,6043182000.0,-660687000.0,,,,,0,,,,,,,,660687000.0,0,660687000.0,,,6703869000.0,17853000.0,17853000.0,,-32561000.0,-32561000.0,,19827000.0,19827000.0,,,5119000.0,5119000.0,,2902000.0,0,2902000.0,2902000.0,,-13665000.0
FMBH,2023-05-09,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-019204,63671000.0,38761000.0,,,,38761000.0,,,,38761000.0,,,,,24910000.0,,,19180000.0,24910000.0,,,,,,,5730000.0,,,,63671000.0,20480000.0,44008000.0,43191000.0,41577000.0,22479000.0,-817000.0,19180000.0,0,,19180000.0,,19180000.0,0.0,,0.0,0.94,0.93,20492254.0,20563972.0,,6682850000.0,6682850000.0,,,,,,0,,90178000.0,27961000.0,,,6020985000.0,-661865000.0,,,,,0,,,,,,,,661865000.0,0,661865000.0,,,6682850000.0,20305000.0,20305000.0,,89734000.0,89734000.0,,-93338000.0,-93338000.0,,,16701000.0,16701000.0,,32786000.0,0,32786000.0,13606000.0,,13606000.0
FMBH,2023-03-03,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-005975,215891000.0,124599000.0,,,,124599000.0,,,,124599000.0,,,,,91292000.0,,,72952000.0,91292000.0,,,,,,,18340000.0,20572000.0,-2232000.0,,215891000.0,31614000.0,179471000.0,184277000.0,162861000.0,74682000.0,4806000.0,72952000.0,0,,72952000.0,,72952000.0,0.0,,0.0,3.62,3.6,20169077.0,20243635.0,,6744215000.0,6744215000.0,,,,,,0,,90473000.0,29485000.0,,,6111060000.0,6111060000.0,,,,,0,,,,,,,,633155000.0,0,633155000.0,,,6744215000.0,65824000.0,65824000.0,,-178688000.0,-178688000.0,,96695000.0,96695000.0,,,-16169000.0,-16169000.0,,-77724000.0,0,-77724000.0,-150676000.0,,-150676000.0
FMBH,2022-11-08,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-036939,56754000.0,33397000.0,,,,33397000.0,,,,33397000.0,,,,,23357000.0,,,17939000.0,23357000.0,,,,,,,5418000.0,,,,56754000.0,8497000.0,48115000.0,48257000.0,41549000.0,16791000.0,142000.0,17939000.0,0,,17939000.0,,17939000.0,0.0,,0.0,0.88,0.88,20454669.0,20535215.0,,6651383000.0,6651383000.0,,,,,,0,,90659000.0,30803000.0,,,6050668000.0,6050668000.0,,,,,0,,,,,,,,600715000.0,0,600715000.0,,,6651383000.0,34149000.0,34149000.0,,-11231000.0,-11231000.0,,492000.0,492000.0,,,23410000.0,23410000.0,,-21484000.0,0,-21484000.0,-21484000.0,,-39423000.0
FMBH,2022-08-08,2022,Q2,2022-04-01,2022-06-30,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-028376,51283000.0,28320000.0,,,,28320000.0,,,,28320000.0,,,,,22963000.0,,,17758000.0,22963000.0,,,,,,,5205000.0,,,,51283000.0,4457000.0,45919000.0,46826000.0,41515000.0,18559000.0,907000.0,17758000.0,0,,17758000.0,,17758000.0,0.0,,0.0,0.87,0.86,20448799.0,20529523.0,,6660922000.0,6660922000.0,,,,,,0,,90766000.0,32406000.0,,,6034654000.0,-626268000.0,,,,,0,,,,,,,,626268000.0,0,626268000.0,,,6660922000.0,-4022000.0,-4022000.0,,-157631000.0,-157631000.0,,75217000.0,75217000.0,,,-86436000.0,-86436000.0,,-36454000.0,0,-36454000.0,-36454000.0,,-54212000.0
FMBH,2022-05-09,2022,Q1,2022-01-01,2022-03-31,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-018860,47145000.0,25875000.0,,,,25875000.0,,,,25875000.0,,,,,21270000.0,,,16616000.0,21270000.0,,,,,,,4654000.0,,,,47145000.0,3623000.0,40570000.0,43522000.0,40388000.0,21088000.0,2952000.0,16616000.0,0,,16616000.0,,16616000.0,0.0,,0.0,0.86,0.86,19295860.0,19358457.0,,6632006000.0,6632006000.0,,,,,,0,,89319000.0,34034000.0,,,5965621000.0,-666385000.0,,,,,0,,,,,,,,666385000.0,0,666385000.0,,,6632006000.0,24133000.0,24133000.0,,63875000.0,63875000.0,,-32630000.0,-32630000.0,,,55378000.0,55378000.0,,-56581000.0,0,-56581000.0,-73197000.0,,-73197000.0
FMBH,2022-03-02,2021,FY,2021-01-01,2021-12-31,https://api.polygon.io/v1/reference/sec/filings/0001564590-22-008213,183013000.0,116225000.0,,,,116225000.0,,,,116225000.0,,,,,66788000.0,,,51490000.0,66788000.0,,,,,,,15298000.0,18653000.0,-3355000.0,,183013000.0,15262000.0,152600000.0,167751000.0,155579000.0,69767000.0,15151000.0,51490000.0,0,,51490000.0,,51490000.0,0.0,,0.0,2.88,2.87,17886998.0,17939007.0,,5986582000.0,5986582000.0,,,,,,0,,81484000.0,29523000.0,,,5352688000.0,5352688000.0,,,,,0,,,,,,,,633894000.0,0,633894000.0,,,5986582000.0,69596000.0,69596000.0,,-482499000.0,-482499000.0,,164224000.0,164224000.0,,,-248679000.0,-248679000.0,,33564000.0,0,33564000.0,-17926000.0,,-17926000.0
FMBH,2021-11-04,2021,Q3,2021-07-01,2021-09-30,https://api.polygon.io/v1/reference/sec/filings/0001564590-21-054457,49263000.0,24832000.0,,,,24832000.0,,,,24832000.0,,,,,24431000.0,,,18326000.0,24431000.0,,,,,,,6105000.0,,,,49263000.0,3767000.0,44393000.0,45496000.0,36321000.0,16359000.0,1103000.0,18326000.0,0,,18326000.0,,18326000.0,0.0,,0.0,1.01,1.01,18083126.0,18136146.0,,6043359000.0,6043359000.0,,,,,,0,,81823000.0,30803000.0,,,5416134000.0,5416134000.0,,,,,0,,,,,,,,627225000.0,0,627225000.0,,,6043359000.0,45315000.0,45315000.0,,-285769000.0,-285769000.0,,244919000.0,244919000.0,,,4465000.0,4465000.0,,18326000.0,0,15178000.0,0.0,,-3148000.0
FMBH,2021-08-04,2021,Q2,2021-04-01,2021-06-30,https://api.polygon.io/v1/reference/sec/filings/0001564590-21-040859,46635000.0,31057000.0,,,,31057000.0,,,,31057000.0,,,,,15578000.0,,,12221000.0,15578000.0,,,,,,,3357000.0,,,,46635000.0,3888000.0,43307000.0,42747000.0,45264000.0,17535000.0,-560000.0,12221000.0,0,,12221000.0,,12221000.0,0.0,,0.0,0.68,0.68,18067190.0,18120210.0,,5790582000.0,5790582000.0,,,,,,0,,82099000.0,27222000.0,,,5174516000.0,-616066000.0,,,,,0,,,,,,,,616066000.0,0,616066000.0,,,5790582000.0,-20189000.0,-20189000.0,,18142000.0,18142000.0,,-66759000.0,-66759000.0,,,-68806000.0,-68806000.0,,12221000.0,0,15915000.0,0.0,,3694000.0
FMBH,2021-05-10,2021,Q1,2021-01-01,2021-03-31,https://api.polygon.io/v1/reference/sec/filings/0001564590-21-026124,40816000.0,36039000.0,,,,36039000.0,,,,36039000.0,,,,,4777000.0,,,4109000.0,4777000.0,,,,,,,668000.0,,,,40816000.0,4052000.0,24628000.0,36764000.0,37600000.0,17749000.0,12136000.0,4109000.0,0,,4109000.0,,4109000.0,0.0,,0.0,0.24,0.24,17299927.0,17352947.0,,5837270000.0,5837270000.0,,,,,,0,,86654000.0,24658000.0,,,5235386000.0,-601884000.0,,,,,0,,,,,,,,601884000.0,0,601884000.0,,,5837270000.0,21553000.0,21553000.0,,-81274000.0,-81274000.0,,51987000.0,51987000.0,,,-7734000.0,-7734000.0,,4109000.0,0,-7899000.0,0.0,,-12008000.0
