ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
FOSL,2025-05-15,2025,Q4,2024-12-29,2025-04-05,https://api.polygon.io/v1/reference/sec/filings/0000883569-25-000032,233293000.0,247775000.0,90301000.0,,,247775000.0,142992000.0,,,149739000.0,133839000.0,3368000.0,,12532000.0,-6747000.0,,,-17850000.0,-14482000.0,,,,,,,3368000.0,,,,,,,,,,,-17850000.0,-274000.0,,-17576000.0,,-17576000.0,0,,0,-0.33,-0.33,53259000.0,53259000.0,,686018000.0,482506000.0,,,182085000.0,,300421000.0,203512000.0,,40196000.0,,,163316000.0,561609000.0,262570000.0,118235000.0,,33572000.0,110763000.0,299039000.0,,,,,,,,124409000.0,-16173000.0,140582000.0,,,686018000.0,-60356000.0,-60356000.0,,702000.0,702000.0,,10239000.0,10239000.0,,4087000.0,-45328000.0,-49415000.0,,-9033000.0,-274000.0,-8759000.0,8817000.0,,
FOSL,2025-03-12,2024,FY,2023-12-31,2024-12-28,https://api.polygon.io/v1/reference/sec/filings/0000883569-25-000010,1144990000.0,1263053000.0,547839000.0,,,1263053000.0,597151000.0,,,701098000.0,638776000.0,15736000.0,0.0,46586000.0,-103947000.0,,,-106276000.0,-118063000.0,,,,,,,-11787000.0,-9333000.0,-2454000.0,,,,,,,,,-106276000.0,-3605000.0,,-102671000.0,,-102671000.0,0,,0,-1.94,-1.94,52958000.0,52958000.0,,763567000.0,554515000.0,,,178576000.0,,375939000.0,209052000.0,,41568000.0,,,167484000.0,626843000.0,326570000.0,157636000.0,,43426000.0,125508000.0,300273000.0,164800000.0,135473000.0,,,,,,136724000.0,-11979000.0,148703000.0,,,763567000.0,46680000.0,46680000.0,,4044000.0,4044000.0,,-50209000.0,-50209000.0,,4494000.0,5009000.0,515000.0,,-112475000.0,-3605000.0,-108870000.0,-6199000.0,,
FOSL,2024-11-07,2024,Q3,2024-06-30,2024-09-28,https://api.polygon.io/v1/reference/sec/filings/0000883569-24-000078,287819000.0,313584000.0,145587000.0,,,313584000.0,142232000.0,,,166692000.0,160858000.0,,,5834000.0,-24460000.0,,,-31930000.0,-25765000.0,,,,,,,6165000.0,,,,,,,,,,,-31930000.0,101000.0,,-32031000.0,,-32031000.0,0,,0,-0.6,-0.6,53171000.0,53171000.0,,812408000.0,575857000.0,,,226389000.0,,349468000.0,236551000.0,,,,,,650500000.0,317523000.0,159002000.0,,36855000.0,121666000.0,332977000.0,,,,,,,,161908000.0,-2469000.0,164377000.0,,,812408000.0,-22815000.0,-22815000.0,,7234000.0,7234000.0,,15670000.0,15670000.0,,1567000.0,1656000.0,89000.0,,-25721000.0,101000.0,-25822000.0,6209000.0,,
FOSL,2024-08-08,2024,Q2,2024-03-31,2024-06-29,https://api.polygon.io/v1/reference/sec/filings/0000883569-24-000067,259991000.0,296626000.0,123140000.0,,,296626000.0,136851000.0,,,170854000.0,153604000.0,,,17250000.0,-34003000.0,,,-38843000.0,-36635000.0,,,,,,,2208000.0,,,,,,,,,,,-38843000.0,-58000.0,,-38785000.0,,-38785000.0,0,,0,-0.73,-0.73,52927000.0,52927000.0,,785682000.0,542409000.0,,,202128000.0,,340281000.0,243273000.0,,,,,,-187076000.0,279670000.0,132535000.0,,37573000.0,109562000.0,318936000.0,,,,,,,,187076000.0,-2570000.0,189646000.0,,,785682000.0,38364000.0,38364000.0,,-1758000.0,-1758000.0,,-44773000.0,-44773000.0,,385000.0,-7782000.0,-8167000.0,,-40367000.0,-58000.0,-40309000.0,-1524000.0,,
FOSL,2024-05-09,2024,Q1,2023-12-31,2024-03-30,https://api.polygon.io/v1/reference/sec/filings/0000883569-24-000023,254884000.0,285315000.0,121392000.0,,,285315000.0,133492000.0,,,162698000.0,152272000.0,,,10426000.0,-29206000.0,,,-24314000.0,-30431000.0,,,,,,,-6117000.0,,,,,5112000.0,,,,,,-24314000.0,-18000.0,,-24296000.0,,-24296000.0,0,,0,-0.46,-0.46,52491000.0,52491000.0,,890972000.0,637263000.0,,,224137000.0,,413126000.0,253709000.0,,,,,,-226573000.0,295424000.0,142908000.0,,37252000.0,115264000.0,368975000.0,,,,,,,,226573000.0,-2512000.0,229085000.0,,,890972000.0,622000.0,622000.0,,-1330000.0,-1330000.0,,-4703000.0,-4703000.0,,691000.0,-4720000.0,-5411000.0,,-26173000.0,-18000.0,-26155000.0,-1859000.0,,
FOSL,2024-03-13,2023,FY,2023-01-01,2023-12-30,https://api.polygon.io/v1/reference/sec/filings/0000883569-24-000007,1412384000.0,1568521000.0,732803000.0,,,1568521000.0,679581000.0,,,822605000.0,777167000.0,24428000.0,19400000.0,1610000.0,-143024000.0,,-156126000.0,-156659000.0,-156137000.0,,,,,,-11000.0,522000.0,4397000.0,-3875000.0,,,21778000.0,,,,,,-156659000.0,429000.0,,-157088000.0,,-157088000.0,0,,0,-3.0,-3.0,52284000.0,52284000.0,,978030000.0,710690000.0,,,252834000.0,,457856000.0,267340000.0,,57244000.0,,,210096000.0,726292000.0,342477000.0,147161000.0,,44789000.0,150527000.0,383815000.0,207500000.0,176315000.0,,,,,,251738000.0,-2494000.0,254232000.0,,,978030000.0,-59459000.0,-59459000.0,,-9870000.0,-9870000.0,,-13626000.0,-13626000.0,,463000.0,-82492000.0,-82955000.0,,-156746000.0,429000.0,-157175000.0,-87000.0,,
FOSL,2023-11-09,2023,Q3,2023-07-02,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000883569-23-000038,344121000.0,399369000.0,182458000.0,,,399369000.0,161663000.0,,,208058000.0,191433000.0,,,16625000.0,-46395000.0,,,-60809000.0,-55248000.0,,,,,,,5561000.0,,,,,5760000.0,,,,,,-60809000.0,253000.0,,-61062000.0,,-61062000.0,0,,0,-1.16,-1.16,52466000.0,52466000.0,,1063244000.0,784939000.0,,,326718000.0,,458221000.0,278305000.0,,,,,,784493000.0,348589000.0,158028000.0,,41067000.0,149494000.0,435904000.0,,,,,,,,278751000.0,-2349000.0,281100000.0,,,1063244000.0,-24914000.0,-24914000.0,,-3651000.0,-3651000.0,,12455000.0,12455000.0,,-103000.0,-16213000.0,-16110000.0,,-59987000.0,253000.0,-60240000.0,822000.0,,
FOSL,2023-08-10,2023,Q2,2023-04-02,2023-07-01,https://api.polygon.io/v1/reference/sec/filings/0000883569-23-000030,321966000.0,355452000.0,165299000.0,,,355452000.0,156667000.0,,,191980000.0,187187000.0,,,4793000.0,-35313000.0,,,-26288000.0,-33486000.0,,,,,,,-7198000.0,,,,,5345000.0,,,,,,-26288000.0,241000.0,,-26529000.0,,-26529000.0,0,,0,-0.51,-0.51,52349000.0,52349000.0,,1073363000.0,797557000.0,,,323914000.0,,473643000.0,275806000.0,,,,,,-336902000.0,321536000.0,139842000.0,,43297000.0,138397000.0,414925000.0,,,,,,,,336902000.0,-2602000.0,339504000.0,,,1073363000.0,2814000.0,2814000.0,,-2026000.0,-2026000.0,,6840000.0,6840000.0,,-2946000.0,4682000.0,7628000.0,,-30569000.0,241000.0,-30810000.0,-4281000.0,,
FOSL,2023-05-11,2023,Q1,2023-01-01,2023-04-01,https://api.polygon.io/v1/reference/sec/filings/0000883569-23-000016,325036000.0,364615000.0,164319000.0,,,364615000.0,160717000.0,,,198025000.0,190873000.0,,,7152000.0,-37308000.0,,,-41182000.0,-39579000.0,,,,,,,1603000.0,,,,,5004000.0,,,,,,-41182000.0,80000.0,,-41262000.0,,-41262000.0,0,,0,-0.8,-0.8,51840000.0,51840000.0,,1085995000.0,804487000.0,,,336503000.0,,467984000.0,281508000.0,,,,,,-366289000.0,305139000.0,120124000.0,,40755000.0,144260000.0,414567000.0,,,,,,,,366289000.0,-2843000.0,369132000.0,,,1085995000.0,-85862000.0,-85862000.0,,-2719000.0,-2719000.0,,16462000.0,16462000.0,,298000.0,-71821000.0,-72119000.0,,-38071000.0,80000.0,-38151000.0,3111000.0,,
FOSL,2023-03-09,2022,FY,2022-01-02,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000883569-23-000010,1682439000.0,1704565000.0,851760000.0,,,1704565000.0,830679000.0,,,832152000.0,823689000.0,22631000.0,29100000.0,,-1473000.0,,-21994000.0,-43526000.0,-22126000.0,,,,,,-132000.0,21400000.0,15747000.0,5653000.0,,,19237000.0,,,,,,-43526000.0,631000.0,,-44157000.0,,-44157000.0,0,,0,-0.85,-0.85,51841000.0,51841000.0,,1238128000.0,945300000.0,,,376028000.0,,569272000.0,292828000.0,,79882000.0,,,212946000.0,835119000.0,425920000.0,191141000.0,,44259000.0,190520000.0,409199000.0,216400000.0,192799000.0,,,,,,403009000.0,-2923000.0,405932000.0,,,1238128000.0,-110856000.0,-110856000.0,,-8553000.0,-8553000.0,,52990000.0,52990000.0,,5922000.0,-60497000.0,-66419000.0,,-52569000.0,631000.0,-53200000.0,-9043000.0,,
