ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
FRPT,2025-05-05,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001611647-25-000013,263249000.0,275812000.0,159461000.0,,,275812000.0,103788000.0,,-1066000.0,115285000.0,115285000.0,21827000.0,,,-11497000.0,,,-12697000.0,-12563000.0,,,,,,,134000,,,,,,,,,,,-12697000.0,0,,-12697000.0,,-12697000.0,0,,0,-0.26,-0.26,48733000.0,48733000.0,,1559024000.0,405392000.0,,,82017000.0,13922000.0,309453000.0,1153632000.0,,,,,,509535000.0,82574000.0,42763000.0,,7943000.0,31868000.0,426961000.0,,,0.0,,,,,1049489000.0,0,1049489000.0,,,1559024000.0,4807000.0,4807000.0,,-26491000.0,-26491000.0,,-3217000.0,-3217000.0,,,-24901000.0,-24901000.0,,-12486000.0,0,-12486000.0,-12486000.0,,211000.0
FRPT,2025-02-20,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001611647-25-000007,975177000.0,927654000.0,579221000.0,,,927654000.0,395956000.0,,9524000.0,357957000.0,357957000.0,73615000.0,,,37999000.0,,47523000.0,46925000.0,47523000.0,,,,,,0.0,598000,598000.0,,,,,,,,,,46925000.0,0,,46925000.0,,46925000.0,0,,0,0.97,0.93,48487000.0,50255000.0,,1574878000.0,436998000.0,,,80794000.0,16026000.0,340178000.0,1137880000.0,,,,,,519518000.0,98869000.0,39164000.0,,34550000.0,25155000.0,420649000.0,,,0.0,,,,,1055360000.0,0,1055360000.0,,,1574878000.0,154288000.0,154288000.0,,-187092000.0,-187092000.0,,4566000.0,4566000.0,,,-28238000.0,-28238000.0,,46729000.0,0,46729000.0,46729000.0,,-196000.0
FRPT,2024-11-04,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001611647-24-000019,253367000.0,241418000.0,151120000.0,,,241418000.0,102247000.0,,40000.0,90338000.0,90338000.0,18925000.0,,,11909000.0,,11949000.0,11895000.0,11949000.0,,,,,,0.0,54000,,,,,,,,,,,11895000.0,0,,11895000.0,,11895000.0,0,,0,0.25,0.24,48509000.0,50282000.0,,1531698000.0,421294000.0,,,72791000.0,5768000.0,342735000.0,1110404000.0,,,,,,510251000.0,89242000.0,35481000.0,,28030000.0,25731000.0,421009000.0,,,0.0,,,,,1021447000.0,0,1021447000.0,,,1531698000.0,56100000.0,56100000.0,,-34033000.0,-34033000.0,,828000.0,828000.0,,,22895000.0,22895000.0,,12499000.0,0,12499000.0,12499000.0,,604000.0
FRPT,2024-08-05,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001611647-24-000011,235253000.0,236893000.0,141301000.0,,,236893000.0,93952000.0,,110000.0,95702000.0,95702000.0,17422000.0,,,-1750000.0,,-1640000.0,-1694000.0,-1640000.0,,,,,,0.0,54000,,,,,,,,,,,-1694000.0,0,,-1694000.0,,-1694000.0,0,,0,-0.03,-0.03,48461000.0,48461000.0,,1506331000.0,405220000.0,,,73252000.0,8566000.0,323402000.0,1101111000.0,,,,,,510527000.0,90000000.0,34051000.0,,21622000.0,34327000.0,0.0,,,0.0,,,,,995804000.0,0,995804000.0,,,1506331000.0,42413000.0,42413000.0,,-48322000.0,-48322000.0,,-286000.0,-286000.0,,,-6195000.0,-6195000.0,,-1773000.0,0,-1773000.0,-1773000.0,,-79000.0
FRPT,2024-05-06,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-014824,223849000.0,205193000.0,135691000.0,,,205193000.0,88158000.0,,10193000.0,79695000.0,79695000.0,15902000.0,,,8463000.0,,18656000.0,18602000.0,18656000.0,,,,,,0.0,54000,,,,,3060000.0,,,,,,18602000.0,0,,18602000.0,,18602000.0,0,,0,0.38,0.37,48320000.0,50049000.0,,1480590000.0,406958000.0,,,71865000.0,5757000.0,329336000.0,1073632000.0,,1005759000.0,,,67873000.0,502746000.0,81946000.0,46591000.0,,12578000.0,22777000.0,0.0,,,,,,,,977844000.0,0,977844000.0,,,1480590000.0,5406000.0,5406000.0,,-46473000.0,-46473000.0,,2090000.0,2090000.0,,,-38977000.0,-38977000.0,,18484000.0,0,18484000.0,-118000.0,,-118000.0
FRPT,2024-02-26,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-005542,766895000.0,798409000.0,516023000.0,,,798409000.0,250872000.0,,-1068000.0,281318000.0,281318000.0,58517000.0,,,-30446000.0,,-31514000.0,-31724000.0,-31514000.0,,,,,,-1890000.0,210000,210000.0,,,,14097000.0,,,,,,-33614000.0,0,,-33614000.0,,-33614000.0,0,,0,-0.7,-0.7,48163000.0,48163000.0,,1464421000.0,427319000.0,,,63238000.0,7615000.0,356466000.0,1037102000.0,,979164000.0,,,57938000.0,510967000.0,89222000.0,36096000.0,,19307000.0,33819000.0,421745000.0,,,,,,,,953454000.0,0,953454000.0,,,1464421000.0,75940000.0,75940000.0,,-239093000.0,-239093000.0,,327289000.0,327289000.0,,,164136000.0,164136000.0,,-35575000.0,0,-35575000.0,-35575000.0,,-1961000.0
FRPT,2023-11-06,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-030394,200621000.0,207717000.0,134328000.0,,,207717000.0,66293000.0,,-18000.0,73371000.0,73371000.0,16506000.0,,,-7078000.0,,-7096000.0,-7166000.0,-7096000.0,,,,,,0.0,70000,,,,,4148000.0,,,,,,-7166000.0,0,,-7166000.0,,-7166000.0,0,,0,-0.15,-0.15,48194000.0,48194000.0,,1444333000.0,462390000.0,,,59063000.0,8813000.0,394514000.0,981943000.0,,924720000.0,,,57223000.0,505777000.0,83773000.0,40908000.0,,12945000.0,29920000.0,422004000.0,,,,,,,,938556000.0,0,938556000.0,,,1444333000.0,39199000.0,39199000.0,,54306000.0,54306000.0,,554000.0,554000.0,,,94059000.0,94059000.0,,-7462000.0,0,-7462000.0,-296000.0,,
FRPT,2023-08-07,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-022342,183331000.0,199303000.0,124087000.0,,,199303000.0,59244000.0,,779000.0,75996000.0,75996000.0,14438000.0,,,-16752000.0,,-15972000.0,-16042000.0,-15972000.0,,,,,,-910000.0,70000,,,,,3329000.0,,,,,,-16952000.0,0,,-16952000.0,,-16952000.0,0,,0,-0.35,-0.35,48132000.0,48132000.0,,1410371000.0,487140000.0,,,65269000.0,8182000.0,413689000.0,923231000.0,,865237000.0,,,57994000.0,472587000.0,77442000.0,32389000.0,,9771000.0,35282000.0,0.0,,,,,,,,937784000.0,0,937784000.0,,,1410371000.0,13509000.0,13509000.0,,-108583000.0,-108583000.0,,1979000.0,1979000.0,,,-93095000.0,-93095000.0,,-18991000.0,0,-18991000.0,-2039000.0,,
FRPT,2023-05-08,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-013012,167522000.0,191258000.0,116762000.0,,,191258000.0,50760000.0,,-2225000.0,72271000.0,72271000.0,14492000.0,,,-21511000.0,,-23736000.0,-23806000.0,-23736000.0,,,,,,-980000.0,70000,,,,,3171000.0,,,,,,-24786000.0,0,,-24786000.0,,-24786000.0,0,,0,-0.52,-0.52,48047000.0,48047000.0,,1400017000.0,513144000.0,,,66319000.0,7751000.0,439074000.0,886873000.0,,826152000.0,,,60721000.0,451110000.0,55739000.0,26391000.0,,5768000.0,23580000.0,0.0,,,,,,,,948907000.0,0,948907000.0,,,1400017000.0,-13740000.0,-13740000.0,,-107365000.0,-107365000.0,,325513000.0,325513000.0,,,204408000.0,204408000.0,,-24780000.0,0,-24780000.0,6000.0,,
FRPT,2023-02-28,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-004928,595344000.0,650825000.0,409311000.0,,,650825000.0,186033000.0,,-3498000.0,238016000.0,238016000.0,34555000.0,,,-51983000.0,,-55481000.0,-55763000.0,-55481000.0,,,,,,-3731000.0,282000,282000.0,,,,5208000.0,,,,,,-59494000.0,0,,-59494000.0,,-59494000.0,0,,0,-1.29,-1.29,46191000.0,46191000.0,,1125383000.0,261965000.0,,,58290000.0,9778000.0,193897000.0,863418000.0,,800586000.0,,,62832000.0,93814000.0,89614000.0,55088000.0,,8559000.0,25967000.0,4200000.0,,,,,,,,1031569000.0,0,1031569000.0,,,1125383000.0,-43227000.0,-43227000.0,,-233364000.0,-233364000.0,,336538000.0,336538000.0,,,59947000.0,59947000.0,,-58004000.0,0,-58004000.0,1490000.0,,
