ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
FSBC,2025-05-08,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001275168-25-000106,57087000.0,38696000.0,,,,38696000.0,,,,38696000.0,,461000.0,,38235000.0,18391000.0,,,13111000.0,18391000.0,,,,,,,5280000.0,,0.0,,57087000.0,,32077000.0,33977000.0,15045000.0,1359000.0,1900000.0,13111000.0,0.0,,13111000.0,,13111000.0,0.0,,0.0,0.62,0.62,21209881.0,21253588.0,0.2,4245057000.0,4245057000.0,,,,,,0,,1524000.0,,,,3838606000.0,3838606000.0,,,,,0,,,,,,,,406451000.0,0,406451000.0,,,4245057000.0,15472000.0,15472000.0,,-89338000.0,-89338000.0,,174094000.0,174094000.0,,,100228000.0,100228000.0,,13836000.0,0.0,13836000.0,13836000.0,,725000.0
FSBC,2024-11-07,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001275168-24-000140,52667000.0,37426000.0,,,,37426000.0,,,,37426000.0,,469000.0,,36957000.0,15241000.0,,,10941000.0,15241000.0,,,,,,,4300000.0,,9000.0,,52667000.0,,27636000.0,30386000.0,13776000.0,1381000.0,2750000.0,10941000.0,0.0,,10941000.0,,10941000.0,0.0,,0.0,0.52,0.52,21182143.0,21232758.0,0.2,3887004000.0,3887004000.0,,,,,,0,,1657000.0,,,,3497074000.0,3497074000.0,,,,,0,,,,,,,,389930000.0,0,389930000.0,,,3887004000.0,17521000.0,17521000.0,,-203112000.0,-203112000.0,,246084000.0,246084000.0,,,60493000.0,60493000.0,,13441000.0,0.0,13441000.0,13441000.0,,2500000.0
FSBC,2024-08-06,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001275168-24-000112,48998000.0,33846000.0,,,,33846000.0,,,,33846000.0,,466000.0,,33380000.0,15152000.0,,,10782000.0,15152000.0,,,,,,,4370000.0,,9000.0,,48998000.0,,27092000.0,29092000.0,13513000.0,1573000.0,2000000.0,10782000.0,0.0,,10782000.0,,10782000.0,0.0,,0.0,0.51,0.51,21039798.0,21058085.0,0.2,3634217000.0,3634217000.0,,,,,,0,,1610000.0,,,,3253747000.0,-380470000.0,,,,,0,,,,,,,,380470000.0,0,380470000.0,,,3634217000.0,16024000.0,16024000.0,,-161455000.0,-161455000.0,,150465000.0,150465000.0,,,5034000.0,5034000.0,,10990000.0,0.0,10990000.0,10990000.0,,208000.0
FSBC,2024-05-08,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001275168-24-000094,47541000.0,32580000.0,,,,32580000.0,,,,32580000.0,,472000.0,,32108000.0,14961000.0,,,10631000.0,14961000.0,,,,,,,4330000.0,,6000.0,,47541000.0,20797000.0,25844000.0,26744000.0,12716000.0,1833000.0,900000.0,10631000.0,0.0,,10631000.0,,10631000.0,0.0,,0.0,0.62,0.62,17190867.0,17272994.0,0.2,3476360000.0,3476360000.0,,,,,,0,,1569000.0,,,,3183780000.0,-292580000.0,,,,,0,,,,,,,,292580000.0,0,292580000.0,,,3476360000.0,247000.0,247000.0,,-11923000.0,-11923000.0,,-124575000.0,-124575000.0,,,-136251000.0,-136251000.0,,9958000.0,0.0,9958000.0,9958000.0,,-673000.0
FSBC,2024-02-23,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001275168-24-000061,174382000.0,107766000.0,,,,107766000.0,,,,107766000.0,,1612000.0,,106154000.0,66616000.0,,,47734000.0,66616000.0,,,,,,,18882000.0,,-897000.0,,174382000.0,63502000.0,106880000.0,110880000.0,47775000.0,7511000.0,4000000.0,47734000.0,0.0,,47734000.0,,47734000.0,0.0,,0.0,2.78,2.78,17166592.0,17187969.0,0.75,3593125000.0,3593125000.0,,,,,,0,,1623000.0,,,,3307351000.0,3307351000.0,,,,,0,,,,,,,,285774000.0,0,285774000.0,,,3593125000.0,38914000.0,38914000.0,,-279278000.0,-279278000.0,,301949000.0,301949000.0,,,61585000.0,61585000.0,,49421000.0,0.0,49421000.0,49421000.0,,1687000.0
FSBC,2023-11-08,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001275168-23-000132,45098000.0,29303000.0,,,,29303000.0,,,,29303000.0,,403000.0,,28900000.0,15795000.0,,,11045000.0,15795000.0,,,,,,,4750000.0,,9000.0,,45098000.0,17622000.0,26426000.0,27476000.0,12015000.0,1384000.0,1050000.0,11045000.0,0.0,,11045000.0,,11045000.0,0.0,,0.0,0.64,0.64,17175034.0,17194825.0,0.2,3505040000.0,3505040000.0,,,,,,0,,1564000.0,,,,3231016000.0,3231016000.0,,,,,0,,,,,,,,274024000.0,0,274024000.0,,,3505040000.0,14926000.0,14926000.0,,-80521000.0,-80521000.0,,89020000.0,89020000.0,,,23425000.0,23425000.0,,8090000.0,0.0,8090000.0,8090000.0,,-2955000.0
FSBC,2023-08-09,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001275168-23-000117,42793000.0,25624000.0,,,,25624000.0,,,,25624000.0,,405000.0,,25219000.0,17169000.0,,,12729000.0,17169000.0,,,,,,,4440000.0,,8000.0,,42793000.0,15215000.0,26328000.0,27578000.0,11979000.0,2820000.0,1250000.0,12729000.0,0.0,,12729000.0,,12729000.0,0.0,,0.0,0.74,0.74,17165344.0,17168995.0,0.2,3402701000.0,3402701000.0,,,,,,0,,1599000.0,,,,3133561000.0,-269140000.0,,,,,0,,,,,,,,269140000.0,0,269140000.0,,,3402701000.0,24927000.0,24927000.0,,-58625000.0,-58625000.0,,-14118000.0,-14118000.0,,,-47816000.0,-47816000.0,,11699000.0,0.0,11699000.0,11699000.0,,-1030000.0
FSBC,2023-05-10,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001275168-23-000094,40311000.0,21810000.0,,,,21810000.0,,,,21810000.0,,419000.0,,21391000.0,18501000.0,,,13161000.0,18501000.0,,,,,,,5340000.0,,62000.0,,40311000.0,11163000.0,28248000.0,29148000.0,11118000.0,1371000.0,900000.0,13161000.0,0.0,,13161000.0,,13161000.0,0.0,,0.0,0.77,0.77,17150174.0,17194884.0,0.15,3397308000.0,3397308000.0,,,,,,0,,1677000.0,,,,3136652000.0,-260656000.0,,,,,0,,,,,,,,260656000.0,0,260656000.0,,,3397308000.0,694000.0,694000.0,,-68559000.0,-68559000.0,,155813000.0,155813000.0,,,87948000.0,87948000.0,,14669000.0,0.0,14669000.0,14669000.0,,1508000.0
FSBC,2023-02-24,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001275168-23-000049,117918000.0,55060000.0,,,,55060000.0,,,,55060000.0,,649000.0,,54411000.0,62858000.0,,,44801000.0,62858000.0,,,,,,,18057000.0,,-1942000.0,,117918000.0,14848000.0,96370000.0,103070000.0,40669000.0,7157000.0,6700000.0,44801000.0,0.0,,44801000.0,,44801000.0,0.0,,0.0,2.61,2.61,17128282.0,17165610.0,1.05,3227159000.0,3227159000.0,,,,,,0,,1605000.0,,,,2974334000.0,2974334000.0,,,,,0,,,,,,,,252825000.0,0,252825000.0,,,3227159000.0,45975000.0,45975000.0,,-836922000.0,-836922000.0,,625609000.0,625609000.0,,,-165338000.0,-165338000.0,,31913000.0,0.0,31913000.0,31913000.0,,-12888000.0
FSBC,2022-11-14,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001275168-22-000039,31547000.0,15013000.0,,,,15013000.0,,,,15013000.0,,169000.0,,14844000.0,16534000.0,,,11704000.0,16534000.0,,,,,,,4830000.0,,13000.0,,31547000.0,4123000.0,25174000.0,27424000.0,10172000.0,1532000.0,2250000.0,11704000.0,0.0,,11704000.0,,11704000.0,0.0,,0.0,0.68,0.68,17140435.0,17168447.0,0.15,3074570000.0,3074570000.0,,,,,,0,,1694000.0,,,,2835312000.0,2835312000.0,,,,,0,,,,,,,,239258000.0,0,239258000.0,,,3074570000.0,16174000.0,16174000.0,,-198244000.0,-198244000.0,,228981000.0,228981000.0,,,46911000.0,46911000.0,,8381000.0,0.0,8381000.0,8381000.0,,-3323000.0
