ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
GENK,2025-05-13,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-070379,57337000.0,59453000.0,,,,59453000.0,,,,59513000.0,,2000000.0,,57513000.0,-2176000.0,,,-1964000.0,-2116000.0,,,,,,0,-152000,,-153000.0,,,,60000,60000,,,0,-1964000.0,-1663000.0,,-301000.0,,-301000.0,0.0,,0.0,-0.06,-0.06,5013000.0,5013000.0,,232363000.0,22310000.0,,,894000.0,,21416000.0,210053000.0,,56767000.0,,,153286000.0,188071000.0,35013000.0,12991000.0,,1897000.0,20125000.0,153058000.0,6454000.0,146604000.0,,,,,,42792000.0,29582000.0,1500000.0,,,232363000.0,2154000.0,2154000.0,,-6829000.0,-6829000.0,,-3636000.0,-3636000.0,,,-8311000.0,-8311000.0,,-1964000.0,0,-1964000.0,0,,
GENK,2025-03-10,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-035772,208380000.0,203491000.0,,,,203491000.0,,,,207904000.0,,6900000.0,,201004000.0,476000.0,,4906000.0,4532000.0,4889000.0,,,,,,-17000,357000,,333000.0,,,,829000,829000,,,0,4532000.0,3940000.0,,592000.0,,592000.0,0.0,,0.0,0.13,0.13,4668000.0,4668000.0,,240415000.0,33893000.0,,,727000.0,,33166000.0,206522000.0,,52639000.0,,,153883000.0,194798000.0,41069000.0,12408000.0,,3243000.0,25418000.0,153729000.0,6864000.0,146865000.0,,,,,,44117000.0,31387000.0,1500000.0,,,240415000.0,17827000.0,17827000.0,,-26801000.0,-26801000.0,,18000.0,18000.0,,,-8956000.0,-8956000.0,,4532000.0,0,4532000.0,0,,
GENK,2024-11-12,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-125450,49105000.0,48821000.0,,,,48821000.0,,,,49017000.0,,1695000.0,,47322000.0,88000.0,,283000.0,169000.0,284000.0,,,,,,0,115000,,1000.0,,,,196000,196000,,,0,169000.0,144000.0,,25000.0,,25000.0,0.0,,0.0,0.01,0.01,4861000.0,4861000.0,,225706000.0,29481000.0,,,1453000.0,,28028000.0,196225000.0,,48170000.0,,,148055000.0,177739000.0,32225000.0,13558000.0,,1629000.0,17038000.0,145514000.0,7244000.0,138270000.0,,,,,,46468000.0,33427000.0,1500000.0,,,225707000.0,1449000.0,1449000.0,,-11275000.0,-11275000.0,,2650000.0,2650000.0,,,-7176000.0,-7176000.0,,169000.0,0,169000.0,0,,
GENK,2024-07-31,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-088608,53860000.0,51785000.0,,,,51785000.0,,,,52247000.0,,1706000.0,,50541000.0,1613000.0,,2075000.0,2064000.0,2075000.0,,,,,,0,11000,,,,352000.0,90000.0,262000,262000,,,0,2064000.0,1787000.0,,277000.0,,277000.0,0.0,,0.0,0.06,0.06,4572000.0,4572000.0,,218805000.0,33043000.0,,,416000.0,,32627000.0,185762000.0,,39628000.0,,,146134000.0,171409000.0,31329000.0,10694000.0,,2619000.0,18016000.0,0.0,7631000.0,132449000.0,,,,,,45896000.0,33283000.0,1500000.0,,,218805000.0,5556000.0,5556000.0,,-4307000.0,-4307000.0,,-142000.0,-142000.0,,,1107000.0,1107000.0,,2064000.0,0,2064000.0,0,,
GENK,2024-05-14,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-059545,50760000.0,46991000.0,,,,46991000.0,,,,50652000.0,,1537000.0,,49115000.0,108000.0,,3786000.0,3698000.0,3769000.0,,,,,,-17000,71000,,,,363000.0,87000.0,276000,276000,,,0,3698000.0,3202000.0,,496000.0,,496000.0,0.0,,0.0,0.11,0.11,4324000.0,4324000.0,,214511000.0,32450000.0,,,474000.0,,31976000.0,182061000.0,,37138000.0,,,144923000.0,172649000.0,34091000.0,12597000.0,,1525000.0,19969000.0,0.0,7674000.0,130884000.0,,,,,,40362000.0,31496000.0,1500000.0,,,214511000.0,3514000.0,3514000.0,,-7076000.0,-7076000.0,,-947000.0,-947000.0,,,-4509000.0,-4509000.0,,3698000.0,0,3698000.0,0,,
GENK,2024-03-06,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-027323,181007000.0,169552000.0,,,,169552000.0,,,,172917000.0,,4808000.0,,168109000.0,8090000.0,,10920000.0,11434000.0,11455000.0,,,,,,535000,21000,,,,964000.0,617000.0,347000,347000,,,0,11434000.0,3028000.0,,8406000.0,,324000.0,8082000.0,,8082000.0,0.08,0.08,4140000.0,4233000.0,,183870000.0,36818000.0,,,461000.0,,36357000.0,147052000.0,,33907000.0,,,113145000.0,146352000.0,31303000.0,10704000.0,,2660000.0,17939000.0,115049000.0,4712000.0,110337000.0,,,,,,36018000.0,28552000.0,1500000.0,,,183870000.0,22164000.0,22164000.0,,-6307000.0,-6307000.0,,5579000.0,5579000.0,,,21436000.0,21436000.0,,11434000.0,0,11434000.0,0,,
GENK,2023-11-14,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-063843,45564000.0,42856000.0,,,,42856000.0,,,0.0,43099000.0,,1232000.0,,41867000.0,2465000.0,,2655000.0,2634000.0,2708000.0,,,,,,53000,74000,,,,406000.0,216000.0,190000,190000,,,0,2634000.0,2297000.0,,337000.0,,337000.0,0.0,,0.0,0.08,0.08,4140000.0,4140000.0,,175628000.0,35838000.0,,,575000.0,,35263000.0,139790000.0,,27808000.0,,,111982000.0,139117000.0,24889000.0,5254000.0,,1048000.0,18587000.0,114228000.0,4751000.0,109477000.0,,,,,,35011000.0,28722000.0,1500000.0,,,175628000.0,2938000.0,2938000.0,,-4617000.0,-4617000.0,,-21159000.0,-21159000.0,,,-22838000.0,-22838000.0,,2634000.0,0,2634000.0,0,,
GENK,2023-08-14,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-042466,46473000.0,41913000.0,,,,41913000.0,,,-7000.0,43103000.0,,1131000.0,,41972000.0,3370000.0,,4474000.0,4464000.0,4560000.0,,,,,,86000,96000,,,,94000.0,301000.0,-207000,-207000,,,0,4464000.0,504000.0,,3960000.0,,3960000.0,0.0,,0.0,,,4249000.0,4249000.0,,184652000.0,57435000.0,,,948000.0,,56487000.0,127217000.0,,24275000.0,,,102942000.0,153082000.0,45088000.0,5056000.0,,2097000.0,37935000.0,0.0,6872000.0,101122000.0,,,,,,30070000.0,26425000.0,1500000.0,,,184652000.0,,,,,,,,,,,,,,4464000.0,0,4464000.0,0,,
GENK,,,TTM,2024-04-01,2025-03-31,,214956000.0,215951000.0,,,,215951000.0,,,,216763000.0,,7363000.0,,209400000.0,-1807000.0,,,-1128000.0,-995000.0,,,,,,0,133000,,,,,,613000,613000,,,0,-1128000.0,-925000.0,,-203000.0,,-203000.0,0.0,,0.0,-0.030000000000000013,-0.030000000000000013,14529000.0,14529000.0,,232363000.0,22310000.0,,,894000.0,,21416000.0,210053000.0,,56767000.0,,,153286000.0,188071000.0,35013000.0,12991000.0,,1897000.0,20125000.0,153058000.0,6454000.0,146604000.0,,,,,,42792000.0,29582000.0,1500000.0,,,232363000.0,16467000.0,16467000.0,,-26554000.0,-26554000.0,,-2671000.0,-2671000.0,,,-12758000.0,-12758000.0,,-1128000.0,0,-1128000.0,0,,
GENK,,2024,Q4,2024-10-01,2024-12-31,,54654000.0,55892000.0,,,,55892000.0,,,,55986000.0,,1962000.0,,54024000.0,-1332000.0,,-1238000.0,-1397000.0,-1238000.0,,,,,,0,159000,,428000.0,,,,95000,95000,,,0,-1397000.0,-1193000.0,,-204000.0,,-204000.0,0.0,,0.0,-0.04000000000000001,-0.04000000000000001,83000.0,83000.0,,240415000.0,33893000.0,,,727000.0,,33166000.0,206522000.0,,52639000.0,,,153883000.0,194798000.0,41069000.0,12408000.0,,3243000.0,25418000.0,153729000.0,6864000.0,146865000.0,,,,,,44117000.0,31387000.0,1500000.0,,,240415000.0,7308000.0,7308000.0,,-4143000.0,-4143000.0,,-1543000.0,-1543000.0,,,1622000.0,1622000.0,,-1397000.0,0,-1397000.0,0,,
GENK,,2023,Q4,2023-10-01,2023-12-31,,45108000.0,45453000.0,,,,45453000.0,,,,46028000.0,,1332000.0,,44696000.0,-920000.0,,-360000.0,-195000.0,-345000.0,,,,,,15000,-150000,,,,437000.0,-116000.0,553000,553000,,,0,-195000.0,-170000.0,,-25000.0,,-24000.0,-1000.0,,-1000.0,0.0,0.0,0.0,93000.0,,183870000.0,36818000.0,,,461000.0,,36357000.0,147052000.0,,33907000.0,,,113145000.0,146352000.0,31303000.0,10704000.0,,2660000.0,17939000.0,115049000.0,4712000.0,110337000.0,,,,,,36018000.0,28552000.0,1500000.0,,,183870000.0,8678000.0,8678000.0,,-7695000.0,-7695000.0,,-501000.0,-501000.0,,,482000.0,482000.0,,-195000.0,0,-195000.0,0,,
GENK,,2023,Q1,2023-01-01,2023-03-30,,43862000.0,39330000.0,,,,39330000.0,,,0.0,40687000.0,,1113000.0,,39574000.0,3175000.0,,4151000.0,4531000.0,4531000.0,,,,,,381000,0,,,,67000.0,256000.0,-189000,-189000,,,0,4531000.0,0.0,,4531000.0,,4531000.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,5289000.0,5289000.0,,,,,0.0,,,,,,,,-5289000.0,0.0,-5289000.0,,,,,,,,,,,,,,,,,4531000.0,0,4531000.0,0,,
