ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
GLPI,2025-04-24,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001575965-25-000017,395235000.0,224317000.0,,,,136401000.0,,,-87916000.0,136401000.0,,,,,258834000.0,,,170354000.0,170918000.0,,,,,,,564000.0,,,,,,,,,,39246000.0,170354000.0,5170000.0,,165184000.0,,165036000.0,148000,,148000,0.6,0.6,274827000.0,275403000.0,0.76,12132521000.0,12132521000.0,,,,,,0,,,,,,7537993000.0,7537993000.0,,,,,0,6889064000.0,,,,,,,4594528000.0,379317000.0,4215211000.0,,,12132521000.0,252492000.0,252492000.0,,534004000.0,534004000.0,,-1080253000.0,-1080253000.0,,,-293757000.0,-293757000.0,,170354000.0,0,170354000.0,0,,
GLPI,2025-02-20,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001575965-25-000008,1531546000.0,721769000.0,,,,400861000.0,,,-320908000.0,400861000.0,,,,,1130685000.0,,,807648000.0,809777000.0,,,,,,,2129000.0,2129000.0,0.0,,10837000.0,366897000.0,,,,,,807648000.0,23028000.0,,784620000.0,,784161000.0,459000,,459000,2.87,2.87,272802000.0,273534000.0,3.04,13075949000.0,13075949000.0,,,,,,0,,,,,,8430425000.0,8430425000.0,,,,,0,7735877000.0,,,,,,,4645524000.0,376962000.0,4268562000.0,,,13075949000.0,1072770000.0,1072770000.0,,-1605944000.0,-1605944000.0,,311823000.0,311823000.0,,,-221351000.0,-221351000.0,,807648000.0,0,807648000.0,0,,
GLPI,2024-10-24,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001575965-24-000034,385341000.0,194726000.0,,,,113897000.0,,,-80829000.0,113897000.0,,,,,271444000.0,,,190100000.0,190615000.0,,,,,,,515000.0,,,,-2696000.0,95705000.0,,,,,27686000.0,190100000.0,5406000.0,,184694000.0,,184570000.0,124000,,124000,0.67,0.67,273788000.0,274798000.0,,12680997000.0,12680997000.0,,,,,,0,,,,,,8056245000.0,8056245000.0,,,,,0,7413012000.0,,,,,,,4624752000.0,369875000.0,4254877000.0,,,12680997000.0,270400000.0,270400000.0,,-572390000.0,-572390000.0,,701631000.0,701631000.0,,,399641000.0,399641000.0,,190100000.0,0,190100000.0,0,,
GLPI,2024-07-25,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001575965-24-000023,380626000.0,165802000.0,,,,87197000.0,,,-78605000.0,87197000.0,,,,,293429000.0,,,214412000.0,214824000.0,,,,,,,412000.0,,,,4538000.0,86670000.0,,,,,-3786000.0,214412000.0,6162000.0,,208250000.0,,208147000.0,103000,,0,0.77,0.77,271501000.0,272065000.0,0.76,11777168000.0,11777168000.0,,,,,,0,,,,,,7272243000.0,-4504925000.0,,,,,0,6632842000.0,,,,,,,4504925000.0,0.0,4134311000.0,,,11777168000.0,252085000.0,252085000.0,,-156356000.0,-156356000.0,,-212768000.0,-212768000.0,,,-117039000.0,-117039000.0,,214412000.0,0,214412000.0,0,,
GLPI,2024-04-25,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001575965-24-000015,375964000.0,195801000.0,,,,118358000.0,,,-77443000.0,118358000.0,,,,,257606000.0,,,179526000.0,180163000.0,,,,,,,637000.0,,,,2269000.0,86675000.0,,,,,23294000.0,179526000.0,5062000.0,,174464000.0,,174389000.0,75000,,0,0.64,0.64,271490000.0,272026000.0,,11784021000.0,11784021000.0,,,,,,0,,,,,,7286204000.0,-4497817000.0,,,,,0,6630196000.0,,,,,,,4497817000.0,0.0,4127218000.0,,,11784021000.0,257872000.0,257872000.0,,-448401000.0,-448401000.0,,-281921000.0,-281921000.0,,,-472450000.0,-472450000.0,,179526000.0,0,179526000.0,0,,
GLPI,2024-02-27,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001575965-24-000005,1440392000.0,683025000.0,0.0,,,371688000.0,,,-311337000.0,371688000.0,,,,,1068704000.0,,,755370000.0,757367000.0,,,,,,,1997000.0,1997000.0,0.0,,,323388000.0,,,,,,755370000.0,21087000.0,,734283000.0,,733849000.0,434000,,434000,2.78,2.77,264053000.0,264993000.0,3.15,11806658000.0,11806658000.0,,,,,,0,,,,,,7297704000.0,7297704000.0,,,,,0,6627550000.0,,,,,,,4508954000.0,352049000.0,4156905000.0,,,11806658000.0,1009372000.0,1009372000.0,,-650825000.0,-650825000.0,,86353000.0,86353000.0,,,444900000.0,444900000.0,,755370000.0,0,755370000.0,0,,
GLPI,2023-10-26,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001575965-23-000035,359560000.0,169771000.0,,,,91256000.0,,,-78515000.0,91256000.0,,,,,268304000.0,,,189307000.0,189789000.0,,,,,,,482000.0,,,,,79788000.0,,,,,1613000.0,189307000.0,5297000.0,,184010000.0,,183893000.0,117000,,117000,0.7,0.7,263238000.0,264207000.0,,11235621000.0,11235621000.0,,,,,,0,,,,,,6925411000.0,6925411000.0,,,,,0,6246206000.0,,,,,,,4310210000.0,351672000.0,3958538000.0,,,11235621000.0,253260000.0,253260000.0,,-189415000.0,-189415000.0,,7854000.0,7854000.0,,,71699000.0,71699000.0,,189307000.0,0,189307000.0,0,,
GLPI,2023-07-27,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001575965-23-000019,356589000.0,196412000.0,,,,118314000.0,,,-78098000.0,118314000.0,,,,,238275000.0,,,160137000.0,160177000.0,,,,,,,40000.0,,,,,79371000.0,,,,,28052000.0,160137000.0,4507000.0,,155630000.0,,155543000.0,87000,,0,0.59,0.59,262490000.0,263400000.0,0.97,11031937000.0,11031937000.0,,,,,,0,,,,,,6929063000.0,-4102874000.0,,,,,0,6248838000.0,,,,,,,4102874000.0,0.0,3750912000.0,,,11031937000.0,251933000.0,251933000.0,,-23801000.0,-23801000.0,,-225504000.0,-225504000.0,,,2628000.0,2628000.0,,160137000.0,0,160137000.0,0,,
GLPI,2023-04-27,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001575965-23-000011,355214000.0,166026000.0,,,,88365000.0,,,-77661000.0,88365000.0,,,,,266849000.0,,,188670000.0,189188000.0,,,,,,,518000.0,,,,,81360000.0,,,,,-5653000.0,188670000.0,5319000.0,,183351000.0,,183261000.0,90000,,0,0.7,0.7,261791000.0,262672000.0,0.97,11116095000.0,11116095000.0,,,,,,0,,,,,,6997904000.0,-4118191000.0,,,,,0,6291470000.0,,,,,,,4118191000.0,0.0,3765227000.0,,,11116095000.0,241183000.0,241183000.0,,-422076000.0,-422076000.0,,-51368000.0,-51368000.0,,,-232261000.0,-232261000.0,,188670000.0,0,188670000.0,0,,
GLPI,2023-02-23,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001575965-23-000007,1311685000.0,591345000.0,0.0,,,281770000.0,,,-309575000.0,281770000.0,,,,,1029915000.0,,,703285000.0,720340000.0,,,,,,,17055000.0,17055000.0,0.0,,,309291000.0,,,,,,703285000.0,18632000.0,,684653000.0,,684221000.0,432000,,432000,2.71,2.7,252716000.0,253846000.0,2.85,10930386000.0,10930386000.0,,,,,,0,,,,,,6812290000.0,6812290000.0,,,,,0,6128468000.0,,,,,,,4118096000.0,340138000.0,3777958000.0,,,10930386000.0,920126000.0,920126000.0,,-354488000.0,-354488000.0,,-1051150000.0,-1051150000.0,,,-485512000.0,-485512000.0,,703285000.0,0,703285000.0,0,,
