ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
GLSI,2025-04-15,2024,TTM,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001641172-25-004819,0.0,,,,,,,,,16011817.0,,,12952029.0,3059788.0,-16011817.0,,,-15788809.0,-15788809.0,,,,,,,,,,,,,,,,,,-15788809.0,0,,-15788809.0,,-15788809.0,0,,0,-1.21,-1.21,13014585.0,13014585.0,,4093769.0,4093769.0,,,,,,0.0,,,,,,1559733.0,1559733.0,,,75916.0,1483817.0,0,,,,,,,,2534036.0,0,2534036.0,,,4093769.0,-7266543.0,-7266543.0,,,,,,,,,-7266543.0,-7266543.0,,-15788809.0,0,-15788809.0,0,,
GLSI,2025-04-15,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001641172-25-004819,0.0,,,,,,,,,16011817.0,,,12952029.0,3059788.0,-16011817.0,,,-15788809.0,-15788809.0,,,,,,,,,,,,,,,,,,-15788809.0,0,,-15788809.0,,-15788809.0,0,,0,-1.21,-1.21,13014585.0,13014585.0,,4093769.0,4093769.0,,,,,,0.0,,,,,,1559733.0,1559733.0,,,75916.0,1483817.0,0,,,,,,,,2534036.0,0,2534036.0,,,4093769.0,-7266543.0,-7266543.0,,,,,,,,,-7266543.0,-7266543.0,,-15788809.0,0,-15788809.0,0,,
GLSI,2024-11-14,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001493152-24-045938,0.0,,,,,,,,,2729051.0,,,2292040.0,437011.0,-2729051.0,,,-2668713.0,-2668713.0,,,,,,,,,,,,,,,,,,-2668713.0,0,,-2668713.0,,-2668713.0,0,,0,-0.2,-0.2,13142457.0,13142457.0,,5825049.0,5825049.0,,,,,,0.0,,,,,,842384.0,842384.0,553914.0,,67625.0,220845.0,0,,,,,,,,4982665.0,0,4982665.0,,,5825049.0,-2583932.0,-2583932.0,,,,,,,,,-2583932.0,-2583932.0,,-2668713.0,0,-2668713.0,0,,
GLSI,2024-08-14,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001493152-24-032278,0.0,,,,,,,,,2661404.0,,,2307873.0,353531.0,-2661404.0,,,-2606682.0,-2606682.0,,,,,,,,,,,,,,,,,,-2606682.0,0,,-2606682.0,,-2606682.0,0,,0,-0.2,-0.2,12906867.0,12906867.0,,7228460.0,7228460.0,,,,,,0.0,,,,,,1353028.0,1353028.0,,,17797.0,1335231.0,0,,,,,,,,5875432.0,0,5875432.0,,,7228460.0,-1047840.0,-1047840.0,,,,,,,,,-1047840.0,-1047840.0,,-2606682.0,0,-2606682.0,0,,
GLSI,2024-05-20,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001493152-24-020710,0.0,,,,,,,,,2537201.0,,,2194513.0,342688.0,-2537201.0,,,-2473195.0,-2473195.0,,,,,,,,,,,,,,,,,,-2473195.0,0,,-2473195.0,,-2473195.0,0,,0,-0.19,-0.19,12859685.0,12859685.0,,5510463.0,5510463.0,,,,,,0.0,,,,,,389611.0,389611.0,,,43029.0,346582.0,0,,,,,,,,5120852.0,0,5120852.0,,,5510463.0,-1782565.0,-1782565.0,,,,,,,,,-1782565.0,-1782565.0,,-2473195.0,0,-2473195.0,0,,
GLSI,2024-04-15,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001493152-24-014625,0.0,,,,,,,,,9327866.0,,,7698622.0,1629244.0,-9327866.0,,,-8891803.0,-8891803.0,,,,,,,,,,,,,,,,,,-8891803.0,0,,-8891803.0,,-8891803.0,0,,0,-0.69,-0.69,,12848165.0,,6994815.0,6994815.0,,,,,,0.0,,,,,,294406.0,294406.0,,,38089.0,256317.0,0,,,,,,,,6700409.0,0,6700409.0,,,6994815.0,-6478602.0,-6478602.0,,,,,,,,,-6478602.0,-6478602.0,,-8891803.0,0,-8891803.0,0,,
GLSI,2023-10-19,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001493152-23-037702,0.0,,,,,,,,,2502925.0,,,2158167.0,344758.0,-2502925.0,,,-2391789.0,-2391789.0,,,,,,,,,,,,,,,,,,-2391789.0,0,,-2391789.0,,-2391789.0,0,,0,-0.19,-0.19,,12848165.0,,9149913.0,9149913.0,,,,,,0.0,,,,,,297287.0,297287.0,,,66385.0,230902.0,0,,,,,,,,8852626.0,0,8852626.0,,,9149913.0,-1800623.0,-1800623.0,,,,,,,,,-1800623.0,-1800623.0,,-2391789.0,0,-2391789.0,0,,
GLSI,2023-08-21,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001493152-23-029605,0.0,,,,,,,,,1747826.0,,,1379567.0,368259.0,-1747826.0,,,-1628373.0,-1628373.0,,,,,,,,,,,,,,,,,,-1628373.0,0,,-1628373.0,,-1628373.0,0,,0,-0.13,-0.13,,12848165.0,,10951439.0,10951439.0,,,,,,0.0,,,,,,301546.0,301546.0,,,1083.0,300463.0,0,,,,,,,,10649893.0,0,10649893.0,,,10951439.0,-966977.0,-966977.0,,,,,,,,,-966977.0,-966977.0,,-1628373.0,0,-1628373.0,0,,
GLSI,2023-05-22,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001493152-23-018539,0.0,,,,,,,,,2241082.0,,,1827907.0,413175.0,-2241082.0,,,-2124902.0,-2124902.0,,,,,,,,,,,,,,,,,,-2124902.0,0,,-2124902.0,,-2124902.0,0,,0,-0.17,-0.15999999999999998,,0.0,,11919319.0,11919319.0,,,,,,0.0,,,,,,235575.0,235575.0,,,14730.0,220845.0,0,,,,,,,,11683744.0,0,11683744.0,,,11919319.0,-1556807.0,-1556807.0,,,,,,,,,-1556807.0,-1556807.0,,-2124902.0,0,-2124902.0,0,,
GLSI,2023-03-31,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001493152-23-010284,0.0,,,,,,,,,8040254.0,,,6475668.0,1564586.0,-8040254.0,,,-7825237.0,-7825237.0,,,,,,,,,,,,,,,,,,-7825237.0,0,,-7825237.0,,-7825237.0,0,,0,-0.61,,,,,13477029.0,13477029.0,,,,,,0.0,,,,,,262905.0,262905.0,,,42060.0,220845.0,0,,,,,,,,13214124.0,0,13214124.0,,,13477029.0,-6200027.0,-6200027.0,,13736243.0,13736243.0,,-7536216.0,-7536216.0,,,0.0,0.0,,-7825237.0,0,-7825237.0,0,,
