ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
HBANM,2025-04-29,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000049196-25-000038,351000000.0,-302000000.0,,,,-302000000.0,,,,-302000000.0,,,,,653000000.0,,,531000000.0,653000000.0,,,,,,,122000000.0,,-25000000.0,,2489000000.0,,1311000000.0,1426000000.0,1152000000.0,494000000.0,115000000.0,531000000.0,4000000.0,,527000000.0,,500000000.0,27000000.0,,27000000.0,0.34,0.34,1454498000.0,1481879000.0,,209596000000.0,209596000000.0,,,,,,0,,1085000000.0,,,,189110000000.0,189110000000.0,,,,,0,18096000000.0,,,,,,,20486000000.0,52000000.0,20434000000.0,,,209596000000.0,513000000.0,513000000.0,,-2150000000.0,-2150000000.0,,4100000000.0,4100000000.0,,,2463000000.0,2463000000.0,,964000000.0,4000000.0,960000000.0,433000000.0,,433000000.0
HBANM,2024-10-29,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000049196-24-000095,362000000.0,-276000000.0,,,,-276000000.0,,,,-276000000.0,,132000000.0,,,638000000.0,,,522000000.0,638000000.0,,,,,,,116000000.0,,-28000000.0,,2555000000.0,,1245000000.0,1351000000.0,1130000000.0,523000000.0,106000000.0,522000000.0,5000000.0,,517000000.0,,481000000.0,36000000.0,,36000000.0,0.33,0.33,1452682000.0,1476982000.0,,200535000000.0,200535000000.0,,,,,,0,,1093000000.0,,,,179883000000.0,179883000000.0,,,,,0,15656000000.0,,,,,,,20652000000.0,46000000.0,20606000000.0,,,200535000000.0,-438000000.0,-438000000.0,,-2881000000.0,-2881000000.0,,3358000000.0,3358000000.0,,,39000000.0,39000000.0,,1329000000.0,5000000.0,1324000000.0,807000000.0,,807000000.0
HBANM,2024-07-30,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000049196-24-000076,360000000.0,-226000000.0,,,,-226000000.0,,,,-226000000.0,,170000000.0,,,586000000.0,,,480000000.0,586000000.0,,,,,,,106000000.0,,2000000.0,,2476000000.0,,1212000000.0,1312000000.0,1117000000.0,491000000.0,100000000.0,480000000.0,6000000.0,,474000000.0,,439000000.0,35000000.0,,35000000.0,0.3,0.3,1451207000.0,1474259000.0,,196310000000.0,196310000000.0,,,,,,0,,1095000000.0,,,,176747000000.0,-19563000000.0,,,,,0,16461000000.0,,,,,,,19563000000.0,48000000.0,19515000000.0,,,196310000000.0,305000000.0,305000000.0,,-2192000000.0,-2192000000.0,,2253000000.0,2253000000.0,,,366000000.0,366000000.0,,448000000.0,6000000.0,442000000.0,-32000000.0,,-32000000.0
HBANM,2024-04-30,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000049196-24-000047,336000000.0,-174000000.0,,,,-174000000.0,,,,-174000000.0,,190000000.0,,,510000000.0,,,424000000.0,510000000.0,,,,,,,86000000.0,,-29000000.0,,2380000000.0,1093000000.0,1180000000.0,1287000000.0,1137000000.0,467000000.0,107000000.0,424000000.0,5000000.0,,419000000.0,,383000000.0,36000000.0,,36000000.0,0.26,0.26,1448492000.0,1473335000.0,,193519000000.0,193519000000.0,,,,,,0,,1095000000.0,,,,174146000000.0,-19373000000.0,,,,,0,14894000000.0,,,,,,,19373000000.0,51000000.0,19322000000.0,,,193519000000.0,464000000.0,464000000.0,,-2262000000.0,-2262000000.0,,3849000000.0,3849000000.0,,,2051000000.0,2051000000.0,,221000000.0,5000000.0,216000000.0,-203000000.0,,-203000000.0
HBANM,2024-02-16,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000049196-24-000020,1400000000.0,-984000000.0,,,,-984000000.0,,,,-984000000.0,,798000000.0,,,2384000000.0,,,1971000000.0,2384000000.0,,,,,,,413000000.0,715000000.0,-302000000.0,,8916000000.0,3477000000.0,5037000000.0,5439000000.0,4574000000.0,1921000000.0,402000000.0,1971000000.0,20000000.0,,1951000000.0,,1817000000.0,134000000.0,,134000000.0,1.26,1.24,1446449000.0,1468016000.0,,189368000000.0,189368000000.0,,,,,,0,,1109000000.0,,,,169970000000.0,169970000000.0,,,,,0,12394000000.0,,,,,,,19398000000.0,45000000.0,19353000000.0,,,189368000000.0,2657000000.0,2657000000.0,,-2997000000.0,-2997000000.0,,3765000000.0,3765000000.0,,,3425000000.0,3425000000.0,,2393000000.0,20000000.0,2373000000.0,422000000.0,,422000000.0
HBANM,2023-10-27,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000049196-23-000097,338000000.0,-350000000.0,,,,-350000000.0,,,,-350000000.0,,214000000.0,,,688000000.0,,,552000000.0,688000000.0,,,,,,,136000000.0,,-26000000.0,,2313000000.0,945000000.0,1269000000.0,1368000000.0,1090000000.0,509000000.0,99000000.0,552000000.0,5000000.0,,547000000.0,,510000000.0,37000000.0,,37000000.0,0.35,0.35,1447993000.0,1467611000.0,,186650000000.0,186650000000.0,,,,,,0,,1096000000.0,,,,168120000000.0,168120000000.0,,,,,0,12822000000.0,,,,,,,18530000000.0,47000000.0,18483000000.0,,,186650000000.0,999000000.0,999000000.0,,1444000000.0,1444000000.0,,-2087000000.0,-2087000000.0,,,356000000.0,356000000.0,,-64000000.0,5000000.0,-69000000.0,-616000000.0,,-616000000.0
HBANM,2023-07-28,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000049196-23-000082,332000000.0,-367000000.0,,,,-367000000.0,,,,-367000000.0,,202000000.0,,,699000000.0,,,565000000.0,699000000.0,,,,,,,134000000.0,,-17000000.0,,2225000000.0,879000000.0,1254000000.0,1346000000.0,1050000000.0,495000000.0,92000000.0,565000000.0,6000000.0,,559000000.0,,519000000.0,40000000.0,,40000000.0,0.36,0.35,1446372000.0,1465720000.0,,188505000000.0,188505000000.0,,,,,,0,,1128000000.0,,,,169667000000.0,-18838000000.0,,,,,0,14711000000.0,,,,,,,18838000000.0,50000000.0,18788000000.0,,,188505000000.0,630000000.0,630000000.0,,1167000000.0,1167000000.0,,-1087000000.0,-1087000000.0,,,710000000.0,710000000.0,,314000000.0,6000000.0,308000000.0,-251000000.0,,-251000000.0
HBANM,2023-04-28,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000049196-23-000044,377000000.0,-373000000.0,,,,-373000000.0,,,,-373000000.0,,142000000.0,,,750000000.0,,,606000000.0,750000000.0,,,,,,,144000000.0,,55000000.0,,2028000000.0,619000000.0,1324000000.0,1409000000.0,1086000000.0,512000000.0,85000000.0,606000000.0,4000000.0,,602000000.0,,573000000.0,29000000.0,,29000000.0,0.4,0.39,1443268000.0,1469279000.0,,189070000000.0,189070000000.0,,,,,,0,,1136000000.0,,,,170259000000.0,-18811000000.0,,,,,0,13072000000.0,,,,,,,18811000000.0,53000000.0,18758000000.0,,,189070000000.0,130000000.0,130000000.0,,-2299000000.0,-2299000000.0,,5834000000.0,5834000000.0,,,3665000000.0,3665000000.0,,949000000.0,4000000.0,945000000.0,343000000.0,,343000000.0
HBANM,2023-02-17,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000049196-23-000020,1318000000.0,-1446000000.0,,,,-1446000000.0,,,,-1446000000.0,,484000000.0,,,2764000000.0,,,2249000000.0,2764000000.0,,,,,,,515000000.0,196000000.0,319000000.0,,5969000000.0,696000000.0,4984000000.0,5273000000.0,4201000000.0,1981000000.0,289000000.0,2249000000.0,11000000.0,,2238000000.0,,2125000000.0,113000000.0,,113000000.0,1.47,1.45,1441279000.0,1465220000.0,,182906000000.0,182906000000.0,,,,,,0,,1156000000.0,,,,165137000000.0,165137000000.0,,,,,0,9686000000.0,,,,,,,17769000000.0,38000000.0,17731000000.0,,,182906000000.0,4027000000.0,4027000000.0,,-11609000000.0,-11609000000.0,,8764000000.0,8764000000.0,,,1182000000.0,1182000000.0,,-620000000.0,11000000.0,-631000000.0,-2869000000.0,,-2869000000.0
HBANM,2022-10-28,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0000049196-22-000113,345000000.0,-398000000.0,,,,-398000000.0,,,,-398000000.0,,148000000.0,,,743000000.0,,,597000000.0,743000000.0,,,,,,,146000000.0,,56000000.0,,1589000000.0,185000000.0,1298000000.0,1404000000.0,1053000000.0,498000000.0,106000000.0,597000000.0,3000000.0,,594000000.0,,565000000.0,29000000.0,,29000000.0,0.39,0.39,1442591000.0,1465083000.0,,179402000000.0,179402000000.0,,,,,,0,,1171000000.0,,,,162231000000.0,162231000000.0,,,,,0,10168000000.0,,,,,,,17171000000.0,35000000.0,17136000000.0,,,179402000000.0,846000000.0,846000000.0,,-1141000000.0,-1141000000.0,,763000000.0,763000000.0,,,468000000.0,468000000.0,,-581000000.0,3000000.0,-584000000.0,-1178000000.0,,-1178000000.0
