ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
HFFG,2025-05-12,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001680873-25-000036,298428000.0,300890000.0,247469000.0,,,300890000.0,50959000.0,,,49805000.0,49805000.0,,,,1154000.0,,,-1530000.0,-2462000.0,,,,,,,-932000.0,,-1084000.0,,,,,,,,619000.0,-1530000.0,115000,,-1645000.0,,-1645000.0,0,,0,-0.03,-0.03,52737650.0,52737650.0,,581850000.0,188126000.0,,,106048000.0,,82078000.0,393724000.0,,,,,,341712000.0,157614000.0,,,,,184098000.0,107377000.0,76721000.0,,,,,,240138000.0,2118000.0,238020000.0,,,581850000.0,6948000.0,6948000.0,,-3564000.0,-3564000.0,,-1752000.0,-1752000.0,,,1632000.0,1632000.0,,-1530000.0,0,-1530000.0,0,,
HFFG,2025-03-17,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001680873-25-000006,1201667000.0,1247804000.0,996473000.0,,,1247804000.0,205194000.0,,,244329000.0,198026000.0,,,46303000.0,-39135000.0,,,-48102000.0,-46137000.0,,,,,,,1965000.0,,364000.0,,,,,,,,-103000.0,-48102000.0,409000,,-48511000.0,,-48511000.0,0,,0,-0.92,-0.92,52552490.0,52552490.0,,549991000.0,178103000.0,,,97783000.0,,80320000.0,371888000.0,,,,,,308697000.0,145199000.0,,,,,163498000.0,108734000.0,54764000.0,,,,,,241294000.0,2003000.0,239291000.0,,,549991000.0,22636000.0,22636000.0,,-12548000.0,-12548000.0,,-10853000.0,-10853000.0,,,-765000.0,-765000.0,,-48102000.0,0,-48102000.0,0,,
HFFG,2024-11-12,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001680873-24-000065,298389000.0,303480000.0,248226000.0,,,303480000.0,50163000.0,,,49652000.0,49652000.0,,,,511000.0,,,-3837000.0,-5091000.0,,,,,,,-1254000.0,,-351000.0,,,,,,,,0.0,-3837000.0,103000,,-3940000.0,,-3940000.0,0,,0,-0.07,-0.07,52726683.0,52726683.0,,612750000.0,192919000.0,,,119508000.0,,73411000.0,419831000.0,,,,,,327140000.0,163111000.0,,,,,164029000.0,110068000.0,53961000.0,,,,,,285610000.0,2550000.0,283060000.0,,,612750000.0,-3282000.0,-3282000.0,,-3092000.0,-3092000.0,,3851000.0,3851000.0,,,-2523000.0,-2523000.0,,-3837000.0,0,-3837000.0,0,,
HFFG,2024-08-09,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001680873-24-000058,302342000.0,300508000.0,249877000.0,,,300508000.0,52465000.0,,,49840000.0,49840000.0,,,,2625000.0,,,235000.0,1834000.0,,,,,,,1599000.0,,-353000.0,,,,,,,,0.0,235000.0,218000,,17000.0,,235000.0,0,,0,0.0,0.0,52585715.0,52661119.0,,616867000.0,193611000.0,,,119232000.0,,74379000.0,423256000.0,,,,,,328076000.0,164059000.0,,,,,0.0,111414000.0,52603000.0,,,,,,288791000.0,2447000.0,286344000.0,,,616867000.0,-7072000.0,-7072000.0,,-3746000.0,-3746000.0,,6571000.0,6571000.0,,,-4247000.0,-4247000.0,,235000.0,0,235000.0,0,,
HFFG,2024-05-10,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001680873-24-000029,295654000.0,296394000.0,245243000.0,,,296394000.0,50411000.0,,,50496000.0,50496000.0,,,,-85000.0,,,-559000.0,-740000.0,,,,,,,-181000.0,,-471000.0,,,2834000.0,,,,,-40000.0,-559000.0,135000,,-694000.0,,-559000.0,0,,0,-0.01,-0.01,52155968.0,52155968.0,,603065000.0,185486000.0,,,107908000.0,,77578000.0,417579000.0,,,,,,314903000.0,150635000.0,,,,,0.0,112758000.0,51510000.0,,,,,,288162000.0,1457000.0,286705000.0,,,603065000.0,7055000.0,7055000.0,,-2585000.0,-2585000.0,,-1487000.0,-1487000.0,,,2983000.0,2983000.0,,-559000.0,0,-559000.0,0,,
HFFG,2024-03-26,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001680873-24-000010,1148493000.0,1151114000.0,944462000.0,,,1151114000.0,204031000.0,,,195062000.0,195062000.0,,,,8969000.0,,,-2662000.0,-2621000.0,,,,,,,41000.0,,-5415000.0,,,11478000.0,,,,,701000.0,-2662000.0,-488000,,-2174000.0,,-2174000.0,0,,0,-0.04,-0.04,53878237.0,53878237.0,,596520000.0,178827000.0,,,105618000.0,,73209000.0,417693000.0,,,,,,308537000.0,143264000.0,,,,,165273000.0,114161000.0,51112000.0,,,,,,287983000.0,1322000.0,286661000.0,,,596520000.0,15804000.0,15804000.0,,-1514000.0,-1514000.0,,-23347000.0,-23347000.0,,,-9057000.0,-9057000.0,,-2662000.0,0,-2662000.0,0,,
HFFG,2023-11-09,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-038280,281453000.0,279515000.0,230528000.0,,,279515000.0,50925000.0,,-146000.0,48841000.0,48841000.0,,,,2084000.0,,,1974000.0,1938000.0,,,,,,,-36000.0,,-1143000.0,,,2715000.0,,,,,0.0,1974000.0,90000,,1884000.0,,1884000.0,0,,0,0.03,0.03,54142396.0,54513314.0,,622784000.0,197314000.0,,,115942000.0,,81372000.0,425470000.0,,,,,,330428000.0,161625000.0,,,,,168803000.0,117088000.0,51715000.0,,,,,,292356000.0,3068000.0,289288000.0,,,622784000.0,11892000.0,11892000.0,,-1073000.0,-1073000.0,,-11465000.0,-11465000.0,,,-646000.0,-646000.0,,1974000.0,0,1974000.0,0,,
HFFG,2023-08-09,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001680873-23-000022,292312000.0,293663000.0,241646000.0,,,293663000.0,50666000.0,,226000.0,52243000.0,52243000.0,,,,-1577000.0,,,-1560000.0,-1351000.0,,,,,,,209000.0,,0.0,,,2847000.0,,,,,-1000.0,-1560000.0,-710000,,-850000.0,,-1560000.0,0,,0,-0.02,-0.02,54046328.0,54046328.0,,612088000.0,184687000.0,,,111066000.0,,73621000.0,427401000.0,,,,,,321488000.0,149982000.0,,,,,0.0,118559000.0,52947000.0,,,,,,290600000.0,3862000.0,286738000.0,,,612088000.0,-3838000.0,-3838000.0,,-893000.0,-893000.0,,2200000.0,2200000.0,,,-2531000.0,-2531000.0,,-1560000.0,0,-1560000.0,0,,
HFFG,2023-05-10,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001680873-23-000018,293855000.0,301878000.0,243683000.0,,,301878000.0,50172000.0,,-5266000.0,52929000.0,52929000.0,,,,-2757000.0,,,-5797000.0,-8023000.0,,,,,,,-2226000.0,,-1324000.0,,,2868000.0,,,,,57000.0,-5797000.0,136000,,-5933000.0,,-5797000.0,0,,0,-0.11,-0.11,53822794.0,53822794.0,,613379000.0,179369000.0,,,110469000.0,,68900000.0,434010000.0,,,,,,321865000.0,145292000.0,57842000.0,,,87450000.0,0.0,120078000.0,56495000.0,,,,,,291514000.0,4572000.0,286942000.0,,,613379000.0,12570000.0,12570000.0,,-629000.0,-629000.0,,-18753000.0,-18753000.0,,,-6812000.0,-6812000.0,,-5797000.0,0,-5797000.0,0,,
HFFG,2023-03-31,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001680873-23-000011,1170467000.0,1170463000.0,964955000.0,,,1170463000.0,205512000.0,,-10555000.0,194953000.0,194953000.0,,,,10559000.0,,,235000.0,4000.0,,,,,,,-231000.0,,-5012000.0,,,7457000.0,,,,,82000.0,235000.0,-225000,,460000.0,,460000.0,0,,0,0.01,0.01,53757162.0,53863448.0,,637529000.0,197916000.0,,,120291000.0,,77625000.0,439613000.0,,,,,,341280000.0,163890000.0,55515000.0,,,108375000.0,177390000.0,121709000.0,55681000.0,,,,,,296249000.0,4436000.0,291813000.0,,,637529000.0,31284000.0,31284000.0,,-50786000.0,-50786000.0,,28999000.0,28999000.0,,,9497000.0,9497000.0,,235000.0,0,235000.0,0,,
HFFG,2023-01-31,2022,Q3,2022-07-01,2022-09-30,https://api.polygon.io/v1/reference/sec/filings/0001680873-23-000008,300711000.0,305277000.0,249218000.0,,,305277000.0,51493000.0,,-1470000.0,54589000.0,54589000.0,,,,-3096000.0,,-4613000.0,-3894000.0,-4566000.0,,,,,,47000.0,-672000.0,,-717000.0,,,2274000.0,,,,,,-3894000.0,-30000,,-3864000.0,,-3864000.0,0,,0,-0.07,-0.07,53798131.0,53798131.0,,650677000.0,204924000.0,,,132524000.0,,72400000.0,445753000.0,,,,,,350817000.0,168942000.0,49260000.0,,,119682000.0,181875000.0,123432000.0,58443000.0,,,,,,299860000.0,4587000.0,295273000.0,,,650677000.0,-6726000.0,-6726000.0,,-1579000.0,-1579000.0,,7293000.0,7293000.0,,,-1012000.0,-1012000.0,,-3894000.0,0,-3894000.0,0,,
HFFG,2023-01-31,2022,Q2,2022-04-01,2022-06-30,https://api.polygon.io/v1/reference/sec/filings/0001680873-23-000007,299642000.0,294051000.0,247072000.0,,,294051000.0,52570000.0,,-1136000.0,45843000.0,45843000.0,,,,6727000.0,,5544000.0,4494000.0,5591000.0,,,,,,47000.0,1097000.0,,-520000.0,,,1549000.0,,,,,,4494000.0,-70000,,4564000.0,,4564000.0,0,,0,0.08,0.08,53706392.0,53900883.0,,651243000.0,202630000.0,,,130198000.0,,72432000.0,448613000.0,,,,,,347489000.0,164358000.0,57107000.0,,,107251000.0,0.0,125149000.0,57982000.0,,,,,,303754000.0,4617000.0,299137000.0,,,651243000.0,3545000.0,3545000.0,,-28723000.0,-28723000.0,,27570000.0,27570000.0,,,2392000.0,2392000.0,,4494000.0,0,4494000.0,0,,
HFFG,2023-01-31,2022,Q1,2022-01-01,2022-03-31,https://api.polygon.io/v1/reference/sec/filings/0001680873-23-000006,278215000.0,273971000.0,227488000.0,,,273971000.0,50727000.0,,-6075000.0,40408000.0,40408000.0,,,,10319000.0,,4021000.0,3140000.0,4244000.0,,,,,,223000.0,1104000.0,,-2154000.0,,,1278000.0,,,,,,3140000.0,26000,,3114000.0,,3114000.0,0,,0,0.06,0.06,53706392.0,53884510.0,,620066000.0,183811000.0,,,114759000.0,,69052000.0,436255000.0,,,,,,320930000.0,171851000.0,57220000.0,,,114631000.0,149079000.0,85593000.0,63486000.0,,,,,,299136000.0,4784000.0,294352000.0,,,620066000.0,10113000.0,10113000.0,,-19932000.0,-19932000.0,,11453000.0,11453000.0,,,1634000.0,1634000.0,,3140000.0,0,3140000.0,0,,
HFFG,2023-01-31,2021,FY,2021-01-01,2021-12-31,https://api.polygon.io/v1/reference/sec/filings/0001680873-23-000004,796884000.0,769560000.0,645372000.0,,,769560000.0,151512000.0,,-2158000.0,122030000.0,122030000.0,,,,29482000.0,,27239000.0,22821000.0,27324000.0,,,,,,85000.0,4503000.0,,-6870000.0,,,4091000.0,,,,,,22821000.0,676000,,22145000.0,,22145000.0,0,,0,0.43,0.43,51918323.0,52091822.0,,596946000.0,159571000.0,,,102690000.0,,56881000.0,437375000.0,,,,,,301957000.0,155264000.0,57745000.0,,,97519000.0,146693000.0,87368000.0,59325000.0,,,,,,294989000.0,4041000.0,290948000.0,,,596946000.0,17509000.0,17509000.0,,-41082000.0,-41082000.0,,28784000.0,28784000.0,,,5211000.0,5211000.0,,22821000.0,0,22821000.0,0,,
HFFG,2021-11-15,2021,Q3,2021-07-01,2021-09-30,https://api.polygon.io/v1/reference/sec/filings/0001680873-21-000045,215542049.0,204695493.0,173630081.0,,,204695493.0,41911968.0,,-277000.0,30972019.0,31048000.0,,,,10864000.0,,10828296.0,7911000.0,10587000.0,,,,,,18260.0,2676000.0,,-820293.0,,,902000.0,,,,,,7911000.0,357345,,7554000.0,,7554000.0,0,,0,0.15,0.15,51913411.0,51932712.0,,520158000.0,130480950.0,,,77239478.0,,53241472.0,0.0,,,167629925.0,,216392396.0,248408000.0,101337000.0,41414000.0,,,59923000.0,147071000.0,89385697.0,53981366.0,,,,,,271750000.0,3757000.0,267993000.0,,,520158000.0,-2826000.0,-2826000.0,,-849000.0,-849000.0,,5793000.0,5793000.0,,,2118000.0,2118000.0,,7911000.0,0,7911000.0,0,,
