ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
HHH,2025-05-07,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-25-023135,199328000.0,185054000.0,,,,163760000.0,,,,151398000.0,,45139000.0,,106259000.0,47930000.0,,12954000.0,10838000.0,14274000.0,0.0,,,,,1320000.0,3436000.0,,2310000.0,,,,,,,,615000.0,10838000.0,305000.0,,10533000.0,,10533000.0,0.0,,0.0,0.21,0.21,49765000.0,50028000.0,,9289379000.0,9289379000.0,,,,,,0.0,,,,,,6434319000.0,6434319000.0,,,,,0,,,,,,,,2855060000.0,66898000.0,2788162000.0,,,9289379000.0,-224924000.0,-224924000.0,0.0,-63591000.0,-63591000.0,0.0,128064000.0,128064000.0,0.0,,-160451000.0,-160451000.0,0.0,9019000.0,305000.0,8714000.0,-1819000.0,,-1819000.0
HHH,2025-02-26,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-25-008128,1750689000.0,1385290000.0,,,,1305795000.0,,,,1190768000.0,,179799000.0,,1010969000.0,559921000.0,,371228000.0,285215000.0,365399000.0,-88223000.0,,,,,-5829000.0,80184000.0,18655000.0,61529000.0,,,,,,,,-499000.0,196992000.0,-711000.0,,197703000.0,,197703000.0,0.0,,0.0,3.98,3.96,49686000.0,49912000.0,,9211236000.0,9211236000.0,,,,,,0.0,,,,,,6369462000.0,6369462000.0,,,,,0,5127469000.0,,,,,,,2841774000.0,65548000.0,2776226000.0,,,9211236000.0,396591000.0,447751000.0,-51160000.0,-300794000.0,-430705000.0,129911000.0,-150351000.0,-27754000.0,-122597000.0,,-54554000.0,-10708000.0,-43846000.0,197688000.0,-711000.0,198399000.0,696000.0,,696000.0
HHH,2024-11-04,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-044991,327147000.0,230619000.0,,,,222462000.0,,,,128808000.0,,44088000.0,,84720000.0,198339000.0,,108353000.0,96528000.0,106723000.0,-24031000.0,,,,,-1630000.0,10195000.0,,,,,,,,,,,72497000.0,-273000.0,,72770000.0,,72770000.0,0.0,,0.0,1.46,1.46,49697000.0,49762000.0,,9438588000.0,9438588000.0,,,,,,0.0,,,,,,6758275000.0,6758275000.0,,,,,0,,,,,,,,2680313000.0,65927000.0,2614386000.0,,,9438588000.0,,,,,,,,,,,,,,67187000.0,-273000.0,67460000.0,-5310000.0,,-5310000.0
HHH,2024-05-08,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-021667,156484000.0,177484000.0,,,,193550000.0,,,,143876000.0,,52247000.0,,135618000.0,12608000.0,,-50527000.0,-21000000.0,-69662000.0,-31467000.0,,,,,-19135000.0,-17195000.0,,-17913000.0,,,41918000.0,,,,,1644000.0,-52467000.0,10000.0,,-52477000.0,,-52477000.0,0.0,,0.0,-1.06,-1.06,49663000.0,49663000.0,,9635891000.0,9635891000.0,,,,,,0.0,,,,,,6623136000.0,6623136000.0,,,,,0,,,,,,,,3012755000.0,66130000.0,2946625000.0,,,9635891000.0,-171239000.0,-171239000.0,,-73636000.0,-73636000.0,,83648000.0,83648000.0,,,-161227000.0,-161227000.0,,-49842000.0,10000.0,-49852000.0,2625000.0,,2625000.0
HHH,2024-02-27,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001628280-24-007207,1024102000.0,1739367000.0,,,,908268000.0,,,,1552314000.0,,216118000.0,,1336196000.0,-528212000.0,,-659557000.0,-551530000.0,-715265000.0,,,,,,-55708000.0,-163735000.0,108000.0,-163843000.0,,,156951000.0,,,,,8601000.0,-551530000.0,243000.0,,-551773000.0,,-551773000.0,0.0,,0.0,-11.13,-11.13,49568000.0,49568000.0,,9577003000.0,9577003000.0,,,,,,0.0,,,,,,6518079000.0,6518079000.0,,,,,0,5302620000.0,,,,,,,3058924000.0,66053000.0,2992871000.0,,,9577003000.0,-258482000.0,-258482000.0,,-336143000.0,-336143000.0,,548745000.0,548745000.0,,,-45880000.0,-45880000.0,,-560593000.0,243000.0,-560836000.0,-9063000.0,,-9063000.0
HHH,2023-11-06,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001628280-23-037021,268659000.0,957538000.0,,,,239748000.0,,,,895781000.0,,55974000.0,,839807000.0,-627122000.0,,-657993000.0,-544135000.0,-688879000.0,,,,,,-30886000.0,-144744000.0,,,,,38552000.0,,,,,,-544135000.0,46000.0,,-544181000.0,,-544181000.0,0.0,,0.0,-10.97,-10.97,49616000.0,49616000.0,,9371118000.0,9371118000.0,,,,,,0.0,,,,,,6341289000.0,6341289000.0,,,,,0,,,,,,,,3029829000.0,65934000.0,2963895000.0,,,9371118000.0,,,,,,,,,,,,,,-544317000.0,46000.0,-544363000.0,-182000.0,,-182000.0
HHH,,,TTM,2024-04-01,2025-03-31,,1793533000.0,1473044000.0,,,,1443593000.0,,,,1198290000.0,,180764000.0,,1017526000.0,595243000.0,,402828000.0,317053000.0,330684000.0,-56756000.0,,,,,4346000.0,90121000.0,,71058000.0,,,,,,,,-523000.0,260297000.0,-416000.0,,260713000.0,,260713000.0,0.0,,0.0,5.24,5.21,49788000.0,50277000.0,,9289379000.0,9289379000.0,,,,,,0.0,,,,,,6434319000.0,6434319000.0,,,,,0,,,,,,,,2855060000.0,66898000.0,2788162000.0,,,9289379000.0,342907000.0,379245000.0,-36338000.0,-290749000.0,-405553000.0,114804000.0,-105936000.0,16662000.0,-122598000.0,,-53778000.0,-9646000.0,-44132000.0,253168000.0,32000.0,253136000.0,-7129000.0,,-3748000.0
HHH,,2024,Q4,2024-10-01,2024-12-31,,983590000.0,821270000.0,,,,821270000.0,,,,723080000.0,,44966000.0,,678114000.0,260510000.0,,226867000.0,162320000.0,162320000.0,-6416000.0,,,,,-1599000.0,62948000.0,,33063000.0,,,,,,,,518000.0,155904000.0,-414000.0,,156318000.0,,156318000.0,0.0,,0.0,3.15,3.12,4000.0,192000.0,,9211236000.0,9211236000.0,,,,,,0.0,,,,,,6369462000.0,6369462000.0,,,,,0,5127469000.0,,,,,,,2841774000.0,65548000.0,2776226000.0,,,9211236000.0,337094000.0,336759000.0,335000.0,-54495000.0,-54160000.0,-335000.0,-204822000.0,-204822000.0,0.0,,77777000.0,77777000.0,0.0,155904000.0,0.0,155904000.0,0.0,,3343000.0
HHH,,2024,Q2,2024-03-31,2024-06-30,,283468000.0,236101000.0,,,,236101000.0,,,,195004000.0,,,,,88464000.0,,,47367000.0,47367000.0,-26309000.0,,,,,,,,,,,,,,,,,21058000.0,-34000.0,,21092000.0,,21092000.0,0.0,,0.0,0.42,0.42,,,,,,,,,,,,,,,,,-3036719000.0,-3036719000.0,,,,,0,,,,,,,,3036719000.0,0.0,3036719000.0,,,,,,,,,,,,,,,,,21058000.0,0.0,21058000.0,0.0,,
HHH,,2023,Q4,2023-10-01,2023-12-31,,335838000.0,303808000.0,,,,256399000.0,,,,252500000.0,,54914000.0,,197586000.0,83338000.0,,45864000.0,34373000.0,32030000.0,,,,,,-13834000.0,-2343000.0,,2437000.0,,,46315000.0,,,,,3931000.0,34373000.0,77000.0,,34296000.0,,34296000.0,0.0,,0.0,0.6999999999999993,0.6999999999999993,17000.0,17000.0,,9577003000.0,9577003000.0,,,,,,0.0,,,,,,6518079000.0,6518079000.0,,,,,0,5302620000.0,,,,,,,3058924000.0,66053000.0,2992871000.0,,,9577003000.0,101258000.0,101258000.0,,-82402000.0,-82402000.0,,98403000.0,98403000.0,,,117259000.0,117259000.0,,28074000.0,77000.0,27997000.0,-6299000.0,,-6299000.0
