ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
HI,2025-04-29,2025,Q2,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001417398-25-000162,715900000.0,760200000.0,479500000.0,,,179800000.0,236400000.0,,,-299700000.0,,,,,536100000.0,,-47500000.0,-38600000.0,-44300000.0,0.0,,,,,3200000.0,-5700000.0,,,,,23200000.0,,,,,,-38600000.0,2300000.0,,-40900000.0,,-40900000.0,0,,0,-0.58,-0.58,70700000.0,70700000.0,0.225,4807400000.0,1501500000.0,,,370600000.0,132800000.0,998100000.0,3305900000.0,,245800000.0,1142700000.0,,1917400000.0,3444800000.0,994200000.0,350200000.0,,93700000.0,550300000.0,2450600000.0,1916700000.0,533900000.0,,,,,,1362600000.0,35300000.0,1327300000.0,,,4807400000.0,1300000.0,1300000.0,0.0,81300000.0,81300000.0,0.0,161600000.0,161600000.0,,5100000.0,249300000.0,244200000.0,0.0,-42200000.0,1900000.0,-44100000.0,-3600000.0,,
HI,2025-02-05,2025,Q1,2024-10-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001417398-25-000063,706900000.0,691600000.0,471900000.0,,,171100000.0,235000000.0,,,-300800000.0,,,,,535800000.0,,12500000.0,8900000.0,15300000.0,0.0,,,,,2800000.0,6400000.0,,,,,25100000.0,,,,,,8900000.0,2500000.0,,6400000.0,,6400000.0,0,,0,0.09,0.09,70600000.0,70600000.0,0.225,5059400000.0,1462700000.0,,,521700000.0,134000000.0,807000000.0,3596700000.0,,303700000.0,1229400000.0,,2063600000.0,3643000000.0,1089700000.0,405300000.0,,93100000.0,591300000.0,0.0,1905900000.0,647400000.0,,,,,,1416400000.0,35100000.0,1381300000.0,,,5059400000.0,-11300000.0,-11300000.0,0.0,9500000.0,9500000.0,0.0,26800000.0,26800000.0,,-14400000.0,10600000.0,25000000.0,0.0,-26300000.0,1900000.0,-28200000.0,-35200000.0,,
HI,2024-11-19,2024,FY,2023-10-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001417398-24-000256,3182800000.0,3322200000.0,2126300000.0,,,3322200000.0,1056500000.0,,,1195900000.0,,,36700000.0,1159200000.0,-139400000.0,,-139400000.0,-204200000.0,-139400000.0,2200000.0,,,0.0,,0.0,64800000.0,104400000.0,-39600000.0,,,121500000.0,,,,,,-202000000.0,9000000.0,,-211000000.0,,-211000000.0,0,,0,-3.0,-3.0,70400000.0,70400000.0,0.89,5238700000.0,1509900000.0,,,525200000.0,,984700000.0,3728800000.0,,316600000.0,1285900000.0,,2126300000.0,3781300000.0,1189100000.0,444800000.0,,122000000.0,622300000.0,2592200000.0,1893000000.0,699200000.0,,,,,,1457400000.0,34400000.0,1423000000.0,,,5238700000.0,168000000.0,191300000.0,-23300000.0,26800000.0,26800000.0,0.0,-227100000.0,-227100000.0,,10000000.0,-22300000.0,-9000000.0,-23300000.0,-151600000.0,8900000.0,-160500000.0,50400000.0,,
HI,2024-08-07,2024,Q3,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001417398-24-000198,786600000.0,1044000000.0,520200000.0,,,174200000.0,266400000.0,,,-346000000.0,,,,,612400000.0,,,-246900000.0,-257400000.0,0.0,,,0.0,,,-10500000.0,,,,,32200000.0,,,,,,-246900000.0,2000000.0,,-248900000.0,,-248900000.0,0,,0,-3.53,-3.53,70500000.0,70500000.0,,5271500000.0,1637100000.0,,,573500000.0,159400000.0,904200000.0,3634400000.0,,328700000.0,1291000000.0,,2014700000.0,3830100000.0,1213600000.0,444300000.0,,113700000.0,655600000.0,2616500000.0,2088800000.0,527700000.0,,,,,,1441400000.0,31900000.0,1409500000.0,,,5271500000.0,45600000.0,45600000.0,0.0,-12300000.0,-12300000.0,0.0,-32800000.0,-32800000.0,,-1100000.0,-600000.0,500000.0,0.0,-228300000.0,2400000.0,-230700000.0,18600000.0,,
HI,2024-04-30,2024,Q2,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001417398-24-000137,785300000.0,772500000.0,534600000.0,,,181400000.0,250700000.0,,,-353200000.0,,,,,603900000.0,,,8600000.0,12800000.0,0.0,,,0.0,,,4200000.0,,,,,30800000.0,,,,,,8600000.0,2500000.0,,6100000.0,,6100000.0,0,,0,0.09,0.09,70400000.0,70700000.0,,5570500000.0,1628600000.0,,,588900000.0,137100000.0,902600000.0,3941900000.0,,329400000.0,1346800000.0,,2265700000.0,3888300000.0,1212100000.0,452500000.0,,116100000.0,643500000.0,0.0,2107000000.0,569200000.0,,,,,,1682200000.0,31100000.0,1651100000.0,,,5570500000.0,-20100000.0,3200000.0,-23300000.0,-12800000.0,-12800000.0,0.0,63300000.0,63300000.0,,-4800000.0,25600000.0,53700000.0,-23300000.0,-25500000.0,2000000.0,-27500000.0,-34100000.0,,
HI,2024-02-05,2024,Q1,2023-10-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001417398-24-000060,773300000.0,743800000.0,522300000.0,,,157900000.0,251000000.0,,,-364400000.0,,,,,615400000.0,,,19500000.0,29500000.0,-300000.0,,,0.0,,,10000000.0,,,,,29800000.0,,,,,,19200000.0,2000000.0,,17200000.0,,17200000.0,0,,0,0.25,0.24,70300000.0,70500000.0,,5584900000.0,1577500000.0,,,607500000.0,131900000.0,838100000.0,4007400000.0,,334600000.0,1386500000.0,,2286300000.0,3865900000.0,1230800000.0,422100000.0,,85100000.0,723600000.0,0.0,2041800000.0,593300000.0,,,,,,1719000000.0,30400000.0,1688600000.0,,,5584900000.0,-24000000.0,-24000000.0,0.0,-15100000.0,-15100000.0,0.0,-17100000.0,-17100000.0,,5600000.0,-50600000.0,-56200000.0,0.0,75400000.0,2000000.0,73400000.0,56200000.0,,
HI,2023-11-15,2023,FY,2022-10-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001417398-23-000094,2826000000.0,2609100000.0,1877800000.0,,,574000000.0,948200000.0,,,-1303800000.0,,,25400000.0,,2252000000.0,,216900000.0,114100000.0,216900000.0,19500000.0,,,443100000.0,,0.0,102800000.0,108400000.0,-5600000.0,,,77700000.0,,,,,,576700000.0,7000000.0,,569700000.0,,569700000.0,0,,0,8.16,8.13,69800000.0,70100000.0,0.88,5547700000.0,1607600000.0,,,592600000.0,113200000.0,901800000.0,3940100000.0,,320700000.0,1377100000.0,,2242300000.0,3884800000.0,1291000000.0,451500000.0,,99600000.0,739900000.0,2593800000.0,2010100000.0,583700000.0,,,,,,1662900000.0,32600000.0,1630300000.0,,,5547700000.0,70200000.0,207000000.0,-136800000.0,-729900000.0,-722300000.0,-7600000.0,693400000.0,693400000.0,,-21100000.0,12600000.0,178100000.0,-144400000.0,585100000.0,6900000.0,578200000.0,8400000.0,,
HI,2023-08-02,2023,Q3,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001417398-23-000035,716600000.0,648800000.0,469700000.0,,,144800000.0,246900000.0,,,-324900000.0,,,,,571800000.0,,67800000.0,44000000.0,67800000.0,600000.0,,,400000.0,,0.0,23800000.0,,,,,18600000.0,,,,,,45000000.0,1700000.0,,43300000.0,,43300000.0,0,,0,0.62,0.62,70000000.0,70300000.0,,4733800000.0,1583300000.0,,,568400000.0,125700000.0,889200000.0,3150500000.0,,296400000.0,1085600000.0,,1768500000.0,3048300000.0,1179300000.0,402300000.0,,85500000.0,691500000.0,1869000000.0,1339300000.0,529700000.0,,,,,,1685500000.0,31500000.0,1654000000.0,,,4733800000.0,-24700000.0,88900000.0,-113600000.0,-13500000.0,-13500000.0,0.0,16000000.0,16000000.0,,-2400000.0,-24600000.0,91400000.0,-113600000.0,20900000.0,1100000.0,19800000.0,-24100000.0,,
HI,2023-05-08,2023,Q2,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001417398-23-000024,690900000.0,642700000.0,461600000.0,,,144600000.0,229300000.0,,,-317000000.0,,,,,546300000.0,,48200000.0,24100000.0,48200000.0,-1500000.0,,,440900000.0,,0.0,24100000.0,,,,,21100000.0,,,,,,463500000.0,800000.0,,462700000.0,,462700000.0,0,,0,6.64,6.6,69700000.0,70100000.0,,4830500000.0,1657300000.0,,,588300000.0,119900000.0,949100000.0,3173200000.0,,295200000.0,1112300000.0,,1765700000.0,3163700000.0,1313800000.0,413000000.0,,87500000.0,813300000.0,0.0,1313900000.0,536000000.0,,,,,,1666800000.0,31200000.0,1635600000.0,,,4830500000.0,55100000.0,50300000.0,4800000.0,677400000.0,680500000.0,-3100000.0,-604900000.0,-604900000.0,,-7500000.0,120100000.0,125900000.0,1700000.0,481200000.0,1000000.0,480200000.0,17700000.0,,
HI,2023-02-08,2023,Q1,2022-10-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001417398-23-000011,655700000.0,626600000.0,444800000.0,,,142300000.0,210900000.0,,,-302500000.0,,,,,513400000.0,,29100000.0,26800000.0,29100000.0,21000000.0,,,0.0,,0.0,2300000.0,,,,,23300000.0,,,,,,47800000.0,2300000.0,,45500000.0,,45500000.0,0,,0,0.66,0.65,69400000.0,69800000.0,,4885900000.0,1753300000.0,,,591600000.0,132900000.0,1028800000.0,3132600000.0,,285200000.0,1095100000.0,,1752300000.0,3693100000.0,1263900000.0,397300000.0,,93100000.0,773500000.0,0.0,1900400000.0,528800000.0,,,,,,1192800000.0,30200000.0,1162600000.0,,,4885900000.0,-6200000.0,-5600000.0,-600000.0,-646500000.0,-642000000.0,-4500000.0,610300000.0,610300000.0,,600000.0,-41800000.0,-37300000.0,-5100000.0,94300000.0,2100000.0,92200000.0,46500000.0,,
