ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
HLLY,2025-05-07,2025,Q1,2025-01-01,2025-03-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-25-014913,153044000.0,149151000.0,88956000.0,,,149151000.0,64088000.0,,-15450000.0,44745000.0,36699000.0,,4093000.0,3953000.0,19343000.0,,,2817000.0,3893000.0,,,,,,,1076000.0,,,,,,,,,,,2817000.0,0,,2817000.0,,2817000.0,0,,0,0.02,0.02,118845487.0,119559217.0,,1144161000.0,288186000.0,,,189143000.0,,99043000.0,855975000.0,,41664000.0,407130000.0,,407181000.0,719576000.0,100818000.0,37586000.0,,,63232000.0,618758000.0,551262000.0,67496000.0,,,,,,424585000.0,0,424585000.0,,,1144161000.0,-7850000.0,-7850000.0,,-7740000.0,-7740000.0,,-2370000.0,-2370000.0,,941000.0,-17019000.0,-17960000.0,,2532000.0,0,2532000.0,2532000.0,,
HLLY,2025-03-14,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-25-007614,602224000.0,628484000.0,363680000.0,,,628484000.0,238544000.0,,-40928000.0,223876000.0,132149000.0,,18710000.0,73017000.0,14668000.0,,,-23235000.0,-26260000.0,,,,,,,-3025000.0,13126000.0,-16151000.0,,,,,,,,,-23235000.0,0,,-23235000.0,,-23235000.0,0,,0,-0.2,-0.2,118441580.0,118441580.0,,1133320000.0,297347000.0,,,192523000.0,,104824000.0,835973000.0,,40983000.0,386676000.0,,408314000.0,712168000.0,95172000.0,44781000.0,,,50391000.0,616996000.0,552586000.0,64410000.0,,,,,,421152000.0,0,421152000.0,,,1133320000.0,46899000.0,46899000.0,,2021000.0,2021000.0,,-34605000.0,-34605000.0,,691000.0,15006000.0,14315000.0,,-23687000.0,0,-23687000.0,-23687000.0,,
HLLY,2024-11-08,2024,Q3,2024-07-01,2024-09-29,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-034047,134038000.0,141810000.0,81732000.0,,,141810000.0,52306000.0,,-13335000.0,46743000.0,30109000.0,,4620000.0,12014000.0,5563000.0,,,-6288000.0,-7772000.0,,,,,,,-1484000.0,,,,,,,,,,,-6288000.0,0,,-6288000.0,,-6288000.0,0,,0,-0.05,-0.05,118694139.0,118694139.0,,1184234000.0,298556000.0,,,179285000.0,,119271000.0,885678000.0,,42718000.0,398804000.0,,444156000.0,725491000.0,101868000.0,52738000.0,,,49130000.0,0.0,556384000.0,67239000.0,,,,,,458743000.0,0,458743000.0,,,1184234000.0,-1748000.0,-1748000.0,,-311000.0,-311000.0,,-272000.0,-272000.0,,2000.0,-2329000.0,-2331000.0,,-5902000.0,0,-5902000.0,-5902000.0,,
HLLY,2024-08-07,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-025177,169496000.0,150336000.0,99203000.0,,,150336000.0,70293000.0,,-8718000.0,42415000.0,34570000.0,,4311000.0,3534000.0,27878000.0,,,17105000.0,19160000.0,,,,,,,2055000.0,,,,,,,,,,,17105000.0,0,,17105000.0,,17105000.0,0,,0,0.14,0.14,118470358.0,119261236.0,,1198091000.0,301103000.0,,,173518000.0,,127585000.0,896988000.0,,43491000.0,403483000.0,,450014000.0,734922000.0,107521000.0,58595000.0,,,48926000.0,0.0,556135000.0,71266000.0,,,,,,463169000.0,0,463169000.0,,,1198091000.0,25678000.0,25678000.0,,-1325000.0,-1325000.0,,-12373000.0,-12373000.0,,-27000.0,11953000.0,11980000.0,,17105000.0,0,17149000.0,0.0,,
HLLY,2024-05-08,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-015204,158636000.0,155797000.0,106577000.0,,,155797000.0,52059000.0,,-7369000.0,41851000.0,32996000.0,,4812000.0,4043000.0,10208000.0,,,3730000.0,2839000.0,,,,,,,-891000.0,,,,,11004000.0,,,,,,3730000.0,0,,3730000.0,,3730000.0,0,,0,0.03,0.03,117871829.0,119505330.0,,1191734000.0,289808000.0,,,184016000.0,,105792000.0,901926000.0,,46376000.0,406896000.0,,448654000.0,746819000.0,101724000.0,50258000.0,,,51466000.0,0.0,567556000.0,77539000.0,,,,,,444915000.0,0,444915000.0,,,1191734000.0,18843000.0,18843000.0,,-1091000.0,-1091000.0,,-17669000.0,-17669000.0,,-37000.0,46000.0,83000.0,,3730000.0,0,3544000.0,0.0,,
HLLY,2024-03-14,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-24-007848,659704000.0,632125000.0,403615000.0,,,632125000.0,256089000.0,,-66459000.0,162051000.0,120244000.0,,23844000.0,17963000.0,94038000.0,,,19180000.0,27579000.0,,,,,,,8399000.0,13551000.0,-5152000.0,,,60746000.0,,,,,,19180000.0,0,,19180000.0,,19180000.0,0,,0,0.16,0.16,117378854.0,118510800.0,,1203343000.0,297366000.0,,,192260000.0,,105106000.0,905977000.0,,47206000.0,410465000.0,,448306000.0,762192000.0,93737000.0,43692000.0,,,50045000.0,668455000.0,584171000.0,84284000.0,,,,,,441151000.0,0,441151000.0,,,1203343000.0,88092000.0,88092000.0,,-4453000.0,-4453000.0,,-69008000.0,-69008000.0,,300000.0,14931000.0,14631000.0,,19414000.0,0,19414000.0,19414000.0,,
HLLY,2023-11-08,2023,Q3,2023-07-03,2023-10-01,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-030772,156530000.0,153686000.0,98156000.0,,,153686000.0,58374000.0,,-16476000.0,39054000.0,28880000.0,,6100000.0,4074000.0,19320000.0,,,752000.0,2844000.0,,,,,,,2092000.0,,,,,13712000.0,,,,,,752000.0,0,,752000.0,,752000.0,0,,0,0.01,0.01,117397069.0,119245956.0,,1219123000.0,304667000.0,,,207161000.0,,97506000.0,914456000.0,,48026000.0,413774000.0,,452656000.0,781222000.0,88882000.0,39762000.0,,,49120000.0,692340000.0,610078000.0,82262000.0,,,,,,437901000.0,0,437901000.0,,,1219123000.0,22480000.0,22480000.0,,-743000.0,-743000.0,,-27426000.0,-27426000.0,,-218000.0,-5907000.0,-5689000.0,,576000.0,0,576000.0,576000.0,,
HLLY,2023-08-10,2023,Q2,2023-04-03,2023-07-02,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-022877,175262000.0,158185000.0,105514000.0,,,158185000.0,69748000.0,,-12877000.0,39794000.0,29101000.0,,6182000.0,4511000.0,29954000.0,,,12979000.0,17077000.0,,,,,,,4098000.0,,,,,9899000.0,,,,,,12979000.0,0,,12979000.0,,12979000.0,0,,0,0.11,0.11,117221419.0,117868922.0,,1250668000.0,333275000.0,,,217504000.0,,115771000.0,917393000.0,,49691000.0,417613000.0,,450089000.0,815252000.0,103211000.0,43774000.0,,,59437000.0,0.0,636006000.0,76035000.0,,,,,,435416000.0,0,435416000.0,,,1250668000.0,30744000.0,30744000.0,,-1699000.0,-1699000.0,,-7137000.0,-7137000.0,,16000.0,21924000.0,21908000.0,,12979000.0,0,13251000.0,0.0,,
HLLY,2023-05-11,2023,Q1,2023-01-01,2023-04-02,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-013765,172205000.0,166392000.0,104492000.0,,,166392000.0,67713000.0,,-20161000.0,41739000.0,30017000.0,,6653000.0,5069000.0,25974000.0,,,4247000.0,5813000.0,,,,,,,1566000.0,,,,,18298000.0,,,,,,4247000.0,0,,4247000.0,,4247000.0,0,,0,0.04,0.04,117153525.0,117244762.0,,1242317000.0,324184000.0,,,229045000.0,,95139000.0,918133000.0,,50621000.0,421292000.0,,446220000.0,821919000.0,95565000.0,37403000.0,,,58162000.0,0.0,642722000.0,83632000.0,,,,,,420398000.0,0,420398000.0,,,1242317000.0,3639000.0,3639000.0,,-683000.0,-683000.0,,-8435000.0,-8435000.0,,145000.0,-5334000.0,-5479000.0,,4247000.0,0,4048000.0,0.0,,
HLLY,2023-03-15,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001437749-23-006585,688415000.0,610148000.0,434757000.0,,,610148000.0,253658000.0,,27525000.0,202916000.0,150728000.0,,29083000.0,23105000.0,50742000.0,,,73774000.0,78267000.0,,,,,,,4493000.0,16059000.0,-11566000.0,,,40227000.0,,,,,,73774000.0,0,,73774000.0,,73774000.0,0,,0,0.63,0.14,116762928.0,117248296.0,,1249642000.0,324963000.0,,,233573000.0,,91390000.0,924679000.0,,52181000.0,424855000.0,,447643000.0,833652000.0,101259000.0,44948000.0,,,56311000.0,732393000.0,662120000.0,70273000.0,,,,,,415990000.0,0,415990000.0,,,1249642000.0,12312000.0,12312000.0,,-25037000.0,-25037000.0,,2850000.0,2850000.0,,-300000.0,-10175000.0,-9875000.0,,73086000.0,0,73086000.0,73086000.0,,
