ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
HOFV,2025-05-13,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-25-042648,2945333.0,18014283.0,,,,18014283.0,,,-6696622.0,11317661.0,,,,,-8372328.0,,-15011501.0,-15068950.0,-15068950.0,,,,,,-57449.0,,,,,,,,,,,,-15068950.0,266000,,-15334950.0,,-15334950.0,0,,0,-2.3,-2.3,6672941.0,6672941.0,,364686678.0,364686678.0,,,,,,0,,330590417.0,,,,307721329.0,307721329.0,,,,,0,251947817.0,,,,,,,56965349.0,-963426,57928775.0,,,364686678.0,-1465710.0,-1465710.0,,-102800.0,-102800.0,,1645632.0,1645632.0,,,77122.0,77122.0,,-15068950.0,0,-15068950.0,0,,
HOFV,2025-03-26,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001013762-25-002788,21205933.0,77068568.0,,,,77068568.0,,,-26196174.0,50872394.0,,17007248.0,,33865146.0,-29666461.0,,-55644264.0,-55862635.0,-55862635.0,,,,,,-218371.0,,,,,,,,,,,,-55862635.0,-8588,,-56918047.0,,-56918047.0,0,,0,-8.72,-8.72,,6530922.0,,366705811.0,366705811.0,,,,,,0,,334709643.0,,,,294474352.0,294474352.0,,,,,0,245747816.0,,,,,,,72231459.0,-963426,73194885.0,,,366705811.0,-10914970.0,-10914970.0,,-7767670.0,-7767670.0,,11314108.0,11314108.0,,,-7368532.0,-7368532.0,,-55862635.0,0,-55862635.0,0,,
HOFV,2024-11-13,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-24-097601,7501626.0,11921956.0,,,,11921956.0,,,2731154.0,14653110.0,,4202042.0,,10451068.0,-7151484.0,,-4373090.0,-4420330.0,-4420330.0,,,,,,-47240.0,,,,,,,,,,,,-4420330.0,266000,,-4686330.0,,-4686330.0,0,,0,-0.72,-0.72,6551352.0,6551352.0,,435640564.0,435640564.0,,,,,,0,,335114292.0,,,,341938767.0,341938767.0,,,,,0,241587376.0,,,,,,,93701797.0,-963426,94665223.0,,,435640564.0,-1815844.0,-1815844.0,,-4904783.0,-4904783.0,,7761690.0,7761690.0,,,1041063.0,1041063.0,,-4420330.0,0,-4420330.0,0,,
HOFV,2024-08-13,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-24-068239,4699669.0,20188651.0,,,,20188651.0,,,-7099303.0,13089348.0,,4181191.0,,8908157.0,-8389679.0,,-15423204.0,-15488982.0,-15488982.0,,,,,,-65778.0,,,,,,,,,,,,-15488982.0,0,,-15488982.0,,-15754982.0,0,,0,-2.41,-2.41,6527988.0,6527988.0,,436941597.0,436941597.0,,,,,,0,,339210450.0,,,,338773450.0,-98168147.0,,,,,0,229184587.0,,,,,,,98168147.0,-963426,99131573.0,,,436941597.0,-2833302.0,-2833302.0,,-809594.0,-809594.0,,3202094.0,3202094.0,,,-440802.0,-440802.0,,-15488982.0,0,-15488982.0,0,,
HOFV,2024-05-14,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-24-042927,4191315.0,18821491.0,,,,18821491.0,,,-7537945.0,11283546.0,,4158750.0,,7124796.0,-7092231.0,,-14660128.0,-14630176.0,-14630176.0,,,,,,29952.0,,,,,,6521534.0,,,,,,-14630176.0,-8588,,-14630176.0,,-14887588.0,0,,0,-2.3,-2.3,6486044.0,6486044.0,,439570798.0,439570798.0,,,,,,0,,341626103.0,,,,325967091.0,-113603707.0,,,,,0,221653857.0,,,,,,,113603707.0,-963426,114567133.0,,,439570798.0,-2476875.0,-2476875.0,,-2967807.0,-2967807.0,,512766.0,512766.0,,,-4931916.0,-4931916.0,,-14630176.0,0,-14630176.0,0,,
HOFV,2024-03-25,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-24-025569,24129673.0,92883477.0,,,,92883477.0,,,-19305663.0,73577814.0,,15069782.0,,58508032.0,-49448141.0,,,-68753804.0,-68753804.0,,,,,,,,,,,,18763838.0,,,,,,-68753804.0,-72265,,-69745539.0,,-69745539.0,0,,0,-11.97,-11.97,5826504.0,5826504.0,,441896633.0,441896633.0,,,,,,0,,344378835.0,,,,315159219.0,315159219.0,,,,,0,219532941.0,,,,,,,126737414.0,-954838,127692252.0,,,441896633.0,-27000438.0,-27000438.0,,-27826165.0,-27826165.0,,33126304.0,33126304.0,,,-21700299.0,-21700299.0,,-68753804.0,0,-68753804.0,0,,
HOFV,2023-11-14,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-23-086921,8744829.0,24909181.0,,,,24909181.0,,,-6125839.0,18783342.0,,,,,-10038513.0,,,-16164352.0,-16164352.0,,,,,,,,,,,,6026801.0,,,,,,-16164352.0,-11277,,-16419075.0,,-16419075.0,0,,0,-2.89,-2.89,5672602.0,5672602.0,,447061631.0,447061631.0,,,,,,0,,368023204.0,,,,302892186.0,302892186.0,,,,,0,202307981.0,,,,,,,144169445.0,-948222,145117667.0,,,447061631.0,76834.0,76834.0,,-5600331.0,-5600331.0,,431785.0,431785.0,,,-5091712.0,-5091712.0,,-16164352.0,0,-16164352.0,0,,
HOFV,2023-08-10,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001213900-23-065592,6127277.0,19680894.0,,,,19680894.0,,,-3766140.0,15654549.0,,3373076.0,,12281473.0,-9527272.0,,,-13553617.0,-13293412.0,,,,,,,,,,,,,,,,,,-13293412.0,-5795,,-13293412.0,,-13293412.0,0,,0,-2.39,-2.39,5660385.0,5660540.0,,451129169.0,451129169.0,,,,,,0,,370936371.0,,,,291312531.0,-159816638.0,,,,,0,195270837.0,,,2.0,,,2.0,159816638.0,-936945,160753583.0,2.0,,451129169.0,-8140201.0,-8140201.0,,10210184.0,10210184.0,,80090.0,80090.0,,,2150073.0,2150073.0,,-13293412.0,0,-13293412.0,0,,
HOFV,2023-05-15,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-23-039756,3120433.0,22730230.0,,,,22730230.0,,,-4826528.0,17686279.0,,2553360.0,,15132919.0,-14565846.0,,,-19609797.0,-19392374.0,,,,,,,,,,,,3632637.0,,,,,,-19392374.0,-48577,,-19392374.0,,-19392374.0,0,,0,-3.48,-3.48,5629086.0,5629086.0,,461167441.0,461167441.0,,,,,,0,,252820233.0,,,,288916669.0,-172250772.0,,,,,0,191949469.0,,,,,,,172250772.0,-931150,173181922.0,,,461167441.0,-11542932.0,-11542932.0,,-24679007.0,-24679007.0,,17406477.0,17406477.0,,,-18815462.0,-18815462.0,,-19392374.0,0,-19392374.0,0,,
HOFV,2023-03-27,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001213900-23-023180,15979372.0,62925876.0,,,,62925876.0,,,-8178006.0,53969677.0,,12037374.0,,41932303.0,-37990305.0,,,-46946504.0,-46946504.0,,,,,,,,,,,,5377146.0,,,,,,-46168311.0,-285807,,-45882504.0,,-45882504.0,0,,0,-9.01,-8.5,5208054.0,5208054.0,,456296961.0,456296961.0,,,,,,0,,248826853.0,,,,265038849.0,265038849.0,,,,,0,171315860.0,,,2.0,,,2.0,191258112.0,-882573,192140685.0,2.0,,456296961.0,-4892748.0,-4892748.0,,-112128287.0,-112128287.0,,133149377.0,133149377.0,,,16128342.0,16128342.0,,-46168311.0,0,-46168311.0,0,,
