ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
HRMY,2025-05-06,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-25-006394,184733000.0,127556000.0,31994000.0,,,127556000.0,152739000.0,,,96494000.0,,,34540000.0,61954000.0,56245000.0,,,45560000.0,57177000.0,,,,,,,11617000.0,,,,,,,,,,,45560000.0,0.0,,45560000.0,,45560000.0,0.0,,0.0,0.79,0.78,57309938.0,58524566.0,,1055535000.0,642692000.0,,,6384000.0,16470000.0,619838000.0,412843000.0,,1378000.0,107302000.0,,304163000.0,335010000.0,175118000.0,17459000.0,,7582000.0,150077000.0,159892000.0,175682000.0,,,,,,,720525000.0,0,720525000.0,,,1055535000.0,33987000.0,33987000.0,,2362000.0,2362000.0,,-352000.0,-352000.0,,,35997000.0,35997000.0,,45739000.0,0.0,45739000.0,179000.0,,
HRMY,2025-02-25,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-25-001441,714734000.0,522930000.0,156815000.0,,,522930000.0,557919000.0,,,367093000.0,,,145825000.0,221268000.0,190826000.0,,,145493000.0,191804000.0,,,,,,,46311000.0,74311000.0,-29298000.0,,,,,,,,,145493000.0,0.0,,145493000.0,,145493000.0,0.0,,0.0,2.56,2.51,56885455.0,57869915.0,,999200000.0,579252000.0,,,7198000.0,13714000.0,558340000.0,419948000.0,,1257000.0,113263000.0,,305428000.0,340045000.0,175082000.0,13744000.0,,18776000.0,142562000.0,164963000.0,179266000.0,,,,,,,659155000.0,0,659155000.0,,,999200000.0,219821000.0,219821000.0,,-67484000.0,-67484000.0,,-10996000.0,-10996000.0,,,141341000.0,141341000.0,,145557000.0,0.0,145557000.0,64000.0,,
HRMY,2024-10-29,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-013803,186038000.0,123868000.0,42778000.0,,,123868000.0,143260000.0,,,81550000.0,,,25387000.0,56163000.0,61710000.0,,,46093000.0,62170000.0,,,,,,,16077000.0,,,,,,,,,,,46093000.0,0.0,,46093000.0,,46093000.0,0.0,,0.0,0.81,0.79,56870234.0,58103963.0,,928135000.0,522405000.0,,,6915000.0,16057000.0,499433000.0,405730000.0,,750000.0,119225000.0,,285755000.0,331331000.0,161279000.0,10532000.0,,14224000.0,136523000.0,170052000.0,182847000.0,,,,,,,596804000.0,0,596804000.0,,,928135000.0,70501000.0,70501000.0,,745000.0,745000.0,,-1175000.0,-1175000.0,,,70071000.0,70071000.0,,46826000.0,0.0,46826000.0,46826000.0,,
HRMY,2024-08-06,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-010956,172814000.0,151120000.0,32144000.0,,,151120000.0,140670000.0,,,119314000.0,,,63583000.0,55731000.0,21356000.0,,,11591000.0,21694000.0,,,,,,,10103000.0,,,,,,,,,,,11591000.0,0.0,,11591000.0,,11591000.0,0.0,,0.0,0.2,0.2,56802357.0,57541696.0,,858383000.0,458344000.0,,,5643000.0,16127000.0,436574000.0,400039000.0,,754000.0,125186000.0,,274099000.0,319800000.0,146582000.0,22683000.0,,9641000.0,114258000.0,173218000.0,186422000.0,,,,,,,538583000.0,0,538583000.0,,,858383000.0,42617000.0,42617000.0,,-54856000.0,-54856000.0,,-3446000.0,-3446000.0,,,-15685000.0,-15685000.0,,11528000.0,0.0,11528000.0,11528000.0,,
HRMY,2024-04-30,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-006203,154615000.0,102830000.0,27484000.0,,,102830000.0,127131000.0,,,75098000.0,,,22189000.0,52909000.0,52033000.0,,,38334000.0,51785000.0,,,,,,,13451000.0,,,,,4535000.0,,,,,,38334000.0,0.0,,38334000.0,,38334000.0,0.0,,0.0,0.68,0.67,56771251.0,57597627.0,,846985000.0,479503000.0,,,5857000.0,12894000.0,460752000.0,367482000.0,,213000.0,131147000.0,,236122000.0,331591000.0,154253000.0,15144000.0,,7317000.0,131792000.0,177338000.0,189996000.0,,,,,,,515394000.0,0,515394000.0,,,846985000.0,31141000.0,31141000.0,,-6186000.0,-6186000.0,,-3634000.0,-3634000.0,,,21321000.0,21321000.0,,38161000.0,0.0,38161000.0,-173000.0,,
HRMY,2024-02-22,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-24-001466,582022000.0,408626000.0,121236000.0,,,408626000.0,460786000.0,,,268756000.0,,,76063000.0,192693000.0,192030000.0,,,128853000.0,173396000.0,,,,,,,44543000.0,57962000.0,-14994000.0,,,23757000.0,,,,,,128853000.0,0.0,,128853000.0,,128853000.0,0.0,,0.0,2.17,2.13,59469648.0,60372397.0,,811448000.0,451070000.0,,,5363000.0,12570000.0,433137000.0,360378000.0,,371000.0,137108000.0,,222899000.0,344456000.0,163781000.0,17730000.0,,23747000.0,122304000.0,180675000.0,193566000.0,,,,,,,466992000.0,0,466992000.0,,,811448000.0,219387000.0,219387000.0,,-46439000.0,-46439000.0,,-105552000.0,-105552000.0,,,67396000.0,67396000.0,,129006000.0,0.0,129006000.0,153000.0,,
HRMY,2023-10-31,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-017060,160268000.0,108436000.0,32296000.0,,,108436000.0,127972000.0,,,63463000.0,,,17499000.0,45964000.0,64509000.0,,,38461000.0,51832000.0,,,,,,,13371000.0,,,,,,,,,,,38461000.0,0.0,,38461000.0,,38461000.0,0.0,,0.0,0.64,0.63,59863102.0,60681676.0,,777766000.0,462998000.0,,,5087000.0,14269000.0,443642000.0,314768000.0,,428000.0,143069000.0,,171271000.0,296434000.0,112408000.0,6539000.0,,,105869000.0,184026000.0,197131000.0,,,,,,,481332000.0,0,481332000.0,,,777766000.0,63100000.0,63100000.0,,-813000.0,-813000.0,,-55099000.0,-55099000.0,,,7188000.0,7188000.0,,38467000.0,0.0,38467000.0,38467000.0,,
HRMY,2023-08-01,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-012637,134216000.0,90121000.0,25008000.0,,,90121000.0,109208000.0,,,62306000.0,,,14969000.0,47337000.0,46902000.0,,,34300000.0,44095000.0,,,,,,,9795000.0,,,,,,,,,,,34300000.0,0.0,,34300000.0,,34300000.0,0.0,,0.0,0.57,0.56,59974123.0,60743953.0,,760183000.0,455641000.0,,,4854000.0,9442000.0,441345000.0,304542000.0,,572000.0,149031000.0,,154939000.0,275011000.0,93045000.0,6563000.0,,,86482000.0,181966000.0,191487000.0,,,,,,,485172000.0,0,485172000.0,,,760183000.0,37063000.0,37063000.0,,-7771000.0,-7771000.0,,-339000.0,-339000.0,,,28953000.0,28953000.0,,33809000.0,0.0,33809000.0,33809000.0,,
HRMY,2023-05-02,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-007571,119126000.0,81346000.0,20780000.0,,,81346000.0,98346000.0,,,57923000.0,,,13289000.0,44634000.0,40423000.0,,,29485000.0,37780000.0,,,,,,,8295000.0,,,,,,,,,,,29485000.0,0.0,,29485000.0,,29485000.0,0.0,,0.0,0.49,0.48,59732157.0,61221511.0,,715092000.0,418087000.0,,,4090000.0,11399000.0,402598000.0,297005000.0,,470000.0,154992000.0,,141543000.0,272051000.0,85363000.0,6414000.0,,,78949000.0,186688000.0,191563000.0,,,,,,,443041000.0,0,443041000.0,,,715092000.0,42559000.0,42559000.0,,-1790000.0,-1790000.0,,3409000.0,3409000.0,,,44178000.0,44178000.0,,29605000.0,0.0,29605000.0,120000.0,,
HRMY,2023-02-21,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001558370-23-001574,437855000.0,333169000.0,83481000.0,,,333169000.0,354374000.0,,,234188000.0,,,70886000.0,163302000.0,120186000.0,,,181468000.0,104686000.0,,,,,,,-76782000.0,9161000.0,10423000.0,,,,,,,,,181468000.0,0.0,,181468000.0,,181468000.0,0.0,,0.0,3.07,2.97,59173121.0,61097045.0,,673870000.0,400285000.0,,,4297000.0,9347000.0,386641000.0,273585000.0,,573000.0,160953000.0,,112059000.0,271032000.0,78884000.0,3786000.0,,,75098000.0,192148000.0,,,,,,,,402838000.0,0,402838000.0,,,673870000.0,144466000.0,144466000.0,,-141832000.0,-141832000.0,,6841000.0,6841000.0,,,9475000.0,9475000.0,,181317000.0,0.0,181317000.0,-151000.0,,
