ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
IE,2025-05-06,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0001879016-25-000011,735000.0,34876000.0,293000.0,,,34876000.0,442000.0,,,27446000.0,,,52000.0,27394000.0,-27004000.0,,-29152000.0,-34141000.0,-34141000.0,,,,,,-4989000.0,0.0,,,,,1657000.0,,,,,,-34141000.0,-3626000.0,,-30515000.0,,-30515000.0,0,,0,0.24,0.24,126664363.0,126664363.0,,414388000.0,114255000.0,,,,,,300133000.0,,10920000.0,,,289213000.0,99042000.0,37181000.0,,,,,61861000.0,,,,,,,,315346000.0,8375000.0,306971000.0,,,414388000.0,-15775000.0,-15775000.0,,-2000.0,-2000.0,,70815000.0,70815000.0,,249000.0,55287000.0,55038000.0,,-34129000.0,-3626000.0,-30503000.0,12000.0,,
IE,2025-02-27,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0001879016-25-000003,2901000.0,0.0,1018000.0,,,179852000.0,1883000.0,,,178834000.0,,,2853000.0,175981000.0,-176951000.0,,11569000.0,-140270000.0,2901000.0,,,,,,-8668000.0,32000.0,32000.0,0.0,,,2899000.0,,,,,,-140270000.0,-11648000.0,,-128622000.0,,-128622000.0,0,,0,1.07,1.07,120377904.0,120377904.0,,374932000.0,69286000.0,,,0.0,,,305646000.0,,9667000.0,,,295979000.0,94501000.0,33416000.0,,,,,61085000.0,,,,,,,,280431000.0,11790000.0,268641000.0,,,374932000.0,-162096000.0,-162096000.0,,-14470000.0,-14470000.0,,18895000.0,18895000.0,,-2063000.0,-159734000.0,-157671000.0,,-141298000.0,-11473000.0,-129825000.0,-1028000.0,,
IE,2024-11-08,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0001879016-24-000017,671000.0,47795000.0,256000.0,,,47795000.0,415000.0,,,42244000.0,,,871000.0,41373000.0,-41829000.0,,-42864000.0,-47124000.0,-47124000.0,,,,,,-4260000.0,0.0,,,,,1691000.0,,,,,,-47124000.0,-3888000.0,,-43236000.0,,-43236000.0,0,,0,0.36,0.36,120406215.0,120406215.0,,375428000.0,104737000.0,,,0.0,,,270691000.0,,7106000.0,,,263585000.0,115177000.0,41931000.0,,,,,73246000.0,,,,,,,,260251000.0,10177000.0,250074000.0,,,375428000.0,-36890000.0,-36890000.0,,-10059000.0,-10059000.0,,135000.0,135000.0,,74000.0,-46740000.0,-46814000.0,,-46991000.0,-3896000.0,-43095000.0,133000.0,,
IE,2024-08-07,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0001879016-24-000013,538000.0,52059000.0,192000.0,,,52059000.0,346000.0,,,48892000.0,,,842000.0,48050000.0,-48546000.0,,-50068000.0,-51521000.0,-51521000.0,,,,,,-1453000.0,0.0,,,,,1815000.0,,,,,,-51521000.0,-4738000.0,,-46783000.0,,-46783000.0,0,,0,0.39,0.39,120337642.0,120337642.0,,416273000.0,147006000.0,,,5507000.0,,141499000.0,269267000.0,,8955000.0,,,260312000.0,113149000.0,40200000.0,,,,,0.0,,,,,,,,303124000.0,13969000.0,289155000.0,,,416273000.0,-44542000.0,-44542000.0,,-1249000.0,-1249000.0,,1074000.0,1074000.0,,-833000.0,-45550000.0,-44717000.0,,-51850000.0,-4829000.0,-47021000.0,-329000.0,,
IE,2024-05-08,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0001879016-24-000009,360000.0,0.0,100000.0,,,57241000.0,260000.0,,,57141000.0,,,810000.0,56331000.0,-56881000.0,,3372000.0,-60095000.0,360000.0,,,,,,-3012000.0,-26000.0,,,,1851000.0,1816000.0,35000.0,35000.0,,,0.0,-60095000.0,-4584000.0,,-55511000.0,,-55511000.0,0,,0,0.46,0.46,120246430.0,120246430.0,,461156000.0,191846000.0,,,5313000.0,,186533000.0,269310000.0,,7823000.0,,,261487000.0,111424000.0,39214000.0,,,,,0.0,,,,,,,,349732000.0,18234000.0,331498000.0,,,461156000.0,-49959000.0,-49959000.0,,-1467000.0,-1467000.0,,26000000.0,26000000.0,,-256000.0,-25682000.0,-25426000.0,,-60487000.0,-4726000.0,-55761000.0,-392000.0,,
IE,2024-02-26,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0001879016-24-000005,3903000.0,0.0,2986000.0,,,184305000.0,917000.0,,,181319000.0,,,6120000.0,175199000.0,-180402000.0,,39855000.0,-216075000.0,3903000.0,,,,,,-35952000.0,-584000.0,-380000.0,-204000.0,,747000.0,3707000.0,-2960000.0,-2960000.0,,,0.0,-216075000.0,-16698000.0,,-199377000.0,,-199377000.0,0,,0,1.95,1.95,102491529.0,102491529.0,,487226000.0,216486000.0,,,5013000.0,,211473000.0,270740000.0,,6645000.0,123000.0,,263972000.0,110945000.0,39723000.0,,,,,71222000.0,,,,,,,,376281000.0,2030000.0,374251000.0,,,487226000.0,-150515000.0,-150515000.0,,-150766000.0,-150766000.0,,366454000.0,366454000.0,,210000.0,65383000.0,65173000.0,,-217434000.0,-17173000.0,-200261000.0,-1359000.0,,
IE,2023-11-08,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0001879016-23-000013,239000.0,83499000.0,275000.0,,,83499000.0,-36000.0,,,46936000.0,,,1247000.0,45689000.0,-46972000.0,,-49044000.0,-83260000.0,-83260000.0,,,,,,-34216000.0,0.0,,,,,,-1717000.0,-1717000.0,,,0.0,-83260000.0,-5380000.0,,-77880000.0,,-77880000.0,0,,0,0.74,0.74,104866006.0,104866006.0,,532906000.0,260787000.0,,,4756000.0,,256031000.0,272119000.0,,4678000.0,171000.0,,267270000.0,144114000.0,62484000.0,,,,,81630000.0,,,,,,,,388792000.0,591000.0,388201000.0,,,532906000.0,-41142000.0,-41142000.0,,-73775000.0,-73775000.0,,300313000.0,300313000.0,,-152000.0,185244000.0,185396000.0,,-83106000.0,-5340000.0,-77766000.0,154000.0,,
IE,2023-08-14,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0001879016-23-000010,1314000.0,0.0,1256000.0,,,48699000.0,58000.0,,,47443000.0,,,2138000.0,45305000.0,-47385000.0,,1920000.0,-44847000.0,-44847000.0,,,,,,-606000.0,-128000.0,,,,,,-713000.0,-713000.0,,,0.0,-44847000.0,-6584000.0,,-44847000.0,,-38263000.0,0,,0,0.41,0.41,93124994.0,93124994.0,,309761000.0,76538000.0,,,4630000.0,,71908000.0,233223000.0,,3987000.0,221000.0,,229015000.0,143013000.0,62505000.0,,,,,0.0,,,,,,,,166748000.0,5820000.0,160928000.0,,,309761000.0,-35811000.0,-35811000.0,,-38206000.0,-38206000.0,,30648000.0,30648000.0,,175000.0,-43194000.0,-43369000.0,,-46118000.0,-7032000.0,-39086000.0,-1271000.0,,
IE,2023-05-15,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0001879016-23-000007,679000.0,0.0,184000.0,,,39268000.0,495000.0,,,39084000.0,,,1843000.0,37241000.0,-38589000.0,,1301000.0,-38580000.0,-38580000.0,,,,,,-622000.0,-72000.0,,,,,,32000.0,32000.0,,,0.0,-38580000.0,-2506000.0,,-38580000.0,,-36074000.0,0,,0,0.39,0.39,92964249.0,92964249.0,,227367000.0,118156000.0,,,5869000.0,,112287000.0,109211000.0,,4214000.0,546000.0,,104451000.0,58285000.0,17337000.0,,,,,0.0,,,,,,,,169082000.0,-6387000.0,175469000.0,,,227367000.0,-30019000.0,-30019000.0,,-2666000.0,-2666000.0,,3000.0,3000.0,,17000.0,-32665000.0,-32682000.0,,-38648000.0,-2528000.0,-36120000.0,-68000.0,,
IE,2023-03-14,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0001879016-23-000003,8440000.0,168043000.0,3135000.0,,,168043000.0,5305000.0,,,137470000.0,,4211000.0,5040000.0,128219000.0,-132165000.0,,-159603000.0,-160221000.0,-159603000.0,,,,,,-3711000.0,618000.0,1393000.0,-775000.0,,,972000.0,,,,,,-160221000.0,-10408000.0,,-149813000.0,,-149813000.0,0,,0,1.91,1.91,78527539.0,78527539.0,,260486000.0,151031000.0,,,5648000.0,,145383000.0,109455000.0,,3934000.0,1249000.0,,104272000.0,58039000.0,17432000.0,,,,,40607000.0,,,,,,,,202447000.0,-3928000.0,206375000.0,,,260486000.0,-115734000.0,-115734000.0,,-48384000.0,-48384000.0,,254410000.0,254410000.0,,-482000.0,89810000.0,90292000.0,,-159661000.0,-10160000.0,-149501000.0,560000.0,,
