ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
IKNA,2025-05-08,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-066411,0.0,,,,,,,,2203000.0,10794000.0,,,3715000.0,7079000.0,-10794000.0,,,-8619000.0,-8591000.0,,,,,,,28000.0,,,,,,,,,,,-8619000.0,0,,-8619000.0,,-8619000.0,0,,0,-0.18,-0.18,48258111.0,48258111.0,,130838000.0,116999000.0,,,,,,13839000.0,,506000.0,,,13333000.0,12588000.0,8793000.0,805000.0,,307000.0,7681000.0,3795000.0,,,,,,,,118250000.0,0,118250000.0,,,130838000.0,-10562000.0,-10562000.0,,7932000.0,7932000.0,,2630000.0,2630000.0,,,0.0,0.0,,-8588000.0,0,-8588000.0,31000.0,,
IKNA,2025-03-06,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-25-034188,0.0,,,,,,,,9891000.0,58973000.0,,,30875000.0,28098000.0,-58973000.0,,,-49234000.0,-49082000.0,,,,,,,152000.0,152000.0,,,,,,,,,,-49234000.0,0,,-49234000.0,,-49234000.0,0,,0,-1.02,-1.02,48258111.0,48258111.0,,141510000.0,127169000.0,,,,,,14341000.0,,593000.0,,,13748000.0,15576000.0,10778000.0,897000.0,,1730000.0,8151000.0,4798000.0,,,,,,,,125934000.0,0,125934000.0,,,141510000.0,-46004000.0,-46004000.0,,-34903000.0,-34903000.0,,80907000.0,80907000.0,,,0.0,0.0,,-49118000.0,0,-49118000.0,116000.0,,
IKNA,2024-11-07,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-122818,0.0,,,,,,,,2183000.0,12407000.0,,,6818000.0,5589000.0,-12407000.0,,,-10234000.0,-10224000.0,,,,,,,10000.0,,,,,,,,,,,-10234000.0,0,,-10234000.0,,-10234000.0,0,,0,-0.21,-0.21,48258111.0,48258111.0,,148988000.0,141533000.0,,,,,,7455000.0,,682000.0,,,6773000.0,14756000.0,9240000.0,1540000.0,,1749000.0,5951000.0,5516000.0,,,,,,,,134232000.0,0,134232000.0,,,148988000.0,-8938000.0,-8938000.0,,9454000.0,9454000.0,,-516000.0,-516000.0,,,0.0,0.0,,-9644000.0,0,-9644000.0,590000.0,,
IKNA,2024-08-08,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-093880,0.0,,,,,,,,2155000.0,15823000.0,,,9832000.0,5991000.0,-15823000.0,,,-13730000.0,-13668000.0,,,,,,,62000.0,,,,,,,,,,,-13730000.0,0,,-13730000.0,,-13730000.0,0,,0,-0.28,-0.28,48258111.0,48258111.0,,157485000.0,149321000.0,,,,,,8164000.0,,772000.0,,,7392000.0,14626000.0,8196000.0,1408000.0,,1398000.0,5390000.0,0.0,,,,,,,,142859000.0,0,142859000.0,,,157485000.0,-12502000.0,-12502000.0,,3918000.0,3918000.0,,8584000.0,8584000.0,,,0.0,0.0,,-13767000.0,0,-13767000.0,-37000.0,,
IKNA,2024-05-13,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-058715,0.0,,,,,,,,2107000.0,18226000.0,,,9645000.0,8581000.0,-18226000.0,,,-16146000.0,-16119000.0,,,,,,,27000.0,,,,,,,,,,,-16146000.0,0,,-16146000.0,,-16146000.0,0,,0,-0.33,-0.33,48258111.0,48258111.0,,172782000.0,161166000.0,,,,,,11616000.0,,864000.0,,,10752000.0,17435000.0,10169000.0,1909000.0,,1589000.0,6671000.0,0.0,,,,,,,,155347000.0,0,155347000.0,,,172782000.0,-18304000.0,-18304000.0,,-48738000.0,-48738000.0,,67042000.0,67042000.0,,,0.0,0.0,,-16411000.0,0,-16411000.0,-265000.0,,
IKNA,2024-03-12,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-24-029651,9160000.0,77488000.0,,,,77488000.0,,,,84577000.0,,,59652000.0,24925000.0,-75417000.0,,,-68166000.0,-68328000.0,,,,,,,-162000.0,-169000.0,,,,,,,,,,-68166000.0,0,,-68166000.0,,-68166000.0,0,,0,-1.63,-1.63,41735081.0,41735081.0,,192092000.0,178662000.0,175500000.0,,,,3162000.0,13430000.0,,2335000.0,,,11095000.0,22335000.0,14205000.0,2066000.0,,3311000.0,8828000.0,8130000.0,,,,,,,,169757000.0,0,169757000.0,,,192092000.0,-79743000.0,-79743000.0,,64144000.0,64144000.0,,75980000.0,75980000.0,,,60381000.0,60381000.0,,-67451000.0,0,-67451000.0,715000.0,,
IKNA,2023-11-09,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-061535,1185000.0,0.0,,,,20688000.0,,,2160000.0,20688000.0,,,14654000.0,6034000.0,-19503000.0,,,-17343000.0,1185000.0,,,,,,,,,,,,,,,,,,-17343000.0,0,,-17343000.0,,-17343000.0,0,,0,-0.4,-0.4,43437844.0,43437844.0,,215335000.0,200634000.0,,,,,,14701000.0,,2633000.0,,,12068000.0,28146000.0,19271000.0,3950000.0,,2961000.0,12360000.0,8875000.0,,,,,,,,155344000.0,0,155344000.0,,,215335000.0,-19997000.0,-19997000.0,,31894000.0,31894000.0,,38918000.0,38918000.0,,,50815000.0,50815000.0,,-17177000.0,0,-17177000.0,166000.0,,
IKNA,2023-08-10,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-040943,2004000.0,0.0,,,,20494000.0,,,1375000.0,20494000.0,,,15172000.0,5322000.0,-18490000.0,,,-17115000.0,-17115000.0,,,,,,,,,,,,,,,,,,-17115000.0,0,,-17115000.0,,-17115000.0,0,,0,-0.44,-0.44,39292710.0,39292710.0,,171764000.0,160646000.0,,,,,,11118000.0,,2875000.0,,,8243000.0,15064000.0,12008000.0,1772000.0,,1929000.0,8307000.0,0.0,,,,,,,,156700000.0,0,156700000.0,,,171764000.0,-18143000.0,-18143000.0,,22680000.0,22680000.0,,6412000.0,6412000.0,,,10949000.0,10949000.0,,-17080000.0,0,-17080000.0,35000.0,,
IKNA,2023-05-15,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-021909,5313000.0,19532000.0,,,,19532000.0,,,1296000.0,20828000.0,,,15552000.0,5276000.0,-15515000.0,,,-14219000.0,-14219000.0,,,,,,,,,,,,,,,,,,-14219000.0,0,,-14219000.0,,-14219000.0,0,,0,-0.39,-0.39,36257493.0,36257493.0,,152401000.0,141178000.0,,,,,,11223000.0,,3126000.0,,,8097000.0,17379000.0,13950000.0,2759000.0,,1128000.0,10063000.0,0.0,,,,,,,,135022000.0,0,135022000.0,,,152401000.0,-19784000.0,-19784000.0,,-10806000.0,-10806000.0,,30590000.0,30590000.0,,,0.0,0.0,,-13947000.0,0,-13947000.0,272000.0,,
IKNA,2023-03-14,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000950170-23-007681,15618000.0,84383000.0,,,,84383000.0,,,,86522000.0,,,64321000.0,22201000.0,-70904000.0,,,-68765000.0,-68765000.0,,,,,,,0.0,,,,,,,,,,,-68765000.0,0,,-68765000.0,,-68765000.0,0,,0,-1.9,-1.9,36188420.0,36188420.0,,172259000.0,160010000.0,156900000.0,,,,3110000.0,12249000.0,,3205000.0,,,9044000.0,25290000.0,21503000.0,2093000.0,,3236000.0,16174000.0,3787000.0,,,,,,,,146969000.0,0,146969000.0,,,172259000.0,-74109000.0,-74109000.0,,-99284000.0,-99284000.0,,1095000.0,1095000.0,,,-172298000.0,-172298000.0,,-69528000.0,0,-69528000.0,763000.0,,
