ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued
IMKTA,2025-05-08,2025,Q2,2024-12-29,2025-03-29,https://api.polygon.io/v1/reference/sec/filings/0000050493-25-000008,1331273155.0,1311669140.0,1020296521.0,,,1311669140.0,310976634.0,,,289144009.0,,,,,21640338.0,,,15106015.0,19604015.0,,,,,,,4498000.0,,,,,4878576.0,,,,,,15106015.0,0,,15106015.0,,15106015.0,0,,0,,,,,,2506421683.0,909162376.0,,99199456.0,491182499.0,,318780421.0,1597259307.0,,1521897577.0,,,75361730.0,934608825.0,285410089.0,,,,,649198736.0,,,,,,,,1571812858.0,0,1571812858.0,,,2506421683.0,13272365.0,0,13272365.0,-1833650.0,,,,,,,,,,,,,,,
IMKTA,2024-05-09,2024,Q2,2023-12-31,2024-03-30,https://api.polygon.io/v1/reference/sec/filings/0000050493-24-000008,1367479701.0,1324877075.0,1045594741.0,,,1324877075.0,321884960.0,,,284762087.0,,29248115.0,,255513972.0,44809057.0,,,31898626.0,42602626.0,,,,,,,10704000.0,,-1378000.0,,,5587829.0,,,,,,31898626.0,0,,31898626.0,,31898626.0,0,,0,,,,,,2486307693.0,917121987.0,,109444276.0,479129835.0,,328547876.0,1569185706.0,,1480037502.0,,,89148204.0,960865224.0,286961077.0,,,,,0.0,,,,,,,,1525442469.0,0,1525442469.0,,,2486307693.0,33040097.0,0,33040097.0,1141471.0,,,70432508.0,70432508.0,,-32256217.0,-32256217.0,,-11192423.0,-11192423.0,,,26983868.0,26983868.0,
IMKTA,2024-02-08,2024,Q1,2023-10-01,2023-12-30,https://api.polygon.io/v1/reference/sec/filings/0000050493-24-000004,1481061830.0,1423534229.0,1132260751.0,,,1423534229.0,348801079.0,,,289826530.0,,28774484.0,,261052046.0,59627409.0,,,43393601.0,57527601.0,,,,,,,14134000.0,,-1379000.0,,,5706357.0,,,,,,43393601.0,0,,43393601.0,,43393601.0,0,,0,,,,,,2458856871.0,910991235.0,,116747734.0,501046713.0,,293196788.0,1547865636.0,,1462361839.0,,,85503797.0,963387299.0,282991805.0,,,,,0.0,,,,,,,,1495469572.0,0,1495469572.0,,,2458856871.0,39564045.0,0,39564045.0,-3829556.0,,,15541479.0,15541479.0,,-62387966.0,-62387966.0,,-6659455.0,-6659455.0,,,-53505942.0,-53505942.0,
IMKTA,2023-11-29,2023,FY,2022-09-25,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000050493-23-000021,5892781732.0,5614276773.0,4487866518.0,,,5614276773.0,1404915214.0,,,1115380833.0,,115979172.0,,999401661.0,292304132.0,,,210811959.0,278504959.0,,,,,,,67693000.0,74351000.0,-6658000.0,,,22068290.0,,,,,,210811959.0,0,,210811959.0,,210811959.0,0,,0,,,,,,2473845733.0,952556345.0,,107570690.0,493859775.0,,351125880.0,1521289388.0,,1431872289.0,,,89417099.0,1014873593.0,330533149.0,,,,,684340444.0,550158249.0,134182195.0,,,,,,1458972140.0,0,1458972140.0,,,2473845733.0,211639039.0,0,211639039.0,827080.0,,,266411341.0,266411341.0,,-170095761.0,-170095761.0,,-34974175.0,-34974175.0,,,61341405.0,61341405.0,
IMKTA,2023-08-03,2023,Q3,2023-03-26,2023-06-24,https://api.polygon.io/v1/reference/sec/filings/0000050493-23-000018,1433868605.0,1369890062.0,1095767991.0,,,1369890062.0,338100614.0,,,270911362.0,,28847034.0,,242064328.0,67305434.0,,,48259543.0,63978543.0,,,,,,,15719000.0,,-1065000.0,,,5441689.0,,,,,,48259543.0,0,,48259543.0,,48259543.0,0,,0,,,,,,2407153375.0,896701139.0,,100824097.0,481958452.0,,313918590.0,1510452236.0,,1421958457.0,,,88493779.0,999834799.0,313191281.0,,,,,686643518.0,,,,,,,,1407318576.0,0,1407318576.0,,,2407153375.0,50177340.0,0,50177340.0,1917797.0,,,82563954.0,82563954.0,,-45620337.0,-45620337.0,,-6502461.0,-6502461.0,,,30441156.0,30441156.0,
IMKTA,2023-05-04,2023,Q2,2022-12-25,2023-03-25,https://api.polygon.io/v1/reference/sec/filings/0000050493-23-000012,1380604140.0,1326567335.0,1054664179.0,,,1326567335.0,325939961.0,,,268890164.0,,28863757.0,,240026407.0,57647015.0,,,40539805.0,54036805.0,,,,,,,13497000.0,,-1421000.0,,,5344666.0,,,,,,40539805.0,0,,40539805.0,,40539805.0,0,,0,,,,,,2341064789.0,853669223.0,,96844945.0,474247848.0,,282576430.0,1487395566.0,,1403989312.0,,,83406254.0,980858592.0,292498980.0,,,,,0.0,,,,,,,,1360206197.0,0,1360206197.0,,,2341064789.0,38520579.0,0,38520579.0,-2019226.0,,,37150614.0,37150614.0,,-31395136.0,-31395136.0,,-11032460.0,-11032460.0,,,-5276982.0,-5276982.0,
IMKTA,2023-02-02,2023,Q1,2022-09-25,2022-12-24,https://api.polygon.io/v1/reference/sec/filings/0000050493-23-000008,1493314107.0,1401463626.0,1122159216.0,,,1401463626.0,371154891.0,,,276179258.0,,29105895.0,,247073363.0,95755716.0,,,69371481.0,91850481.0,,,,,,,22479000.0,,-1421000.0,,,5346842.0,,,,,,69371481.0,0,,69371481.0,,69371481.0,0,,0,,,,,,2345303325.0,858572046.0,,120822380.0,464827479.0,,272922187.0,1486731279.0,,1399720979.0,,,87010300.0,1020552747.0,321878633.0,,,,,0.0,,,,,,,,1324750578.0,0,1324750578.0,,,2345303325.0,68220974.0,0,68220974.0,-1150507.0,,,57263002.0,57263002.0,,-58190360.0,-58190360.0,,-10690501.0,-10690501.0,,,-11617859.0,-11617859.0,
IMKTA,2022-11-23,2022,FY,2021-09-26,2022-09-24,https://api.polygon.io/v1/reference/sec/filings/0000050493-22-000018,5678835032.0,5317565104.0,4263066672.0,,,5317565104.0,1415768360.0,,,1040193885.0,,117801654.0,,922392231.0,376932584.0,,,272758928.0,361269928.0,,,,,,,88511000.0,92820000.0,-4309000.0,,,21508135.0,,,,,,272758928.0,0,,272758928.0,,272758928.0,0,,0,,,,,,2295510725.0,838131702.0,,97157614.0,457945539.0,,283028549.0,1457379023.0,,1374031169.0,,,83347854.0,1035916300.0,333777051.0,,,,,702139249.0,571908209.0,130231040.0,,,,,,1259594425.0,0,1259594425.0,,,2295510725.0,288591619.0,0,288591619.0,15832691.0,,,339498470.0,339498470.0,,-111990067.0,-111990067.0,,-30623236.0,-30623236.0,,,196885167.0,196885167.0,
IMKTA,2022-08-04,2022,Q3,2022-03-27,2022-06-25,https://api.polygon.io/v1/reference/sec/filings/0000050493-22-000014,1458166802.0,1367680894.0,1106287695.0,,,1367680894.0,351879107.0,,,257342642.0,,29258827.0,,228083815.0,94563125.0,,,67762908.0,90485908.0,,,,,,,22723000.0,,283000.0,,,5285639.0,,,,,,67762908.0,0,,67762908.0,,67762908.0,0,,0,,,,,,2215396439.0,779101713.0,,99366859.0,418570247.0,,261164607.0,1436294726.0,,1357265904.0,,,79028822.0,1026565196.0,319425871.0,,,,,707139325.0,,,,,,,,1188831243.0,0,1188831243.0,,,2215396439.0,71044030.0,0,71044030.0,3281122.0,,,106120803.0,106120803.0,,-39174365.0,-39174365.0,,-6523148.0,-6523148.0,,,60423290.0,60423290.0,
IMKTA,2022-05-05,2022,Q2,2021-12-26,2022-03-26,https://api.polygon.io/v1/reference/sec/filings/0000050493-22-000009,1377118668.0,1286111321.0,1028556135.0,,,1286111321.0,348562533.0,,,254739175.0,,29967606.0,,224771570.0,95088612.0,,,68641347.0,91007347.0,,,,,,,22366000.0,,-576000.0,,,5425534.0,,,,,,68641347.0,0,,68641347.0,,68641347.0,0,,0,,,,,,2124176511.0,701439725.0,,98010655.0,397891256.0,,205537814.0,1422736786.0,,1343410698.0,,,79326088.0,1003325262.0,287988544.0,,,,,0.0,,,,,,,,1120851249.0,0,1120851249.0,,,2124176511.0,76119760.0,0,76119760.0,7478413.0,,,60502842.0,60502842.0,,-11469150.0,-11469150.0,,-11053620.0,-11053620.0,,,37980072.0,37980072.0,
