ticker,filing_date,fiscal_year,fiscal_period,start_date,end_date,source_filing_url,income_statement.revenues,income_statement.benefits_costs_expenses,income_statement.cost_of_revenue,income_statement.cost_of_revenue_goods,income_statement.cost_of_revenue_services,income_statement.costs_and_expenses,income_statement.gross_profit,income_statement.gain_loss_on_sale_properties_net_tax,income_statement.nonoperating_income_loss,income_statement.operating_expenses,income_statement.selling_general_and_administrative_expenses,income_statement.depreciation_and_amortization,income_statement.research_and_development,income_statement.other_operating_expenses,income_statement.operating_income_loss,income_statement.other_operating_income_expenses,income_statement.income_loss_before_equity_method_investments,income_statement.income_loss_from_continuing_operations_after_tax,income_statement.income_loss_from_continuing_operations_before_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax,income_statement.income_loss_from_discontinued_operations_net_of_tax_adjustment_to_prior_year_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_during_phase_out,income_statement.income_loss_from_discontinued_operations_net_of_tax_gain_loss_on_disposal,income_statement.income_loss_from_discontinued_operations_net_of_tax_provision_for_gain_loss_on_disposal,income_statement.income_loss_from_equity_method_investments,income_statement.income_tax_expense_benefit,income_statement.income_tax_expense_benefit_current,income_statement.income_tax_expense_benefit_deferred,income_statement.interest_and_debt_expense,income_statement.interest_and_dividend_income_operating,income_statement.interest_expense_operating,income_statement.interest_income_expense_after_provision_for_losses,income_statement.interest_income_expense_operating_net,income_statement.noninterest_expense,income_statement.noninterest_income,income_statement.provision_for_loan_lease_and_other_losses,income_statement.net_income_loss,income_statement.net_income_loss_attributable_to_noncontrolling_interest,income_statement.net_income_loss_attributable_to_nonredeemable_noncontrolling_interest,income_statement.net_income_loss_attributable_to_parent,income_statement.net_income_loss_attributable_to_redeemable_noncontrolling_interest,income_statement.net_income_loss_available_to_common_stockholders_basic,income_statement.participating_securities_distributed_and_undistributed_earnings_loss_basic,income_statement.undistributed_earnings_loss_allocated_to_participating_securities_basic,income_statement.preferred_stock_dividends_and_other_adjustments,income_statement.basic_earnings_per_share,income_statement.diluted_earnings_per_share,income_statement.basic_average_shares,income_statement.diluted_average_shares,income_statement.common_stock_dividends,balance_sheet.assets,balance_sheet.current_assets,balance_sheet.cash,balance_sheet.accounts_receivable,balance_sheet.inventory,balance_sheet.prepaid_expenses,balance_sheet.other_current_assets,balance_sheet.noncurrent_assets,balance_sheet.long_term_investments,balance_sheet.fixed_assets,balance_sheet.intangible_assets,balance_sheet.noncurrent_prepaid_expense,balance_sheet.other_noncurrent_assets,balance_sheet.liabilities,balance_sheet.current_liabilities,balance_sheet.accounts_payable,balance_sheet.interest_payable,balance_sheet.wages,balance_sheet.other_current_liabilities,balance_sheet.noncurrent_liabilities,balance_sheet.long_term_debt,balance_sheet.other_noncurrent_liabilities,balance_sheet.commitments_and_contingencies,balance_sheet.redeemable_noncontrolling_interest,balance_sheet.redeemable_noncontrolling_interest_common,balance_sheet.redeemable_noncontrolling_interest_other,balance_sheet.redeemable_noncontrolling_interest_preferred,balance_sheet.equity,balance_sheet.equity_attributable_to_noncontrolling_interest,balance_sheet.equity_attributable_to_parent,balance_sheet.temporary_equity,balance_sheet.temporary_equity_attributable_to_parent,balance_sheet.liabilities_and_equity,cash_flow_statement.net_cash_flow_from_operating_activities,cash_flow_statement.net_cash_flow_from_operating_activities_continuing,cash_flow_statement.net_cash_flow_from_operating_activities_discontinued,cash_flow_statement.net_cash_flow_from_investing_activities,cash_flow_statement.net_cash_flow_from_investing_activities_continuing,cash_flow_statement.net_cash_flow_from_investing_activities_discontinued,cash_flow_statement.net_cash_flow_from_financing_activities,cash_flow_statement.net_cash_flow_from_financing_activities_continuing,cash_flow_statement.net_cash_flow_from_financing_activities_discontinued,cash_flow_statement.exchange_gains_losses,cash_flow_statement.net_cash_flow,cash_flow_statement.net_cash_flow_continuing,cash_flow_statement.net_cash_flow_discontinued,comprehensive_income.comprehensive_income_loss,comprehensive_income.comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.comprehensive_income_loss_attributable_to_parent,comprehensive_income.other_comprehensive_income_loss,comprehensive_income.other_comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income.other_comprehensive_income_loss_attributable_to_parent
INDB,2025-05-07,2025,Q1,2025-01-01,2025-03-31,https://api.polygon.io/v1/reference/sec/filings/0000776901-25-000148,211920000.0,154754000.0,,,,154754000.0,,,,154754000.0,,10292000.0,,144462000.0,57166000.0,,,56145000.0,57166000.0,,,,,,,1021000.0,,1021000.0,,211920000.0,6979000.0,130505000.0,145505000.0,105878000.0,32539000.0,15000000.0,44424000.0,0,,44424000.0,,44424000.0,0,,0,1.04,1.04,42550274.0,42572627.0,,19888209000.0,19888209000.0,,,,,,0,,190007000.0,,,,16854817000.0,16854817000.0,,,,,0,,,0.0,,,,,3033392000.0,0,3033392000.0,,,19888209000.0,13342000.0,13342000.0,,-19913000.0,-19913000.0,,503525000.0,503525000.0,,,496954000.0,496954000.0,,64229000.0,0,64229000.0,19805000.0,,19805000.0
INDB,2025-02-28,2024,FY,2024-01-01,2024-12-31,https://api.polygon.io/v1/reference/sec/filings/0000776901-25-000093,852753000.0,605626000.0,,,,605626000.0,,,,605626000.0,,40889000.0,,564737000.0,247127000.0,,247127000.0,192081000.0,247127000.0,,,,,,,55046000.0,65646000.0,-10600000.0,,852753000.0,44062000.0,525479000.0,561729000.0,406366000.0,128014000.0,36250000.0,192081000.0,0,,192081000.0,,192081000.0,0,,0,4.52,4.52,42499492.0,42511801.0,,19373565000.0,19373565000.0,,,,,,0,,193320000.0,12284000.0,,,16380445000.0,16380445000.0,,,,,0,,,0.0,,,,,2993120000.0,0,2993120000.0,,,19373565000.0,229921000.0,229921000.0,,-33010000.0,-33010000.0,,-201351000.0,-201351000.0,,,-4440000.0,-4440000.0,,216901000.0,0,216901000.0,24820000.0,,24820000.0
INDB,2024-11-07,2024,Q3,2024-07-01,2024-09-30,https://api.polygon.io/v1/reference/sec/filings/0000776901-24-000165,216524000.0,161215000.0,,,,161215000.0,,,,161215000.0,,10315000.0,,150900000.0,55309000.0,,,55309000.0,55309000.0,,,,,,,1270000.0,,1270000.0,,216524000.0,7836000.0,122203000.0,141703000.0,100443000.0,33549000.0,19500000.0,42947000.0,0,,42947000.0,,42947000.0,0,,0,1.01,1.01,42481441.0,-8977.0,,19408117000.0,19408117000.0,,,,,,0,,192197000.0,,,,16430969000.0,16430969000.0,,,,,0,,,0.0,,,,,2977148000.0,0,2977148000.0,,,19408117000.0,70237000.0,70237000.0,,62501000.0,62501000.0,,-22167000.0,-22167000.0,,,110571000.0,110571000.0,,79970000.0,0,79970000.0,37023000.0,,37023000.0
INDB,2024-08-06,2024,Q2,2024-04-01,2024-06-30,https://api.polygon.io/v1/reference/sec/filings/0000776901-24-000152,211864000.0,145472000.0,,,,145472000.0,,,,145472000.0,,10896000.0,,134576000.0,66392000.0,,,66392000.0,66392000.0,,,,,,,1248000.0,,1248000.0,,211864000.0,73938000.0,133676000.0,137926000.0,99614000.0,32330000.0,4250000.0,51330000.0,0,,51330000.0,,51330000.0,0,,0,1.21,1.21,42468658.0,42472966.0,,19411037000.0,19411037000.0,,,,,,0,,191303000.0,,,,16491788000.0,-2919249000.0,,,,,0,,,0.0,,,,,2919249000.0,0,2919249000.0,,,19411037000.0,65649000.0,65649000.0,,16122000.0,16122000.0,,10794000.0,10794000.0,,,92565000.0,92565000.0,,56443000.0,0,56443000.0,5113000.0,,5113000.0
INDB,2024-05-08,2024,Q1,2024-01-01,2024-03-31,https://api.polygon.io/v1/reference/sec/filings/0000776901-24-000107,208045000.0,145550000.0,,,,145550000.0,,,,145550000.0,,10289000.0,,135261000.0,62495000.0,,,59911000.0,62495000.0,,,,,,,2584000.0,,2584000.0,,208045000.0,70606000.0,132439000.0,137439000.0,99887000.0,29943000.0,5000000.0,47770000.0,0,,47770000.0,,47770000.0,0,,0,1.12,1.12,42553714.0,42566590.0,,19324613000.0,19324613000.0,,,,,,0,,192563000.0,,,,16440405000.0,-2884208000.0,,,,,0,,,0.0,,,,,2884208000.0,0,2884208000.0,,,19324613000.0,51145000.0,51145000.0,,15915000.0,15915000.0,,-70074000.0,-70074000.0,,,-3014000.0,-3014000.0,,43259000.0,0,43259000.0,-4511000.0,,-4511000.0
INDB,2024-02-28,2023,FY,2023-01-01,2023-12-31,https://api.polygon.io/v1/reference/sec/filings/0000776901-24-000069,795726000.0,480592000.0,,,,480592000.0,,,,480592000.0,,36102000.0,,444490000.0,315134000.0,,315134000.0,239502000.0,315134000.0,,,,,,,75632000.0,72894000.0,2738000.0,,795726000.0,189205000.0,583271000.0,606521000.0,392746000.0,124609000.0,23250000.0,239502000.0,0,,239502000.0,,239502000.0,0,,0,5.42,5.42,44181540.0,44193547.0,,19347373000.0,19347373000.0,,,,,,0,,193049000.0,18190000.0,,,16452122000.0,16452122000.0,,,,,0,,,0.0,,,,,2895251000.0,0,2895251000.0,,,19347373000.0,276994000.0,276994000.0,,-211650000.0,-211650000.0,,-193947000.0,-193947000.0,,,-128603000.0,-128603000.0,,287759000.0,0,287759000.0,48257000.0,,48257000.0
INDB,2023-11-02,2023,Q3,2023-07-01,2023-09-30,https://api.polygon.io/v1/reference/sec/filings/0000776901-23-000225,202928000.0,122787000.0,,,,122787000.0,,,,122787000.0,,9192000.0,,113595000.0,80141000.0,,,80141000.0,80141000.0,,,,,,,-326000.0,,-326000.0,,202928000.0,53048000.0,144380000.0,149880000.0,97782000.0,33543000.0,5500000.0,60808000.0,0,,60808000.0,,60808000.0,0,,0,1.38,1.38,44135487.0,44146904.0,,19368109000.0,19368109000.0,,,,,,0,,191560000.0,,,,16482701000.0,16482701000.0,,,,,0,,,0.0,,,,,2885408000.0,0,2885408000.0,,,19368109000.0,81259000.0,81259000.0,,-56287000.0,-56287000.0,,-113108000.0,-113108000.0,,,-88136000.0,-88136000.0,,52997000.0,0,52997000.0,-7811000.0,,-7811000.0
INDB,2023-08-03,2023,Q2,2023-04-01,2023-06-30,https://api.polygon.io/v1/reference/sec/filings/0000776901-23-000183,198693000.0,115945000.0,,,,115945000.0,,,,115945000.0,,8750000.0,,107195000.0,82748000.0,,,82748000.0,82748000.0,,,,,,,-305000.0,,-305000.0,,198693000.0,46147000.0,147546000.0,152546000.0,95555000.0,30757000.0,5000000.0,62644000.0,0,,62644000.0,,62644000.0,0,,0,1.42,1.42,44129152.0,44136725.0,,19400931000.0,19400931000.0,,,,,,0,,193642000.0,,,,16546017000.0,-2854914000.0,,,,,0,,,0.0,,,,,2854914000.0,0,2854914000.0,,,19400931000.0,90764000.0,90764000.0,,-146077000.0,-146077000.0,,-138967000.0,-138967000.0,,,-194280000.0,-194280000.0,,45654000.0,0,45654000.0,-16990000.0,,-16990000.0
INDB,2023-05-04,2023,Q1,2023-01-01,2023-03-31,https://api.polygon.io/v1/reference/sec/filings/0000776901-23-000125,186935000.0,105606000.0,,,,105606000.0,,,,105606000.0,,9633000.0,,95973000.0,81329000.0,,,80685000.0,81329000.0,,,,,,,644000.0,,644000.0,,186935000.0,27937000.0,151748000.0,158998000.0,98661000.0,28242000.0,7250000.0,61247000.0,0,,61247000.0,,61247000.0,0,,0,1.36,1.36,45004100.0,45023664.0,,19442402000.0,19442402000.0,,,,,,0,,195921000.0,,,,16611493000.0,-2830909000.0,,,,,0,,,0.0,,,,,2830909000.0,0,2830909000.0,,,19442402000.0,51466000.0,51466000.0,,-28558000.0,-28558000.0,,126703000.0,126703000.0,,,149611000.0,149611000.0,,88386000.0,0,88386000.0,27139000.0,,27139000.0
INDB,2023-02-28,2022,FY,2022-01-01,2022-12-31,https://api.polygon.io/v1/reference/sec/filings/0000776901-23-000064,642840000.0,295086000.0,,,,295086000.0,,,,295086000.0,,38799000.0,,256287000.0,347754000.0,,347754000.0,263813000.0,347754000.0,,,,,,,83941000.0,85195000.0,-1254000.0,,642840000.0,29591000.0,606749000.0,613249000.0,373662000.0,114667000.0,6500000.0,263813000.0,0,,263813000.0,,263813000.0,0,,0,5.69,5.69,46372051.0,46389989.0,,19294174000.0,19294174000.0,,,,,,0,,196504000.0,25068000.0,,,16407473000.0,16407473000.0,,,,,0,,,0.0,,,,,2886701000.0,0,2886701000.0,,,19294174000.0,421200000.0,421200000.0,,-1000474000.0,-1000474000.0,,-1308477000.0,-1308477000.0,,,-1887751000.0,-1887751000.0,,98546000.0,0,98546000.0,-165267000.0,,-165267000.0
